Time,n,c,a,m,vt,Gat,Tt,Gmt,alt,Bat,A,t1,default_compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4.158384605093583e-11,1.6625830435238677e-08,8.461372487063618e-15,4.159147533145585e-11,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,1.6625830435238677e-08,4.158384605093583e-12,4.158384605093583e-12,8.461372487063618e-15,3.5192096506596567e-28,1.6625830435238677e-08,4.1591475331455846e-13,4.99983333555554e-06,7.159482436483715e-27,1.6625830435238677e-08
0.02,6.63728729915642e-10,1.3265976644421015e-07,2.6483105580939137e-13,6.63967876399288e-10,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,1.3265976644421015e-07,6.63728729915642e-11,6.63728729915642e-11,2.6483105580939137e-13,1.7583931373034292e-25,1.3265976644421015e-07,6.63967876399288e-12,1.9997333475551496e-05,7.013548812111695e-24,1.3265976644421015e-07
0.03,3.352465412544289e-09,4.465656229673579e-07,2.0036959538940256e-12,3.3542777035605177e-09,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,4.465656229673579e-07,3.352465412544289e-10,3.352465412544289e-10,2.0036959538940256e-12,6.720952662861154e-24,4.465656229673579e-07,3.354277703560518e-11,4.498650161989586e-05,4.0147974756512886e-22,4.465656229673579e-07
0.04,1.057120850016156e-08,1.0557468022451447e-06,8.413612382481338e-12,1.0578830865007797e-08,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,1.0557468022451447e-06,1.057120850016156e-09,1.057120850016156e-09,8.413612382481338e-12,8.900618235800537e-23,1.0557468022451447e-06,1.0578830865007797e-10,7.995734243451539e-05,7.078887332264329e-21,1.0557468022451447e-06
0.05,2.5748995624470755e-08,2.0565182282543697e-06,2.558126503687062e-11,2.5772210580816936e-08,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,2.0565182282543697e-06,2.5748995624470757e-09,2.5748995624470757e-09,2.558126503687062e-11,6.592857494539193e-22,2.0565182282543697e-06,2.5772210580816935e-10,0.00012489586804935587,6.54401120886619e-20,2.0565182282543697e-06
0.06,5.326848710967658e-08,3.544077493346722e-06,6.341660161242993e-11,5.332613594894845e-08,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,3.544077493346722e-06,5.326848710967659e-09,5.326848710967659e-09,6.341660161242993e-11,3.381762319004742e-21,3.544077493346722e-06,5.332613594894845e-10,0.0001797841036533437,4.0216653600696495e-19,3.544077493346722e-06
0.07,9.845405111196483e-08,5.612475890435466e-06,1.3658473122971856e-10,9.857841360486514e-08,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,5.612475890435466e-06,9.845405111196483e-09,9.845405111196483e-09,1.3658473122971856e-10,1.3464306127272536e-20,5.612475890435466e-06,9.857841360486514e-10,0.00024460009468407073,1.8655388805094453e-18,5.612475890435466e-06
0.08,1.6755885824643467e-07,8.354590770002272e-06,2.653599862980394e-10,1.6780085793160486e-07,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,8.354590770002272e-06,1.675588582464347e-08,1.675588582464347e-08,2.653599862980394e-10,4.452763336152993e-20,8.354590770002272e-06,1.6780085793160488e-09,0.0003193179156093264,7.041592232809566e-18,8.354590770002272e-06
0.09,2.677519177496403e-07,1.1862097920590018e-05,4.764764961037255e-10,2.681871516317989e-07,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,1.1862097920590018e-05,2.6775191774964034e-08,2.6775191774964034e-08,4.764764961037255e-10,1.2778487430955809e-19,1.1862097920590018e-05,2.6818715163179893e-09,0.0004039076802969646,2.2702985133928348e-17,1.1862097920590018e-05
0.1,4.071053039155379e-07,1.6225443655359322e-05,8.039944311802523e-10,4.0784090524439985e-07,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,1.6225443655359322e-05,4.0710530391553793e-08,4.0710530391553793e-08,8.039944311802523e-10,3.279018166240105e-19,1.6225443655359322e-05,4.0784090524439985e-09,0.0004983355539689593,6.464070453688573e-17,1.6225443655359322e-05
0.11,5.945809583624599e-07,2.153381805581634e-05,1.2901202188427913e-09,5.957632608160852e-07,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,2.153381805581634e-05,5.9458095836245985e-08,5.9458095836245985e-08,1.2901202188427913e-09,7.686062284225428e-19,2.153381805581634e-05,5.957632608160852e-09,0.0006025637667348629,1.664410179066971e-16,2.153381805581634e-05
0.12,8.400167951390139e-07,2.787512846153495e-05,1.985986724581398e-09,8.418397860686103e-07,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,2.787512846153495e-05,8.40016795139014e-08,8.40016795139014e-08,1.985986724581398e-09,1.6718826393567043e-18,2.787512846153495e-05,8.418397860686103e-09,0.00071655062869926,3.9441432702135474e-16,2.787512846153495e-05
0.13,1.1541127856149942e-06,3.53359733178353e-05,2.9524247376412813e-09,1.1568273397058265e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,3.53359733178353e-05,1.1541127856149943e-07,1.1541127856149943e-07,2.9524247376412813e-09,3.415445654927236e-18,3.53359733178353e-05,1.1568273397058265e-08,0.0008402505466371694,8.71681183143618e-16,3.53359733178353e-05
0.14,1.5484175249183763e-06,4.400161621172918e-05,4.260754627506127e-09,1.552341418895221e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,4.400161621172918e-05,1.5484175249183765e-07,1.5484175249183765e-07,4.260754627506127e-09,6.614145884027241e-18,4.400161621172918e-05,1.5523414188952208e-08,0.0009736140422307265,1.815402999581484e-15,4.400161621172918e-05
0.15,2.0353133227997953e-06,5.395596070441223e-05,5.993486838167317e-09,2.040841997167043e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,5.395596070441223e-05,2.0353133227997953e-07,2.0353133227997953e-07,5.993486838167317e-09,1.2231759648799775e-17,5.395596070441223e-05,2.0408419971670432e-08,0.0011165877718598495,3.5921884479284725e-15,5.395596070441223e-05
0.16,2.628001800245439e-06,6.5281525563772e-05,8.245039229659012e-09,2.635619864219429e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,6.5281525563772e-05,2.628001800245439e-07,2.628001800245439e-07,8.245039229659012e-09,2.173078917495775e-17,6.5281525563772e-05,2.635619864219429e-08,0.0012691145479389787,6.7980671898615606e-15,6.5281525563772e-05
0.17,3.340489218993597e-06,7.805942055991569e-05,1.1122428945826398e-08,3.3507826827964073e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,7.805942055991569e-05,3.340489218993597e-07,3.340489218993597e-07,1.1122428945826398e-08,3.7268842302308596e-17,7.805942055991569e-05,3.3507826827964074e-08,0.0014311333617913447,1.2370842565495538e-14,7.805942055991569e-05
0.18,4.187571292052033e-06,9.23693222105301e-05,1.4745939445421577e-08,4.201240522213852e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,9.23693222105301e-05,4.1875712920520335e-07,4.1875712920520335e-07,1.4745939445421577e-08,6.195123833621679e-17,9.23693222105301e-05,4.201240522213852e-08,0.0016025794080516285,2.1744273012803526e-14,9.23693222105301e-05
0.19,5.184818107621495e-06,0.00010828945072680482,1.9249766221605913e-08,5.202691478094734e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00010828945072680482,5.184818107621495e-07,5.184818107621495e-07,1.9249766221605913e-08,1.0015059467646496e-16,0.00010828945072680482,5.2026914780947336e-08,0.0017833841105872436,3.705534995864662e-14,0.00010828945072680482
0.2,6.3485586396464836e-06,0.00012589654702414843,2.478264131444185e-08,6.371606873351861e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00012589654702414843,6.348558639646484e-07,6.348558639646484e-07,2.478264131444185e-08,1.5790524773891148e-16,0.00012589654702414843,6.371606873351862e-08,0.0019734751499278728,6.141793105202422e-14,0.00012589654702414843
0.21,7.695865002018828e-06,0.0001452658501389127,3.150843638014966e-08,7.725216190830283e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0001452658501389127,7.695865002018828e-07,7.695865002018828e-07,3.150843638014966e-08,2.4340948287167807e-16,0.0001452658501389127,7.725216190830283e-08,0.002172776492192293,9.927815631218396e-14,0.0001452658501389127
0.22,9.244536759815657e-06,0.0001664710757357544,3.960674323469997e-08,9.281492037622599e-06,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0001664710757357544,9.244536759815657e-07,9.244536759815657e-07,3.960674323469997e-08,3.676096719690305e-16,0.0001664710757357544,9.281492037622599e-08,0.0023812084195009146,1.5686941096592058e-13,0.0001664710757357544
0.23,1.1013084720168323e-05,0.0001895843944641622,4.9273433343840005e-08,1.1059134587514924e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0001895843944641622,1.1013084720168322e-06,1.1013084720168322e-06,4.9273433343840005e-08,5.449215309384721e-16,0.0001895843944641622,1.1059134587514925e-07,0.0025986875618618697,2.427871233489254e-13,0.0001895843944641622
0.24,1.302071478641462e-05,0.00021467641135816917,6.072119574102348e-08,1.3077556062537245e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00021467641135816917,1.3020714786414622e-06,1.3020714786414622e-06,6.072119574102348e-08,7.940848414875323e-16,0.00021467641135816917,1.3077556062537244e-07,0.0028251269305178952,3.687063612218328e-13,0.00021467641135816917
0.25,1.5287311752373802e-05,0.00024181614602412457,7.418005351059101e-08,1.535686513528595e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00024181614602412457,1.5287311752373803e-06,1.5287311752373803e-06,7.418005351059101e-08,1.1391730774904413e-15,0.00024181614602412457,1.535686513528595e-07,0.0030604359527406826,5.502680338831117e-13,0.00024181614602412457
0.26,1.783342208763285e-05,0.000271071011864181,8.989785716617628e-08,1.7917850336023723e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.000271071011864181,1.7833422087632853e-06,1.7833422087632853e-06,8.989785716617628e-08,1.6107763502327846e-15,0.000271071011864181,1.7917850336023723e-07,0.003304520508058753,8.081624723063699e-13,0.000271071011864181
0.27,2.068023721648167e-05,0.000302506797103408,1.081407576500999e-07,2.078196391488654e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.000302506797103408,2.068023721648167e-06,2.068023721648167e-06,1.081407576500999e-07,2.2473773232128667e-15,0.000302506797103408,2.078196391488654e-07,0.0035572829659043974,1.1694423465123964e-12,0.000302506797103408
0.28,2.384957642099461e-05,0.00033618764602286514,1.2919365732560353e-07,2.3971305319886955e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00033618764602286514,2.384957642099461e-06,2.384957642099461e-06,1.2919365732560353e-07,3.0969406051448925e-15,0.00033618764602286514,2.3971305319886955e-07,0.0038186222246645984,1.6691001093137606e-12,0.00033618764602286514
0.29,2.7363869655751728e-05,0.000372176040910496,1.533606396767196e-07,2.750860456852022e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.000372176040910496,2.736386965575173e-06,2.736386965575173e-06,1.533606396767196e-07,4.218737193242192e-15,0.000372176040910496,2.7508604568520223e-07,0.004088433752120327,2.3519485801997295e-12,0.000372176040910496
0.3,3.1246142039300134e-05,0.0004105327877090984,1.80965383909216e-07,3.1417207221575376e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0004105327877090984,3.1246142039300135e-06,3.1246142039300135e-06,1.80965383909216e-07,5.685426966207781e-15,0.0004105327877090984,3.1417207221575376e-07,0.004366609627258042,3.2748470173302685e-12,0.0004105327877090984
0.31,3.551999470781354e-05,0.00045131699640541467,2.1235154563814825e-07,3.572105581445545e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00045131699640541467,3.551999470781354e-06,3.551999470781354e-06,2.1235154563814825e-07,7.585421414026179e-15,0.00045131699640541467,3.5721055814455456e-07,0.004653038583436651,4.509317893470721e-12,0.00045131699640541467
0.32,4.020958703877763e-05,0.0004945860646037761,2.4788312133813975e-07,4.044467259370897e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0004945860646037761,4.020958703877763e-06,4.020958703877763e-06,2.4788312133813975e-07,1.0025551684027695e-14,0.0004945860646037761,4.044467259370897e-07,0.004947606052892684,6.144604184396134e-12,0.0004945860646037761
0.33,4.533961929071016e-05,0.0005403956626784921,2.87944793156898e-07,4.5613142635235354e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0005403956626784921,4.533961929071016e-06,4.533961929071016e-06,2.87944793156898e-07,1.313406692133893e-14,0.0005403956626784921,4.5613142635235356e-07,0.005250194212565874,8.291220390548132e-12,0.0005403956626784921
0.34,5.093531472996166e-05,0.000588799718941377,3.3294225078098097e-07,5.125209644486407e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.000588799718941377,5.093531472996167e-06,5.093531472996167e-06,3.3294225078098097e-07,1.7063988347596958e-14,0.000588799718941377,5.125209644486407e-07,0.005560682031226802,1.1085054235387682e-11,0.000588799718941377
0.35,5.7022401656162754e-05,0.0006398504046449605,3.8330250349378095e-07,5.738769245795916e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0006398504046449605,5.702240165616276e-06,5.702240165616276e-06,3.8330250349378095e-07,2.1996846188866917e-14,0.0006398504046449605,5.738769245795917e-07,0.005878945317887789,1.4692080918244136e-11,0.0006398504046449605
0.36,6.362709531540487e-05,0.0006935981197597897,4.3947416958931045e-07,6.404659940750596e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0006935981197597897,6.362709531540487e-06,6.362709531540487e-06,4.3947416958931045e-07,2.8146826089632903e-14,0.0006935981197597897,6.404659940750597e-07,0.006204856771477625,1.9313754573248376e-11,0.0006935981197597897
0.37,7.077607966363119e-05,0.0007500914817538446,5.019277123576634e-07,7.12559784765036e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0007500914817538446,7.077607966363119e-06,7.077607966363119e-06,5.019277123576634e-07,3.576535026851836e-14,0.0007500914817538446,7.125597847650361e-07,0.0065382860317603035,2.519314284262503e-11,0.0007500914817538446
0.38,7.849648908633614e-05,0.0008093773126417639,5.711556887250468e-07,7.904346543995221e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0008093773126417639,7.849648908633615e-06,7.849648908633615e-06,5.711556887250468e-07,4.514612494257034e-14,0.0008093773126417639,7.904346543995222e-07,0.006879099731477371,3.262188207523406e-11,0.0008093773126417639
0.39,8.681589001806531e-05,0.0008715006274519526,6.47672966959935e-07,8.743715267399557e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0008715006274519526,8.681589001806531e-06,8.681589001806531e-06,6.47672966959935e-07,5.6630680094895516e-14,0.0008715006274519526,8.743715267399557e-07,0.007227161549693066,4.194802721130885e-11,0.0008715006274519526
0.4,9.576226234389723e-05,0.0009365046229558616,7.32016925725325e-07,9.646557093783692e-05,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0009365046229558616,9.576226234389723e-06,9.576226234389723e-06,7.32016925725325e-07,7.061443067625364e-14,0.0009365046229558616,9.646557093783692e-07,0.007582332266320865,5.358487795196425e-11,0.0009365046229558616
0.41,0.00010536397959895927,0.0010044306632995708,8.247476529748726e-07,0.00010615767000917034,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0010044306632995708,1.0536397959895928e-05,1.0536397959895928e-05,8.247476529748726e-07,8.755328918534427e-14,0.0010044306632995708,1.0615767000917035e-06,0.007944469817809661,6.802086910412924e-11,0.0010044306632995708
0.42,0.00011564979153934544,0.0010753182746301186,9.264480789623704e-07,0.00011654280151378175,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0010753182746301186,1.1564979153934544e-05,1.1564979153934544e-05,9.264480789623704e-07,1.0797085457933593e-13,0.0010753182746301186,1.1654280151378175e-06,0.008313429353967295,8.583060429393974e-11,0.0010753182746301186
0.43,0.00012664880521225555,0.0011492051355840045,1.0377241149712442e-06,0.00012765070032988709,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0011492051355840045,1.2664880521225556e-05,1.2664880521225556e-05,1.0377241149712442e-06,1.3246621002529162e-13,0.0011492051355840045,1.2765070032988708e-06,0.008689063295898703,1.0768713386768868e-10,0.0011492051355840045
0.44,0.0001383904659119004,0.0012261270683215008,1.159204772370713e-06,0.00013951146586362373,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0012261270683215008,1.383904659119004e-05,1.383904659119004e-05,1.159204772370713e-06,1.6172235702954645e-13,0.0012261270683215008,1.3951146586362374e-06,0.009071221395035495,1.3437557041064686e-10,0.0012261270683215008
0.45,0.00015090453824732244,0.0013061180308590675,1.2915422580093244e-06,0.00015215554340737455,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0013061180308590675,1.5090453824732244e-05,1.5090453824732244e-05,1.2915422580093244e-06,1.9651531410099629e-13,0.0013061180308590675,1.5215554340737455e-06,0.009459750793233392,1.6680814039455745e-10,0.0013061180308590675
0.46,0.00016422108710674587,0.0013892101089861791,1.4354120661517262e-06,0.00016561370540256156,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0013892101089861791,1.6422108710674587e-05,1.6422108710674587e-05,1.4354120661517262e-06,2.377239110549342e-13,0.0013892101089861791,1.6561370540256156e-06,0.00985449608391343,2.0604077992294392e-10,0.0013892101089861791
0.47,0.00017837045860950924,0.0014754335097963785,1.5915130367510338e-06,0.00017991703265169141,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0014754335097963785,1.7837045860950924e-05,1.7837045860950924e-05,1.5915130367510338e-06,2.8634030299872833e-13,0.0014754335097963785,1.7991703265169141e-06,0.010255299374222544,2.532913745506932e-10,0.0014754335097963785
0.48,0.00019338326107351357,0.0015648165573525314,1.7605673724564954e-06,0.00019509689549575978,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0015648165573525314,1.933832610735136e-05,1.933832610735136e-05,1.7605673724564954e-06,3.434812286773893e-13,0.0015648165573525314,1.9509689549575977e-06,0.010662000348188585,3.0995974719976176e-10,0.0015648165573525314
0.49,0.0002092903458600977,0.0016573856870352418,1.943320666215068e-06,0.00021118493489770003,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0016573856870352418,2.0929034586009772e-05,2.0929034586009772e-05,1.943320666215068e-06,4.104000483799842e-13,0.0016573856870352418,2.1118493489770005e-06,0.011074436330844567,3.776495210312383e-10,0.0016573856870352418
0.5,0.00022612278821503815,0.0017531654412653904,2.140541899359876e-06,0.00022821304348921655,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0017531654412653904,2.2612278821503815e-05,2.2612278821503815e-05,2.140541899359876e-06,4.884995815691056e-13,0.0017531654412653904,2.2821304348921656e-06,0.011492442353296509,4.581919620815786e-10,0.0017531654412653904
0.51,0.00024391186812821523,0.001852178465731366,2.353023424372295e-06,0.00024621334662294363,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.001852178465731366,2.4391186812821523e-05,2.4391186812821523e-05,2.353023424372295e-06,5.793457719968817e-13,0.001852178465731366,2.4621334662294364e-06,0.011915851218708761,5.536719232579196e-10,0.001852178465731366
0.52,0.00026268905136419364,0.0019544455054103043,2.5815809464236593e-06,0.0002652181835968408,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0019544455054103043,2.6268905136419364e-05,2.6268905136419364e-05,2.5815809464236593e-06,6.846822094186961e-13,0.0019544455054103043,2.652181835968408e-06,0.012344493569180541,6.664560178496039e-10,0.0019544455054103043
0.53,0.0002824859699977036,0.002059985403695075,2.8270534391693373e-06,0.000285260088316619,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.002059985403695075,2.824859699977036e-05,2.824859699977036e-05,2.8270534391693373e-06,8.064455137332467e-13,0.002059985403695075,2.8526008831661903e-06,0.012778197953486812,7.992231141531601e-10,0.002059985403695075
0.54,0.000303334403284504,0.0021688151005823304,3.0903030740769765e-06,0.0003063717703100176,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0021688151005823304,3.03334403284504e-05,3.03334403284504e-05,3.0903030740769765e-06,9.467816235994526e-13,0.0021688151005823304,3.063717703100176e-06,0.013216790895656506,9.54997308052941e-10,0.0021688151005823304
0.55,0.00032526625849916543,0.0022809496317706527,3.372215127355638e-06,0.0003285860956864087,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0022809496317706527,3.252662584991654e-05,3.252662584991654e-05,3.372215127355638e-06,1.1080630025124344e-12,0.0022809496317706527,3.2858609568640867e-06,0.013660096964360569,1.1371834852234338e-09,0.0022809496317706527
