a,c,m,n,Time
0.0,0.0,0.0,0.0,0.0
8.461372487063618e-15,1.6625830435238677e-08,4.159147533145585e-11,4.158384605093583e-11,0.01
2.6483105580939137e-13,1.3265976644421015e-07,6.63967876399288e-10,6.63728729915642e-10,0.02
2.0036959538940256e-12,4.465656229673579e-07,3.3542777035605177e-09,3.352465412544289e-09,0.03
8.413612382481338e-12,1.0557468022451447e-06,1.0578830865007797e-08,1.057120850016156e-08,0.04
2.558126503687062e-11,2.0565182282543697e-06,2.5772210580816936e-08,2.5748995624470755e-08,0.05
6.341660161242993e-11,3.544077493346722e-06,5.332613594894845e-08,5.326848710967658e-08,0.06
1.3658473122971856e-10,5.612475890435466e-06,9.857841360486514e-08,9.845405111196483e-08,0.07
2.653599862980394e-10,8.354590770002272e-06,1.6780085793160486e-07,1.6755885824643467e-07,0.08
4.764764961037255e-10,1.1862097920590018e-05,2.681871516317989e-07,2.677519177496403e-07,0.09
8.039944311802523e-10,1.6225443655359322e-05,4.0784090524439985e-07,4.071053039155379e-07,0.1
1.2901202188427913e-09,2.153381805581634e-05,5.957632608160852e-07,5.945809583624599e-07,0.11
1.985986724581398e-09,2.787512846153495e-05,8.418397860686103e-07,8.400167951390139e-07,0.12
2.9524247376412813e-09,3.53359733178353e-05,1.1568273397058265e-06,1.1541127856149942e-06,0.13
4.260754627506127e-09,4.400161621172918e-05,1.552341418895221e-06,1.5484175249183763e-06,0.14
5.993486838167317e-09,5.395596070441223e-05,2.040841997167043e-06,2.0353133227997953e-06,0.15
8.245039229659012e-09,6.5281525563772e-05,2.635619864219429e-06,2.628001800245439e-06,0.16
1.1122428945826398e-08,7.805942055991569e-05,3.3507826827964073e-06,3.340489218993597e-06,0.17
1.4745939445421577e-08,9.23693222105301e-05,4.201240522213852e-06,4.187571292052033e-06,0.18
1.9249766221605913e-08,0.00010828945072680482,5.202691478094734e-06,5.184818107621495e-06,0.19
2.478264131444185e-08,0.00012589654702414843,6.371606873351861e-06,6.3485586396464836e-06,0.2
3.150843638014966e-08,0.0001452658501389127,7.725216190830283e-06,7.695865002018828e-06,0.21
3.960674323469997e-08,0.0001664710757357544,9.281492037622599e-06,9.244536759815657e-06,0.22
4.9273433343840005e-08,0.0001895843944641622,1.1059134587514924e-05,1.1013084720168323e-05,0.23
6.072119574102348e-08,0.00021467641135816917,1.3077556062537245e-05,1.302071478641462e-05,0.24
7.418005351059101e-08,0.00024181614602412457,1.535686513528595e-05,1.5287311752373802e-05,0.25
8.989785716617628e-08,0.000271071011864181,1.7917850336023723e-05,1.783342208763285e-05,0.26
1.081407576500999e-07,0.000302506797103408,2.078196391488654e-05,2.068023721648167e-05,0.27
1.2919365732560353e-07,0.00033618764602286514,2.3971305319886955e-05,2.384957642099461e-05,0.28
1.533606396767196e-07,0.000372176040910496,2.750860456852022e-05,2.7363869655751728e-05,0.29
1.80965383909216e-07,0.0004105327877090984,3.1417207221575376e-05,3.1246142039300134e-05,0.3
2.1235154563814825e-07,0.00045131699640541467,3.572105581445545e-05,3.551999470781354e-05,0.31
