Time,s121,s122,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s139,s150,s152,s153,s154,s159,s160,s161,s164,s167,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,kf13,kr13,kf14,kr14,kf15,kr15,k16,k17,k18,k20,k19,k21,k22,kf23,kr23,k27,kf28,kr28,k26,default,c2,re44,re45,re46,re47,re48,re49,re52,re53,re56,re57,re58,re59,re60,re61,re63,re64,re65,re66,re67,re68,re69,re70,re71,re72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,1.2499578993895663e-21,0.0,1.2499578993895663e-21,2.179358537069142e-24,0.0,1.5621127534381055e-18,0.0,3.1243311068015877e-13,2.4999671877871018e-08,0.0,0.05999998800000115,1.1014477287065594e-39,0.0,6.246274457641879e-17,0.0,0.0,2.8239635227367908e-42,2.179351642414547e-24,1.1999848801281824e-08,7.499937002040547e-13,4.307473767366723e-29,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,3.7499685010202735e-19,4.999831597558266e-25,2.179351642414547e-28,6.249789496947832e-22,3.7499685010202735e-19,6.249917969467755e-11,1.199999760000023e-06,3.124958984733877e-12,3.905413883501985e-17,1.1014477287065593e-40,1.8745982891612556e-14,6.246274457641879e-18,1.952640941797632e-22,6.249789496947832e-22,4.686496660202381e-16,2.5e-06,4.811947795659158e-31,1.3618032258109799e-37,2.999962200320456e-11,2.823963522736791e-44,5.944263868347453e-40,4.999831597558266e-25,6.538075611207426e-28,2.1793301050457102e-27
0.02,0.0,0.0,0.0,9.999812785235395e-21,0.0,9.999812785235395e-21,2.7027593441020924e-23,0.0,1.2495616832894622e-17,0.0,1.249465033656474e-12,4.999868752296839e-08,0.0,0.059999976000004306,3.2734629196261904e-38,0.0,4.995547908005672e-16,0.0,0.0,1.4404517216396009e-40,2.702748516198009e-23,2.3999395210350493e-08,2.9999496008460944e-12,6.763906875564483e-28,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.4999748004230472e-18,3.999925114094158e-24,2.702748516198009e-27,4.999906392617698e-21,1.4999748004230472e-18,1.2499671880742099e-10,1.1999995200000863e-06,6.249835940371049e-12,1.5618312920705926e-16,3.273462919626191e-39,7.496787203223302e-14,4.9955479080056725e-17,1.5619521041118277e-21,4.999906392617698e-21,1.8741975504847113e-15,2.5e-06,1.1935036682174087e-29,6.753979531512662e-36,5.999848802587623e-11,1.4404517216396008e-42,3.7336138705978076e-38,3.999925114094158e-24,8.108278032306277e-27,2.702714696663631e-26
0.03,0.0,0.0,0.0,3.3749210547101736e-20,0.0,3.3749210547101736e-20,1.3015012601635563e-22,0.0,4.216653813834082e-17,0.0,2.8106951307259164e-12,7.49970469525179e-08,0.0,0.05999996400000912,3.867756044081515e-37,0.0,1.6853622476837251e-15,0.0,0.0,2.4328188608906978e-39,1.301494407812755e-22,3.599863923532132e-08,6.749829903534946e-12,4.279637984657434e-27,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,3.374914951767473e-18,1.3499684218840695e-23,1.301494407812755e-26,1.6874605273550868e-20,3.374914951767473e-18,1.8749261738129477e-10,1.1999992800001824e-06,9.374630869064738e-12,3.5133689134073954e-16,3.867756044081515e-38,1.686416066585559e-13,1.6853622476837253e-16,5.270817267292602e-21,1.6874605273550868e-20,4.216042696088875e-15,2.5e-06,8.620773088269673e-29,7.316207989412642e-35,8.99965980883033e-11,2.432818860890698e-41,5.315176433906639e-37,1.3499684218840695e-23,3.9045037804906684e-26,1.3014730096228318e-25
0.04,0.0,0.0,0.0,7.999760426624973e-20,0.0,7.999760426624973e-20,4.051967421719937e-22,0.0,9.993483466657985e-17,0.0,4.995723392334851e-12,9.999475018374507e-08,0.0,0.05999995200001521,2.5644261275716994e-36,0.0,3.993349508202971e-15,0.0,0.0,2.1187441110640105e-38,4.05194027063762e-22,4.7997580884688666e-08,1.1999596810783009e-11,1.6953565316106916e-26,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,5.999798405391504e-18,3.1999041706499895e-23,4.05194027063762e-26,3.9998802133124866e-20,5.999798405391504e-18,2.499868754593627e-10,1.1999990400003044e-06,1.2499343772968133e-11,6.244654240418565e-16,2.5644261275716994e-37,2.9974316374544426e-13,3.9933495082029713e-16,1.2491854333322481e-20,3.9998802133124866e-20,7.493585088502278e-15,2.5e-06,3.578493288189358e-28,4.048474558873593e-34,1.1999395221172166e-10,2.1187441110640104e-40,3.743221448693466e-36,3.1999041706499895e-23,1.215590226515981e-25,4.0518555028110398e-25
0.05,0.0,0.0,0.0,1.56244185602986e-19,0.0,1.56244185602986e-19,9.905803524184705e-22,0.0,1.9515332944113023e-16,0.0,7.804150545341661e-12,1.249917972338747e-07,0.0,0.0599999400000222,5.614913536280691e-35,0.0,7.796252781864895e-15,0.0,0.0,1.7673095612214087e-36,9.905708899032812e-22,5.999622016738955e-08,1.8749212526584332e-11,5.902607703403744e-26,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,9.374606263292166e-18,6.249767424119441e-23,9.905708899032812e-26,7.8122092801493e-20,9.374606263292166e-18,3.124794930846868e-10,1.199998800000444e-06,1.562397465423434e-11,9.755188181677076e-16,5.614913536280691e-36,4.682485644716401e-13,7.796252781864896e-16,2.4394166180141278e-20,7.8122092801493e-20,1.1706225818012493e-14,2.5e-06,1.093521369317614e-27,1.5461128701276533e-33,1.4999055041847386e-10,1.7673095612214088e-38,2.0363141317759396e-35,6.249767424119441e-23,2.971741057255411e-25,9.905413768647641e-25
0.06,0.0,0.0,0.0,2.699877852072787e-19,0.0,2.699877852072787e-19,2.0865294172647537e-21,0.0,3.3716510694344123e-16,0.0,1.1235578321299374e-11,1.4998818812013108e-07,0.0,0.05999992800002972,4.113946940714952e-34,0.0,1.3465814822861679e-14,0.0,0.0,1.4280721741223976e-35,2.0864982566647864e-21,7.199455709296467e-08,2.6998639257564604e-11,1.941169777178499e-25,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.3499319628782302e-17,1.079951140829115e-22,2.0864982566647865e-25,1.3499389260363935e-19,1.3499319628782302e-17,3.749704703003277e-10,1.1999985600005944e-06,1.8748523515016385e-11,1.4044472901624218e-15,4.113946940714952e-35,6.741338903166572e-13,1.346581482286168e-15,4.214563836793016e-20,1.3499389260363935e-19,1.6853367481949062e-14,2.5e-06,2.7639839286943655e-27,4.688602916002363e-33,1.7998639273241167e-10,1.4280721741223975e-37,9.643245429518203e-35,1.079951140829115e-22,6.259588251794261e-25,2.0864011981759276e-24
0.07,0.0,0.0,0.0,4.287272535200275e-19,0.0,4.287272535200275e-19,3.889883833920187e-21,0.0,5.353136848641731e-16,0.0,1.5289608407455844e-11,1.7498392285973832e-07,0.0,0.059999916000037394,1.188721341605789e-33,0.0,2.137382218333558e-14,0.0,0.0,4.178088667146219e-35,3.889809522558918e-21,8.39925916709283e-08,3.674783920969049e-11,4.626882493502603e-25,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.8373919604845244e-17,1.7149090140801102e-22,3.889809522558918e-25,2.1436362676001376e-19,1.8373919604845244e-17,4.374598071493458e-10,1.199998320000748e-06,2.187299035746729e-11,1.9112010509319806e-15,1.1887213416057892e-34,9.173752201208161e-13,2.137382218333558e-15,6.691421060802163e-20,2.1436362676001376e-19,2.2934412611183767e-14,2.5e-06,6.011559365470027e-27,1.1894732875903728e-32,2.0998147917732076e-10,4.178088667146219e-37,3.128513984005924e-34,1.7149090140801102e-22,1.166965150176056e-24,3.889578178434243e-24
0.08,0.0,0.0,0.0,6.399612452422735e-19,0.0,6.399612452422735e-19,6.631000133613069e-21,0.0,7.989371975539908e-16,0.0,1.996584304683813e-11,1.9997900146992024e-07,0.0,0.05999990400004485,2.4958210696645494e-33,0.0,3.1891511841738374e-14,0.0,0.0,8.794303840398403e-35,6.630854368504044e-21,9.599032391112904e-08,4.799677458982835e-11,9.073880159062216e-25,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,2.3998387294914172e-17,2.559844980969094e-22,6.630854368504044e-25,3.1998062262113674e-19,2.3998387294914172e-17,4.999475036748006e-10,1.1999980800008972e-06,2.499737518374003e-11,2.4957303808547662e-15,2.4958210696645498e-34,1.1979486660902508e-12,3.1891511841738378e-15,9.986714969424885e-20,3.1998062262113674e-19,2.9948764570257195e-14,2.5e-06,1.1711560598980197e-26,2.6478119517598543e-32,2.399758097778226e-10,8.794303840398404e-37,8.0135124439531e-34,2.559844980969094e-22,1.9893000400839206e-24,6.630400674496092e-24
0.09,0.0,0.0,0.0,9.111881844185024e-19,0.0,9.111881844185024e-19,1.0579730234397979e-20,0.0,1.1373674579410167e-15,0.0,2.5263885135016858e-11,2.2497342396790014e-07,0.0,0.059999892000051715,4.451606803747773e-33,0.0,4.538947552146193e-14,0.0,0.0,1.5677603432981588e-34,1.0579476712739694e-20,1.0798775382380775e-07,6.074540760601821e-11,1.5780270997886986e-24,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,3.0372703803009106e-17,3.64475273767401e-22,1.0579476712739694e-24,4.555940922092512e-19,3.0372703803009106e-17,5.624335599197504e-10,1.1999978400010344e-06,2.812167799598752e-11,3.1579856418771074e-15,4.451606803747774e-34,1.5158303796027234e-12,4.538947552146194e-15,1.421709322426271e-19,4.555940922092512e-19,3.789582770252529e-14,2.5e-06,2.1021152253856752e-26,5.345573689184828e-32,2.6996938455951934e-10,1.567760343298159e-36,1.7637853487761337e-33,3.64475273767401e-22,3.1739190703193935e-24,1.05786876991898e-23
