s121,s122,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s139,s150,s152,s153,s154,s159,s160,s161,s164,s167,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.2499578993895663e-21,0.0,1.2499578993895663e-21,2.179358537069142e-24,0.0,1.5621127534381055e-18,0.0,3.1243311068015877e-13,2.4999671877871018e-08,0.0,0.05999998800000115,1.1014477287065594e-39,0.0,6.246274457641879e-17,0.0,0.0,2.8239635227367908e-42,2.179351642414547e-24,1.1999848801281824e-08,7.499937002040547e-13,4.307473767366723e-29,0.01
0.0,0.0,0.0,9.999812785235395e-21,0.0,9.999812785235395e-21,2.7027593441020924e-23,0.0,1.2495616832894622e-17,0.0,1.249465033656474e-12,4.999868752296839e-08,0.0,0.059999976000004306,3.2734629196261904e-38,0.0,4.995547908005672e-16,0.0,0.0,1.4404517216396009e-40,2.702748516198009e-23,2.3999395210350493e-08,2.9999496008460944e-12,6.763906875564483e-28,0.02
0.0,0.0,0.0,3.3749210547101736e-20,0.0,3.3749210547101736e-20,1.3015012601635563e-22,0.0,4.216653813834082e-17,0.0,2.8106951307259164e-12,7.49970469525179e-08,0.0,0.05999996400000912,3.867756044081515e-37,0.0,1.6853622476837251e-15,0.0,0.0,2.4328188608906978e-39,1.301494407812755e-22,3.599863923532132e-08,6.749829903534946e-12,4.279637984657434e-27,0.03
0.0,0.0,0.0,7.999760426624973e-20,0.0,7.999760426624973e-20,4.051967421719937e-22,0.0,9.993483466657985e-17,0.0,4.995723392334851e-12,9.999475018374507e-08,0.0,0.05999995200001521,2.5644261275716994e-36,0.0,3.993349508202971e-15,0.0,0.0,2.1187441110640105e-38,4.05194027063762e-22,4.7997580884688666e-08,1.1999596810783009e-11,1.6953565316106916e-26,0.04
0.0,0.0,0.0,1.56244185602986e-19,0.0,1.56244185602986e-19,9.905803524184705e-22,0.0,1.9515332944113023e-16,0.0,7.804150545341661e-12,1.249917972338747e-07,0.0,0.0599999400000222,5.614913536280691e-35,0.0,7.796252781864895e-15,0.0,0.0,1.7673095612214087e-36,9.905708899032812e-22,5.999622016738955e-08,1.8749212526584332e-11,5.902607703403744e-26,0.05
0.0,0.0,0.0,2.699877852072787e-19,0.0,2.699877852072787e-19,2.0865294172647537e-21,0.0,3.3716510694344123e-16,0.0,1.1235578321299374e-11,1.4998818812013108e-07,0.0,0.05999992800002972,4.113946940714952e-34,0.0,1.3465814822861679e-14,0.0,0.0,1.4280721741223976e-35,2.0864982566647864e-21,7.199455709296467e-08,2.6998639257564604e-11,1.941169777178499e-25,0.06
0.0,0.0,0.0,4.287272535200275e-19,0.0,4.287272535200275e-19,3.889883833920187e-21,0.0,5.353136848641731e-16,0.0,1.5289608407455844e-11,1.7498392285973832e-07,0.0,0.059999916000037394,1.188721341605789e-33,0.0,2.137382218333558e-14,0.0,0.0,4.178088667146219e-35,3.889809522558918e-21,8.39925916709283e-08,3.674783920969049e-11,4.626882493502603e-25,0.07
0.0,0.0,0.0,6.399612452422735e-19,0.0,6.399612452422735e-19,6.631000133613069e-21,0.0,7.989371975539908e-16,0.0,1.996584304683813e-11,1.9997900146992024e-07,0.0,0.05999990400004485,2.4958210696645494e-33,0.0,3.1891511841738374e-14,0.0,0.0,8.794303840398403e-35,6.630854368504044e-21,9.599032391112904e-08,4.799677458982835e-11,9.073880159062216e-25,0.08
0.0,0.0,0.0,9.111881844185024e-19,0.0,9.111881844185024e-19,1.0579730234397979e-20,0.0,1.1373674579410167e-15,0.0,2.5263885135016858e-11,2.2497342396790014e-07,0.0,0.059999892000051715,4.451606803747773e-33,0.0,4.538947552146193e-14,0.0,0.0,1.5677603432981588e-34,1.0579476712739694e-20,1.0798775382380775e-07,6.074540760601821e-11,1.5780270997886986e-24,0.09
0.0,0.0,0.0,1.2499062644366455e-18,0.0,1.2499062644366455e-18,1.604542144115585e-20,0.0,1.5599299575308246e-15,0.0,3.1183338220106154e-11,2.499671903709009e-07,0.0,0.05999988000005761,7.186212403156585e-33,0.0,6.223765969083838e-14,0.0,0.0,2.526223551789673e-34,1.604501471082645e-20,1.1998488141959764e-07,7.499370046747396e-11,2.531579021828634e-24,0.1
