value_component_environment_variable_time,value_component_V_variable_V,value_component_V_variable_C,value_component_V_variable_i_app,value_component_i_L_variable_i_L,value_component_i_L_variable_g_L,value_component_i_L_variable_E_L,value_component_i_Ca_variable_i_Ca,value_component_i_Ca_variable_E_Ca,value_component_i_Ca_variable_g_Ca,value_component_i_Ca_m_gate_variable_m,value_component_i_Ca_m_gate_variable_m_infinity,value_component_i_Ca_m_gate_variable_lambda_m,value_component_i_Ca_m_gate_variable_lambda_m_bar,value_component_i_Ca_m_gate_variable_V1,value_component_i_Ca_m_gate_variable_V2,value_component_i_K_variable_i_K,value_component_i_K_variable_E_K,value_component_i_K_variable_g_K,value_component_i_K_n_gate_variable_n,value_component_i_K_n_gate_variable_n_infinity,value_component_i_K_n_gate_variable_lambda_n,value_component_i_K_n_gate_variable_lambda_n_bar,value_component_i_K_n_gate_variable_V3,value_component_i_K_n_gate_variable_V4
0.0,-50.0,20.0,540.0,0.0,2.0,-50.0,-60.0,100.0,4.0,0.1,0.0012710162630813482,2.7416828266537956,1.0,0.0,15.0,16.0,-70.0,8.0,0.1,6.144174602207286e-06,1.0067661995777766,0.1,10.0,10.0
0.1,-47.134630423211284,20.0,540.0,5.7307391535774315,2.0,-50.0,-45.486047900183536,100.0,4.0,0.07728644128399541,0.0018612994176191444,2.510002552005827,1.0,0.0,15.0,16.654757379303838,-70.0,8.0,0.09104793453792757,1.0897937763487686e-05,0.8731001861161432,0.1,10.0,10.0
0.2,-44.36127040729711,20.0,540.0,11.277459185405775,2.0,-50.0,-35.363056882404216,100.0,4.0,0.06124055430973939,0.0026918367261600795,2.307604931089958,1.0,0.0,15.0,17.212781319932596,-70.0,8.0,0.08391982360951093,1.8977185587742973e-05,0.7608478373799272,0.1,10.0,10.0
0.30000000000000004,-41.660733203691805,20.0,540.0,16.67853359261639,2.0,-50.0,-28.16910123295579,100.0,4.0,0.04971226075833568,0.0038540684757650823,2.1295000058504847,1.0,0.0,15.0,17.718739478537557,-70.0,8.0,0.0781545426258426,3.256803704476674e-05,0.6656409272925344,0.1,10.0,10.0
0.4,-39.01995668381709,20.0,540.0,21.960086632365815,2.0,-50.0,-22.999411138455574,100.0,4.0,0.041359909194125195,0.005471799633923247,1.9720444692058514,1.0,0.0,15.0,18.198868325158013,-70.0,8.0,0.07342980503376004,5.522766426768744e-05,0.5843061630785586,0.1,10.0,10.0
0.5,-36.429729490564,20.0,540.0,27.140541018872,2.0,-50.0,-19.282632153543712,100.0,4.0,0.035334366317272096,0.007711529881443191,1.83246407252856,1.0,0.0,15.0,18.668950692747302,-70.0,8.0,0.0695144483848432,9.270959247947852e-05,0.5144469523684473,0.1,10.0,10.0
0.6000000000000001,-33.883272642922456,20.0,540.0,32.23345471415509,2.0,-50.0,-16.653078558190266,100.0,4.0,0.031096264360457815,0.01079552155454272,1.7085721662952027,1.0,0.0,15.0,19.13853648396797,-70.0,8.0,0.06623847827749517,0.00015426960412068258,0.4541972674861485,0.1,10.0,10.0
0.7000000000000001,-31.37537640508605,20.0,540.0,37.2492471898279,2.0,-50.0,-14.879161559809983,100.0,4.0,0.028314212995917916,0.01501785746847717,1.5985995858177242,1.0,0.0,15.0,19.61349980213406,-70.0,8.0,0.0634747279605747,0.000254723978213689,0.40207067373356636,0.1,10.0,10.0
0.8,-28.9018196106394,20.0,540.0,42.1963607787212,2.0,-50.0,-13.820308561137775,100.0,4.0,0.026803943890946175,0.02076351221505618,1.50108557597267,1.0,0.0,15.0,20.09755859145693,-70.0,8.0,0.061126667899449566,0.0004176855442939442,0.35686211916006905,0.1,10.0,10.0
0.9,-26.458966075641204,20.0,540.0,47.08206784871759,2.0,-50.0,-13.401079282351912,100.0,4.0,0.02649294015723662,0.028529780479094824,1.414805759015473,1.0,0.0,15.0,20.593238034359832,-70.0,8.0,0.05912020276704733,0.0006806419990991741,0.31758152838061715,0.1,10.0,10.0
1.0,-24.043472639405408,20.0,540.0,51.913054721189184,2.0,-50.0,-13.595824829488643,100.0,4.0,0.02740133063875866,0.03894817752729929,1.3387232946697851,1.0,0.0,15.0,21.102562252395337,-70.0,8.0,0.05739816372224885,0.0011029156089062409,0.28340727740108673,0.1,10.0,10.0
