data_set_T,data_set_M,data_set_V,data_set_W,data_set_Z
0.0,0.0,-70.0,2.4999999e-05,0.0
10.0,0.012858006,-69.936653,6.2225049e-06,8.350225e-10
20.0,0.01285801,-69.936653,6.2225122e-06,1.6440574e-09
30.0,0.01285801,-69.936653,6.2225122e-06,2.4265669e-09
40.0,0.01285801,-69.936653,6.2225122e-06,3.1834206e-09
50.0,0.01285801,-69.936653,6.2225122e-06,3.91546e-09
60.0,0.01285801,-69.936653,6.2225122e-06,4.623498e-09
70.0,0.01285801,-69.936653,6.2225122e-06,5.3083218e-09
80.0,0.01285801,-69.936653,6.2225122e-06,5.9706924e-09
90.0,0.01285801,-69.936653,6.2225122e-06,6.6113466e-09
100.0,0.01285801,-69.936653,6.2225122e-06,7.2309954e-09
110.0,0.01285801,-69.936653,6.2225122e-06,7.8303284e-09
120.0,0.01285801,-69.936653,6.2225122e-06,8.4100114e-09
130.0,0.01285801,-69.936653,6.2225122e-06,8.9706882e-09
140.0,0.01285801,-69.936653,6.2225122e-06,9.5129824e-09
150.0,0.01285801,-69.936653,6.2225122e-06,1.0037497e-08
160.0,0.01285801,-69.936653,6.2225122e-06,1.0544814e-08
170.0,0.01285801,-69.936653,6.2225122e-06,1.1035498e-08
180.0,0.01285801,-69.936653,6.2225122e-06,1.1510094e-08
190.0,0.01285801,-69.936653,6.2225122e-06,1.1969131e-08
200.0,0.01285801,-69.936653,6.2225122e-06,1.2413116e-08
210.0,0.01285801,-69.936653,6.2225122e-06,1.2842545e-08
220.0,0.01285801,-69.936653,6.2225117e-06,1.3257894e-08
230.0,0.01285801,-69.936653,6.2225117e-06,1.3659625e-08
240.0,0.01285801,-69.936653,6.2225117e-06,1.4048186e-08
250.0,0.01285801,-69.936653,6.2225117e-06,1.4424006e-08
260.0,0.01285801,-69.936653,6.2225117e-06,1.4787505e-08
270.0,0.01285801,-69.936653,6.2225117e-06,1.5139085e-08
280.0,0.01285801,-69.936653,6.2225117e-06,1.547914e-08
290.0,0.01285801,-69.936653,6.2225117e-06,1.5808043e-08
300.0,0.01285801,-69.936653,6.2225117e-06,1.6126164e-08
310.0,0.01285801,-69.936653,6.2225117e-06,1.6433855e-08
320.0,0.01285801,-69.936653,6.2225117e-06,1.6731457e-08
330.0,0.01285801,-69.936653,6.2225117e-06,1.7019303e-08
340.0,0.01285801,-69.936653,6.2225117e-06,1.729771e-08
350.0,0.01285801,-69.936653,6.2225117e-06,1.756699e-08
360.0,0.01285801,-69.936653,6.2225117e-06,1.7827441e-08
370.0,0.01285801,-69.936653,6.2225117e-06,1.8079353e-08
380.0,0.01285801,-69.936653,6.2225117e-06,1.8323005e-08
390.0,0.01285801,-69.936653,6.2225117e-06,1.8558669e-08
400.0,0.01285801,-69.936653,6.2225117e-06,1.8786606e-08
410.0,0.01285801,-69.936653,6.2225117e-06,1.900707e-08
420.0,0.01285801,-69.936653,6.2225117e-06,1.9220305e-08
