Time,agonist,DR,DRG_GDP,DRG,GDP,DRG_GTP,GTP,Recptor,G_GDP,G_GTP,cell,Forming,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
0.0,1e-08,0.0,0.0,0.0,0.0,0.0,1e-05,1e-09,1e-09,0.0,1.0,5.000000000000001e-11,0.0,0.0,0.0,0.0,0.0
0.01,9.999502298143675e-09,4.97288387542241e-13,4.1324958843125763e-16,1.9849541645624457e-19,3.9794402717691773e-19,1.993451563297498e-19,9.999999999999801e-06,9.995022981436762e-10,9.999995863524676e-10,1.0334597228314962e-22,1.0,4.9723983442666754e-11,4.968749322516954e-14,4.1324958843125757e-17,1.9829607129991088e-17,9.96725781648749e-21,1.0334597228314963e-23
0.02,9.999006856379571e-09,9.919100164175772e-13,1.2324710218719132e-15,6.615785233656884e-19,1.3934316909983467e-18,7.314536952461758e-19,9.999999999999269e-06,9.99006856379573e-10,9.999987661355468e-10,3.9903863399505834e-22,1.0,4.944942702433898e-11,9.906763215131952e-14,1.2324710218719122e-16,6.608470696703939e-17,3.657268476230879e-20,3.9903863399505837e-23
0.03,9.998514023231956e-09,1.4834550033329496e-12,2.5190851560459418e-15,1.5305820133459864e-18,3.649348546924123e-18,2.117383779854259e-18,9.999999999997882e-06,9.985140232319574e-10,9.99997477265497e-10,1.3810171018391298e-21,1.0,4.917655481672596e-11,1.4809321758137832e-13,2.5190851560459365e-16,1.528464629565808e-16,1.0586918899271296e-19,1.38101710183913e-22
0.04,9.998023710382861e-09,1.972027268933711e-12,4.256815224396253e-15,2.80055949215575e-18,7.335472059904948e-18,4.531557098313649e-18,9.999999999995464e-06,9.980237103828633e-10,9.99995735849308e-10,3.3507833806635685e-21,1.0,4.890530996519387e-11,1.9677620446878717e-13,4.256815224396232e-16,2.796027935056166e-16,2.2657785491568246e-19,3.3507833806635685e-22
0.05,9.997536055204835e-09,2.4574647811438786e-12,6.469295914048865e-15,4.531902721443051e-18,1.2981536522921383e-17,8.442675742227649e-18,9.99999999999155e-06,9.975360552048372e-10,9.999935177225597e-10,6.94749326831872e-21,1.0,4.863578100081386e-11,2.4509795552613186e-13,6.469295914048806e-16,4.523460045696993e-16,4.221337871113825e-19,6.9474932683187195e-22
0.06,9.99705106743664e-09,2.9397578092587795e-12,9.155516604871358e-15,6.747859804067194e-18,2.1907633383379892e-17,1.5144433329813912e-17,9.999999999984839e-06,9.970510674366423e-10,9.999908225757907e-10,1.5310937560811958e-20,1.0,4.836797328540225e-11,2.93057531324942e-13,9.15551660487121e-16,6.73271537072715e-16,7.572216664906957e-19,1.531093756081196e-21
0.07,9.996568727855883e-09,3.4189284533137338e-12,1.2313046424643075e-14,9.433792665507774e-18,3.3621235565311035e-17,2.4160043198890326e-17,9.999999999975811e-06,9.965687278558845e-10,9.99987653332397e-10,2.7342168224549145e-20,1.0,4.8101874673559405e-11,3.406573194515919e-13,1.231304642464276e-15,9.409632622286064e-16,1.2080021599445164e-18,2.7342168224549148e-21
0.08,9.996089014357266e-09,3.895003528008886e-12,1.5936407825085372e-14,1.2586157660901355e-17,4.8832342124153576e-17,3.6199835669850447e-17,9.999999999963753e-06,9.96089014357268e-10,9.999840147599457e-10,4.623555662032964e-20,1.0,4.7837470504688767e-11,3.879004857617393e-13,1.5936407825084758e-15,1.2549957825185884e-15,1.8099917834925224e-18,4.623555662032964e-21
0.09,9.995611843591159e-09,4.368085368387091e-12,2.000259454136757e-14,1.6203251163890973e-17,7.133772210526784e-17,5.504624095986804e-17,9.999999999944864e-06,9.956118435911612e-10,9.999799260680197e-10,8.794643648110702e-20,1.0,4.757470499290365e-11,4.347995089197154e-13,2.0002594541366414e-15,1.6148204922841765e-15,2.7523120479934022e-18,8.794643648110702e-21
