DR,DRG,DRG_GDP,DRG_GTP,GDP,GTP,G_GDP,G_GTP,Recptor,agonist,Time
0.0,0.0,0.0,0.0,0.0,1e-05,1e-09,0.0,1e-09,1e-08,0.0
4.97288387542241e-13,1.9849541645624457e-19,4.1324958843125763e-16,1.993451563297498e-19,3.9794402717691773e-19,9.999999999999801e-06,9.999995863524676e-10,1.0334597228314962e-22,9.995022981436762e-10,9.999502298143675e-09,0.01
9.919100164175772e-13,6.615785233656884e-19,1.2324710218719132e-15,7.314536952461758e-19,1.3934316909983467e-18,9.999999999999269e-06,9.999987661355468e-10,3.9903863399505834e-22,9.99006856379573e-10,9.999006856379571e-09,0.02
1.4834550033329496e-12,1.5305820133459864e-18,2.5190851560459418e-15,2.117383779854259e-18,3.649348546924123e-18,9.999999999997882e-06,9.99997477265497e-10,1.3810171018391298e-21,9.985140232319574e-10,9.998514023231956e-09,0.03
1.972027268933711e-12,2.80055949215575e-18,4.256815224396253e-15,4.531557098313649e-18,7.335472059904948e-18,9.999999999995464e-06,9.99995735849308e-10,3.3507833806635685e-21,9.980237103828633e-10,9.998023710382861e-09,0.04
2.4574647811438786e-12,4.531902721443051e-18,6.469295914048865e-15,8.442675742227649e-18,1.2981536522921383e-17,9.99999999999155e-06,9.999935177225597e-10,6.94749326831872e-21,9.975360552048372e-10,9.997536055204835e-09,0.05
2.9397578092587795e-12,6.747859804067194e-18,9.155516604871358e-15,1.5144433329813912e-17,2.1907633383379892e-17,9.999999999984839e-06,9.999908225757907e-10,1.5310937560811958e-20,9.970510674366423e-10,9.99705106743664e-09,0.06
3.4189284533137338e-12,9.433792665507774e-18,1.2313046424643075e-14,2.4160043198890326e-17,3.3621235565311035e-17,9.999999999975811e-06,9.99987653332397e-10,2.7342168224549145e-20,9.965687278558845e-10,9.996568727855883e-09,0.07
3.895003528008886e-12,1.2586157660901355e-17,1.5936407825085372e-14,3.6199835669850447e-17,4.8832342124153576e-17,9.999999999963753e-06,9.999840147599457e-10,4.623555662032964e-20,9.96089014357268e-10,9.996089014357266e-09,0.08
4.368085368387091e-12,1.6203251163890973e-17,2.000259454136757e-14,5.504624095986804e-17,7.133772210526784e-17,9.999999999944864e-06,9.999799260680197e-10,8.794643648110702e-20,9.956118435911612e-10,9.995611843591159e-09,0.09
4.838091911144866e-12,2.028643932631336e-17,2.4530055484441315e-14,7.766609750312786e-17,9.8092715519852e-17,9.999999999922192e-06,9.999753718522983e-10,1.396800958704078e-19,9.951372823963116e-10,9.995137282396308e-09,0.1
5.30502315628221e-12,2.48357221481685e-17,2.951879065430659e-14,1.0405940529962981e-16,1.2909732236790596e-16,9.999999999895738e-06,9.999703521127813e-10,2.0143653478823183e-19,9.946653307727198e-10,9.994665330772717e-09,0.11
5.768879103799123e-12,2.9851099629456403e-17,3.496880005096341e-14,1.3422616434937394e-16,1.643515426494298e-16,9.999999999865499e-06,9.99964866849469e-10,2.7321575323457915e-19,9.941959887203852e-10,9.994195988720383e-09,0.12
6.229659753695607e-12,3.533257177017708e-17,4.088008367441178e-14,1.681663746523603e-16,2.038553763644235e-16,9.999999999831475e-06,9.99958916062361e-10,3.5501775120944986e-19,9.93729256239308e-10,9.993729256239305e-09,0.13
6.687533885820885e-12,4.1255156994151006e-17,4.721888817667696e-14,2.100455379539287e-16,2.517747502059105e-16,9.999999999789481e-06,9.99952529339067e-10,4.720611221978514e-19,9.932649947373877e-10,9.993264994737383e-09,0.14
7.142506569365419e-12,4.761810499635997e-17,5.398419979841147e-14,2.599887623273348e-16,3.0823478501016734e-16,9.999999999739384e-06,9.999457075682306e-10,6.251032898750121e-19,9.928032000521032e-10,9.9928032000521e-09,0.15
7.59449177247347e-12,5.4434149591699847e-17,6.11932235743232e-14,3.158727738929705e-16,3.7111199028975055e-16,9.999999999683322e-06,9.999384356682123e-10,8.01289624930772e-19,9.923439428277617e-10,9.992343942827757e-09,0.16
