value_component_environment_variable_time,value_component_EGF_variable_EGF,value_component_inhibitor_variable_inhibitor,value_component_pro_EGFR_variable_pro_EGFR,value_component_EGFR_variable_EGFR,value_component_EGF_EGFR_variable_EGF_EGFR,value_component_EGFR_i_variable_EGFR_i,value_component_EGF_EGFR_i_variable_EGF_EGFR_i,value_component_pEGFR_variable_pEGFR,value_component_pEGFR_Akt_variable_pEGFR_Akt,value_component_Akt_variable_Akt,value_component_pAkt_variable_pAkt,value_component_pAkt_S6_variable_pAkt_S6,value_component_S6_variable_S6,value_component_pS6_variable_pS6,value_component_pEGFR_total_variable_pEGFR_total,value_component_pEGFR_total_variable_pEGFR_scalefactor,value_component_pAkt_total_variable_pAkt_total,value_component_pAkt_total_variable_pAkt_scalefactor,value_component_pS6_total_variable_pS6_total,value_component_pS6_total_variable_pS6_scalefactor,value_component_model_parameters_variable_EGF_binding_kb,value_component_model_parameters_variable_EGF_binding_kf,value_component_model_parameters_variable_inhibitor_binding_kb,value_component_model_parameters_variable_inhibitor_binding_kf,value_component_model_parameters_variable_EGFR_turnover,value_component_model_parameters_variable_k1_S6_phosphorylation,value_component_model_parameters_variable_k1_pS6_dephosphorylation,value_component_model_parameters_variable_k1_pAkt_S6,value_component_model_parameters_variable_k2_pAkt_S6,value_component_model_parameters_variable_k1_Akt_phosphorylation,value_component_model_parameters_variable_k1_pAkt_dephosphorylation,value_component_model_parameters_variable_k1_pEGFR_Akt,value_component_model_parameters_variable_k2_pEGFR_Akt,value_component_model_parameters_variable_k1_pEGFR_degradation,value_component_model_parameters_variable_k1_EGFR_phosphorylation
0.0,30.0,15.0,0.000681902,68190.000000002,0.0,0.0,0.0,0.0,0.0,0.043309,0.0,0.0,3.54317,0.0,0.0,0.000181735,0.0,60.0588,0.0,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.1,30.0,15.0,0.000681902,66825.02721318409,1360.44998571538,2.440484566011842,0.04971620840674527,1.3100621602792566,2.9460646490684245e-08,0.04330897051657804,2.2775464875827088e-11,3.504662614788717e-18,3.54317,7.55179091748826e-23,0.00023808415205238133,0.000181735,1.367867300370155e-09,60.0588,3.767301520680029e-18,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.2,30.0,15.0,0.000681902,65492.84881075348,2685.5369304316505,4.783740507770967,0.1964102437757453,5.177461303423285,2.3333103074209146e-07,0.04330876631064014,3.5832901446408064e-10,1.0793985459074694e-16,3.54317,4.466668991380938e-21,0.0009409259723820457,0.000181735,2.1520817096633465e-08,60.0588,2.2282514263782776e-16,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.30000000000000004,30.0,15.0,0.000681902,64192.666058453135,3976.126520660429,7.033270316386251,0.43648804766404536,11.509950958411626,7.79726347629138e-07,0.04330821847829845,1.7953531078974738e-09,8.079666820540535e-16,3.543169999999999,4.968514405803199e-20,0.002091761079130505,0.000181735,1.0782680176210215e-07,60.0588,2.478603033507795e-15,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.4,30.0,15.0,0.000681902,62923.69976464766,5233.063255014379,9.19246317081848,0.7664712584403981,20.217845973988794,1.8300135020633883e-06,0.0433071643626975,5.623797050227399e-09,3.379847259989329e-15,3.5431699999999964,2.7777441083033827e-19,0.0036742905706603577,0.000181735,3.377587052697679e-07,60.0588,1.385710981356442e-14,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.5,30.0,15.0,0.000681902,61685.189726852965,6457.171044421213,11.26459876069545,1.182993333645474,31.21394747603935,3.5390123464745473e-06,0.0433054473756551,1.3611988181133333e-08,1.0228289602225512e-14,3.5431699999999897,1.0477632137559642e-18,0.005672667387720421,0.000181735,8.175202900718501e-07,60.0588,5.2268925234072776e-14,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.6000000000000001,30.0,15.0,0.000681902,60476.39429027523,7649.253690435667,13.25285046346624,1.6827962888157448,44.413481920071035,6.055156826914208e-06,0.043302916857441205,2.7985706627398954e-08,2.524203037782238e-14,3.5431699999999746,3.0952850145961816e-18,0.008071485237178036,0.000181735,1.6807894731996824e-06,60.0588,1.5441200729514802e-13,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.7000000000000001,30.0,15.0,0.000681902,59296.58985942321,8810.095414930862,15.160288813746888,2.2627271853996342,59.734034202279275,9.520666604509083e-06,0.043299427927165346,5.140617599352704e-08,5.413814849545923e-14,3.5431699999999458,7.742476057546452e-18,0.01085576643598957,0.000181735,3.0873964942322747e-06,60.0588,3.862427091019738e-13,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.8,30.0,15.0,0.000681902,58145.07047455283,9940.46131953491,16.98988452697468,2.9197350737056853,77.09548956903639,1.4071691447607109e-05,0.04329484135785636,8.695059124939884e-08,1.0476970111066313e-13,3.543169999999895,1.713580846745561e-17,0.014010951354147675,0.000181735,5.22215446207192e-06,60.0588,8.548403683691839e-13,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
0.9,30.0,15.0,0.000681902,57021.147365191864,11041.097869294152,18.744511618077986,3.6508677822692053,96.41997225227861,1.983846205086833e-05,0.04328902344599764,1.3809176404072601e-07,1.8743810476772953e-13,3.543169999999813,3.451522335584723e-17,0.017522887262610757,0.000181735,8.293636895476803e-06,60.0588,1.721833335374466e-12,49886.2,0.040749,0.00673816,5.25097e-05,2.434663e-05,0.000106386129269658,0.00121498,0.00113102,2.10189e-06,5.1794e-15,0.0305684,0.0327962,1.5543e-05,0.00517473,0.0997194,0.0192391
