Time,receptor,R_smad_cyt,R_smad_P_cyt,smad4_cyt,R_smad_P_smad4_cyt,R_smad_P_smad4_nuc,R_smad_nuc,R_smad_P_nuc,smad4_nuc,Pi,sum_R_smad_cyt,sum_R_smad_nuc,sum_smad4_cyt,sum_smad4_nuc,cytoplasm,nucleus,reaction_1,reaction_5,reaction_4,reaction_2,reaction_3,reaction_6,reaction_7,reaction_0
0.0,10000.0,162000.0,0.0,120000.0,0.0,0.0,18000.0,0.0,30000.0,0.0,162000.0,18000.0,120000.0,30000.0,1.0,1.0,12607.982261640798,10134.000000000015,22893.6,0.0,0.0,0.0,0.0,100.0
0.01,9999.000055553506,161972.54657480374,121.27025972241469,120223.23983397115,4.540337700857264,0.2562674854651952,17901.38652878212,3.150540040357607e-05,29771.963560842487,1.2160880415394373e-07,162098.35717222703,17901.642827772986,120227.78017167201,29772.21982832795,1.0,1.0,12605.352445279475,9594.262435428842,22713.93796616483,947.4865692825649,75.36960583423058,0.01247329150576656,6.019467541951882e-05,99.98888950614997
0.02,9998.00022220577,161939.88704017538,233.38519075915607,120435.56261774439,16.787828509934727,1.9326864819109768,17808.006779185172,0.00047488841653645623,29545.71686726372,3.702549714368712e-06,162190.06005944445,17809.9399405555,120452.35044625432,29547.649553745632,1.0,1.0,12602.463225659576,9086.921763193779,22535.731560857304,1826.3421547648097,278.6779532649165,0.09306772261743183,0.0009073286583121265,99.9777802467307
0.03,9997.000499944459,161902.33804502775,337.0051202179775,120637.64567868882,34.9534784641708,6.154457134453899,17719.546632731384,0.0022664242004230197,29321.246385712522,2.676695668188293e-05,162274.29664370988,17725.703356290036,120672.59915715299,29327.400842846975,1.0,1.0,12599.33036164603,8610.031222927078,22358.966820989823,2641.2131347186987,580.2277425052354,0.293229859950231,0.004330261900896455,99.966672221605
0.04,9996.000888757224,161860.1972094968,432.74546380491154,120830.12114389245,57.56341434750644,13.776285903715744,17635.710869093517,0.006757353439048835,29098.53915585632,0.00010744174023902611,162350.50608764924,17649.493912350674,120887.68455823995,29112.315441760038,1.0,1.0,12595.96865050989,8161.761164049793,22183.630456950355,3396.467862808664,955.5526781686069,0.6494786740992129,0.012910687884430604,99.95556543063574
0.05,9995.00138863173,161813.74426999557,521.1794388934607,121013.57866864302,83.40817757540246,25.430503018933276,17556.222036890205,0.01557362626184341,28877.582650762677,0.0003124928588497055,162418.33188646444,17581.668113535397,121096.98684621842,28903.01315378161,1.0,1.0,12592.391987855988,7740.392043684362,22009.709729564023,4096.208300600588,1384.575747751681,1.1864198186765373,0.029755144768940592,99.94445987368582
0.06,9994.001999555636,161763.24215572103,602.8406603573794,121188.56804598049,111.49988268182986,41.56740574889457,17480.819390062195,0.030505428253608798,28658.364665589146,0.0007414754404130809,162477.58269876023,17522.417301239344,121300.06792866232,28699.93207133804,1.0,1.0,12588.613423699157,7344.307832379229,21837.19234996778,4744.28191994026,1850.8980525183758,1.9192264238928611,0.05828391566043608,99.9333555506181
0.07,9993.002721516605,161708.93800065145,678.2256172663106,121355.60169566638,141.03603663193775,62.489038016876684,17409.257886346895,0.05342108598344681,28440.87322968532,0.0015290141466482666,162528.1996545497,17471.800345449756,121496.63773229832,28503.362267702196,1.0,1.0,12584.645214948872,6971.98980576625,21666.066398416144,5344.293723608296,2341.1982080901666,2.855675374298717,0.10206649361050381,99.92225246129553
0.08,9992.003554502298,161651.06409461942,747.7960294789721,121515.15703180882,171.36901702278436,88.37741324060258,17341.30724471364,0.08620092333014971,28225.096537929072,0.002845631631433838,162570.22914112118,17429.770858877575,121686.5260488316,28313.473951169675,1.0,1.0,12580.498874532053,6622.010702467058,21496.320258750377,5899.618252964318,2844.7256825782206,3.9978125003357445,0.16469514995213033,99.91115060558103
0.09,9991.004498500382,161589.8387776359,811.9810859694655,121667.67871116329,201.98029640505487,119.31809482470199,17276.751057980673,0.13068718043453462,28011.02289761074,0.0048974796236961465,162603.8001600104,17396.19983998581,121869.65900756835,28130.340992435442,1.0,1.0,12576.185217406724,6293.029224622194,21327.94256563473,6413.411488846274,3352.8729203239113,5.343312114460403,0.24968917924644926,99.9000499833375
0.1,9990.005553498522,161525.4672801714,871.179565028555,121813.58076238504,232.45874042513003,155.3198090546339,17215.3859581985,0.18864711656195068,27798.640688140218,0.007925236469834852,162629.10558562508,17370.8944143697,122046.03950281018,27953.960497194854,1.0,1.0,12571.714403640171,5983.784865921072,21160.922162424737,6888.622545961485,3858.815091057159,6.886579394425039,0.3604243240446801,99.88895059442793
0.11,9989.006719484383,161458.1425120356,925.7618373852628,121953.24859739662,262.48238128468523,196.33069011017042,17157.020832390128,0.26174678863766837,27587.938331213707,0.012202396137544633,162646.38673070556,17353.613269288937,122215.73097868131,27784.26902132388,1.0,1.0,12567.095978717038,5693.093052080381,20995.248067811273,7328.005080267536,4357.207529325775,8.619638139500976,0.5000825911387536,99.87785243871528
0.12,9988.007996445638,161388.04580516458,976.071760387638,122087.04091314967,291.802985082523,242.2518328220549,17101.476083613936,0.3515329241847894,27378.90426895055,0.018033155920904195,162655.92055063474,17344.079449360175,122378.8438982322,27621.156101772605,1.0,1.0,12562.338911371618,5419.840562438796,20830.909449249928,7734.128402295221,4843.929552369882,10.532849750720999,0.6716175316072713,99.86675551606254
0.13,9987.009384369952,161315.34761302138,1022.4284667021277,122215.29148731851,320.2330226640056,292.94854144150025,17048.582934775735,0.45942139031244456,27171.526948580664,0.025750024288178432,162658.00910238753,17341.990897607546,122535.52450998251,27464.475490022163,1.0,1.0,12557.451629104848,5162.981216656364,20667.89560204669,8109.388252786329,5315.868176222493,12.61549021990324,0.8777321257462871,99.85565982633273
0.14,9986.010883245,161240.2081624311,1065.1280347350958,122338.31085511512,347.6350255437609,348.2593060794818,16998.18277941878,0.5866917867422605,26965.794813266377,0.035711227398131776,162652.97122270998,17347.028777285006,122685.94588065888,27314.05411934586,1.0,1.0,12552.442051199261,4921.531852679036,20506.19593383765,8456.017062385603,5770.741424026432,14.856189970161964,1.1208683741925696,99.84456536938882
0.15,9985.012493058455,161162.7780707422,1104.4450698851633,122456.38789654216,373.91240349400294,408.00340371508645,16950.12656686987,0.7344852886648153,26761.696296253493,0.04829808207429824,162641.13554412138,17358.86445587362,122830.30030003616,27169.69969996858,1.0,1.0,12547.317619894791,4694.568517649503,20345.79995212067,8776.093897838866,6206.945898000449,17.243293061761058,1.4032031066066515,99.83347214509386
0.16,9984.01421379799,161083.19892467864,1140.6341860427626,122569.79132347088,399.00179654064846,471.9870616033934,16904.27422537445,0.9038057550922965,26559.219818389778,0.06391235930807347,162622.83490726206,17377.16509273294,122968.79312001153,27031.206879993173,1.0,1.0,12542.085329560388,4481.222894264094,20186.697254921546,9071.553948697128,6623.429822574765,19.76513332682938,1.726650039758135,99.82238015331092
0.17,9983.01604545128,161001.6038229487,1173.9313914505149,122678.7710706996,422.8667504964657,540.0083904774921,16860.494121220298,1.0955234014677695,26358.353788331195,0.08297368463633557,162598.4019648957,17401.598035099258,123101.63782119607,26898.362178808686,1.0,1.0,12536.751753978931,4280.678950150163,20028.87752404195,9344.197544245451,7019.588058241332,22.410240961995793,2.0928667464359756,99.81128939390305
0.18,9982.017988006004,160918.11788715175,1204.555389765005,122783.55960190104,445.4924109978481,611.861382552741,16818.66254938959,1.3103801378886144,26159.08660455321,0.1059170214891249,162568.16568791462,17431.834312080224,123229.05201289889,26770.947987105952,1.0,1.0,12531.323071984538,4092.169782596975,19872.330520143714,9595.698754846355,7395.174022564279,25.16749797987915,2.5032648189270064,99.80019986673331
0.19,9981.02004144984,160832.85874708352,1232.7088113838422,122884.37314559828,466.8809322237516,687.3392637691157,16778.663249709967,1.5489958245502877,25961.406658413758,0.13319025777445287,162532.4484906911,17467.55150930363,123351.25407782203,26648.745922182872,1.0,1.0,12525.805091768221,3914.974621259098,19717.04607900435,9827.613672071606,7750.223474914277,28.026259863520263,2.9590217974749584,99.7891115716648
0.2,9980.022205770465,160745.9369897951,1258.579346018144,122981.41283205114,487.0478846499989,766.2369446332212,16740.38695910699,1.8118757912653578,25765.302338670575,0.16525193947642247,162491.56422046325,17508.435779531475,123468.46071670114,26531.539283303795,1.0,1.0,12520.203273328505,3748.4160545177147,19563.014109403768,10041.388088148233,8084.994885189982,30.976429707016415,3.46109552574785,99.77802450856063
0.21,9979.024480955564,160657.45657926158,1282.3407943757418,123074.86574899715,506.0193498854807,848.3528644015752,16703.73099316701,2.0994189033327753,25570.76203672071,0.20256915997966257,162445.81672352282,17554.18327647192,123580.88509888263,26419.114901122284,1.0,1.0,12514.522749417316,3591.857437405997,19410.2245919798,10238.36470023626,8399.92120809898,34.00850219683526,4.0102395613685395,99.76693867728395
0.22,9978.026866992814,160567.51525403644,1304.154059334359,123164.90593670467,523.8294155509819,933.4904957438821,16668.598849686325,2.411925642773804,25377.77415200537,0.24561559735324626,162395.49872892178,17604.50127107298,123688.73535225565,26311.264647749253,1.0,1.0,12508.768345356797,3444.700435711493,19258.667578514785,10419.789989237228,8695.568298146301,37.113592580939866,4.607018626264875,99.75585407769785
