a,b,c,Time
0.010000000000000002,0.010000000000000002,0.010000000000000002,0.0
0.012436154827165043,0.010028112376316454,0.00017388120730869432,0.01
0.0149426023873912,0.010086391152256463,0.0002087027424688534,0.02
0.017520907131883607,0.010175384473317636,0.0002453117443477634,0.03
0.020173049482659428,0.010295638942988274,0.0002829866132143067,0.04
0.022901132728113255,0.010447742537319298,0.00032175871425746817,0.05
0.025707267904831518,0.010632292929734992,0.0003616596606306408,0.06
0.028593615347730677,0.010849909605942254,0.0004027218837914804,0.07
0.03156236909611672,0.011101227171086256,0.0004449783908304517,0.08
0.03461578034924036,0.01138690592702634,0.0004884631591493075,0.09
0.03775614375329621,0.011707625903852374,0.0005332108797835273,0.1
0.04098580363096352,0.012064089425134462,0.0005792570974466635,0.11
0.04430714857531702,0.012457018870897679,0.0006266381173509452,0.12
0.047722615176216315,0.01288715813225336,0.0006753910903849,0.13
0.05123469533625919,0.013355275627154954,0.0007255541267165484,0.14
0.05484592219688236,0.013862158597202157,0.0007771660463903602,0.15
0.058558879668035815,0.014408616942969762,0.0008302665607664706,0.16
0.062376221212844085,0.014995490742068943,0.0008848966768272443,0.17
0.06630063057129502,0.015623634528597318,0.0009410978550526735,0.18
0.07033485618028798,0.01629393096972981,0.0009989127590853584,0.19
0.07448171437784247,0.017007292037486337,0.0010583853362324052,0.2
0.07874405519114004,0.017764645723869713,0.0011195600396783788,0.21
0.0831248046314183,0.01856695220650059,0.0011824828005294798,0.22
0.08762694752121122,0.01941519735155097,0.0012472006304303448,0.23
0.09225351309194892,0.020310387353132675,0.001313761284693002,0.24
0.09700761806707657,0.02125356444262746,0.0013822143107928711,0.25
0.10189242446309156,0.022245791652821468,0.0014526100025078945,0.26
0.10691115443515199,0.0232881581378326,0.0015249997717061011,0.27
0.1120671231834528,0.02438179075405248,0.001599436985334557,0.28
0.11736368539053234,0.025527835257675706,0.0016759756000842372,0.29
0.12280427204437652,0.026727469223247,0.0017546711014973632,0.3
0.12839239542381164,0.027981903574172955,0.0018355806146327658,0.31
0.13413163377446602,0.029292377581280227,0.0019187625372900899,0.32
0.1400256439600464,0.030660163091874474,0.002004276847119833,0.33
0.146078153458803,0.03208656145455841,0.0020921849545680994,0.34
0.15229297300595962,0.03357290831464324,0.0021825499592883083,0.35
0.15867399694759707,0.03512057367229263,0.00227543667107852,0.36
0.16522519514457853,0.03673095875554925,0.0023709114391150753,0.37
0.17195062021405408,0.03840549869034137,0.002469042321581108,0.38
0.1788544153784267,0.04014566538710291,0.0025698992750543916,0.39
0.18594080928764764,0.0419529655082933,0.0026735541132124957,0.4
0.19321412019520978,0.04382894196238934,0.002780080645709481,0.41
0.2006787562105018,0.045775174014051,0.0028895544959617906,0.42
0.20833922059225662,0.04779327911920767,0.0030020534156981024,0.43
