Time,a,b,c,compartment,R1,R2,R3,R4,R5,R6,R7,R8
0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,1e-13,2.12e-14,2.9000000000000006e-15,7.600000000000003e-17,4.100840336134456e-17,1.2400000000000004e-15,1.1079037800687287e-15,1.3580000000000004e-14,9e-13
0.01,0.012436154827165043,0.010028112376316454,0.00017388120730869432,1e-13,2.12e-14,3.606484899877862e-15,9.363987402778232e-17,8.84959618301829e-19,1.5420831985684654e-15,1.1110172875569815e-15,1.6888298255290126e-14,1.6609340123186266e-14
0.02,0.0149426023873912,0.010086391152256463,0.0002087027424688534,1e-13,2.12e-14,4.333354692343448e-15,1.1178238919061133e-16,1.2735827651638726e-18,1.852882696036509e-15,1.117471770969104e-15,2.029205404207725e-14,1.9931201645807984e-14
0.03,0.017520907131883607,0.010175384473317636,0.0002453117443477634,1e-13,2.12e-14,5.0810630682462455e-15,1.3058375305667812e-16,1.7515060668705657e-18,2.172592484353567e-15,1.1273278978064073e-15,2.379339188509794e-14,2.3422024942038074e-14
0.04,0.020173049482659428,0.010295638942988274,0.0002829866132143067,1e-13,2.12e-14,5.850184349971234e-15,1.5020743155836617e-16,2.321204464169922e-18,2.501458135849769e-15,1.1406461420197405e-15,2.7395001197451502e-14,2.7012818226472557e-14
0.05,0.022901132728113255,0.010447742537319298,0.00032175871425746817,1e-13,2.12e-14,6.641328491152844e-15,1.708224873890294e-16,2.9893527778161885e-18,2.8397404582860437e-15,1.1574915354680552e-15,3.1099738244777807e-14,3.070642667358331e-14
0.06,0.025707267904831518,0.010632292929734992,0.0003616596606306408,1e-13,2.12e-14,7.45510769240114e-15,1.9260238761174185e-16,3.76299756370454e-18,3.187701220199108e-15,1.1779301583695795e-15,3.4910469814761207e-14,3.450570927838353e-14
0.07,0.028593615347730677,0.010849909605942254,0.0004027218837914804,1e-13,2.12e-14,8.292148450841896e-15,2.1572541120718336e-16,4.6495810929464294e-18,3.545608303118604e-15,1.2020304794607115e-15,3.883012964221826e-14,3.841359267253355e-14
0.08,0.03156236909611672,0.011101227171086256,0.0004449783908304517,1e-13,2.12e-14,9.153087037873848e-15,2.403743771341105e-16,5.656952884870783e-18,3.913733767918473e-15,1.2298626131084478e-15,4.2861697232526506e-14,4.243304744086028e-14
0.09,0.03461578034924036,0.01138690592702634,0.0004884631591493075,1e-13,2.12e-14,1.0038576301279703e-14,2.6673695116082473e-16,6.793394623460271e-18,4.2923567633058044e-15,1.261499488921471e-15,4.700822971426841e-14,4.656712506227491e-14
0.1,0.03775614375329621,0.011707625903852374,0.0005332108797835273,1e-13,2.12e-14,1.0949281688455901e-14,2.9500539261588473e-16,8.06763285475928e-18,4.6817618254087296e-15,1.2970161888514866e-15,5.1272843216976253e-14,5.081893283002506e-14
0.11,0.04098580363096352,0.012064089425134462,0.0005792570974466635,1e-13,2.12e-14,1.188588305297942e-14,3.2537658870649654e-16,9.488859721110787e-18,5.0822396502394765e-15,1.3364902292537633e-15,5.565872133084846e-14,5.5191646487414696e-14
0.12,0.04430714857531702,0.012457018870897679,0.0006266381173509452,1e-13,2.12e-14,1.2849073086841937e-14,3.580518920131371e-16,1.1066748668386149e-17,5.4940864233393105e-15,1.3800013110141271e-15,6.016910776528052e-14,5.968850066117276e-14
0.13,0.047722615176216315,0.01288715813225336,0.0006753910903849,1e-13,2.12e-14,1.3839558401102731e-14,3.932370967159032e-16,1.2811474844817178e-17,5.917604281850824e-15,1.4276314783694914e-15,6.480731140930176e-14,6.43127962083258e-14
0.14,0.05123469533625919,0.013355275627154954,0.0007255541267165484,1e-13,2.12e-14,1.4858061647515163e-14,4.3114249587589493e-16,1.4733738294795345e-17,6.35310222169614e-15,1.4794654504323202e-15,6.957671626663999e-14,6.90679101968511e-14
0.15,0.05484592219688236,0.013862158597202157,0.0007771660463903602,1e-13,2.12e-14,1.5905317437095883e-14,4.719825247337792e-16,1.6844774899538542e-17,6.800894352413413e-15,1.5355899871240277e-15,7.448076234336625e-14,7.395727143456184e-14
0.16,0.058558879668035815,0.014408616942969762,0.0008302665607664706,1e-13,2.12e-14,1.6982075103730384e-14,5.1597583222416415e-16,1.915638121542213e-17,7.261301078836441e-15,1.5960943111928388e-15,7.952295858919265e-14,7.898437683013727e-14
0.17,0.062376221212844085,0.014995490742068943,0.0008848966768272443,1e-13,2.12e-14,1.8089104151724785e-14,5.633455900502897e-16,2.1680950457564572e-17,7.734651430392667e-15,1.66107093772986e-15,8.470690840704227e-14,8.415282873104453e-14
0.18,0.06630063057129502,0.015623634528597318,0.0009410978550526735,1e-13,2.12e-14,1.9227182865675557e-14,6.143185697607718e-16,2.4431461629810563e-17,8.221278190840584e-15,1.7306139305822013e-15,9.003625631581864e-14,8.946625426448751e-14
0.19,0.07033485618028798,0.01629393096972981,0.0009989127590853584,1e-13,2.12e-14,2.0397108292283514e-14,6.691257515175864e-16,2.7421527785957225e-17,8.721522166355709e-15,1.8048204134472132e-15,9.551473469283108e-14,9.49283753044694e-14
0.2,0.07448171437784247,0.017007292037486337,0.0010583853362324052,1e-13,2.12e-14,2.1599697169574318e-14,7.280023315418125e-16,3.0665423389434266e-17,9.235732582852466e-15,1.883790696127515e-15,1.0114616812511008e-13,1.0054301494796424e-13
0.21,0.07874405519114004,0.017764645723869713,0.0011195600396783788,1e-13,2.12e-14,2.283577600543061e-14,7.91186829547364e-16,3.4178071569864174e-17,9.764262843701365e-15,1.9676268003001665e-15,1.0693442694956818e-13,1.0631402297064879e-13
0.22,0.0831248046314183,0.01856695220650059,0.0011824828005294798,1e-13,2.12e-14,2.4106193343111307e-14,8.589219499160896e-16,3.7975108943982236e-17,1.030747577429587e-14,2.0564342453560865e-15,1.1288348468946606e-13,1.1224536645517913e-13
0.23,0.08762694752121122,0.01941519735155097,0.0012472006304303448,1e-13,2.12e-14,2.5411814781151255e-14,9.314541084123932e-16,4.2072891862678377e-17,1.0865741492630192e-14,2.1503213251462145e-15,1.1899739473380485e-13,1.1834109101416e-13
0.24,0.09225351309194892,0.020310387353132675,0.001313761284693002,1e-13,2.12e-14,2.6753518796665182e-14,1.0090329572482838e-15,4.6488500289769463e-17,1.1439435623401666e-14,2.249398510534178e-15,1.2528027077886664e-13,1.2460528782989988e-13
0.25,0.09700761806707657,0.02125356444262746,0.0013822143107928711,1e-13,2.12e-14,2.8132209239452205e-14,1.0919123566711308e-15,5.123981582645913e-17,1.2028944640317495e-14,2.3537801837130497e-15,1.3173634533508999e-13,1.31042191021149e-13
0.26,0.10189242446309156,0.022245791652821468,0.0014526100025078945,1e-13,2.12e-14,2.954880309429655e-14,1.1803492425881578e-15,5.634549096288435e-17,1.2634660633423353e-14,2.4635829472578985e-15,1.3836991242087836e-13,1.3765607776811758e-13
0.27,0.10691115443515199,0.0232881581378326,0.0015249997717061011,1e-13,2.12e-14,3.100423478619408e-14,1.2746038765028381e-15,6.182498997365959e-17,1.3256983149958849e-14,2.5789262081475134e-15,1.4518534772293641e-13,1.4445130190422967e-13
0.28,0.1120671231834528,0.02438179075405248,0.001599436985334557,1e-13,2.12e-14,3.249946572320131e-14,1.374940649279577e-15,6.769866490712781e-17,1.3896323274748146e-14,2.6999334540577004e-15,1.521871532831289e-13,1.514323708803487e-13
