value_component_environment_variable_time,value_component_R_variable_R,value_component_O_variable_O,value_component_I_variable_I,value_component_RI_variable_RI,value_component_reaction_constants_variable_Ca,value_component_reaction_constants_variable_ki,value_component_reaction_constants_variable_ko,value_component_reaction_constants_variable_kim,value_component_reaction_constants_variable_kom
0.0,1.0,1.0,1.0,1.0,0.0001,0.5,35.0,0.005,0.06
0.1,1.0064796715567292,0.9945100757315498,0.9935263123197094,1.0054839403920122,0.0001,0.5,35.0,0.005,0.06
0.2,1.0129294020168733,0.9890495955281179,0.9870942290819628,1.0109267733730463,0.0001,0.5,35.0,0.005,0.06
0.30000000000000004,1.019349152568427,0.983618595915775,0.9807037671309021,1.0163284843848959,0.0001,0.5,35.0,0.005,0.06
0.4,1.0257390997585543,0.9782169005656928,0.9743546201908613,1.0216893794848918,0.0001,0.5,35.0,0.005,0.06
0.5,1.0320993720283365,0.9728443812411615,0.9680465668497475,1.0270096798807546,0.0001,0.5,35.0,0.005,0.06
0.6000000000000001,1.0384300971571454,0.9675009103525379,0.9617793866053527,1.0322896058849642,0.0001,0.5,35.0,0.005,0.06
0.7000000000000001,1.0447314476357463,0.9621863156831568,0.955552782507522,1.037529454173575,0.0001,0.5,35.0,0.005,0.06
0.8,1.051003606198494,0.9569004147978973,0.94936644077303,1.0427295382305788,0.0001,0.5,35.0,0.005,0.06
0.9,1.0572466419901534,0.9516431386661806,0.9432202428679383,1.047889976475728,0.0001,0.5,35.0,0.005,0.06
1.0,1.0634607405992675,0.9464143020054255,0.9371138705710719,1.0530110868242353,0.0001,0.5,35.0,0.005,0.06
