Time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,parameter_17,parameter_18,parameter_19,parameter_20,parameter_21,parameter_22,parameter_23,parameter_24,parameter_25,parameter_26,parameter_27,parameter_28,parameter_29,parameter_30,parameter_31,parameter_32,parameter_33,parameter_34,parameter_35,parameter_36,parameter_37,parameter_38,parameter_39,parameter_40,parameter_41,parameter_42,parameter_43,parameter_44,parameter_45,parameter_46,parameter_47,parameter_48,parameter_49,parameter_50,parameter_51,parameter_52,parameter_53,parameter_54,parameter_55,parameter_56,parameter_57,parameter_58,parameter_59,parameter_60,parameter_61,parameter_62,parameter_63,parameter_64,parameter_65,parameter_66,parameter_67,parameter_68,parameter_69,parameter_70,parameter_71,parameter_72,parameter_73,parameter_74,parameter_75,parameter_76,parameter_77,parameter_78,parameter_79,parameter_80,parameter_81,parameter_82,parameter_83,parameter_84,parameter_85,parameter_86,parameter_87,parameter_88,compartment_1,compartment_2,compartment_3,compartment_4,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16
0.0,180000.0,0.32800003371041336,0.006816695844052033,0.1213413038042935,0.00013068320070690195,0.0432876064599294,0.0454266559338921,0.034,0.04728505542602971,0.13104141886220197,0.00011608835708998218,0.006816695844052033,1800.0,0.02552786674847592,0.02552786674847592,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036687326,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999999999989,0.0007105395610531713,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.5,100.0,2.23,19.9,17.0,242026.12207773747,0.128378897200866,6.786886106004959e-05,3.4000000000000004,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.0,502026.12207773793,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403549781954,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999999999991,0.5000000000000009,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.500000000000004,50000.0,50.0,1.0,0.0001013171004697051,0.0001013171004697051,0.10783489825141605,0.10783489825141605,9.095013430000001e-05,9.095013430000001e-05,2504.085851307101,2504.0858513071016,7.117738999001271,7.117738999001271,0.015545666514108651,0.015545666514108651,7.764336426365707e-06,7.764336426365711e-06,6.753703482710298e-05,6.753703482710298e-05
0.01,180000.0000001753,0.3280000337107215,0.006816695844058441,0.12134130380440744,0.00013068320070708386,0.04328760645997007,0.04542665593393477,0.034000000000031866,0.047285055426074155,0.1310414188623251,0.00011608835709009215,0.006816695844058441,1800.0005008171665,0.025527866748475892,0.025527866748475948,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.634290366849,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999999920728,0.0007105395614227636,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999999944,99.99999999994458,2.230000000000001,19.9,17.000000000000583,242026.12207459268,0.128378897200866,6.786886106004959e-05,3.3999999999999924,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.00050081717,502026.1220782157,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403553477877,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.49999999999350225,0.5000000000064977,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.49999999997229,50000.0,49.99999999997229,1.0,0.00010131710052239032,0.00010131710046984613,0.10783489825154217,0.1078348982515174,9.09501342999998e-05,9.095013430000001e-05,2504.0858513073063,2504.0858442710987,7.117738999001187,7.117738999001255,0.015545666514126841,0.015545666514123266,7.764336426365768e-06,7.764336427168671e-06,6.753703482798047e-05,6.753703482709611e-05
0.02,180000.00000043004,0.3280000337111692,0.006816695844067753,0.12134130380457299,0.00013068320070735187,0.04328760646002916,0.045426655933996786,0.03400000000007816,0.04728505542613874,0.13104141886250398,0.000116088357090252,0.006816695844067753,1800.0010016343313,0.025527866748475847,0.025527866748475993,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036681376,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999999805533,0.0007105395619597226,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999999856,99.99999999986403,2.2300000000000035,19.9,17.000000000001435,242026.1220700222,0.128378897200866,6.786886106004959e-05,3.399999999999981,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.00100163434,502026.12207891006,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403558847467,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.49999999998406014,0.5000000000159399,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.49999999993202,50000.0,49.999999999932015,1.0,0.0001013171005989336,0.00010131710047005393,0.10783489825172698,0.10783489825166469,9.095013429999948e-05,9.095013430000001e-05,2504.0858513076046,2504.085837235792,7.117738999001064,7.11773899900123,0.0155456665141535,0.015545666514144501,7.76433642636586e-06,7.764336428335245e-06,6.753703482925573e-05,6.753703482708612e-05
0.03,180000.00000068475,0.32800003371161696,0.006816695844077065,0.12134130380473854,0.00013068320070761989,0.04328760646008825,0.0454266559340588,0.03400000000012446,0.04728505542620333,0.13104141886268286,0.00011608835709041184,0.006816695844077065,1800.0015024514964,0.025527866748475802,0.025527866748476038,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036677853,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.60999999996904,0.000710539562496465,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999999767,99.9999999997835,2.2300000000000053,19.9,17.000000000002284,242026.1220654541,0.128378897200866,6.786886106004959e-05,3.3999999999999693,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.0015024515,502026.12207960436,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.003606540356421489,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999999746229,0.500000000025377,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.49999999989175,50000.0,49.99999999989175,1.0,0.00010131710067544597,0.00010131710047026171,0.1078348982519118,0.107834898251812,9.095013429999918e-05,9.095013430000001e-05,2504.0858513079033,2504.0858302004854,7.117738999000942,7.117738999001206,0.015545666514180153,0.015545666514165737,7.764336426365951e-06,7.764336429501356e-06,6.753703483053033e-05,6.753703482707615e-05
0.04,180000.00000141474,0.3280000337128884,0.0068166958441049814,0.12134130380521024,0.00013068320071005533,0.04328760646025723,0.04542665593423612,0.03400000000026072,0.04728505542639546,0.13104141886319434,0.0001160883570908946,0.0068166958441049814,1800.0020032686505,0.02552786674847484,0.025527866748477,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036667775,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999999361034,0.0007105395640319944,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999997885,99.99999999955318,2.230000000000433,19.9,17.000000000004867,242026.12205238605,0.128378897200866,6.786886106004959e-05,3.4000000000003228,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.00200326866,502026.1220815914,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403579570183,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999999476258,0.5000000000523742,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.499999999776595,50000.0,49.99999999977659,1.0,0.00010131710089433048,0.00010131710047214989,0.1078348982531379,0.10783489825225015,9.095013430000864e-05,9.095013430000001e-05,2504.0858513088565,2504.0858231692664,7.117738999001921,7.117738999001947,0.015545666514359817,0.015545666514229398,7.764336426367933e-06,7.764336432837273e-06,6.75370348341744e-05,6.75370348270484e-05
0.05,180000.00000378658,0.32800003371700576,0.006816695844197169,0.1213413038067396,0.00013068320071997865,0.04328760646080581,0.04542665593481181,0.03400000000070775,0.04728505542702828,0.1310414188648549,0.00011608835709249306,0.006816695844197169,1800.0025040857672,0.025527866748470705,0.025527866748481134,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036635058,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999998291851,0.000710539569016619,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999989786,99.99999999880549,2.2300000000023306,19.9,17.000000000013436,242026.1220099647,0.128378897200866,6.786886106004959e-05,3.4000000000019384,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.00250408577,502026.1220880443,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.003606540362941643,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999998599878,0.5000000001400122,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.499999999402743,50000.0,49.999999999402746,1.0,0.00010131710160486629,0.00010131710047984331,0.10783489825796155,0.10783489825369333,9.095013430005185e-05,9.095013430000001e-05,2504.0858513120734,2504.0858161521714,7.117738999006698,7.117738999005328,0.015545666515068108,0.015545666514439638,7.764336426376444e-06,7.764336443666186e-06,6.753703484600109e-05,6.753703482695938e-05
0.06,180000.0000061584,0.32800003372112313,0.006816695844289359,0.12134130380826898,0.000130683200729902,0.04328760646135439,0.04542665593538751,0.03400000000115479,0.0472850554276611,0.13104141886651546,0.00011608835709409151,0.006816695844289359,1800.003004902884,0.02552786674846657,0.02552786674848527,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036602342,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999997222607,0.0007105395740012436,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999981687,99.99999999805777,2.230000000004228,19.9,17.000000000022,242026.12196754094,0.128378897200866,6.786886106004959e-05,3.4000000000035535,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.0030049029,502026.1220944972,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403679262677,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999997723448,0.5000000002276552,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.499999999028887,50000.0,49.99999999902889,1.0,0.0001013171023154021,0.00010131710048753675,0.10783489826278518,0.10783489825513647,9.095013430009507e-05,9.095013430000001e-05,2504.0858513152907,2504.085809135076,7.117738999011479,7.11773899900871,0.015545666515776395,0.015545666514649876,7.764336426384955e-06,7.764336454495099e-06,6.753703485782844e-05,6.753703482687035e-05
0.07,180000.00000853022,0.3280000337252405,0.006816695844381548,0.12134130380979834,0.00013068320073982535,0.043287606461902974,0.0454266559359632,0.03400000000160182,0.04728505542829392,0.13104141886817602,0.00011608835709568995,0.006816695844381548,1800.003505720001,0.025527866748462438,0.025527866748489402,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036569624,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999996153394,0.0007105395789860847,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999973593,99.99999999731008,2.230000000006126,19.9,17.000000000030564,242026.12192511838,0.128378897200866,6.786886106004959e-05,3.4000000000051687,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.00350572,502026.12210095,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403729111088,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999996847043,0.5000000003152957,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.499999998655035,50000.0,49.999999998655035,1.0,0.00010131710302596878,0.00010131710049523021,0.10783489826760884,0.10783489825657963,9.095013430013827e-05,9.095013430000001e-05,2504.0858513185076,2504.0858021179806,7.11773899901626,7.117738999012092,0.015545666516484686,0.015545666514860118,7.764336426393468e-06,7.764336465324476e-06,6.753703486965546e-05,6.753703482678132e-05
0.08,180000.00001090203,0.3280000337293579,0.006816695844473737,0.12134130381132771,0.00013068320074974867,0.04328760646245156,0.04542665593653889,0.03400000000204886,0.047285055428926734,0.13104141886983658,0.00011608835709728842,0.006816695844473737,1800.0040065371177,0.025527866748458302,0.025527866748493538,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.63429036536908,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.609999999508418,0.0007105395839707093,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999965494,99.99999999656237,2.2300000000080233,19.9,17.000000000039126,242026.12188269582,0.128378897200866,6.786886106004959e-05,3.400000000006784,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.0040065371,502026.1221074029,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403778957335,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999995970639,0.5000000004029361,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.49999999828118,50000.0,49.99999999828118,1.0,0.00010131710373650461,0.00010131710050292366,0.10783489827243248,0.10783489825802278,9.095013430018148e-05,9.095013430000001e-05,2504.085851321725,2504.085795100885,7.117738999021038,7.117738999015473,0.015545666517192974,0.015545666515070356,7.76433642640198e-06,7.764336476153386e-06,6.753703488148248e-05,6.753703482669228e-05
0.09,180000.00001327388,0.32800003373347525,0.006816695844565926,0.12134130381285707,0.000130683200759672,0.043287606463000144,0.045426655937114584,0.03400000000249589,0.047285055429559554,0.13104141887149715,0.00011608835709888687,0.006816695844565926,1800.0045073542344,0.025527866748454166,0.025527866748497673,8.314,303.15,6.022e+23,0.93,1e-09,10.0,0.013,0.61,14.3,0.41,260000.0,50.0,20.5,0.8,47.91198408405031,65.6342903650419,2.23,5.62907756305974e-05,502026.12207773793,322026.12207773793,0.6099999994014935,0.0007105395889555504,0.4,-0.0007105395610531713,42.6396538263077,1.78587,0.00042819413680910844,0.49999999999957395,99.99999999581465,2.230000000009922,19.9,17.00000000004769,242026.121840272,0.128378897200866,6.786886106004959e-05,3.400000000008399,0.38210178498049513,0.12158807536209039,7.096449650051117,0.13115750721929195,48.0003902091319,2.23,2.23,260000.00450735423,502026.1221138558,29.500000000000004,65.63429036687326,600.0,258200.0,1800.0,0.0454266559338921,0.034,180000.0,0.006816695844052033,-0.0036065403549781954,0.0036065403828805746,1.0,1.0,0.05105573349695184,0.05105573349695184,2.0,0.4999999995094209,0.5000000004905791,0.0026456200000000048,0.0032032709309365065,0.005291240000000018,0.001,600.0,1.0,0.0,1.0,0.607124,0.00940584,0.345701,0.075474,9.06781e-05,18.1824,0.506878,0.00226722,0.297524,2.0793,0.00459138,0.00529124,0.0811033,0.628719,680.818,46.8363,0.420741,29.499999997907327,50000.0,49.999999997907324,1.0,0.00010131710444707128,0.00010131710051061707,0.10783489827725612,0.10783489825946596,9.095013430022468e-05,9.095013430000001e-05,2504.0858513249423,2504.08578808379,7.117738999025819,7.117738999018854,0.015545666517901265,0.015545666515280597,7.764336426410492e-06,7.764336486982763e-06,6.753703489330984e-05,6.753703482660327e-05
