Time,aRel,a,b,k1,k2,k3,k4,Brain,Loss_of_intracellular_choline,Abeta_formation_from_APP,Effect_of_extracellular_ACh,Decrease_in_the_extracellular_concentration_of_beta_amyloid
0.0,1.0,50.0,0.0,0.007,0.33,0.0042,0.01,1.0,0.0,0.33,0.21,0.0
0.15,0.999990555024855,49.99952775124275,0.01798661270096533,0.007,0.33,0.0042,0.01,1.0,0.0062952549862494,0.33,0.20999801655521955,0.0001798661270096533
0.3,0.9999622384740239,49.998111923701195,0.03594685603645745,0.007,0.33,0.0042,0.01,1.0,0.012580924519911815,0.33,0.209992070079545,0.0003594685603645745
0.44999999999999996,0.9999150793948168,49.99575396974084,0.05388136402824096,0.007,0.33,0.0042,0.01,1.0,0.018856875936569855,0.33,0.2099821666729115,0.0005388136402824096
0.6,0.999849108316137,49.99245541580685,0.07179076162737744,0.007,0.33,0.0042,0.01,1.0,0.025122975149464388,0.33,0.20996831274638877,0.0007179076162737744
0.75,0.9997643552140516,49.98821776070258,0.08967567734947554,0.007,0.33,0.0042,0.01,1.0,0.031379091010288615,0.33,0.20995051459495084,0.0008967567734947554
0.8999999999999999,0.9996608490972207,49.983042454861035,0.1075367481104569,0.007,0.33,0.0042,0.01,1.0,0.037625096923838655,0.33,0.20992877831041634,0.001075367481104569
1.05,0.9995386191716704,49.97693095858352,0.12537460912439374,0.007,0.33,0.0042,0.01,1.0,0.04386086728918455,0.33,0.20990311002605078,0.0012537460912439376
1.2,0.9993977009107577,49.969885045537886,0.14318985398354253,0.007,0.33,0.0042,0.01,1.0,0.05008626380271483,0.33,0.2098735171912591,0.0014318985398354253
1.3499999999999999,0.9992381234153724,49.96190617076862,0.16098311860019746,0.007,0.33,0.0042,0.01,1.0,0.056301164266065476,0.33,0.2098400059172282,0.0016098311860019746
1.5,0.9990599160819804,49.95299580409902,0.1787550369237069,0.007,0.33,0.0042,0.01,1.0,0.06250544726588046,0.33,0.20980258237721586,0.001787550369237069
1.65,0.9988631092221477,49.94315546110739,0.19650623682617022,0.007,0.33,0.0042,0.01,1.0,0.06869899074420624,0.33,0.20976125293665102,0.001965062368261702
1.7999999999999998,0.9986477425586412,49.93238712793206,0.21423729178498327,0.007,0.33,0.0042,0.01,1.0,0.07488165573453266,0.33,0.20971602593731464,0.0021423729178498326
1.95,0.9984138447731497,49.92069223865748,0.23194883909258399,0.007,0.33,0.0042,0.01,1.0,0.08105332628018339,0.33,0.2096669074023614,0.00231948839092584
2.1,0.9981614469801322,49.90807234900661,0.2496415019805229,0.007,0.33,0.0042,0.01,1.0,0.08721388299511029,0.33,0.20961390386582773,0.002496415019805229
2.25,0.9978905809643226,49.89452904821613,0.26731589980631076,0.007,0.33,0.0042,0.01,1.0,0.09336320649555203,0.33,0.20955702200250773,0.0026731589980631076
2.4,0.9976012923649337,49.880064618246685,0.284972577088257,0.007,0.33,0.0042,0.01,1.0,0.09950115391713381,0.33,0.20949627139663607,0.00284972577088257
2.55,0.9972936087788823,49.86468043894411,0.3026121758056439,0.007,0.33,0.0042,0.01,1.0,0.10562761610437407,0.33,0.20943165784356527,0.0030261217580564393
2.6999999999999997,0.9969675638478936,49.848378192394684,0.32023530528487243,0.007,0.33,0.0042,0.01,1.0,0.11174247425878102,0.33,0.20936318840805765,0.0032023530528487243
2.85,0.9966231913311625,49.83115956655813,0.3378425742178007,0.007,0.33,0.0042,0.01,1.0,0.11784561056956788,0.33,0.20929087017954412,0.003378425742178007
3.0,0.9962605249944232,49.81302624972116,0.35543459126095667,0.007,0.33,0.0042,0.01,1.0,0.12393690837178663,0.33,0.20921471024882887,0.003554345912609567
3.15,0.995879598609951,49.79397993049755,0.3730119650355389,0.007,0.33,0.0042,0.01,1.0,0.13001625210570555,0.33,0.2091347157080897,0.003730119650355389
3.3,0.9954804538467193,49.77402269233597,0.3905752604283862,0.007,0.33,0.0042,0.01,1.0,0.13608351312939268,0.33,0.20905089530781107,0.003905752604283862
3.4499999999999997,0.9950631323392218,49.75315661696109,0.4081250425181989,0.007,0.33,0.0042,0.01,1.0,0.14213856411798298,0.33,0.2089632577912366,0.004081250425181989
3.5999999999999996,0.9946276637467109,49.731383187335545,0.42566194270851054,0.007,0.33,0.0042,0.01,1.0,0.14818130026771825,0.33,0.20887180938680927,0.004256619427085106
3.75,0.9941740843462915,49.708704217314576,0.443186555751289,0.007,0.33,0.0042,0.01,1.0,0.15421160589051855,0.33,0.20877655771272122,0.00443186555751289
3.9,0.9937024306158153,49.68512153079077,0.46069947528757316,0.007,0.33,0.0042,0.01,1.0,0.16022936593184228,0.33,0.2086775104293212,0.004606994752875732
4.05,0.9932127392338813,49.66063696169407,0.47820129384747334,0.007,0.33,0.0042,0.01,1.0,0.16623446593860233,0.33,0.20857467523911508,0.004782012938474733
4.2,0.9927050470798356,49.63525235399178,0.49569260285017114,0.007,0.33,0.0042,0.01,1.0,0.1722267920273269,0.33,0.20846805988676548,0.004956926028501712
4.35,0.9921794031015988,49.60897015507994,0.513173921474938,0.007,0.33,0.0042,0.01,1.0,0.17820620828370876,0.33,0.20835767465133573,0.00513173921474938
4.5,0.9916358396805773,49.58179198402887,0.5306458682835056,0.007,0.33,0.0042,0.01,1.0,0.18417261140892008,0.33,0.20824352633292123,0.005306458682835056
