Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
2.2,2.6103961207422772,0.9357388732615928,0.0,2.6103961207422772,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.817710208360604,0.9321678907454207,1.3313020215785614,0.009357388732615927,0.0,0.0
2.42,2.735029661767239,1.2344531334904005,0.0,2.735029661767239,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.5214066752459676,1.2299560850588886,1.394865127501292,0.012344531334904006,0.0,0.0
2.64,2.7561305959119857,1.5401886684094257,0.0,2.7561305959119857,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.4677854012250806,1.5346206425516242,1.4056266039151128,0.015401886684094257,0.0,0.0
2.86,2.7169220795113014,1.8439201049856233,1.7150710528684922e-17,2.7169220795113014,1.1102230246251565e-16,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.5666234094081501,1.8371581952162175,1.3856302605507638,0.018439201049856233,7.560618797697316e-16,3.121429316220656e-17
3.08,2.643240237995374,2.140484326393436,4.0119096986461634e-15,2.643240237995378,1.1879386363489175e-14,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.7430147545111434,2.132416891354042,1.3480525213776409,0.02140484326393436,8.089862113536128e-14,7.301675651536017e-15
3.3,2.5486439454363556,2.4268801988999944,3.3559939207107504e-13,2.5486439454366914,9.690026558928366e-13,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.9515846312181515,2.417395173821657,1.2998084121725415,0.024268801988999944,6.598908086630217e-12,6.107908935693566e-13
3.52,2.439646695202067,2.7011979961104617,2.3926510465174643e-11,2.4396466952259934,6.594047530228409e-11,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.1669670792492512,2.6901711080232897,1.244219814553054,0.027011979961104618,4.490546368085546e-10,4.354624904661785e-11
3.74,2.3188454666084097,2.962023204506681,1.2667940491606898e-09,2.318845467875204,3.646227542120073e-09,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.374476907015259,2.949304356274899,1.182611187970289,0.02962023204506681,2.4830809561837696e-08,2.3055651694724554e-09
3.96,2.1865084230528358,3.2080954823220984,5.839887679770975e-08,2.1865084814517126,1.606808914811353e-07,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.5641545926433964,3.1934900501341206,1.1151192957569462,0.032080954823220986,1.0942368709865312e-06,1.0628595577183175e-07
4.18,2.041180296629074,3.4380881128482845,2.13797359393688e-06,2.0411824346026677,5.529019843297789e-06,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.7271025194419534,3.421326601836803,1.0410019512808277,0.034380881128482844,3.765262513285794e-05,3.8911119409651225e-06
4.4,1.8796341152051586,3.6504180892474025,6.031509779630354e-05,1.8796944303029548,0.00014497420826997676,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.85252118879337,3.631099968030846,0.9586133987546309,0.03650418089247403,0.0009872743583185417,0.00010977347798927245
4.62,1.6961592192040096,3.843015525594318,0.0012745265175570703,1.6974337457215667,0.002802490028633531,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.9238224760159905,3.8204911592729425,0.8650412017940449,0.038430155255943184,0.019084957094994345,0.002319638261953868
4.84,1.480742817537133,4.012958849838343,0.019280917732538795,1.500023735269672,0.037616244134953236,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.9109678119239595,3.9860396602730486,0.755178836943938,0.04012958849838343,0.2561666225590315,0.03509127027322061
5.06,1.214708386224861,4.155786321541171,0.18626016456188335,1.4009685507867444,0.29429942087158323,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.7511484813953255,4.121853457454632,0.6195012769746792,0.04155786321541171,2.0041790561354818,0.3389934995026277
5.28,0.8591757164523279,4.263991410356667,0.903434150874098,1.7626098673264259,0.9538129644795674,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.2892090985172513,4.214933534835699,0.4381796153906872,0.04263991410356667,6.495466288105854,1.6442501545908583
5.5,0.31987785691408743,4.323162431098839,2.120778066257082,2.4406559231711693,1.3875737861208464,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.046163341545959,4.192109002064809,0.1631377070261846,0.04323162431098839,9.449377483482964,3.8598160805878896
5.72,-3.706174190800066e-15,4.321415642723132,3.148079036888249,3.1480790368882454,1.3760962639731895,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.3453412312604254e-14,-1.6015919122786084e-12,-1.890148837308034e-15,0.043214156427231316,9.37121555765742,5.7295038471366135
5.94,-2.3426957663433825e-16,4.3119189784701355,3.766223505700576,3.7662235057005757,1.3117238645028233,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-8.503985631826478e-16,-1.0101514335677905e-13,-1.194774840835125e-16,0.043119189784701355,8.932839517264226,6.854526780375049
6.16,4.591526919719745e-19,4.302443183913417,4.09901517777133,4.09901517777133,1.2445077879491926,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.6667242718582674e-18,1.9754783699503184e-16,2.34167872905707e-19,0.043024431839134174,8.475098035934002,7.460207623543821
6.38,-2.0814092042908884e-19,4.292988213190106,4.237475474398517,4.237475474398517,1.1750120095927041,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-7.555515411575925e-19,-8.93546518084618e-17,-1.0615186941883531e-19,0.04292988213190106,8.001831785326315,7.7122053634053005
6.6,1.418177711927058e-19,4.283554020538128,4.243285205826815,4.243285205826815,1.1038855396637897,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,5.14798509429522e-19,6.074840839762713e-17,7.232706330827996e-20,0.04283554020538128,7.517460525110407,7.722779074604804
6.82,5.615768625491897e-20,4.274140560295973,4.158684685938294,4.158684685938294,1.0318396979276985,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.0385240110535586e-19,2.4002584459452483e-17,2.8640419990008675e-20,0.042741405602959734,7.026828342887626,7.568806128407695
7.04,-1.2177169853635767e-20,4.264747786902473,4.01284822009415,4.01284822009415,0.9596203288752612,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-4.420312656869783e-20,-5.193255818402864e-18,-6.2103566253542414e-21,0.04264747786902473,6.535014439640528,7.303383760571354
7.26,-1.3390078957335492e-19,4.255375654896587,3.8262807103405114,3.8262807103405114,0.8879771933557857,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-4.860598661512784e-19,-5.697981601218852e-17,-6.828940268241101e-20,0.042553756548965864,6.0471246867529,6.963830892819731
7.48,-2.3890276897433517e-20,4.246024118917178,3.6136077547848546,3.6136077547848546,0.8176331695815332,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-8.672170513768366e-20,-1.0143869191411256e-17,-1.2184041217691093e-20,0.04246024118917178,5.5680818848502405,6.576766113708436
7.7,4.503592989199222e-20,4.236693133702793,3.385489374837146,3.385489374837146,0.7492559116349881,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.6348042550793174e-19,1.908034149433238e-17,2.2968324244916032e-20,0.04236693133702793,5.102432758234269,6.161590662203606
7.92,-1.112039728207972e-19,4.2273826540914445,3.149847956537536,3.149847956537536,0.6834342453735971,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-4.036704213394938e-19,-4.701017457686945e-17,-5.671402613860657e-20,0.042273826540914446,4.654187210994196,5.732723280898316
8.14,-1.9006136801817465e-20,4.218092635020397,2.9126499868307443,2.9126499868307443,0.6206609113482134,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-6.89922765905974e-20,-8.016964566393636e-18,-9.693129768926908e-21,0.04218092635020397,4.226700806281333,5.3010229760319545
8.36,1.8714952568620754e-20,4.208823031525935,2.678442659841765,2.678442659841765,0.5613224316686688,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,6.793527782409333e-20,7.876792340472649e-18,9.544625809996585e-21,0.04208823031525936,3.8226057596636345,4.874765640912013
8.58,3.808697212864411e-21,4.199573798743162,2.450679720372678,2.450679720372678,0.5056960408133016,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.382557088269781e-20,1.599490502249149e-18,1.9424355785608495e-21,0.04199573798743162,3.4437900379385833,4.460237091078274
8.8,-4.589168011293871e-23,4.190344891905775,2.2319364038227185,2.2319364038227185,0.4539529157159755,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.6658679880996751e-22,-1.9230196734222653e-20,-2.3404756857598743e-23,0.04190344891905775,3.091419356025793,4.0621242549573475
9.02,1.3241890063920363e-20,4.181136266345843,2.024087401489622,2.024087401489622,0.40616645524289363,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,4.806806093203092e-20,5.53661467812221e-18,6.7533639325993856e-21,0.041811362663458425,2.7659935602041053,3.6838390707111124
9.24,-6.198408672846237e-21,4.1719478774936025,1.8284242204425445,1.8284242204425445,0.36232412196469965,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-2.250022348243184e-20,-2.5859437906518795e-18,-3.161188423151581e-21,0.04171947877493603,2.4674272705796043,3.327732081205431
9.46,2.1482009746765836e-20,4.162779680877234,1.6457460604047522,1.6457460604047522,0.32234134764898426,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,7.797969538075998e-20,8.942487367824352e-18,1.0955824970850576e-20,0.04162779680877234,2.195144577489583,2.9952578299366492
9.68,1.2760580814462898e-20,4.153631632122647,1.4764428839979253,1.4764428839979253,0.28607616301380345,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,4.632090835650032e-20,5.300275211521047e-18,6.5078962153760785e-21,0.04153631632122647,1.9481786701240014,2.687126048876224
9.9,1.5286590002012355e-20,4.144503686953268,1.3205741221437923,1.3205741221437923,0.2533434743839119,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,5.549032170730485e-20,6.3355328624283165e-18,7.796160901026301e-21,0.04144503686953268,1.72526906055444,2.403444902301702
10.12,-1.490744755190887e-20,4.135395801189825,1.1779314100179712,1.1779314100179712,0.22392821154476272,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-5.411403461342919e-20,-6.1648196012621465e-18,-7.602798251473523e-21,0.04135395801189825,1.524951120619834,2.1438351662327078
10.34,-1.3216043857028429e-20,4.126307930750132,1.0480940433565336,1.0480940433565336,0.19759686311811264,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-4.7974239201013194e-20,-5.453346658039797e-18,-6.740182367084499e-21,0.04126307930750132,1.3456346378343471,1.9075311589088912
10.56,2.7988825188260787e-20,4.117240031648879,0.9304835449520084,0.9304835449520084,0.17410716680544347,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.0159943543338665e-19,1.1523671150392977e-17,1.4274300846013002e-20,0.04117240031648879,1.1856698059450699,1.6934800518126554
10.78,-1.4530698944578223e-20,4.108192059997416,0.8244131315737907,0.8244131315737907,0.15321591700152815,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-5.2746437168818946e-20,-5.969490203032908e-18,-7.410656461734895e-21,0.04108192059997416,1.0434003947804067,1.5004318994642991
11.0,-1.5953968336073967e-20,4.099163972003543,0.7291263941704373,0.7291263941704373,0.13468498937527518,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-5.79129050599485e-20,-6.539793221371972e-18,-8.136523851397723e-21,0.04099163972003544,0.9172047776456239,1.327010037390196
11.22,2.0795302170824792e-20,4.0901557239712965,0.6438280619322378,0.6438280619322378,0.11828576695757065,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,7.548694688009399e-20,8.505602420571175e-18,1.0605604107120644e-20,0.04090155723971296,0.805526072981056,1.171767072716673
11.44,-1.4167282407646958e-20,4.081167272300739,0.5677103311072166,0.5677103311072166,0.10380219502758414,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-5.142723513975846e-20,-5.781904929953078e-18,-7.225314027899948e-21,0.04081167272300739,0.706892948137848,1.0332328026151343
11.66,-4.757529795940378e-21,4.072198573487747,0.4999745793222229,0.4999745793222229,0.09103270366184735,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.726983315926357e-20,-1.9373606048353856e-18,-2.4263401959295926e-21,0.040721985734877474,0.6199327119371804,0.9099537343664457
11.88,2.266835467684237e-20,4.0632495841238,0.43984730336172045,0.43984730336172045,0.07979122739181432,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,8.22861274769378e-20,9.210718271345054e-18,1.1560860885189609e-20,0.040632495841238,0.5433782585382555,0.8005220921183313
12.1,-2.6756875061688872e-20,4.0543202608957705,0.3865910303918482,0.3865910303918482,0.06990752942897382,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-9.71274564739306e-20,-1.0848094068086196e-17,-1.3646006281461324e-20,0.040543202608957704,0.4760702754113117,0.7035956753131638
12.32,9.079358915605766e-22,4.04541056058572,0.33951164805422407,0.33951164805422407,0.06122700974571116,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,3.295807286364893e-21,3.6729734440539676e-19,4.630473046958941e-22,0.040454105605857195,0.416955936368293,0.6179111994586878
12.540000000000001,3.991570332222273e-20,4.036520440070679,0.297963063782968,0.297963063782968,0.053610146410355,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.4489400305966848e-19,1.6112055233994915e-17,2.0357008694333592e-20,0.04036520440070679,0.3650850970545175,0.5422927760850018
12.76,-5.082554418671606e-20,4.027649856322448,0.2613496619727882,0.2613496619727882,0.046931690829522865,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.844967253977793e-19,-2.0470749574113716e-17,-2.5921027535225192e-20,0.04027649856322448,0.3196048145490507,0.4756563847904745
12.98,-3.376334033329069e-22,4.018798766407384,0.2291266626862438,0.2291266626862438,0.04107971158477919,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.2256092540984522e-21,-1.356880704812213e-19,-1.7219303569978253e-22,0.04018798766407384,0.27975283589234623,0.4170105260889637
13.2,7.792904331407883e-20,4.009967127486195,0.20079902297759286,0.20079902297759286,0.03595455912297696,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.828824272301061e-19,3.12492901965904e-17,3.97438120901802e-20,0.040099671274861956,0.24485054762747308,0.365454221819219
13.42,-8.858563796049592e-20,4.001154896813732,0.17591946642393136,0.17591946642393136,0.031467804848491765,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-3.215658657966002e-19,-3.5444485911300674e-17,-4.5178675359852923e-20,0.04001154896813732,0.2142957510182289,0.3201734288915551
13.64,-1.6617887276661184e-20,3.9923620317387796,0.1540859254589089,0.1540859254589089,0.02754119299499047,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-6.03229308142801e-20,-6.634462221105706e-18,-8.475122511097204e-21,0.0399236203173878,0.1875555242958851,0.2804363843352142
13.86,1.4827871981820236e-19,3.983588489703855,0.13493853769060202,0.13493853769060202,0.024105631657427407,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,5.382517529400746e-19,5.906814015358138e-17,7.56221471072832e-20,0.03983588489703855,0.16415935158708064,0.24558813859689568
14.08,-1.39562514528909e-19,3.974834228244996,0.11815638332375729,0.11815638332375729,0.02110024009387712,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-5.066119277399397e-19,-5.547378597294471e-17,-7.11768824097436e-20,0.039748342282449965,0.14369263503930318,0.21504461764923827
14.3,-5.4122135319523556e-20,3.9660992049915618,0.10345416698274744,0.10345416698274744,0.018471462402582794,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.964633512098705e-19,-2.146537578632081e-17,-2.7602289012957014e-20,0.03966099204991562,0.12579065896158884,0.18828658390860034
14.52,3.0733919331436953e-19,3.9573833776660226,0.09057903301922246,0.09057903301922246,0.01617225251204424,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.1156412717311613e-18,1.2162590149275704e-16,1.5674298859032845e-19,0.039573833776660225,0.11013303960702125,0.16485384009498488
14.74,1.1317015514393387e-19,3.9486867040837565,0.07930730039215177,0.07930730039215177,0.014161331710205949,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,4.108076631724799e-19,4.468734869159476e-17,5.771677912340628e-20,0.039486867040837564,0.0964386689465025,0.1443392867137162
14.96,-2.9151825716362253e-19,3.940009142152847,0.0694414319468465,0.0694414319468465,0.01240251735836373,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.0582112735039496e-18,-1.1485845983291375e-16,-1.4867431115344749e-19,0.03940009142152847,0.08446114321045699,0.12638340614326063
15.18,1.2870801918041045e-19,3.931350649873876,0.06080746857790871,0.06080746857790871,0.010864119718052012,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,4.672101096248899e-19,5.0599635484888593e-17,6.564108978200933e-20,0.039313506498738764,0.0739846552799342,0.11066959281179385
15.4,-8.477336294583344e-21,3.9227111853397254,0.053252458544378004,0.053252458544378004,0.009518402748244115,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-3.077273074933754e-20,-3.3254141904648505e-18,-4.323441510237506e-21,0.03922711185339726,0.06482032271554242,0.09691947455076796
15.62,-4.4508576029011126e-20,3.914090706735369,0.04664201495277836,0.04664201495277836,0.008341104134036659,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.615661309853104e-19,-1.7421060380517706e-17,-2.2699373774795675e-20,0.039140907067353695,0.05680291915278964,0.08488846721405661
15.84,-1.6715001241548884e-20,3.9054891723376746,0.04085818551515857,0.04085818551515857,0.007311009552974701,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-6.067545450682245e-20,-6.528025636447995e-18,-8.524650633189931e-21,0.03905489172337675,0.04978797505575771,0.07436189763758859
16.06,5.1650108832120745e-20,3.896906540515198,0.03579748534066236,0.03579748534066236,0.006409576168815101,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.874898950605983e-19,2.012756469262131e-17,2.634155550438158e-20,0.03896906540515198,0.04364921370963083,0.06515142332000551
16.28,-2.373521641270094e-20,3.888342769727984,0.031369179474802195,0.031369179474802195,0.0056206004874479465,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-8.615883557810441e-20,-9.229065712625469e-18,-1.210496037047748e-20,0.03888342769727984,0.03827628931952051,0.057091906644139996
16.5,1.419947922487568e-20,3.8797978185273667,0.027493950112201793,0.027493950112201793,0.00492992595832098,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,5.154410958629872e-20,5.509110852089733e-18,7.241734404686597e-21,0.03879797818527367,0.03357279577616587,0.05003898920420726
16.72,7.721545498232522e-20,3.871271645555765,0.0241024203349949,0.0241024203349949,0.0043251860149172705,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.802921015858405e-19,2.9892200147176326e-17,3.937988204098586e-20,0.03871271645555765,0.02945451676158661,0.04386640500969072
16.94,-3.0159846430072254e-20,3.862764209546485,0.021133839724651746,0.021133839724651746,0.003795578589342985,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.0948024254116228e-19,-1.1650037535550143e-17,-1.538152167933685e-20,0.03862764209546485,0.025847890193425725,0.03846358829886618
17.16,5.4788554534777936e-21,3.8542754693235195,0.01853505243365563,0.01853505243365563,0.0033316684876293357,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.988824529612439e-20,2.1117018174308846e-18,2.7942162812736748e-21,0.0385427546932352,0.022688662400755774,0.03373379542925325
17.38,1.458420095029033e-21,3.8458053838013497,0.016259594909379525,0.016259594909379525,0.002925214359411954,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,5.294064944955389e-21,5.608799853306731e-19,7.437942484648068e-22,0.0384580538380135,0.019920709787595404,0.029592462735070737
17.6,-1.5078100962434725e-20,3.8373539119847453,0.014266884267784696,0.014266884267784696,0.002569017328704404,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-5.473350649363805e-20,-5.786000971349984e-18,-7.68983149084171e-21,0.038373539119847457,0.01749500800847699,0.025965729367368146
17.82,2.583297964474605e-21,3.8289210129685656,0.012521460942629598,0.012521460942629598,0.002256788665640941,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,9.377371611042816e-21,9.891243858935736e-19,1.3174819618820485e-21,0.038289210129685655,0.015368730813014805,0.02278905891558587
18.04,7.442113357303513e-21,3.820506645937563,0.010992325748732991,0.010992325748732991,0.00198303416907053,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.701487148701175e-20,2.843264354139878e-18,3.7954778122247916e-21,0.03820506645937563,0.013504462691370308,0.020006032862694045
18.26,-8.748919875347195e-21,3.812110770166185,0.009652381397883273,0.009652381397883273,0.0017429531953249144,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-3.1758579147510316e-20,-3.335185168413204e-18,-4.46194913642707e-21,0.038121107701661855,0.011869511260162667,0.01756733414414756
18.48,6.2769598933465395e-22,3.803733345018377,0.008477952829678712,0.008477952829678712,0.0015323505092096346,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.2785364412847937e-21,2.3875881651665224e-19,3.201249545606735e-22,0.03803733345018377,0.010435306967717611,0.015429874150015255
18.7,8.275384845279178e-21,3.795374329947384,0.007448358638574708,0.007448358638574708,0.0013475593499902017,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,3.0039646988363416e-20,3.1408183212208195e-18,4.220446271092381e-21,0.03795374329947384,0.009176879173433274,0.01355601272220597
18.92,-7.208467733920689e-21,3.7870336844955563,0.006545526598926246,0.006545526598926246,0.0011853742990899363,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-2.6166737874132102e-20,-2.7298710121956998e-18,-3.676318544299551e-21,0.03787033684495556,0.008072398976802465,0.011912858410045768
19.14,-2.962449362282279e-21,3.778711368294155,0.005753658205282123,0.005753658205282123,0.0010429927089486979,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.0753691185084672e-20,-1.1194241083251818e-18,-1.5108491747639623e-21,0.037787113682941555,0.007102780347940632,0.010471657933613465
19.36,1.0136371328454953e-20,3.770407341063153,0.005058941582634759,0.005058941582634759,0.0009179636057079499,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,3.679502792229148e-20,3.821824886854862e-18,5.169549377512026e-21,0.037704073410631526,0.0062513321548711386,0.009207273680395261
19.580000000000002,-3.571979134784305e-21,3.7621215626110414,0.004449302917760381,0.004449302917760381,0.0008081431138510231,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-1.2966284259267028e-20,-1.3438219724168766e-18,-1.821709358739996e-21,0.03762121562611041,0.005503454605325467,0.008097731310323894
19.8,-1.096805845512533e-20,3.7538539928346375,0.003914186994724058,0.003914186994724058,0.0007116555703601257,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,-3.981405219210495e-20,-4.117249002541593e-18,-5.593709812113919e-21,0.037538539928346375,0.004846374434152456,0.007123820330397787
20.02,1.2838859579759895e-20,3.745604591718887,0.0034443637949859145,0.0034443637949859145,0.0006268596010140515,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,4.6605060274528416e-20,4.808929139438268e-18,6.547818385677546e-21,0.03745604591718887,0.0042689138829056904,0.006268742106874364
20.24,4.946049946727257e-21,3.737373319336672,0.003031759073851234,0.003031759073851234,0.0005523185236940842,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.7954161306619942e-20,1.848523510700502e-18,2.522485472830901e-21,0.037373733193366725,0.003761289146356713,0.005517801514409246
