Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
0.0,0.01,0.0,0.0,0.01,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.03618761609907121,0.0,0.0051,0.0,0.0,0.0
0.22,0.02200793818195211,0.0017084362543539958,0.0,0.02200793818195211,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.0793444849146766,0.001174682332235604,0.011224048472795577,1.708436254353996e-05,0.0,0.0
0.44,0.04771615786714594,0.0054331633562334745,0.0,0.04771615786714594,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.1706508607514188,0.0044918042018802316,0.02433524051224443,5.433163356233475e-05,0.0,0.0
0.66,0.10173670238790464,0.013431612747006586,0.0,0.10173670238790464,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.35767209514662723,0.012229535680119695,0.05188571821783137,0.00013431612747006585,0.0,0.0
0.88,0.21175420491793503,0.030268122269692034,0.0,0.21175420491793503,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.7182749987807265,0.028903182097265837,0.10799464450814687,0.0003026812226969203,0.0,0.0
1.1,0.4227519220693653,0.0645670291995393,0.0,0.4227519220693653,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.333737882363674,0.06307501897597315,0.2156034802553763,0.000645670291995393,0.0,0.0
1.32,0.7846236141624418,0.1305231024074361,0.0,0.7846236141624418,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.156309972127361,0.1288805247130265,0.4001580432228453,0.0013052310240743608,0.0,0.0
1.54,1.3000032046747059,0.24591950722043224,0.0,1.3000032046747059,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.819714343261085,0.2440422636660434,0.6630016343841,0.0024591950722043223,0.0,0.0
1.76,1.8660137409612887,0.4230926370681306,0.0,1.8660137409612887,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.8604142661642373,0.4208373623447625,0.9516670078902573,0.004230926370681306,0.0,0.0
1.98,2.3281716328786857,0.6587406634557459,0.0,2.3281716328786857,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.359624995686518,0.6559233310829093,1.1873675327681297,0.006587406634557459,0.0,0.0
