ad,atp,ca,d,dcon,delta,e,gstar,ip3,ip3con,kg,r,ro,rs,x,y,Time
0.41,0.0,0.0159835,0.0,0.0,0.011964731652544192,1.0,0.0013541666666666667,0.0,0.0831726964939224,8.823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
0.41,0.0,0.0159835,0.000980162727691921,0.0,0.011964731652544192,1.0037562026355769,0.0013541666666666667,0.011629810830898686,0.48149899203465635,8.823529411764705,6.861158839990401e-06,0.0,2.061619170838777e-08,0.003781831340445868,474.8060281944746,0.01
0.41,0.0,0.0159835,0.0019563832974504266,0.0,0.011964731652544192,1.007504821006696,0.0013541666666666667,0.012855582326388452,0.5426750370067479,8.823529411764705,2.7254713463727012e-05,0.0,1.6404704272943625e-07,0.007527671958158467,498.7304944696029,0.02
0.41,0.0,0.0159835,0.0029286483623129906,0.0,0.011964731652544192,1.0112458706350917,0.0013541666666666667,0.012984779439491322,0.5490804153814496,8.823529411764705,6.089979631689089e-05,0.0,5.507009361193151e-07,0.011238035590068493,499.9360684678673,0.03
0.41,0.0,0.0159835,0.0038969448945768165,0.0,0.011964731652544192,1.0149793668102214,0.0013541666666666667,0.01299839582856196,0.5497545842401895,8.823529411764705,0.00010752080774025242,0.0,1.298402307453968e-06,0.01491342787631815,499.99676063102356,0.04
0.41,0.0,0.0159835,0.004861260184441242,0.0,0.011964731652544192,1.0187053245903077,0.0013541666666666667,0.012999831492779192,0.5498256556325147,8.823529411764705,0.0001668473124688016,0.0,2.5224352171860948e-06,0.018554346497385438,499.99984796996915,0.05
0.41,0.0,0.0159835,0.00582158183830969,0.0,0.011964731652544192,1.022423758803662,0.0013541666666666667,0.012999982830774763,0.5498331473787751,8.823529411764705,0.0002386139334294841,0.0,4.335588628296064e-06,0.022161281316802207,499.9999960024434,0.06
0.41,0.0,0.0159835,0.006777897777879754,0.0,0.011964731652544192,1.0261346840494805,0.0013541666666666667,0.012999999794501135,0.549833987139603,8.823529411764705,0.0003225602605875801,0.0,6.848194603530899e-06,0.025734714501901,500.00000569175535,0.07
0.41,0.0,0.0159835,0.007730196237013654,0.0,0.011964731652544192,1.0298381147002669,0.0013541666666666667,0.012999999756412998,0.5498339852541139,8.823529411764705,0.00041843072792149794,0.0,1.01681826509296e-05,0.029275120695375804,499.9999929303922,0.08
0.41,0.0,0.0159835,0.008678465761062156,0.0,0.011964731652544192,1.033534064902448,0.0013541666666666667,0.013000006927444529,0.5498343402439198,8.823529411764705,0.0005259745315022072,0.0,1.4401114025767354e-05,0.032782967124398564,500.0000332624769,0.09
0.41,0.0,0.0159835,0.00962269520859762,0.0,0.011964731652544192,1.0372225485754298,0.0013541666666666667,0.013000006929295654,0.5498343403355566,8.823529411764705,0.0006449455861091209,0.0,1.9650197259257844e-05,0.036258713650566,500.00024925680333,0.1
0.41,0.0,0.0159835,0.010562873744355472,0.0,0.011964731652544192,1.040903579417014,0.0013541666666666667,0.013000002487368365,0.5498341204454533,8.823529411764705,0.0007751023488622556,0.0,2.6016370029427034e-05,0.03970281302783847,500.00001317169244,0.11
0.41,0.0,0.0159835,0.011498990840955629,0.0,0.011964731652544192,1.0445771709023228,0.0013541666666666667,0.013000000280300534,0.5498340111882833,8.823529411764705,0.0009162077809524228,0.0,3.359831267829072e-05,0.043115710947030914,499.9999994305898,0.12
0.41,0.0,0.0159835,0.012431036276733292,0.0,0.011964731652544192,1.0482433362857266,0.0013541666666666667,0.013000000030305282,0.5498339988126898,8.823529411764705,0.0010680292509758795,0.0,4.249249110278631e-05,0.0464978461717947,499.9999998382762,0.13
0.41,0.0,0.0159835,0.013359000134779819,0.0,0.011964731652544192,1.0519020886018995,0.0013541666666666667,0.012999999991871538,0.549833996910092,8.823529411764705,0.0012303384590593304,0.0,5.2793189591379963e-05,0.04984965064321281,499.9999959852513,0.14
0.41,0.0,0.0159835,0.014282872798933408,0.0,0.011964731652544192,1.0555534406690044,0.0013541666666666667,0.013000000002111598,0.549833997417009,8.823529411764705,0.0014029113194317826,0.0,6.459256478566386e-05,0.053171549650792405,500.0000014691944,0.15
0.41,0.0,0.0159835,0.015202644956130043,0.0,0.011964731652544192,1.0591974050874553,0.0013541666666666667,0.01299999997076712,0.5498339958653534,8.823529411764705,0.001585527928837956,0.0,7.798065623104313e-05,0.0564639618675659,499.9998683742804,0.16
0.41,0.0,0.0159835,0.016118307585559488,0.0,0.011964731652544192,1.0628339942478529,0.0013541666666666667,0.01299999996303907,0.5498339954827893,8.823529411764705,0.0017779723872119657,0.0,9.304547459928254e-05,0.05972729962713953,499.99994546787,0.17
0.41,0.0,0.0159835,0.017029851972917377,0.0,0.011964731652544192,1.0664632203213795,0.0013541666666666667,0.013000000025054125,0.5498339985527401,8.823529411764705,0.0019800328971505948,0.0,0.00010987294327954919,0.06296196874489347,500.00016254021585,0.18
0.41,0.0,0.0159835,0.017937269696287145,0.0,0.011964731652544192,1.0700850952704355,0.0013541666666666667,0.01299999998420955,0.5498339965307983,8.823529411764705,0.0021915015415327798,0.0,0.00012854700903881808,0.06616836886394815,499.9997736646207,0.19
0.41,0.0,0.0159835,0.01884055262802343,0.0,0.011964731652544192,1.0736996308476,0.0013541666666666667,0.013000000055001435,0.5498340000352312,8.823529411764705,0.0024121742553537707,0.0,0.00014914965191974416,0.0693468934886839,500.0002544017174,0.2
0.41,0.0,0.0159835,0.01973969293302358,0.0,0.011964731652544192,1.0773068385973992,0.0013541666666666667,0.012999999998676176,0.5498339972469443,8.823529411764705,0.002641850748915936,0.0,0.0001717609201681699,0.07249793009555723,500.0001080021216,0.21
0.41,0.0,0.0159835,0.02063468306708964,0.0,0.011964731652544192,1.0809067298578954,0.0013541666666666667,0.01299999999496204,0.5498339970630821,8.823529411764705,0.002880334438668821,0.0,0.00019645896179192965,0.07562186023358909,499.9999422250648,0.22
0.41,0.0,0.0159835,0.021525515775316032,0.0,0.011964731652544192,1.0844993157623128,0.0013541666666666667,0.013000000008247673,0.549833997720765,8.823529411764705,0.0031274323808829414,0.0,0.00022332005502131918,0.07871905962101192,500.0000284672631,0.23
0.41,0.0,0.0159835,0.022412184090263947,0.0,0.011964731652544192,1.0880846072408787,0.0013541666666666667,0.012999999998581273,0.5498339972422462,8.823529411764705,0.003382955198390628,0.0,0.0002524186420927275,0.08178989825239272,500.0000158376954,0.24
0.41,0.0,0.0159835,0.02329468133022058,0.0,0.011964731652544192,1.091662615022575,0.0013541666666666667,0.012999999991623615,0.5498339968978191,8.823529411764705,0.0036467170130609163,0.0,0.00028382736055777456,0.0848347404978465,500.00002139275796,0.25
0.41,0.0,0.0159835,0.024173001097705586,0.0,0.011964731652544192,1.095233349636623,0.0013541666666666667,0.012999999991214513,0.5498339968775672,8.823529411764705,0.003918535389556403,0.0,0.0003176170694813056,0.087853945186024,499.99996463828234,0.26
0.41,0.0,0.0159835,0.025047137277615674,0.0,0.011964731652544192,1.0987968214143649,0.0013541666666666667,0.012999999998771675,0.5498339972516717,8.823529411764705,0.004198231266633539,0.0,0.0003538568815701683,0.09084786570566548,500.0000076958975,0.27
0.41,0.0,0.0159835,0.025917084035445816,0.0,0.011964731652544192,1.1023530404910722,0.0013541666666666667,0.013000000001032309,0.5498339973635806,8.823529411764705,0.004485628893210944,0.0,0.000392614193233769,0.09381685010046792,499.99997616715433,0.28
0.41,0.0,0.0159835,0.026782835815467747,0.0,0.011964731652544192,1.1059020168077804,0.0013541666666666667,0.013000000002008284,0.5498339974118945,8.823529411764705,0.004780555764912064,0.0,0.00043395471457650025,0.09676124116363871,500.000036347644,0.29
0.41,0.0,0.0159835,0.027644387339142172,0.0,0.011964731652544192,1.1094437601128766,0.0013541666666666667,0.013000000000102839,0.5498339973175688,8.823529411764705,0.005082842570283603,0.0,0.000477942494936178,0.09968137651833187,500.0000151644228,0.3
0.41,0.0,0.0159835,0.0285017336033655,0.0,0.011964731652544192,1.1129782799639136,0.0013541666666666667,0.012999999999467072,0.5498339972860962,8.823529411764705,0.005392323132642475,0.0,0.000524639950662656,0.10257758870474472,499.99999633309517,0.31
0.41,0.0,0.0159835,0.029354869878623298,0.0,0.011964731652544192,1.116505585729448,0.0013541666666666667,0.012999999999841657,0.5498339973046394,8.823529411764705,0.005708834350279106,0.0,0.0005741078937474089,0.10545020527003841,499.99999507278164,0.32
0.41,0.0,0.0159835,0.030203791707183375,0.0,0.011964731652544192,1.1200256865908602,0.0013541666666666667,0.013000000000189632,0.5498339973218653,8.823529411764705,0.006032216139496207,0.0,0.0006264055592554249,0.10829954885423193,500.00000030024137,0.33
0.41,0.0,0.0159835,0.031048494901221888,0.0,0.011964731652544192,1.1235385915442329,0.0013541666666666667,0.013000000000165471,0.5498339973206693,8.823529411764705,0.006362311377243141,0.0,0.0006815906331004733,0.11112593727699133,500.00000261635034,0.34
0.41,0.0,0.0159835,0.03188897553836326,0.0,0.011964731652544192,1.1270443094046567,0.0013541666666666667,0.013000000000023154,0.5498339973136241,8.823529411764705,0.006698965768857185,0.0,0.0007397193163488885,0.11392968373863115,500.00001057528146,0.35
0.41,0.0,0.0159835,0.032725229968965,0.0,0.011964731652544192,1.1305428487991733,0.0013541666666666667,0.012999999999918303,0.5498339973084336,8.823529411764705,0.007042028064551942,0.0,0.0008008462199880558,0.11671109649121324,500.00000728805486,0.36
0.41,0.0,0.0159835,0.0335572548001551,0.0,0.011964731652544192,1.1340342181825915,0.0013541666666666667,0.01299999999971153,0.5498339972981977,8.823529411764705,0.007391349592034517,0.0,0.0008650245930841865,0.11947047954921614,500.00000353048506,0.37
0.41,0.0,0.0159835,0.03438504691061503,0.0,0.011964731652544192,1.1375184258227524,0.0013541666666666667,0.012999999999708573,0.5498339972980513,8.823529411764705,0.007746784687512692,0.0,0.000932306112126908,0.12220813203401047,500.0000007552296,0.38
0.41,0.0,0.0159835,0.03520860343366928,0.0,0.011964731652544192,1.140995479817524,0.0013541666666666667,0.012999999999831114,0.5498339973041174,8.823529411764705,0.008108190214368056,0.0,0.0010027411175320986,0.12492434890739039,499.9999982642594,0.39
0.41,0.0,0.0159835,0.03602792176447627,0.0,0.011964731652544192,1.1444653880875488,0.0013541666666666667,0.012999999999916528,0.5498339973083457,8.823529411764705,0.00847542576517831,0.0,0.0010763785140906334,0.12761942066334886,499.99999759022114,0.4
0.41,0.0,0.0159835,0.036842999556742945,0.0,0.011964731652544192,1.1479281583794378,0.0013541666666666667,0.013000000000015265,0.5498339973132336,8.823529411764705,0.008848353581509727,0.0,0.0011532658116108355,0.13029363345241002,499.99999908954015,0.41
0.41,0.0,0.0159835,0.037653834714281756,0.0,0.011964731652544192,1.1513837982742614,0.0013541666666666667,0.013000000000068217,0.5498339973158549,8.823529411764705,0.009226838317003815,0.0,0.001233449241669956,0.1329472694431692,499.99999993791164,0.42
0.41,0.0,0.0159835,0.038460425403064755,0.0,0.011964731652544192,1.1548323151754316,0.0013541666666666667,0.013000000000038854,0.5498339973144013,8.823529411764705,0.00961074737388928,0.0,0.0013169735915909008,0.13558060630828653,500.0000003888975,0.43
0.41,0.0,0.0159835,0.03926277002878672,0.0,0.011964731652544192,1.1582737163308463,0.0013541666666666667,0.013000000000022733,0.5498339973136033,8.823529411764705,0.009999950313047231,0.0,0.0014038824987710806,0.138193918130869,500.0000008062925,0.44
0.41,0.0,0.0159835,0.04006086726007287,0.0,0.011964731652544192,1.1617080088100258,0.0013541666666666667,0.012999999999994644,0.5498339973122128,8.823529411764705,0.010394319457191114,0.0,0.0014942181490379413,0.14078747447662374,500.0000003577361,0.45
0.41,0.0,0.0159835,0.04085471599558238,0.0,0.011964731652544192,1.1651351995358363,0.0013541666666666667,0.012999999999946537,0.5498339973098313,8.823529411764705,0.010793729079309602,0.0,0.0015880216864882254,0.14336154164863274,500.00000003146414,0.46
0.41,0.0,0.0159835,0.041644315402656916,0.0,0.011964731652544192,1.168555295247678,0.0013541666666666667,0.012999999999918807,0.5498339973084586,8.823529411764705,0.01119805632837332,0.0,0.0016853327433400205,0.14591638125181475,499.9999996013582,0.47
0.41,0.0,0.0159835,0.042429664888169245,0.0,0.011964731652544192,1.1719683025292538,0.0013541666666666667,0.012999999999953563,0.5498339973101791,8.823529411764705,0.01160718053674191,0.0,0.0017861897923113843,0.14845225126761405,499.9999996496035,0.48
0.41,0.0,0.0159835,0.04321076408786183,0.0,0.011964731652544192,1.175374227819284,0.0013541666666666667,0.012999999999919111,0.5498339973084736,8.823529411764705,0.012020983026849376,0.0,0.0018906302520352452,0.15096940635963071,499.9999985878243,0.49
0.41,0.0,0.0159835,0.04398761288970165,0.0,0.011964731652544192,1.1787730773884082,0.0013541666666666667,0.012999999999897116,0.5498339973073848,8.823529411764705,0.012439347548933565,0.0,0.0019986902507302478,0.15346809718272839,499.99999789214235,0.5
0.41,0.0,0.0159835,0.04476021141306076,0.0,0.011964731652544192,1.1821648573596903,0.0013541666666666667,0.01299999999993965,0.5498339973094903,8.823529411764705,0.01286215986310931,0.0,0.0021104048478342045,0.15594857103887805,499.99999886236867,0.51
0.41,0.0,0.0159835,0.04552856002361473,0.0,0.011964731652544192,1.1855495736925694,0.0013541666666666667,0.012999999999933187,0.5498339973091704,8.823529411764705,0.013289308203271368,0.0,0.002225807808547745,0.15841107117225775,499.99999895856735,0.52
0.41,0.0,0.0159835,0.04629265930946403,0.0,0.011964731652544192,1.1889272322083526,0.0013541666666666667,0.012999999999922478,0.5498339973086404,8.823529411764705,0.013720682511811856,0.0,0.002344931973645751,0.16085583793057687,499.9999990073825,0.53
0.41,0.0,0.0159835,0.0470525100896728,0.0,0.011964731652544192,1.1922978385806466,0.0013541666666666667,0.012999999999946908,0.5498339973098497,8.823529411764705,0.014156174750569156,0.0,0.002467809111986057,0.16328310829665393,499.9999994584303,0.54
0.41,0.0,0.0159835,0.04780811342712867,0.0,0.011964731652544192,1.1956613983209459,0.0013541666666666667,0.012999999999968032,0.5498339973108953,8.823529411764705,0.014595679300702937,0.0,0.0025944697254684313,0.16569311528002886,499.99999992469753,0.55
0.41,0.0,0.0159835,0.04855947060858233,0.0,0.011964731652544192,1.1990179168000616,0.0013541666666666667,0.012999999999973862,0.549833997311184,8.823529411764705,0.01503909238358733,0.0,0.002724943334302936,0.16808608880181555,500.00000018561616,0.56
0.41,0.0,0.0159835,0.04930658314182513,0.0,0.011964731652544192,1.2023673992508463,0.0013541666666666667,0.012999999999984156,0.5498339973116936,8.823529411764705,0.015486311995259532,0.0,0.0028592585105477572,0.1704622557964835,500.00000022176835,0.57
0.41,0.0,0.0159835,0.050049452766257,0.0,0.011964731652544192,1.2057098507562172,0.0013541666666666667,0.01299999999999574,0.549833997312267,8.823529411764705,0.01593723826217825,0.0,0.002997442706619393,0.17282183967092538,500.0000000927492,0.58
0.41,0.0,0.0159835,0.05078808144694103,0.0,0.011964731652544192,1.2090452762553079,0.0013541666666666667,0.013000000000001599,0.549833997312557,8.823529411764705,0.016391773277125304,0.0,0.0031395223367670483,0.17516506055657463,500.00000000269785,0.59
0.41,0.0,0.0159835,0.05152247136727451,0.0,0.011964731652544192,1.2123736805512086,0.0013541666666666667,0.013000000000003637,0.5498339973126579,8.823529411764705,0.016849820869273793,0.0,0.0032855228889666966,0.17749213566204203,499.9999999317727,0.6
0.41,0.0,0.0159835,0.05225262493130299,0.0,0.011964731652544192,1.2156950683078063,0.0013541666666666667,0.013000000000001776,0.5498339973125658,8.823529411764705,0.017311286753339327,0.0,0.0034354688578364565,0.17980327904800109,499.99999992141187,0.61
0.41,0.0,0.0159835,0.05297854475837413,0.0,0.011964731652544192,1.2190094440550854,0.0013541666666666667,0.013000000000000095,0.5498339973124826,8.823529411764705,0.017776078416372812,0.0,0.0035893838036814693,0.1820987018025848,499.99999984407845,0.62
0.41,0.0,0.0159835,0.053700233687993405,0.0,0.011964731652544192,1.2223168121840997,0.0013541666666666667,0.01299999999999852,0.5498339973124047,8.823529411764705,0.018244105171190985,0.0,0.003747290319197367,0.18437861195884095,499.9999998414616,0.63
0.41,0.0,0.0159835,0.054417694770871404,0.0,0.011964731652544192,1.2256171769551978,0.0013541666666666667,0.012999999999997696,0.5498339973123638,8.823529411764705,0.018715278037576877,0.0,0.003909210098629414,0.18664321468135603,499.9999999278654,0.64
0.41,0.0,0.0159835,0.05513093126239303,0.0,0.011964731652544192,1.228910542502738,0.0013541666666666667,0.012999999999991171,0.5498339973120409,8.823529411764705,0.019189509665578437,0.0,0.00407516398288678,0.1888927123887317,499.9999999016244,0.65
0.41,0.0,0.0159835,0.05583994663952315,0.0,0.011964731652544192,1.232196912823002,0.0013541666666666667,0.012999999999985093,0.54983399731174,8.823529411764705,0.019666714494005845,0.0,0.0042451718599465955,0.19112730450057902,499.9999998970573,0.66
0.41,0.0,0.0159835,0.0565447445829517,0.0,0.011964731652544192,1.2354762917875524,0.0013541666666666667,0.012999999999981672,0.5498339973115706,8.823529411764705,0.02014680855483114,0.0,0.004419252782574617,0.193347187748907,499.9999999149674,0.67
0.41,0.0,0.0159835,0.057245328979567786,0.0,0.011964731652544192,1.2387486831417112,0.0013541666666666667,0.01299999999998384,0.5498339973116779,8.823529411764705,0.02062970948467551,0.0,0.004597424958952183,0.19555255615943526,499.99999995052116,0.68
0.41,0.0,0.0159835,0.05794170391976009,0.0,0.011964731652544192,1.2420140905058876,0.0013541666666666667,0.012999999999993137,0.5498339973121381,8.823529411764705,0.0211153365182249,0.0,0.004779705760381262,0.1977436010646564,499.99999999655444,0.69
0.41,0.0,0.0159835,0.05863387369006521,0.0,0.011964731652544192,1.2452725173747432,0.0013541666666666667,0.012999999999994558,0.5498339973122085,8.823529411764705,0.021603610640636844,0.0,0.004966111667091605,0.19992051088103352,500.0000000738296,0.7
