value_component_environment_variable_time,value_component_L_variable_L,value_component_L_variable_L_0,value_component_A_variable_A,value_component_A_variable_A_0,value_component_T_variable_T,value_component_T_variable_T_0,value_component_M_variable_M,value_component_reaction_constants_variable_mu_L,value_component_reaction_constants_variable_mu_A,value_component_reaction_constants_variable_mu_T,value_component_reaction_constants_variable_epsilon
0.0,0.33,0.25,0.34,0.45,0.33,0.3,0.0,2.0,3.6,2.4,0.0
0.1,0.32723202557989256,0.25,0.3468898327279403,0.45,0.3258781416921672,0.3,0.0,2.0,3.6,2.4,0.0
0.2,0.324438952855407,0.25,0.35345408006236284,0.45,0.32210696708223024,0.3,0.0,2.0,3.6,2.4,0.0
0.30000000000000004,0.321635376485962,0.25,0.359700325930184,0.45,0.3186642975838541,0.3,0.0,2.0,3.6,2.4,0.0
0.4,0.31883491785586127,0.25,0.3656372136994014,0.45,0.31552786844473746,0.3,0.0,2.0,3.6,2.4,0.0
0.5,0.31604947865728183,0.25,0.37127369134221616,0.45,0.3126768300005022,0.3,0.0,2.0,3.6,2.4,0.0
0.6000000000000001,0.3132895564522332,0.25,0.376618982532698,0.45,0.31009146101506896,0.3,0.0,2.0,3.6,2.4,0.0
0.7000000000000001,0.3105643312343023,0.25,0.3816825487326855,0.45,0.3077531200330123,0.3,0.0,2.0,3.6,2.4,0.0
0.8,0.30788176468763295,0.25,0.3864740241639849,0.45,0.3056442111483823,0.3,0.0,2.0,3.6,2.4,0.0
0.9,0.30524873737422004,0.25,0.39100314906333017,0.45,0.3037481135624499,0.3,0.0,2.0,3.6,2.4,0.0
1.0,0.30267114466520884,0.25,0.39527971063333733,0.45,0.302049144701454,0.3,0.0,2.0,3.6,2.4,0.0
