A,B,I1,I2,I3,L,L_e,M,P,Time
0.038,0.0,0.0,0.0,0.0,0.372,0.08,0.000626,0.0149,0.0
0.03779437424431912,2.4751930750554687e-10,4.854709955526301e-08,9.886171250088935e-08,5.8491395031900514e-05,0.40309227286449417,0.08,0.0006233012431543476,0.014800222122096536,0.01
0.03758988555259157,9.869311985008892e-10,9.196711093226594e-08,1.9680451922224974e-07,0.00011652452909172082,0.42979935808791253,0.08,0.0006206187466952581,0.014701318279417522,0.02
0.037386554757036,2.2135442597873076e-09,1.3075345954747337e-07,2.9383553194129287e-07,0.00017410251473508527,0.45284128623801784,0.08,0.0006179519537120176,0.014603281004569816,0.03
0.0371844045109317,3.922703430050797e-09,1.6535261945870665e-07,3.8996174278179526e-07,0.00023122840373125298,0.47279656218801,0.08,0.0006153003565611953,0.01450610289107088,0.04
0.03698345855417528,6.109789413084602e-09,1.9616858766914838e-07,4.85190032238799e-07,0.0002879051916722057,0.49013568867253626,0.08,0.0006126634921915534,0.014409776592734248,0.05
0.0367837412157552,8.770218129910747e-09,2.235669258147994e-07,5.795271764499277e-07,0.00034413582214352814,0.5052452409697806,0.08,0.0006100409379194573,0.014314294823074962,0.06
0.03658527706554188,1.1899440204537793e-08,2.478784294204714e-07,6.729798538171812e-07,0.00039992319051752694,0.5184458183793549,0.08,0.000607432307592505,0.014219650354732492,0.07
0.03638809068344995,1.549294048377892e-08,2.69402420574337e-07,7.655546509713719e-07,0.00045527014736404184,0.5300050599041773,0.08,0.0006048372481459577,0.014125836018911438,0.08
0.036192206489712386,1.9546237583654238e-08,2.884097485526535e-07,8.572580682260495e-07,0.0005101795015644004,0.540147974105562,0.08,0.0006022554364640481,0.014032844704836421,0.09
0.03599764862949978,2.4054883462560902e-08,3.051454971478904e-07,9.480965245185634e-07,0.0005646540231271731,0.5490647943240048,0.08,0.0005996865765475139,0.01394066935922142,0.1
0.03580444089351087,2.9014463018322196e-08,3.1983143177157145e-07,1.038076361895672e-06,0.0006186964457391507,0.5569171395033264,0.08,0.0005971303969529534,0.01384930298575222,0.11
0.03561260666448927,3.4420593706887925e-08,3.3266821182508754e-07,1.1272038495880317e-06,0.0006723094690773521,0.5638429037498413,0.08,0.0005945866484774438,0.013758738644581037,0.12
0.03542216887781203,4.026892517653392e-08,3.438374359353016e-07,1.2154851877917837e-06,0.0007254957609508073,0.5699603999330768,0.08,0.0005920551020178293,0.01366896945182996,0.13
