Time,M,B,A,L,P,I1,I2,I3,L_e,mu,gamma_M,gamma_B,gamma_A,gamma_0,K,alpha_M,tau_B,alpha_A,K_L1,alpha_B,K_A,beta_A,tau_M,K_L,gamma_L,gamma_P,alpha_L,alpha_P,tau_P,beta_L1,K_Le,K_1,cell,r_m1,r_m2,r_m3_i1,r_i1,r_b1,r_b2_i2,r_i2,r_a1,r_a2,r_a3_l1,r_l2,r_l3,r_l4,r_p1,r_p2_i3,r_i3
0.0,0.000626,0.0,0.038,0.372,0.0149,0.0,0.0,0.0,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.0002714336,0.0,5.1287821029077e-06,0.0,0.0,9.932356762204022e-06,0.0206188,0.0,0.0,0.0084072,6.731631530705775,10.096941176470589,0.01002174,0.0,0.0058721579225159415
0.01,0.0006233012431543476,2.4751930750554687e-10,0.03779437424431912,0.40309227286449417,0.014800222122096536,4.854709955526301e-08,9.886171250088935e-08,5.8491395031900514e-05,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.00027026341903172514,4.854709955526301e-07,5.075187788090798e-06,5.800119932777479e-12,4.9430856250444675e-08,9.889537248137792e-06,0.020507227464967553,1.0118199620043053e-07,1.2788702922092764e-06,0.009109885366737567,7.143631743329684,10.029326990973653,0.00995462939932213,2.0668337467102656e-05,0.005846842385148303
0.02,0.0006206187466952581,9.869311985008892e-10,0.03758988555259157,0.42979935808791253,0.014701318279417522,9.196711093226594e-08,1.9680451922224974e-07,0.00011652452909172082,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.0002691002885670639,9.196711093226593e-07,5.02217252902266e-06,2.3126758774471337e-11,9.840225961112487e-08,9.846975727618582e-06,0.020396271900836187,4.0130037287684713e-07,5.333343038982291e-06,0.009713465492786823,7.47581939083809,9.962305092875873,0.009888106674736224,4.117474526209216e-05,0.005821679377425677
0.03,0.0006179519537120176,2.2135442597873076e-09,0.037386554757036,0.45284128623801784,0.014603281004569816,1.3075345954747337e-07,2.9383553194129287e-07,0.00017410251473508527,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.00026794396712953084,1.3075345954747336e-06,4.9697370715857745e-06,5.186998263959598e-11,1.4691776597064643e-07,9.804663364486812e-06,0.02028594461116773,8.952818261589933e-07,1.2399107767100332e-05,0.010234213068979203,7.744408223900023,9.895870421920252,0.009822166803673657,6.152032322794533e-05,0.00579666367527832
0.04,0.0006153003565611953,3.922703430050797e-09,0.0371844045109317,0.47279656218801,0.01450610289107088,1.6535261945870665e-07,3.8996174278179526e-07,0.00023122840373125298,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.00026679423460493427,1.6535261945870663e-06,4.917882536546094e-06,9.192070947638033e-11,1.9498087139089763e-07,9.762592104276571e-06,0.020176257887631537,1.5781438813372352e-06,2.262389383837637e-05,0.010685202305449025,7.961661841358322,9.830017959125678,0.009756804804534273,8.170614972835795e-05,0.005771790516785474
0.05,0.0006126634921915534,6.109789413084602e-09,0.03698345855417528,0.49013568867253626,0.014409776592734248,1.9616858766914838e-07,4.85190032238799e-07,0.0002879051916722057,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.00026565089021425754,1.9616858766914836e-06,4.866610221925765e-06,1.4317069531681147e-10,2.425950161193995e-07,9.720754600038827e-06,0.020067224611495505,2.4449949822463194e-06,3.609624449392163e-05,0.01107706656399932,8.137031390365138,9.764742726370502,0.009692015736273055,0.00010173328327639776,0.0057470555583209485
0.06,0.0006100409379194573,8.770218129910747e-09,0.0367837412157552,0.5052452409697806,0.014314294823074962,2.235669258147994e-07,5.795271764499277e-07,0.00034413582214352814,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.0002645137506818767,2.2356692581479937e-06,4.815921471535181e-06,2.0551252143819851e-10,2.8976358822496387e-07,9.679144145312468e-06,0.01995885798366877,3.4910346250505995e-06,5.28641279080141e-05,0.011418542445917041,8.277916915421137,9.700039785989622,0.009627794698000219,0.00012160276400831383,0.005722454834924596
0.07,0.000607432307592505,1.1899440204537793e-08,0.03658527706554188,0.5184458183793549,0.014219650354732492,2.478784294204714e-07,6.729798538171812e-07,0.00039992319051752694,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.0002633826485721102,2.4787842942047138e-06,4.765817585271057e-06,2.788395823129341e-10,3.364899269085906e-07,9.63775461325497e-06,0.019851171335763022,4.711553498068264e-06,7.294735416297715e-05,0.01171687549537342,8.390194544638616,9.635904240383429,0.009564136828593073,0.00014131561502386112,0.005697984724315445
0.08,0.0006048372481459577,1.549294048377892e-08,0.03638809068344995,0.5300050599041773,0.014125836018911438,2.69402420574337e-07,7.655546509713719e-07,0.00045527014736404184,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.00026225743079608723,2.6940242057433697e-06,4.716299761708512e-06,3.630460743563914e-10,3.8277732548568597e-07,9.59658040200539e-06,0.019744178004839942,6.101933608696777e-06,9.634602736280175e-05,0.011978114353834408,8.478582563031619,9.57233123163881,0.009501037306319833,0.00016087284359153422,0.005673641914589498
0.09,0.0006022554364640481,1.9546237583654238e-08,0.036192206489712386,0.540147974105562,0.014032844704836421,2.884097485526535e-07,8.572580682260495e-07,0.0005101795015644004,0.08,0.0226,0.411,0.000833,0.52,7.25e-07,7200.0,0.000997,2.0,17600.0,1.81,0.0166,1.95,21500.0,0.1,0.97,0.0,0.65,2880.0,10.0,0.83,2650.0,0.26,25200.0,1.0,7.25e-07,0.0002611379572508112,2.884097485526535e-06,4.66736905782553e-06,4.5802698529776975e-10,4.286290341130247e-07,9.5556163848847e-06,0.01963789124131794,7.65764838109966e-06,0.00012304644995913178,0.012207344214785702,8.546910114892393,9.50931594115974,0.009438491348472976,0.00018027544224890474,0.005649423374777405
