Time,EI,PyrPI,EIP,HPr,EIPHPr,HPrP,EIIA,HPrPIIA,EIIAP,EIICB,EIIAPIICB,EIICBP,EIICBPGlc,PEP,Pyr,GlcP,Glc,compartment,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0.0,3.0,0.0,2.0,25.0,0.0,25.0,20.0,0.0,20.0,5.0,0.0,5.0,0.0,2800.0,900.0,50.0,500.0,1.0,16464000.0,-529200.0,700000.0,-252000.0,10980000.0,-1692000.0,88000.0,-96000.0,650000.0,-1.35
0.01,0.26927419651184875,3.0487544173069745,1.1900635179877341,1.2761251943642158,0.4919078681934363,29.781988649476236,0.6414804548556889,18.44997828796665,15.43569668350803,1.412811266755007,5.472844573670221,0.11953597912348375,2.994808180451263,2800.0,900.0,50.0,500.0,1.0,14374.670149678132,14374.670209598786,14374.670380061925,14374.670152829935,14374.694009443047,14374.673880313945,14374.695817682483,14374.69688000002,14374.696903857346,14374.69780712404
0.02,0.26927419798244573,3.048754381894954,1.1900634090187996,1.2761269221048201,0.4919080111037943,29.781974051185006,0.6414811985258069,18.44999101560692,15.435683781852376,1.4128123721024628,5.472844004015493,0.1195359652202012,2.994807658661816,2800.0,900.0,50.0,500.0,1.0,14374.695218084147,14374.695218280714,14374.695218197105,14374.695218110093,14374.69523492927,14374.695247304364,14374.695293065251,14374.695299333964,14374.69529940671,14374.695302236249
0.03,0.269274198016108,3.0487543810286812,1.1900634064011297,1.2761269635790096,0.4919080145540747,29.781973704138345,0.6414812163258835,18.449991317729108,15.435683475613843,1.412812398679856,5.472843990331758,0.1195359648861967,2.9948076461021627,2800.0,900.0,50.0,500.0,1.0,14374.695818633772,14374.695817358675,14374.695814123286,14374.69581855954,14374.695352971321,14374.695730312204,14374.695285379663,14374.695261371951,14374.69526087183,14374.695241942738
0.04,0.26927419798617397,3.048754381757701,1.190063408637311,1.2761269281307466,0.4919080116188073,29.781974003194172,0.6414812010763461,18.44999105705681,15.43568373985079,1.4128123759883728,5.472844002016646,0.1195359651714585,2.994807656823496,2800.0,900.0,50.0,500.0,1.0,14374.695304426132,14374.69530439924,14374.695304568617,14374.695304418365,14374.695316730009,14374.695295972138,14374.695295388596,14374.695293794337,14374.695293785264,14374.695293411263
0.05,0.2692741979861263,3.048754381759895,1.1900634086431616,1.2761269280385112,0.4919080116108104,29.7819740039093,0.6414812010375937,18.449991056441917,15.435683740473745,1.41281237592871,5.4728440020473395,0.11953596517220648,2.9948076568517172,2800.0,900.0,50.0,500.0,1.0,14374.69530311157,14374.695303088112,14374.695303248376,14374.69530310437,14374.695314962417,14374.6952953992,14374.695295325668,14374.695293879357,14374.695293871524,14374.695293546742
0.06,0.2692741979860786,3.048754381762089,1.1900634086490125,1.276126927946276,0.4919080116028135,29.78197400462443,0.6414812009988411,18.44999105582702,15.4356837410967,1.4128123758690472,5.472844002078033,0.11953596517295446,2.994807656879938,2800.0,900.0,50.0,500.0,1.0,14374.695301796775,14374.695301776868,14374.69530192814,14374.695301790383,14374.695313194941,14374.695294826248,14374.695295262736,14374.695293964372,14374.695293957786,14374.695293682218
0.07,0.2692741979860309,3.048754381764283,1.1900634086548632,1.2761269278540406,0.4919080115948166,29.78197400533956,0.6414812009600885,18.449991055212124,15.435683741719656,1.4128123758093845,5.472844002108727,0.11953596517370246,2.9948076569081596,2800.0,900.0,50.0,500.0,1.0,14374.69530048198,14374.69530046574,14374.695300607902,14374.695300476393,14374.69531142735,14374.69529425331,14374.695295199808,14374.695294049392,14374.695294044046,14374.695293817698
0.08,0.26927419798598323,3.048754381766477,1.1900634086607138,1.2761269277618053,0.49190801158681974,29.781974006054686,0.641481200921336,18.449991054597227,15.43568374234261,1.4128123757497215,5.47284400213942,0.11953596517445045,2.9948076569363806,2800.0,900.0,50.0,500.0,1.0,14374.695299167186,14374.695299154671,14374.695299287661,14374.695299162413,14374.695309659815,14374.695293680343,14374.695295136873,14374.695294134406,14374.695294130306,14374.695293953175
0.09,0.2692741979859356,3.0487543817686706,1.1900634086665645,1.2761269276695701,0.4919080115788228,29.781974006769815,0.6414812008825835,18.44999105398233,15.435683742965566,1.4128123756900588,5.472844002170113,0.11953596517519843,2.994807656964602,2800.0,900.0,50.0,500.0,1.0,14374.695297852624,14374.695297843486,14374.695297967428,14374.695297848415,14374.695307892282,14374.695293107376,14374.695295073949,14374.695294219424,14374.695294216566,14374.695294088653
