data_set_T,data_set_B,data_set_Y,data_set_Z
0.0,0.0,1.4,0.1
0.02,0.0,1.3858,0.11311522
0.039999999,0.0,1.374648,0.12098932
0.059999999,0.0,1.3654634,0.12559153
0.079999998,0.0,1.3575079,0.12820873
0.1,0.0,1.3503128,0.12964061
0.12,0.0,1.3435911,0.1303712
0.14,0.0,1.33717,0.13068931
0.16,0.0,1.330947,0.13076589
0.18000001,0.0,1.3248613,0.13070165
0.2,0.0,1.3188767,0.13055578
0.22,0.0,1.3129723,0.13036302
0.23999999,0.0,1.3071352,0.1301437
0.25999999,0.0,1.3013577,0.12990977
0.28,0.0,1.2956355,0.12966818
0.30000001,0.0,1.2899653,0.12942302
0.31999999,0.0,1.2843455,0.12917668
0.34,0.0,1.2787747,0.12893052
0.36000001,0.0,1.2732522,0.12868537
0.38,0.0,1.2677772,0.12844168
0.40000001,0.0,1.262349,0.12819971
0.41999999,0.0,1.2569672,0.12795961
0.44,0.0,1.2516313,0.12772146
0.46000001,0.0,1.2463409,0.12748529
0.47999999,0.0,1.2410957,0.12725112
0.5,0.0,1.235895,0.12701894
0.51999998,0.0,1.2307388,0.12678877
0.54000002,0.0,1.2256263,0.12656055
0.56,0.0,1.2205575,0.12633431
0.57999998,0.0,1.2155317,0.12611
0.60000002,0.0,1.2105488,0.12588763
0.62,0.0,1.2056084,0.12566717
0.63999999,0.0,1.2007099,0.12544858
0.66000003,0.0,1.1958531,0.12523189
0.68000001,0.0,1.1910378,0.12501705
0.69999999,0.0,1.1862633,0.12480406
0.72000003,0.0,1.1815295,0.12459288
0.74000001,0.0,1.1768361,0.12438351
0.75999999,0.0,1.1721826,0.12417593
0.77999997,0.0,1.1675687,0.12397012
0.80000001,0.0,1.162994,0.12376606
0.81999999,0.0,1.1584584,0.12356375
0.83999997,0.0,1.1539612,0.12336317
0.86000001,0.0,1.1495024,0.12316429
0.88,0.0,1.1450815,0.1229671
0.89999998,0.0,1.1406983,0.1227716
0.92000002,0.0,1.1363524,0.12257775
0.94,0.0,1.1320435,0.12238555
0.95999998,0.0,1.1277713,0.12219499
0.98000002,0.0,1.1235354,0.12200604
1.0,0.0,1.1193357,0.1218187
1.02,0.0,1.1151716,0.12163295
1.04,0.0,1.111043,0.12144876
1.0599999,0.0,1.1069496,0.12126615
1.08,0.0,1.1028911,0.12108508
1.1,0.0,1.0988671,0.12090553
1.12,0.0,1.0948774,0.12072752
1.14,0.0,1.0909216,0.12055101
1.16,0.0,1.0869997,0.12037598
1.1799999,0.0,1.083111,0.12020244
1.2,0.0,1.0792555,0.12003037
1.22,0.0,1.0754329,0.11985975
1.24,0.0,1.0716428,0.11969057
1.26,0.0,1.067885,0.11952282
1.28,0.0,1.0641593,0.11935648
1.3,0.0,1.0604653,0.11919156
1.3200001,0.0,1.0568029,0.11902802
1.34,0.0,1.0531716,0.11886586
1.36,0.0,1.0495713,0.11870506
1.38,0.0,1.0460017,0.11854563
1.4,0.0,1.0424626,0.11838754
1.42,0.0,1.0389535,0.11823077
1.4400001,0.0,1.0354745,0.11807533
1.46,0.0,1.0320252,0.1179212
1.48,0.0,1.0286052,0.11776837
1.5,0.0,1.0252146,0.11761682
1.52,0.0,1.0218527,0.11746656
1.54,0.0,1.0185196,0.11731756
1.5599999,0.0,1.0152149,0.1171698
1.58,0.0,1.0119385,0.1170233
1.6,0.0,1.00869,0.11687803
1.62,0.0,1.0054693,0.11673398
1.64,0.0,1.0022761,0.11659114
1.66,0.0,0.9991101,0.11644951
1.6799999,0.0,0.9959712,0.11630906
1.7,0.0,0.99285913,0.1161698
1.72,0.0,0.98977363,0.11603171
1.74,0.0,0.98671448,0.11589478
1.76,0.0,0.9836815,0.11575901
1.78,0.0,0.98067445,0.11562437
1.8,0.0,0.97769314,0.11549087
1.8200001,0.0,0.97473729,0.11535849
1.84,0.0,0.9718067,0.11522722
1.86,0.0,0.96890122,0.11509706
1.88,0.0,0.96602052,0.11496799
1.9,0.0,0.96316457,0.11484002
1.92,0.0,0.96033299,0.11471311
1.9400001,0.0,0.95752567,0.11458727
1.96,0.0,0.95474237,0.11446249
1.98,0.0,0.95198286,0.11433876
2.0,0.0,0.949247,0.11421607
2.02,0.0,0.94653463,0.11409442
2.04,0.0,0.94384539,0.11397379
2.0599999,0.0,0.94117928,0.11385417
2.0799999,0.0,0.93853593,0.11373556
2.0999999,0.0,0.93591529,0.11361795
2.1199999,0.0,0.93331707,0.11350133
2.1400001,0.0,0.93074113,0.11338568
2.1600001,0.0,0.92818731,0.11327101
2.1800001,0.0,0.92565536,0.11315732
2.2,0.0,0.92314512,0.11304457
2.22,0.0,0.92065638,0.11293277
2.24,0.0,0.91818899,0.11282192
2.26,0.0,0.91574281,0.112712
2.28,0.0,0.91331756,0.112603
2.3,0.0,0.91091317,0.11249492
2.3199999,0.0,0.9085294,0.11238776
2.3399999,0.0,0.90616608,0.11228149
2.3599999,0.0,0.90382308,0.11217613
2.3800001,0.0,0.90150017,0.11207165
2.4000001,0.0,0.89919722,0.11196805
2.4200001,0.0,0.89691406,0.11186532
2.4400001,0.0,0.89465052,0.11176346
2.46,0.0,0.8924064,0.11166246
2.48,0.0,0.8901816,0.11156231
2.5,0.0,0.88797593,0.11146301
2.52,0.0,0.88578916,0.11136454
2.54,0.0,0.88362122,0.1112669
2.5599999,0.0,0.88147193,0.11117009
2.5799999,0.0,0.87934113,0.1110741
2.5999999,0.0,0.87722868,0.11097891
2.6199999,0.0,0.87513435,0.11088453
2.6400001,0.0,0.87305808,0.11079095
2.6600001,0.0,0.87099963,0.11069815
2.6800001,0.0,0.86895895,0.11060614
2.7,0.0,0.86693579,0.11051491
2.72,0.0,0.86493003,0.11042444
2.74,0.0,0.86294162,0.11033475
2.76,0.0,0.86097026,0.11024581
2.78,0.0,0.85901594,0.11015762
2.8,0.0,0.85707843,0.11007018
2.8199999,0.0,0.85515761,0.10998348
2.8399999,0.0,0.8532533,0.10989751
2.8599999,0.0,0.85136545,0.10981227
2.8800001,0.0,0.84949386,0.10972775
2.9000001,0.0,0.84763843,0.10964394
2.9200001,0.0,0.84579897,0.10956085
2.9400001,0.0,0.84397542,0.10947846
2.96,0.0,0.84216756,0.10939676
2.98,0.0,0.84037524,0.10931576
3.0,0.0,0.83859849,0.10923545
3.02,0.0,0.83683699,0.10915581
3.04,0.0,0.83509076,0.10907685
3.0599999,0.0,0.83335954,0.10899856
3.0799999,0.0,0.83164328,0.10892093
3.0999999,0.0,0.82994187,0.10884397
3.1199999,0.0,0.82825512,0.10876765
3.1400001,0.0,0.82658291,0.10869198
3.1600001,0.0,0.82492518,0.10861696
3.1800001,0.0,0.82328176,0.10854256
3.2,0.0,0.82165259,0.10846881
3.22,0.0,0.82003742,0.10839567
3.24,0.0,0.81843626,0.10832316
3.26,0.0,0.81684893,0.10825127
3.28,0.0,0.81527531,0.10817999
