data_generator_T,data_generator_Z
5.7199998,0.29389909
5.7399998,0.29537323
5.7600002,0.29801348
5.7800002,0.30148321
5.8000002,0.30560929
5.8200002,0.31032091
5.8400002,0.31561849
5.8600001,0.32156122
5.8800001,0.32826984
5.9000001,0.33594435
5.9200001,0.34490538
5.9400001,0.35567978
5.96,0.36918557
5.98,0.3871735
6.0,0.41345245
6.02,0.45813373
6.04,0.55824667
6.0599999,0.91112339
6.0799999,1.257157
6.0999999,1.1374019
6.1199999,1.0045983
6.1399999,0.88277036
6.1599998,0.76773107
6.1799998,0.65518534
6.1999998,0.54498595
6.2199998,0.44584075
6.2399998,0.37047166
6.2600002,0.32205209
6.2800002,0.29421142
6.3000002,0.27930877
6.3200002,0.27193323
6.3400002,0.26883256
6.3600001,0.26816007
6.3800001,0.26888692
6.4000001,0.27044258
6.4200001,0.27251065
6.4400001,0.27491593
6.46,0.27756244
6.48,0.28039938
6.5,0.28340253
6.52,0.28656408
6.54,0.28988728
6.5599999,0.29338369
6.5799999,0.29707232
6.5999999,0.30097985
6.6199999,0.30514196
6.6399999,0.30960587
6.6599998,0.31443453
6.6799998,0.31971332
6.6999998,0.32556081
6.7199998,0.33214703
6.7399998,0.33972573
6.7600002,0.34869492
6.7800002,0.35971954
6.8000002,0.37400666
6.8200002,0.3940106
6.8400002,0.42561349
6.8600001,0.48709378
6.8800001,0.66662782
6.9000001,1.2571843
6.9200001,1.2412986
6.9400001,1.0885675
6.96,0.94784874
6.98,0.81660694
7.0,0.68851423
7.02,0.56128794
7.04,0.4448047
7.0599999,0.35702738
7.0799999,0.30252695
7.0999999,0.27224997
7.1199999,0.25634816
7.1399999,0.24840723
7.1599998,0.24479677
7.1799998,0.24354118
7.1999998,0.24357472
7.2199998,0.24432176
7.2399998,0.24546979
7.2600002,0.24684811
7.2800002,0.24836271
7.3000002,0.2499615
7.3200002,0.25161546
7.3400002,0.25330839
7.3600001,0.25503126
7.3800001,0.2567791
7.4000001,0.25854948
7.4200001,0.2603412
7.4400001,0.26215401
7.46,0.26398829
7.48,0.26584467
7.5,0.26772419
7.52,0.26962805
7.54,0.27155769
7.5599999,0.27351484
7.5799999,0.27550137
7.5999999,0.27751943
7.6199999,0.2795715
7.6399999,0.28166035
7.6599998,0.2837891
7.6799998,0.28596133
7.6999998,0.28818116
7.7199998,0.29045326
7.7399998,0.29278314
7.7600002,0.29517713
7.7800002,0.29764271
7.8000002,0.30018869
7.8200002,0.30282569
7.8400002,0.30556643
7.8600001,0.30842656
7.8800001,0.31142533
7.9000001,0.31458703
7.9200001,0.31794256
7.9400001,0.32153213
7.96,0.32540902
7.98,0.32964575
8.0,0.33434352
8.0200005,0.33964843
8.04,0.34577984
8.0600004,0.3530831
8.0799999,0.36213577
8.1000004,0.37398222
8.1199999,0.39072257
8.1400003,0.41728118
8.1599998,0.46836823
8.1800003,0.61116379
8.1999998,1.21436
8.2200003,1.2950569
8.2399998,1.1238923
8.2600002,0.96531367
8.2799997,0.8169179
8.3000002,0.67037433
8.3199997,0.52464294
8.3400002,0.39837998
8.3599997,0.31291506
8.3800001,0.26452154
8.3999996,0.23897851
8.4200001,0.22584915
8.4399996,0.21928631
8.46,0.21619612
8.4799995,0.21495108
8.5,0.21469098
8.5200005,0.21495831
8.54,0.21550834
8.5600004,0.21620947
8.5799999,0.21699049
8.6000004,0.21781266
8.6199999,0.21865472
8.6400003,0.21950494
8.6599998,0.22035673
8.6800003,0.22120637
8.6999998,0.22205167
8.7200003,0.22289129
8.7399998,0.22372441
8.7600002,0.22455047
8.7799997,0.22536902
8.8000002,0.22617973
8.8199997,0.22698233
8.8400002,0.22777653
8.8599997,0.2285621
8.8800001,0.22933879
8.8999996,0.23010637
8.9200001,0.23086461
8.9399996,0.23161329
8.96,0.23235215
8.9799995,0.23308098
9.0,0.23379955
9.0200005,0.23450761
9.04,0.23520492
9.0600004,0.23589127
9.0799999,0.23656641
9.1000004,0.23723011
9.1199999,0.23788212
9.1400003,0.23852222
9.1599998,0.23915015
9.1800003,0.2397657
9.1999998,0.24036862
9.2200003,0.24095869
9.2399998,0.24153566
9.2600002,0.2420993
9.2799997,0.24264939
9.3000002,0.24318571
9.3199997,0.24370803
9.3400002,0.24421613
9.3599997,0.2447098
9.3800001,0.24518885
9.3999996,0.24565305
9.4200001,0.24610223
9.4399996,0.2465362
9.46,0.24695478
9.4799995,0.24735782
9.5,0.24774513
9.5200005,0.24811658
9.54,0.24847205
9.5600004,0.24881139
9.5799999,0.24913453
9.6000004,0.24944134
9.6199999,0.24973175
9.6400003,0.25000572
9.6599998,0.25026315
9.6800003,0.25050408
9.6999998,0.25072843
9.7200003,0.25093624
9.7399998,0.25112751
9.7600002,0.25130233
9.7799997,0.2514607
9.8000002,0.25160271
9.8199997,0.25172848
9.8400002,0.25183812
9.8599997,0.25193173
9.8800001,0.25200951
9.8999996,0.25207159
9.9200001,0.2521182
9.9399996,0.25214952
9.96,0.25216576
9.9799995,0.25216717
10.0,0.25215402
10.02,0.25212657
10.04,0.25208506
10.06,0.25202984
10.08,0.2519612
10.1,0.25187942
10.12,0.25178486
10.14,0.25167784
10.16,0.25155869
10.18,0.25142777
10.2,0.2512854
10.22,0.25113195
10.24,0.25096777
10.26,0.25079325
10.28,0.25060868
10.3,0.25041446
10.32,0.25021094
