Time,Ce,rem_time,Exposure,Size,Effect,Dose,Dose_Int1,Dose_Int2,Dose_Length,Cycle_Int,N_Cycle,conversion_factor,AE50,Keq,Teq,Size_0,RateIn,T_Turnover,Kover,COMpartment
0.0,0.0,0.0,0.0,6.66,1.0,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.01,52.01489321576751,0.01,5203.84,6.659950285030684,0.9951168963114297,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.02,103.98280117610112,0.02,5203.84,6.659802048862905,0.9902855971363598,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.03,155.9037663236759,0.03,5203.84,6.659556642934299,0.9855052843804902,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.04,207.77783106342667,0.04,5203.84,6.659215402345029,0.9807751570849063,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.05,259.6050377606449,0.05,5203.84,6.658779645615,0.9760944309799523,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.06,311.3854287405069,0.06,5203.84,6.6582506739819,0.9714623380528452,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.07,363.11904629191645,0.07,5203.84,6.657629774021515,0.9668781261282814,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.08,414.8059326661294,0.08,5203.84,6.656918216754089,0.962341058462414,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.09,466.446130075575,0.09,5203.84,6.656117257301501,0.9578504133492411,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.1,518.0396806946179,0.1,5203.84,6.655228135879861,0.9534054837388157,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.11,569.5866266594294,0.11,5203.84,6.654252077061079,0.9490055768671021,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.12,621.0870100682376,0.12,5203.84,6.653190291155604,0.9446500138969638,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.13,672.5408729811661,0.13,5203.84,6.652043973297054,0.940338129569957,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.14,723.9482574214785,0.14,5203.84,6.650814309499132,0.9360692718684035,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.15,775.3092053740054,0.15,5203.84,6.649502469058312,0.9318428016877354,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.16,826.6237587850791,0.16,5203.84,6.648109604262354,0.9276580925184004,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.17,877.8919595630628,0.17,5203.84,6.646636852969629,0.9235145301370756,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.18,929.1138495783874,0.18,5203.84,6.645085338806272,0.9194115123069615,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.19,980.2894706635876,0.19,5203.84,6.6434561713633125,0.9153484484868051,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.2,1031.4188646133368,0.2,5203.84,6.641750446393822,0.9113247595483593,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.21,1082.5020731844845,0.21,5203.84,6.639969246010047,0.9073398775019939,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.22,1133.5391380960925,0.22,5203.84,6.638113638880553,0.9033932452301836,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.23,1184.5301010294695,0.23,5203.84,6.636184680427361,0.899484316228613,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.24,1235.4750036282085,0.24,5203.84,6.6341834130230914,0.895612554354644,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.25,1286.3738874982228,0.25,5203.84,6.632110866188101,0.8917774335829031,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.26,1337.226794207782,0.26,5203.84,6.629968056787623,0.887978437767754,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.27,1388.0337652875473,0.27,5203.84,6.627755989228908,0.8842150604124317,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.28,1438.794842230609,0.28,5203.84,6.625475655658363,0.8804868044446198,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.29,1489.5100664925203,0.29,5203.84,6.623128036158689,0.8767931819982623,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.3,1540.1794794935163,0.3,5203.84,6.620714104871166,0.8731337142012523,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.31,1590.8031226178862,0.31,5203.84,6.6182348283768135,0.869507930969172,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.32,1641.3810372100231,0.32,5203.84,6.615691154983237,0.8659153708049173,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.33,1691.9132645769344,0.33,5203.84,6.61308402154128,0.8623555806033287,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.34,1742.3998459882532,0.34,5203.84,6.61041435348859,0.8588281154613056,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.35,1792.840822676242,0.35,5203.84,6.607683064849621,0.8553325384930526,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.36,1843.2362358357907,0.36,5203.84,6.604891058235633,0.8518684206502984,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.37,1893.5861266244171,0.37,5203.84,6.602039224844686,0.8484353405473313,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.38,1943.8905361622667,0.38,5203.84,6.599128444461652,0.8450328842906988,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.39,1994.1495055321134,0.39,5203.84,6.596159585458203,0.8416606453134321,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.4,2044.363075779358,0.4,5203.84,6.593133504792818,0.8383182242136502,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.41,2094.53128791203,0.41,5203.84,6.59005104801078,0.8350052285974132,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.42,2144.6541831484874,0.42,5203.84,6.586913054263519,0.8317212729095279,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.43,2194.7318135502655,0.43,5203.84,6.583720574732507,0.8284659775966594,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.44,2244.761574807684,0.44,5203.84,6.580470961266461,0.8252391403503888,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.45,2261.3955008647667,0.45,0.0,6.577183455753558,0.8241718403953353,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.46,2259.3527735458993,0.46,0.0,6.573907375008862,0.824302761318298,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.47,2257.3118914305765,0.47,0.0,6.5706454063700095,0.8244336055241003,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.48,2255.2728528519447,0.48,0.0,6.567397486471625,0.8245643730267762,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.49,2253.235656144701,0.49,0.0,6.564163552324846,0.8246950638404031,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.5,2251.200299645105,0.5,0.0,6.560943541318794,0.824825677979101,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.51,2249.166781690976,0.51,0.0,6.557737391223241,0.824956215457032,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.52,2247.1351006215077,0.52,0.0,6.554545040127499,0.8250866762884126,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.53,2245.105254777422,0.53,0.0,6.551366426490534,0.8252170604875028,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.54,2243.077242500954,0.54,0.0,6.548201489126506,0.8253473680686082,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.55,2241.051062135833,0.55,0.0,6.545050167196933,0.8254775990460798,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
0.56,2239.0267120272883,0.56,0.0,6.541912400220414,0.8256077534343143,5203.84,0.0,1.0,0.44359,3.0,6.0,604800.0,10600.0,0.09037120998173993,7.67,6.66,0.3055045871559633,21.8,0.04587155963302752,1.0
