Time,CycE,serum,Myc,E2F,CycD,Rb,Phosphorylated_Rb,Rb_E2F_complex,kE,kM,kCD,kCDS,kR,kRE,kb,KS,kCE,dM,dE,dCD,dCE,dR,dRP,dRE,kP1,kP2,kDP,KM,KE,KCD,KCE,KRP,kpfb,Cell,For_Myc,For_E2F,For_CycD,for_CycE,For_Rb,for_Phosphorylated_Rb,for_Rb_E2F_complex
0.0,0.0,2.0,0.0,0.0,0.0,55.0,0.0,0.0,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.0,0.36,0.0,-3.1199999999999997,0.0,180.0
0.2,2.403265915289871e-05,2.0,0.0,0.00011104771983678599,0.062203627040404136,54.665246876036534,0.22677133085596077,35.78048413938216,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.0004941844217323244,0.2666945594393938,0.00022287067463490253,-1.8462003929580955,2.1801910892543064,177.83540946631857
0.4,8.162672477965691e-05,2.0,0.0,0.0001977776748031246,0.10828520688801488,54.1399716781994,0.83267248449785,71.1539437763187,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.0003796222469649724,0.19757218966797768,0.0003384334840158904,-3.3565117884688407,3.79341308363608,175.94257853474116
0.6,0.00015487405588222468,2.0,0.0,0.00026522428195454423,0.1424232802226903,53.347271718536184,1.7146488237891697,106.1725563616103,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.0002987759796049261,0.14636507966596454,0.00038545326669537657,-4.511426802866627,4.963026985999369,174.2759913311202
0.8,0.00023320038173180573,2.0,0.0,0.00031902065977728363,0.16771338729732138,52.35639304721998,2.7960339794104665,140.87559082832618,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.00024158025996845467,0.10842991905401789,0.0003930011728631489,-5.3515472969305,5.803922647599772,172.77864855902763
1.0,0.0003106637200561413,2.0,0.0,0.0003630876059568093,0.18644877912052857,51.22257181082269,4.020038366143722,175.29245374310617,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.00020102769673924215,0.08032683131920715,0.00037916305630873216,-5.95233469483663,6.401405604196981,171.40823309903595
1.2,0.00038419085698669533,2.0,0.0,0.0004002134590494116,0.20032826541600085,49.98733412701299,5.344621634791204,209.44523772429827,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.00017291074339675916,0.059507601875998684,0.0003550602029704752,-6.374504978792444,6.818732646970224,170.1333891698425
1.4,0.00045245667104409074,2.0,0.0,0.0004324203361931872,0.2106104539155267,48.68158449712828,6.738674626961137,243.3506185740804,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.00015149832939975738,0.0440843191267099,0.0003273954468984701,-6.664059598218035,7.102799977141274,168.93088487282193
1.6,0.0005151754534074434,2.0,0.0,0.0004611987582168396,0.21822768581853313,47.32824000337797,8.179194616776856,277.0212570030958,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.00013707986000799366,0.032658471272200285,0.0003000686642986786,-6.855374524355803,7.288363125579578,167.78350861828923
1.8,0.0005726518161763999,2.0,0.0,0.0004876655613887323,0.22387067019067497,45.94426395415541,9.649184844683191,310.46683957870437,0.4,1.0,0.03,0.45,0.18,180.0,0.003,0.5,0.35,0.7,0.25,1.5,1.5,0.06,0.06,0.03,18.0,18.0,3.6,0.15,0.15,0.92,0.92,0.01,4.0,1.0,0.0,0.0001282210762214575,0.024193994713987532,0.00027522118731615865,-6.974031503732291,7.401178278819443,166.67850579168712
