data_set_value_component_environment_variable_time,data_set_value_component_R_variable_R,data_set_value_component_R_variable_L_,data_set_value_component_R_variable_T_,data_set_value_component_R_variable_dR,data_set_value_component_R_variable_rR,data_set_value_component_R_variable_H,data_set_value_component_R_variable_x,data_set_value_component_L_variable_L,data_set_value_component_L_variable_dL,data_set_value_component_L_variable_rL,data_set_value_component_T_variable_T,data_set_value_component_T_variable_dT,data_set_value_component_T_variable_rT
0.0,0.0,30.0,8.0,0.1,0.1,1.0,0.16666666666666674,10.0,0.015,5.0,12.0,0.023,0.01
0.1,0.009950182234823753,30.0,8.0,0.1,0.1,1.0,0.16928159881158567,9.987500702075408,0.015,5.0,11.982413688953873,0.023,0.01
0.2,0.019801400626997895,30.0,8.0,0.1,0.1,1.0,0.17172727780586428,9.979964375079808,0.015,5.0,11.96485794419847,0.023,0.01
0.30000000000000004,0.029554570206934264,30.0,8.0,0.1,0.1,1.0,0.17400489084953552,9.977338321755333,0.015,5.0,11.947337320735627,0.023,0.01
0.4,0.039210663599176,30.0,8.0,0.1,0.1,1.0,0.17611570488214046,9.979566586165333,0.015,5.0,11.929856604632121,0.023,0.01
0.5,0.04877067239177006,30.0,8.0,0.1,0.1,1.0,0.17806101339080405,9.986592157566621,0.015,5.0,11.912420650855802,0.023,0.01
0.6000000000000001,0.0582355595096571,30.0,8.0,0.1,0.1,1.0,0.17984207422204834,9.998359691780589,0.015,5.0,11.895034155082122,0.023,0.01
0.7000000000000001,0.0676062705042452,30.0,8.0,0.1,0.1,1.0,0.18146012480098683,10.014814852767481,0.015,5.0,11.877701707520776,0.023,0.01
0.8,0.07688373956846156,30.0,8.0,0.1,0.1,1.0,0.18291639030421458,10.035903959715053,0.015,5.0,11.860427821642268,0.023,0.01
0.9,0.08606889479252121,30.0,8.0,0.1,0.1,1.0,0.18421208924108323,10.061573693096571,0.015,5.0,11.843216967912248,0.023,0.01
1.0,0.09516265630585284,30.0,8.0,0.1,0.1,1.0,0.18534843136407764,10.09177120367289,0.015,5.0,11.826073561441275,0.023,0.01
