Time,R1,P1,P1_prime,R2,P2,P2_prime,P3_prime,P4_prime,i1,d_R1,sP1R1,d_P1,sP1_prime_P1,s1,n,s3,d_P1_prime,i2,d_R2,sP2R2,d_P2,sP2_prime_P2,s2,d_P2_prime,sP3_prime_P2_prime,d_P3_prime,d_P4_prime,sP4_prime_P1_prime,compartment,React1,React2,React3,React4,React5,React6,React7,React8,React9,React10,React11,React12,React13,React14,React15,React16,React17,React18,React19,React20
0.0,0.01,0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023521,0.0047305,0.022367,0.028687000000000004,0.2,0.1999999998,0.037048,0.0,0.023521,0.04730500000000001,0.22367,0.28687,0.29999999969999996,0.37048,0.25,0.037048,0.1999999998,4.999999995000002e-10,0.037048
0.01,0.009976506990154397,0.09982377834128482,0.10388991210538043,0.09976506990154399,0.9982377834128482,1.0041535423506496,0.10214913689287777,0.09963021407457627,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.002346574209154216,0.004719386631692538,0.022327584501595176,0.028636447292764378,0.19626998636984452,0.1999999997578178,0.038489134636801335,0.0,0.02346574209154216,0.04719386631692539,0.22327584501595177,0.2863644729276438,0.2999999995770572,0.3720188043700686,0.25466251703769444,0.03784421223607336,0.19999999980655858,7.049047113979645e-10,0.036911001710349015
0.02,0.009953068810188813,0.09964783772115438,0.10772832206165973,0.09953068810188813,0.9964783772115439,1.0082868252122126,0.10433627571320131,0.09926178620329613,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023410613148445105,0.004708299200659818,0.0222882318630906,0.028585975207067557,0.19257600245273526,0.19999999970694582,0.039911188757403696,0.0,0.023410613148445107,0.047082992006598184,0.22288231863090602,0.2858597520706756,0.29999999941373995,0.3735501030046205,0.2592799969340809,0.03865450342622682,0.19999999981290217,9.77100111434817e-10,0.03677450655259715
0.03,0.009929685671214898,0.09947217947581022,0.11151541906772186,0.09929685671214901,0.9947217947581022,1.0123998014393738,0.10656111032403627,0.09889472001761228,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023355613667264564,0.004697237806768208,0.022248942383354474,0.02853558412622568,0.18892015766142078,0.19999999964566129,0.04131423245620959,0.0,0.023355613667264567,0.04697237806768209,0.22248942383354472,0.28535584126225677,0.29999999919991605,0.3750738784372592,0.26384980292322396,0.03947876015284896,0.1999999998190378,1.3334731952128632e-09,0.036638515872124994
0.04,0.009906357459077723,0.09929680329359022,0.11525174334889196,0.09906357459077725,0.9929680329359022,1.016492546386878,0.10882305466244395,0.09852901097326433,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023300743379496714,0.004686202396016717,0.022209715992677327,0.028485273960832228,0.18530431444085974,0.19999999957192666,0.04269846587589749,0.0,0.023300743379496718,0.04686202396016718,0.22209715992677326,0.28485273960832225,0.2999999989236617,0.3765901585854105,0.2683696069489253,0.04031676529134223,0.19999999982497219,1.7938971246341052e-09,0.03650302798537497
0.05,0.0098830840501153,0.09912170882467912,0.11893787673158043,0.09883084050115301,0.991217088246791,1.0205651401682332,0.11112147651947042,0.09816465422659998,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023246001994276194,0.004675192909907043,0.022170552612815978,0.0284350446105357,0.1817301947414705,0.19999999948333147,0.04406410457151592,0.0,0.0232460019942762,0.04675192909907044,0.22170552612815975,0.2843504461053569,0.29999999857109655,0.378098973129527,0.2728372565731618,0.0411682846209334,0.19999999983071196,2.381505744814409e-09,0.03636804109787076
0.06,0.009859865317484359,0.09894689570585798,0.122574424589367,0.09859865317484363,0.9894689570585795,1.0246176643836244,0.11345571609735224,0.0978016448397087,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.002319138921325496,0.004664209288435976,0.022131452162529253,0.028384895971139478,0.17819938401217855,0.19999999937702959,0.04541137282186868,0.0,0.023191389213254972,0.04664209288435978,0.2213145216252925,0.28384895971139473,0.29999999812621386,0.37960035230084516,0.27725076998477677,0.042033073699747056,0.19999999983626351,3.1229768884389004e-09,0.03623355338021528
0.07,0.009836701142308574,0.09877236359496606,0.12616196457302425,0.09836701142308578,0.9877236359496605,1.0286501952591098,0.11582514190092744,0.09743997819829901,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023136904756824,0.004653251475369071,0.02209241456528606,0.028334827944487915,0.1747133387419662,0.1999999992496644,0.04674048463501402,0.0,0.023136904756824006,0.04653251475369073,0.22092414565286056,0.2833482794448791,0.2999999975707219,0.381094324339595,0.28160832657254226,0.042910898571455594,0.19999999984163305,4.048796874375288e-09,0.03609956312290582
0.08,0.009813591410032123,0.0985981121613178,0.1297010646710621,0.09813591410032126,0.985981121613178,1.0326628061000844,0.11822913106010748,0.09707964986418141,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.002308254835553656,0.004642319416515696,0.022053439747121952,0.02828484043571724,0.1712733862710259,0.1999999990972854,0.048051650439335084,0.0,0.023082548355536563,0.04642319416515697,0.22053439747121953,0.2828484043571724,0.2999999968838875,0.38258091640395925,0.28590826716121764,0.043801528475148614,0.19999999984682645,5.1935207301991055e-09,0.03596606868168193
0.09,0.009790535983176338,0.09842414100738191,0.1331924158870686,0.09790535983176342,0.984241410073819,1.036655584761785,0.12066692423893707,0.09672065451787971,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0023028319686029066,0.004631413046841567,0.02201452761912111,0.028234933330787648,0.16788071245089273,0.1999999989152637,0.049345126237841166,0.0,0.023028319686029076,0.04631413046841569,0.2201452761912111,0.2823493333078765,0.2999999960423561,0.38406016104254614,0.29014910943638417,0.044704682092041405,0.19999999985184955,6.596073189373019e-09,0.03583306808578408
0.1,0.009767534725897241,0.0982504497394817,0.1366367126844745,0.09767534725897245,0.9825044973948168,1.0406286178989959,0.12313775636548839,0.09636298691216581,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.00229742184287829,0.00462053230208569,0.021975678093229874,0.028185106516765118,0.16453637838838814,0.19999999869817947,0.050621169315344106,0.0,0.02297421842878291,0.04620532302085692,0.2197567809322987,0.2818510651676511,0.2999999950200166,0.38553209035922,0.2943295270145149,0.045620075978286136,0.1999999998567079,8.29997226061416e-09,0.03570055939121919
0.11,0.009744587511945624,0.09807703799005464,0.140034622463115,0.09744587511945628,0.9807703799005463,1.0445819857358027,0.12564088858336442,0.09600664218858454,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0022920244286847302,0.004609677122525878,0.02193689108723552,0.028135359888206975,0.16124132811254283,0.19999999843969685,0.05188002693013484,0.0,0.022920244286847313,0.04609677122525879,0.2193689108723552,0.28135359888206973,0.2999999937878766,0.3869967340754002,0.29844833985932145,0.04654743640236485,0.19999999986140693,1.0353538889142492e-08,0.0355685407980268
0.12,0.009721694206263247,0.09790390536747862,0.1433868385214036,0.09721694206263252,0.9790390536747859,1.0485157743844506,0.1281755566359663,0.0956516151326918,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0022866396942551786,0.004598847444272829,0.021898166513543944,0.028085693332768592,0.15799638188203374,0.19999999813242997,0.0531219559354096,0.0,0.022866396942551798,0.04598847444272832,0.21898166513543937,0.28085693332768585,0.29999999231392094,0.38845412409395125,0.30250452264745786,0.04748648022249279,0.19999999986595185,1.2810131756354282e-08,0.03543701037435965
0.13,0.00969885468684105,0.0977310515146079,0.14669402609003723,0.09698854686841055,0.9773105151460788,1.0524300610146948,0.13074102078115085,0.09529790107066434,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0022812676108918835,0.004588043209610159,0.02185950429227235,0.02803610674799557,0.15480225243744064,0.19999999776778082,0.05434720278583699,0.0,0.022812676108918847,0.04588043209610161,0.21859504292272344,0.28036106747995565,0.2999999905630187,0.3899042890047241,0.3064971844531992,0.04843693337900076,0.19999999987034778,1.5728302169554192e-08,0.035305966388659724
0.14,0.009676068822325674,0.09755847604964002,0.14995687022848095,0.09676068822325679,0.9755847604964,1.0563249292057748,0.13333652406642446,0.09494549494119171,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.002275908147699222,0.0045772643564011605,0.021820904338022983,0.027986600024360233,0.15165953647116745,0.1999999973357673,0.05555602128224762,0.0,0.022759081476992227,0.045772643564011624,0.21820904338022978,0.27986600024360225,0.2999999884968033,0.39134725977215545,0.3104255794110407,0.04939851543612893,0.19999999987459952,1.9171994523983868e-08,0.03517540696581271
0.15,0.009653336488949863,0.09738617860932734,0.15317604932100057,0.09653336488949868,0.9738617860932733,1.0602004570604275,0.1359613114349181,0.09459439201413913,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0022705612755658973,0.004566510826097733,0.021782366569548246,0.027937173057657735,0.14856872872127597,0.1999999968248219,0.056748662752444286,0.0,0.022705612755658983,0.045665108260977354,0.21782366569548245,0.2793717305765773,0.2999999860735953,0.39278306533174717,0.314289089098405,0.05037094666040846,0.19999999987871184,2.321067450119716e-08,0.03504533035339826
0.16,0.00963065756025195,0.09721415882404424,0.15635224275535614,0.09630657560251954,0.9721415882404422,1.0640567246661368,0.13861462890897952,0.09424458743933728,0.0,0.23521,0.47305,0.22367,0.28687,0.4,9.0,0.2,0.37048,0.0,0.23521,0.47305,0.22367,0.28687,0.3,0.37048,0.5,0.37048,0.37048,0.5,1.0,0.0,0.0022652269647468613,0.004555782558877185,0.021743890904173977,0.027887825741853573,0.14553022039596344,0.1999999962215682,0.05792537889600434,0.0,0.02265226964746862,0.04555782558877187,0.2174389090417397,0.27887825741853567,0.2999999832483239,0.3942117353543103,0.3180872245050457,0.05135394771819873,0.19999999988268927,2.7919460202934716e-08,0.034915734754525675
