Time,cLm,cLc,cLn,cTm,cTc,cTn,cXm,cXc,cXn,cYm,cYc,cYn,cPn,cAm,cAc,cAn,q1,n0,g0,alpha,n1,a,g1,m1,k1,p1,r1,r2,m2,k2,m3,k3,n2,b,g2,g3,c,m4,k4,p2,r3,r4,m5,m6,k5,m7,m8,k6,n3,d,g4,m9,k7,p3,r5,r6,m10,k8,m11,k9,q2,n4,n5,g5,g6,e,f,m12,k10,p4,r7,r8,m13,k11,m14,k12,p5,k13,m15,q3,q4,g,n6,g7,m16,k14,p6,r9,r10,m17,k15,m18,k16,light,compartment,reaction_1,reaction_0,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32,reaction_33,reaction_34,reaction_38,reaction_39,reaction_40
0.0,0.4625,0.0132,0.0699,0.4303,10.2965,0.5402,0.0957,1.5413,0.4585,0.0303,0.0041,0.0122,0.8476,14.6921,0.7027,0.8648,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.729239966580006,0.32388772114205644,0.38364375,0.21044703,0.17102434077079107,0.19150855614973264,0.5846511197466809,0.5476844991177549,0.00662799,0.004101099626127118,0.00752955,0.0003018033772337286,0.0817243099999998,0.15234713994102972,0.20546789999999995,0.08727095096075038,4.2709934700000005,-0.013651200000000002,4.045752069857697,0.009145119305856833,0.0,0.8476,0.49673764407110765,2.07780664,8.03037792820336,7.177688238111583,0.12177745044047217,0.14544697183733582,1.8606172,2.09795572,0.0,2.5059324676619203,0.0,2.314472156862745,1.0893114807617286,0.07395155060774736
0.01,0.48630854883220226,0.01330889268729599,0.07009358726809085,0.4306706866617823,10.26910242991662,0.5380345922881073,0.09546331853541697,1.5410120322678973,0.45844401945334334,0.04024946053251785,0.004118306341196041,0.012225358898054478,0.8342466236935833,14.721212032520624,0.7051217380495778,0.86457533875006,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.6942579964014555,0.3377437729912552,0.40339294125631175,0.21224772177899456,0.17242329544392543,0.192011329297276,0.5852566092974686,0.5480886683150255,0.006663412267237493,0.0041095668661663195,0.010001990942330686,0.0003031478849284071,0.08161103677462345,0.15233857583368993,0.2049597448955402,0.0872605736471226,4.279456337853746,-0.012989289552579997,4.047016147732762,0.00914413612903559,0.0,0.8342466236935833,0.4921212289464731,2.04507217332245,8.030491310811295,7.183563487446433,0.12142539823027386,0.14509241887808885,1.8622200491255467,2.0939392247591115,0.0,2.5045258701455535,0.0,2.3104973021110156,1.0724452558227884,0.0976826322921312
0.02,0.5096333707338848,0.013559175261795576,0.0703124012651769,0.43104326466261184,10.241775058576229,0.5358689764035514,0.09522665474419299,1.5407202051330082,0.45838700792905784,0.04979942168579608,0.00416019843902075,0.012251249871962954,0.8210720402113809,14.749941809904499,0.7076080845710463,0.8643573808892764,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.6596999429894717,0.3510978052473151,0.42274088102375745,0.21642464036673353,0.17563796750642827,0.19257944576641667,0.5858362763946335,0.54849479919092,0.006750906782278621,0.0041182115207307,0.012375156288920327,0.0003062245453284203,0.08149717227431963,0.15232989466522967,0.20445162773578235,0.08725000514952683,4.287808084139238,-0.012312528873147432,4.048305761110552,0.00914318200173502,0.0,0.8210720402113809,0.48750684223537494,2.0127759993741794,8.03061871099774,7.18934823662793,0.12107189432969755,0.14473786717287343,1.8638310764011334,2.0899454021988353,0.0,2.503116964759746,0.0,2.3065037332354588,1.0556305785223277,0.12021132773652271
0.03,0.532483586113521,0.013911154942611316,0.07057576405857088,0.431417372836711,10.214517761387466,0.5337035585020613,0.09498999450897506,1.5404245258019102,0.4583289615324964,0.05896133015264544,0.004224177881655319,0.012278173826424712,0.8080744472204806,14.778294787792996,0.7101575411700042,0.86414627256281,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.6255620210416124,0.36397355543222737,0.44169513468116567,0.222306246563606,0.18015712943327342,0.19326298149324933,0.5863748746548201,0.5489024967048004,0.006887058327535835,0.004127200812841492,0.01465189054293239,0.00031092308371445323,0.081382736818294,0.1523210965579939,0.20394351821076945,0.0872392447422651,4.296050294811424,-0.0116213290831165,4.049619576023356,0.009142257589888967,0.0,0.8080744472204806,0.4828951127816964,1.9809136999162862,8.030770993079255,7.195044154561983,0.12071699956980639,0.14438329557284657,1.8654487201459382,2.0859733392731883,0.0,2.501705753335654,0.0,2.302492072002079,1.0387224442024081,0.14159856438874865
0.04,0.5548680480458286,0.014335439996623147,0.07089677685003844,0.43179255139926137,10.187330404671968,0.5315387296184643,0.09475332451907702,1.540125000988409,0.4582698765732997,0.06774492151173575,0.004308806971377802,0.012306596616040395,0.7952520540510545,14.806276449219856,0.7127686426034787,0.8639421558444682,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.5918404891781206,0.3763932452894008,0.4602630458540148,0.2293954821605448,0.18560196097935439,0.1940957815379491,0.5868665432960019,0.5493112587697204,0.007068593020247824,0.004136690242943475,0.016834612995666333,0.0003171375914009615,0.08126774954113736,0.1523121816186117,0.20343538774245834,0.08722829173742308,4.304184563788213,-0.010916092022636936,4.050956290830652,0.009141363541527517,0.0,0.7952520540510545,0.4782866720641635,1.949480885300755,8.030955067730915,7.200652895111031,0.12036077336565754,0.14402868413184858,1.867070992250406,2.08202215258279,0.0,2.5002922372670824,0.0,2.298462924708549,1.0216350539599712,0.16189802838250641
0.05,0.5767953572483064,0.014810273462915633,0.0712839742070133,0.4321683221729118,10.160212842906923,0.5293748661065983,0.09451663224463253,1.5398216369422517,0.45820974955352045,0.07615878979058109,0.004412703802002902,0.012336950516965697,0.7826030815558127,14.833892270542862,0.7154399563905018,0.8637451688291758,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.558531647457904,0.3883777021963754,0.4784517488374702,0.23732460065496336,0.19169200876472411,0.19509975566339716,0.5873120198049672,0.549720563765047,0.007292367127674488,0.004146824079817094,0.0189254592629594,0.00032476618750106414,0.08115222846176051,0.15230314993883645,0.202927209429226,0.08721714548266891,4.31221248304681,-0.010197210369494836,4.052314636693227,0.00914050048709725,0.0,0.7826030815558127,0.4736821538328361,1.9184731941259192,8.03117487073727,7.2061760907785395,0.12000327374948747,0.14367401406809988,1.8686958250756704,2.078090986555649,0.0,2.4988764173563123,0.0,2.294416882576025,1.0043251447868253,0.18115792155328647
0.06,0.5982738758779695,0.015319561409327765,0.07174254515304875,0.43254424364748606,10.133164918930069,0.5272123300616264,0.09427990591145996,1.5395144394766012,0.45814857715644647,0.0842107972990238,0.004534538659750221,0.012369635595523098,0.7701257619745417,14.861147696039717,0.7181700823333126,0.8635554457241059,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.525631835010188,0.3999464689597773,0.4962681800407757,0.24582176438854572,0.19821988842583094,0.19628805033038368,0.5877165765121215,0.5501299305146501,0.007555358830741689,0.004157735816533735,0.020926383128807412,0.0003337107750343882,0.08103619054873801,0.15229400159634943,0.2024189579919045,0.08720580535918188,4.320135635238746,-0.00946506778031081,4.053693377896944,0.009139669039777497,0.0,0.7701257619745417,0.469082193739362,1.8878862929043916,8.031432097918831,7.211615348196665,0.11964455740172429,0.14331926772694686,1.8703213095317297,2.0741790126037074,0.0,2.4974582938118264,0.0,2.2903545221157597,0.9867797982080878,0.19942223354776392
0.07,0.6193117402405434,0.015851417554943927,0.07227523282248006,0.43291994738734074,10.106186466145683,0.5250514697334551,0.09404313447661479,1.5392034139943138,0.45808635623609073,0.09190836640811506,0.0046730313800064024,0.01240502099953593,0.7578183388037977,14.8880481191043,0.7209576519726223,0.863373116938273,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.4931374277795926,0.4111179032702721,0.5137190885295307,0.25468638960315004,0.20503254812729102,0.19766738915990634,0.5880884939940652,0.5505389578693756,0.007854662117881071,0.004169548600227973,0.02283922905241659,0.00034387686466612956,0.08091965178221283,0.1522847366555285,0.20191060972129193,0.08719427077970421,4.32795558822362,-0.008720039048067063,4.055091312046072,0.009138869795791758,0.0,0.7578183388037977,0.4644874289614521,1.8577158757436296,8.03172676923311,7.216972244976084,0.11928467968126359,0.14296442854462246,1.8719458525028614,2.070285428932035,0.0,2.496037866351728,0.0,2.2862764054867215,0.9690074594831903,0.21673166347828024
0.08,0.6399168725410805,0.016397069483705486,0.07288300935630158,0.43329516141920477,10.079277311927557,0.5228926199374988,0.09380630760459356,1.5388885655131008,0.45802308380729606,0.09925868850435468,0.004826949346334476,0.012443446194467465,0.7456790666716075,14.914598868300843,0.72380132799777,0.8631983091704926,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.461044836381341,0.4219092679600792,0.5308110457728263,0.26377061727010265,0.21201715686150877,0.1992398326119251,0.5884379114082029,0.5509473500598759,0.008187482110763375,0.00418237564320609,0.024665784093332137,0.0003551734432749493,0.08080262721261233,0.1522753551681842,0.20140214242706236,0.08718254118670729,4.335673891015055,-0.007962490270676692,4.056507270144146,0.009138103334713927,0.0,0.7456790666716075,0.4598984978219721,1.8279576640387787,8.032057675589547,7.222248327549562,0.11892369465607432,0.14260948101296667,1.8735682779766414,2.0664094607326984,0.0,2.4946151343733693,0.0,2.282183080856317,0.9510311975635404,0.23312429777909083
0.09,0.660096991764638,0.016950048775982125,0.07356557441849612,0.4336697234220646,10.05243728181426,0.5207361024648332,0.09356941564418957,1.538569898689618,0.45795875703642375,0.10626886879796253,0.004995105971648657,0.012485222154209805,0.7337062112171819,14.940805197423588,0.726699803623617,0.8630311454956369,4.1954,0.05,1.0,4.0,7.8142,1.2479,3.1383,1.999,2.392,0.8295,16.8363,0.1687,20.44,1.5644,3.6888,1.2765,3.0087,1.0258,0.0368,0.2658,1.0258,3.8231,2.5734,4.324,0.3166,2.1509,0.0013,3.1741,2.7454,0.0492,4.0424,0.4033,0.2431,1.4422,0.5388,10.1132,6.5585,2.147,1.0352,3.3017,0.2179,0.6632,3.3442,17.1111,2.4017,0.0857,0.1649,1.178,0.0645,3.6064,1.0237,4.297,1.7303,0.2485,2.2123,0.2002,0.1347,1.8258,0.6114,1.8066,0.5,1.2,1.2,1.0,2.4514,1.0258,8.0706,0.0004,12.2398,10.3617,0.2907,0.2528,0.2212,4.4505,0.0703,0.0156,0.6104,1.0,1.0,2.429350504063689,0.43233681304950716,0.5475504546687672,0.2729655938026676,0.21909064172682416,0.2010040816216154,0.5887759764794488,0.5513549309153108,0.008551131465805521,0.0041963206188020815,0.026407813896293687,0.0003675128757917345,0.08068513101633212,0.1522658571742643,0.20089353538807497,0.08717061605066571,4.343292070891037,-0.0071927790275845005,4.057940116575295,0.009137370219768983,0.0,0.7337062112171819,0.45531603940311893,1.7986074061778,8.032422730852211,7.227445109824386,0.11856165513452555,0.14225441064510885,1.8751878840770073,2.0625503606307847,0.0,2.493190097169555,0.0,2.2780750827686997,0.9328836984293496,0.24863610452229593
