data_set_value_component_environment_variable_time,data_set_value_component_parameters_variable_H_1,data_set_value_component_parameters_variable_H_2,data_set_value_component_parameters_variable_H_3,data_set_value_component_parameters_variable_H_4,data_set_value_component_parameters_variable_K_1,data_set_value_component_parameters_variable_K_2,data_set_value_component_parameters_variable_K_3,data_set_value_component_parameters_variable_K_4,data_set_value_component_parameters_variable_V_M1,data_set_value_component_parameters_variable_V_M3,data_set_value_component_parameters_variable_U_M1,data_set_value_component_parameters_variable_U_M3,data_set_value_component_parameters_variable_V_2,data_set_value_component_parameters_variable_V_4,data_set_value_component_parameters_variable_U_2,data_set_value_component_parameters_variable_U_4,data_set_value_component_parameters_variable_K_c1,data_set_value_component_parameters_variable_K_c2,data_set_value_component_parameters_variable_K_d1,data_set_value_component_parameters_variable_K_d2,data_set_value_component_parameters_variable_v_d1,data_set_value_component_parameters_variable_v_d2,data_set_value_component_parameters_variable_v_i1,data_set_value_component_parameters_variable_v_i2,data_set_value_component_parameters_variable_k_d1,data_set_value_component_parameters_variable_k_d2,data_set_value_component_parameters_variable_K_im1,data_set_value_component_parameters_variable_K_im2,data_set_value_component_C_1_variable_C_1,data_set_value_component_M_1_variable_M_1,data_set_value_component_X_1_variable_X_1,data_set_value_component_C_2_variable_C_2,data_set_value_component_M_2_variable_M_2,data_set_value_component_X_2_variable_X_2,data_set_value_component_V_1_variable_V_1,data_set_value_component_V_3_variable_V_3,data_set_value_component_U_1_variable_U_1,data_set_value_component_U_3_variable_U_3
0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0,1.0,0.0,0.0,0.0,0.0,0.24,0.1,0.0,0.0
0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0047886929024457,0.9923115539199058,0.00843212234771723,0.00014627720771801718,2.7898438224930925e-06,8.995655165627468e-09,0.24011470890736647,0.09923115539199058,8.774065571456776e-05,2.7898438224930926e-07
0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.009557284088119,0.989108744693556,0.015526523445271957,0.0002932362703389107,7.92681050384507e-06,4.823724324935291e-08,0.24022850127746556,0.0989108744693556,0.0001758386376707623,7.926810503845069e-07
0.30000000000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0143077065734434,0.9872961123848303,0.02205040384321822,0.00044052900385171706,1.3603115205336626e-05,1.1482244060715039e-07,0.240341430920393,0.09872961123848303,0.0002640847283464084,1.3603115205336627e-06
0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0190409875913105,0.9861714415871189,0.02824256347585894,0.0005880148467688177,1.9410110564942044e-05,2.0009447732946562e-07,0.2404535294427944,0.0986171441587119,0.0003523944816869879,1.9410110564942043e-06
0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0237577848783137,0.9854418971829644,0.03421409766500983,0.0007356182444633995,2.525321201470679e-05,2.9723865288628886e-07,0.24056481929495763,0.09854418971829644,0.00044072253959629305,2.525321201470679e-06
0.6000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0284585596212823,0.9849579453978867,0.04002690380914525,0.0008832937258560837,3.110961354711777e-05,4.017488558571472e-07,0.24067531799988554,0.09849579453978868,0.0005290416371959466,3.110961354711777e-06
0.7000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.0331436534043603,0.984634764298613,0.04571932299954963,0.0010310124311713215,3.697332297877217e-05,5.108045313469907e-07,0.2407850400436584,0.09846347642986131,0.0006173344996162023,3.6973322978772173e-06
0.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.037813330420334,0.984417706792462,0.05131710298647753,0.0011787551505831157,4.284221957538564e-05,6.22665011850324e-07,0.24089399791467098,0.0984417706792462,0.0007055896554687056,4.284221957538564e-06
0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.1,0.3,0.1,0.15,0.05,0.15,0.05,0.5,0.5,0.02,0.02,0.025,0.025,0.05,0.05,0.001,0.001,0.03,0.03,2.042467802274238,0.9842726470766807,0.05683826447293225,0.001326509144322871,4.8715394483561346e-05,7.362622195742375e-07,0.24100220271587117,0.09842726470766808,0.0007937995219444856,4.871539448356135e-06
