Time,Cdk,Anaphase_promoting_complex_Phosphorylated,Securin,Anaphase_promoting_complex,Anaphase_promoting_complex_total,V_scdk,k_d1cdk,k_dcdk,K_dcdk,K_dsec,k_2APC,K_2APC,V_1APC,K_1APC,V_ssec,k_d1sec,k_dsec,nuclear,Synthesis_Cdk,Degradation_Cdk,Degradation_Cdk_mediated_by_APC_P,Phosphorylation_of_APC,Dephosphorylation_of_APC,Synthesis_of_Securin,Degradation_of_Sec,Degradation_of_Sec_mediated_by_APC_P
0.0,0.3,0.0,0.35,1.0,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.003,0.0,0.0891089108910891,0.0,0.1,0.0034999999999999996,0.0
1.2,0.36756609321563694,0.020028050157436167,0.4591781331504042,0.9799719498425639,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.0036756609321563693,0.0005184928789777294,0.10915595975880678,0.10004670659148546,0.1,0.004591781331504042,0.007402535500888606
2.4,0.43395853288659614,0.03319824788797219,0.5614250140956734,0.9668017521120278,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.004339585328865961,0.0008323140227118696,0.12885476577972246,0.11527636945160338,0.1,0.005614250140956734,0.012306163614950086
3.5999999999999996,0.4990824476700557,0.05398843947391069,0.655066096556895,0.9460115605260893,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.004990824476700557,0.0013358330932819738,0.1481585949311264,0.1265582656440375,0.1,0.00655066096556895,0.020038119934530006
4.8,0.5626604124315379,0.08622248788999352,0.7359673717800248,0.9137775121100065,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.005626604124315379,0.0021405922809348177,0.16697086422685767,0.1344111284909316,0.1,0.007359673717800248,0.031999124978301596
6.0,0.6242791143239885,0.13298301016679268,0.7985435259597901,0.8670169898332073,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.006242791143239885,0.003370933104277761,0.18514827128486863,0.13950924310342733,0.1,0.007985435259597901,0.0492789979921437
7.199999999999999,0.6833665110477498,0.1961735944934344,0.8362632390608332,0.8038264055065656,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.006833665110477498,0.005181147126846008,0.20249086629617002,0.14272457754017687,0.1,0.008362632390608332,0.07246147767057938
8.4,0.7391365416554813,0.2764448389727434,0.8423231890901502,0.7235551610272566,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.007391365416554813,0.007796859590707755,0.21871813648058686,0.14476338967956504,0.1,0.008423231890901503,0.1015466834256334
9.6,0.7904616203761055,0.3733391678437514,0.8103658237787307,0.6266608321562486,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.007904616203761055,0.011600090844753977,0.23341376371535527,0.14608701607916205,0.1,0.008103658237787307,0.13591070520965357
10.799999999999999,0.8355958058709878,0.48532657031934145,0.7353100780248851,0.5146734296806585,1.0,0.06,0.01,0.35,0.01,0.001,0.3,0.01,0.15,0.01,0.1,0.01,0.4,1.0,0.06,0.008355958058709879,0.017312251384336418,0.24590093660516577,0.14697169485773207,0.1,0.007353100780248851,0.17410841566852375
