data_generator_T_normal_with_periodic_dbs_stimulation,data_generator_V1_normal_with_periodic_dbs_stimulation
0.0,-69.128113
1.25,-68.38031
2.5,-27.12775
3.75,-1.2896982
5.0,-69.21843
6.25,-71.966774
7.5,-71.333046
8.75,31.499317
10.0,-69.247986
11.25,-73.633278
12.5,-73.124153
13.75,-72.529419
15.0,24.652237
16.25,-73.116783
17.5,-74.13665
18.75,-73.608208
20.0,-72.934921
21.25,-36.285599
22.5,-74.019928
23.75,-74.320641
25.0,-73.790382
26.25,-73.237381
27.5,-63.387634
28.75,-74.454376
30.0,-74.360352
31.25,-73.830063
32.5,-39.765736
33.75,-71.900436
35.0,-74.658646
36.25,-74.335205
37.5,-73.798004
38.75,10.935437
40.0,-73.502136
41.25,-74.746414
42.5,-74.281853
43.75,-73.746529
45.0,13.266288
46.25,-74.085327
47.5,-74.708542
48.75,-74.20787
50.0,-73.548752
51.25,-42.628819
52.5,-74.430405
53.75,-74.722847
55.0,-74.240707
56.25,-73.696541
57.5,-65.827927
58.75,-74.141052
60.0,-74.626762
61.25,-74.119148
62.5,-40.376968
63.75,-72.397087
65.0,-73.964844
66.25,-73.804604
67.5,-73.269379
68.75,11.77949
70.0,-73.672882
71.25,-74.704155
72.5,-74.357819
73.75,-73.836746
75.0,12.43039
76.25,-74.042976
77.5,-74.732788
78.75,-74.305435
80.0,-73.781418
81.25,-43.072266
82.5,-74.101433
83.75,-74.680351
85.0,-74.234535
86.25,-73.70713
87.5,-65.900269
88.75,-74.162384
90.0,-73.906334
91.25,-73.37606
92.5,-39.260204
93.75,-71.855598
95.0,-74.782906
96.25,-74.452766
97.5,-73.932823
98.75,9.2707014
100.0,-73.617859
101.25,-74.798599
102.5,-74.398819
103.75,-73.881905
105.0,12.296476
106.25,-73.860161
107.5,-74.764221
108.75,-74.319183
110.0,-73.797417
111.25,-43.062954
112.5,-73.927315
113.75,-74.003105
115.0,-73.482925
116.25,-72.936195
117.5,-64.212547
118.75,-74.636436
120.0,-74.566483
121.25,-74.056015
122.5,-40.599373
123.75,-72.415512
125.0,-74.718605
126.25,-74.505302
127.5,-73.990715
128.75,9.2398062
130.0,-73.639763
131.25,-74.731743
132.5,-74.426033
133.75,-73.907639
135.0,12.318509
136.25,-73.827942
137.5,-74.698082
138.75,-74.35244
140.0,-73.83049
141.25,-43.204086
142.5,-73.868835
143.75,-74.027809
145.0,-73.513359
146.25,-72.968033
147.5,-64.258995
148.75,-74.259048
150.0,-74.599709
151.25,-74.123528
152.5,-40.280342
153.75,-72.505814
155.0,-74.126556
156.25,-73.850525
157.5,-73.319382
158.75,11.247389
160.0,-73.6539
161.25,-74.773109
162.5,-74.385117
163.75,-73.865715
165.0,12.159259
166.25,-73.965172
167.5,-74.759979
168.75,-74.340096
170.0,-73.819565
171.25,-43.367092
172.5,-73.981064
173.75,-74.024773
175.0,-73.50573
176.25,-72.961708
177.5,-64.356026
178.75,-74.577293
180.0,-74.591064
181.25,-74.083336
182.5,-40.491619
183.75,-72.454407
185.0,-74.397491
186.25,-74.571312
187.5,-74.06469
188.75,8.9372454
190.0,-73.693367
191.25,-74.175705
192.5,-73.743431
193.75,-73.208748
195.0,13.881742
196.25,-74.093735
197.5,-74.750443
198.75,-74.295647
200.0,-73.775352
201.25,-43.383709
202.5,-74.081177
203.75,-74.018997
205.0,-73.499542
206.25,-72.958237
207.5,-64.389297
208.75,-74.572166
210.0,-74.601349
211.25,-74.095078
212.5,-40.480564
213.75,-72.487862
215.0,-74.218185
216.25,-73.810478
217.5,-73.280334
218.75,11.357274
220.0,-73.613182
221.25,-74.808708
222.5,-74.401695
223.75,-73.886581
225.0,11.884625
226.25,-73.931252
227.5,-74.768715
228.75,-74.369522
230.0,-73.851463
231.25,-43.596058
232.5,-73.863571
233.75,-74.051689
235.0,-73.54287
236.25,-73.001625
237.5,-64.488785
238.75,-74.280037
240.0,-73.882858
241.25,-73.357071
242.5,-39.293941
243.75,-71.828987
245.0,-74.837059
246.25,-74.492966
247.5,-73.982353
248.75,8.8393764
250.0,-73.637581
251.25,-74.752136
252.5,-74.462753
253.75,-73.948792
255.0,11.979717
256.25,-73.16124
257.5,-73.283897
258.75,-72.741119
260.0,-72.176102
261.25,-38.392319
262.5,-74.702248
263.75,-74.635941
265.0,-74.132584
266.25,-73.609505
267.5,-66.065048
268.75,-74.640732
270.0,-74.650536
271.25,-74.145744
272.5,-40.378113
273.75,-72.554298
275.0,-74.499702
276.25,-74.606537
277.5,-74.098946
278.75,8.7909794
280.0,-73.735519
281.25,-73.511505
282.5,-72.979271
283.75,-72.425377
285.0,15.56753
286.25,-74.403503
287.5,-74.755806
288.75,-74.259041
290.0,-73.741722
291.25,-43.75919
292.5,-74.339355
293.75,-74.75753
295.0,-74.260796
296.25,-73.740967
297.5,-66.261543
298.75,-73.911507
300.0,-74.725662
301.25,-74.239311
302.5,-40.884666
303.75,-72.628105
305.0,-73.641106
306.25,-73.116791
307.5,-72.568588
308.75,13.295758
310.0,-73.665222
311.25,-74.843208
312.5,-74.356552
313.75,-73.843231
315.0,11.749369
316.25,-73.925583
317.5,-74.8368
318.75,-74.363457
320.0,-73.847443
321.25,-43.69838
322.5,-73.771187
323.75,-74.702019
325.0,-74.367737
326.25,-73.850014
327.5,-66.360962
328.75,-73.763885
330.0,-73.243919
331.25,-72.700974
332.5,-37.186008
333.75,-71.26474
335.0,-74.904442
336.25,-74.466232
337.5,-73.957367
338.75,8.7281761
340.0,-73.618683
341.25,-74.821678
342.5,-74.471558
343.75,-73.960258
345.0,11.72977
346.25,-73.835648
347.5,-73.718964
348.75,-73.738876
350.0,-73.210342
351.25,-41.858978
352.5,-74.334877
353.75,-74.077271
355.0,-73.560799
356.25,-73.024246
357.5,-62.450787
358.75,-73.800331
360.0,-73.543465
361.25,-73.00293
362.5,-38.101288
363.75,-71.190361
365.0,-74.748314
366.25,-74.390999
367.5,-73.874222
368.75,10.420152
370.0,-73.539848
371.25,-74.708626
372.5,-74.4338
373.75,-73.919792
375.0,12.45476
376.25,-73.826584
377.5,-74.009354
378.75,-73.682205
380.0,-73.149147
381.25,-41.48325
382.5,-74.250854
383.75,-74.032021
385.0,-73.514679
386.25,-72.977203
387.5,-64.568619
388.75,-74.742714
390.0,-74.607216
391.25,-74.096992
392.5,-40.798542
393.75,-72.528191
395.0,-74.317924
396.25,-74.626221
397.5,-74.126266
398.75,8.6282473
400.0,-73.758392
401.25,-73.533646
402.5,-73.004578
403.75,-72.454376
