data_generator_T_parkinsons_disease_figure_5d,data_generator_V1_parkinsons_disease_figure_5d
0.0,-69.128113
1.25,-68.38031
2.5,-67.603157
3.75,-66.792458
5.0,-65.941666
6.25,-65.043007
7.5,-64.087204
8.75,-63.062996
10.0,-61.956287
11.25,-60.749035
12.5,-59.417366
13.75,-57.927532
15.0,-56.223026
16.25,-54.173122
17.5,-51.303677
18.75,-59.687496
20.0,-65.226868
21.25,-64.784386
22.5,-64.034546
23.75,-63.274773
25.0,-62.524029
26.25,-61.789303
27.5,-61.076344
28.75,-60.389675
30.0,-59.732166
31.25,-59.10479
32.5,-58.506561
33.75,-57.934738
35.0,-57.385139
36.25,-56.852436
37.5,-56.330353
38.75,-55.81168
40.0,-55.287968
41.25,-54.748783
42.5,-54.180107
43.75,-53.560928
45.0,-52.855202
46.25,-51.989105
47.5,-50.764526
48.75,-48.257648
50.0,36.724052
51.25,11.088816
52.5,-56.914452
53.75,-64.41169
55.0,-63.759529
56.25,-63.056808
57.5,-62.355732
58.75,-61.661404
60.0,-60.97636
61.25,-60.302708
62.5,-59.643776
63.75,-58.997658
65.0,-58.366795
66.25,-57.751602
67.5,-57.151966
68.75,-56.567223
70.0,-55.996105
71.25,-55.436649
72.5,-54.886066
73.75,-54.340511
75.0,-53.794701
76.25,-53.241261
77.5,-52.66946
78.75,-52.062737
80.0,-51.393127
81.25,-50.606949
82.5,-49.577908
83.75,-47.873898
85.0,-40.685852
86.25,15.119169
87.5,-53.250195
88.75,-63.380661
90.0,-62.710812
91.25,-61.97588
92.5,-61.242546
93.75,-60.514053
95.0,-59.792927
96.25,-59.081375
97.5,-58.381207
98.75,-57.693687
100.0,-57.019485
101.25,-56.358517
102.5,-55.709793
103.75,-55.071224
105.0,-54.440071
106.25,-53.809235
107.5,-53.171619
108.75,-52.513577
110.0,-54.256775
111.25,-64.139503
112.5,-64.356148
113.75,-63.81694
115.0,-63.273846
116.25,-62.738861
117.5,-62.212482
118.75,-61.694908
120.0,-61.186195
121.25,-60.686306
122.5,-60.195084
123.75,-59.712261
125.0,-61.840931
126.25,-68.013428
127.5,-67.798225
128.75,-67.223694
130.0,-66.649826
131.25,-66.08078
132.5,-65.517227
133.75,-64.959946
135.0,-64.409752
136.25,-63.867371
137.5,-66.095764
138.75,-71.146889
140.0,-70.784088
141.25,-70.165947
142.5,-69.540283
143.75,-68.906761
145.0,-68.264198
146.25,-67.612602
147.5,-66.953461
148.75,-66.289658
150.0,-65.625183
151.25,-64.964622
152.5,-64.312592
153.75,-63.673298
155.0,-63.055157
156.25,-62.45113
157.5,-61.866798
158.75,-61.30312
160.0,-60.759842
161.25,-60.236053
162.5,-64.963463
163.75,-66.288803
165.0,-65.705109
166.25,-65.072227
167.5,-64.446304
168.75,-63.831718
170.0,-63.231064
171.25,-62.646042
172.5,-62.07753
173.75,-61.525681
175.0,-65.71981
176.25,-70.89917
177.5,-70.54908
178.75,-69.889946
180.0,-69.213982
181.25,-68.522102
182.5,-67.813782
183.75,-67.089508
185.0,-66.350906
186.25,-65.600914
187.5,-64.843727
188.75,-64.084717
190.0,-63.330162
191.25,-62.586861
192.5,-61.861626
193.75,-61.16069
195.0,-60.489079
196.25,-64.269638
197.5,-66.438293
198.75,-65.849487
200.0,-65.143959
201.25,-64.438522
202.5,-63.741474
203.75,-63.063667
205.0,-62.928364
206.25,-69.171799
207.5,-70.781502
208.75,-70.185478
210.0,-69.487549
211.25,-68.769875
212.5,-68.031075
213.75,-67.269058
215.0,-66.482056
216.25,-65.6689
217.5,-64.829422
218.75,-63.964817
220.0,-63.078083
221.25,-62.17448
222.5,-61.262012
223.75,-60.351414
225.0,-59.455822
226.25,-58.589294
227.5,-60.306221
228.75,-65.938927
230.0,-65.692818
231.25,-64.968613
232.5,-64.229637
233.75,-63.495815
235.0,-62.773472
236.25,-62.067986
237.5,-61.383881
238.75,-60.724445
240.0,-60.091511
241.25,-59.485332
242.5,-58.904686
243.75,-58.347054
245.0,-57.80888
246.25,-57.285809
247.5,-56.772827
248.75,-56.264297
250.0,-55.753777
251.25,-55.233597
252.5,-54.694
253.75,-54.121449
255.0,-53.492867
256.25,-52.779682
257.5,-51.897522
258.75,-50.584648
260.0,-47.873501
261.25,36.880962
262.5,8.0857286
263.75,-58.939045
265.0,-64.228943
266.25,-63.56345
267.5,-62.859722
268.75,-62.159878
270.0,-61.466976
271.25,-60.783405
272.5,-60.111195
273.75,-59.451973
275.0,-58.806965
276.25,-58.17696
277.5,-57.562256
278.75,-56.962631
280.0,-56.377289
281.25,-55.804787
282.5,-55.24292
283.75,-54.68856
285.0,-54.137379
286.25,-53.583351
287.5,-53.017895
288.75,-52.428219
290.0,-51.793854
291.25,-51.078499
292.5,-50.207054
293.75,-48.978817
295.0,-46.471954
296.25,26.293663
297.5,-7.6381016
298.75,-62.651497
300.0,-63.102707
301.25,-62.373173
302.5,-61.636379
303.75,-60.904007
305.0,-60.176147
306.25,-59.456444
307.5,-58.74699
308.75,-58.049358
310.0,-57.364559
311.25,-56.692913
312.5,-56.033916
313.75,-55.386047
315.0,-54.746506
316.25,-54.110783
317.5,-53.47192
318.75,-52.819195
320.0,-52.986912
321.25,-63.876625
322.5,-64.440536
323.75,-63.904083
325.0,-63.357788
326.25,-62.819435
327.5,-62.289722
328.75,-61.768803
330.0,-61.256805
331.25,-60.753712
332.5,-60.259396
333.75,-59.773621
335.0,-59.296032
336.25,-58.826164
337.5,-58.363422
338.75,-57.907082
340.0,-57.456257
341.25,-57.009888
342.5,-56.566681
343.75,-56.125076
345.0,-55.68314
346.25,-55.238449
347.5,-54.787888
348.75,-58.628338
350.0,-70.618744
351.25,-70.703575
352.5,-70.10421
353.75,-69.502068
355.0,-68.901192
356.25,-68.304237
357.5,-67.704178
358.75,-67.103561
360.0,-66.503548
361.25,-65.905663
362.5,-65.31279
363.75,-64.725502
365.0,-64.146599
366.25,-63.577694
367.5,-63.019836
368.75,-62.473564
370.0,-61.938965
371.25,-61.415752
372.5,-60.903381
373.75,-60.401096
375.0,-59.908009
376.25,-59.423103
377.5,-58.945267
378.75,-58.473282
380.0,-58.005814
381.25,-57.54137
382.5,-57.078251
383.75,-56.614471
385.0,-61.819675
386.25,-65.250183
387.5,-66.000572
388.75,-70.21566
390.0,-69.902351
391.25,-69.279816
392.5,-68.648224
393.75,-68.008995
395.0,-67.362305
396.25,-66.709778
397.5,-66.054314
398.75,-65.399734
400.0,-64.750168
401.25,-64.109543
402.5,-63.481155
