data_generator_T_normal_figure_5c,data_generator_V1_normal_figure_5c
0.0,-69.128113
1.25,-68.38031
2.5,-67.603157
3.75,-66.792458
5.0,-65.941666
6.25,-65.043007
7.5,-64.087212
8.75,-63.063
10.0,-61.956299
11.25,-60.74905
12.5,-59.417393
13.75,-57.927582
15.0,-56.22311
16.25,-54.173283
17.5,-51.304039
18.75,-42.790611
20.0,22.941227
21.25,-18.440861
22.5,-63.1208
23.75,-64.615936
25.0,-63.865936
26.25,-63.080883
27.5,-62.30315
28.75,-61.54076
30.0,-60.800381
31.25,-60.087509
32.5,-59.406128
33.75,-58.758545
35.0,-58.145367
36.25,-57.565708
37.5,-57.017464
38.75,-56.497639
40.0,-56.002617
41.25,-55.528423
42.5,-55.070965
43.75,-63.955639
45.0,-65.094566
46.25,-64.531113
47.5,-63.945545
48.75,-63.371563
50.0,-62.811211
51.25,-62.265327
52.5,-61.734226
53.75,-61.217808
55.0,-60.71566
56.25,-60.229996
57.5,-59.754604
58.75,-59.290806
60.0,-58.837955
61.25,-58.395081
62.5,-61.795647
63.75,-67.078491
65.0,-66.698097
66.25,-66.110489
67.5,-65.524162
68.75,-64.944092
70.0,-64.372414
71.25,-63.810902
72.5,-63.260838
73.75,-62.72298
75.0,-62.197651
76.25,-61.684795
77.5,-61.184063
78.75,-60.694912
80.0,-60.216652
81.25,-59.748493
82.5,-59.289581
83.75,-58.83902
85.0,-59.116642
86.25,-64.564095
87.5,-64.462135
88.75,-63.923542
90.0,-63.385265
91.25,-62.856346
92.5,-62.337151
93.75,-61.827656
95.0,-61.327629
96.25,-60.836693
97.5,-62.735405
98.75,-64.246155
100.0,-63.779346
101.25,-63.246433
102.5,-62.720802
103.75,-62.204147
105.0,-61.697304
106.25,-61.198723
107.5,-60.710327
108.75,-60.227116
110.0,-59.750771
111.25,-59.282291
112.5,-62.264523
113.75,-63.6567
115.0,-63.186588
116.25,-62.664291
117.5,-62.148521
118.75,-61.640507
120.0,-61.140003
121.25,-60.646622
122.5,-60.159836
123.75,-59.679073
125.0,-59.20369
126.25,-62.503448
127.5,-63.357769
128.75,-62.869308
130.0,-62.349964
131.25,-61.836834
132.5,-61.330593
133.75,-60.830906
135.0,-60.337322
136.25,-59.849342
137.5,-59.366409
138.75,-65.53022
140.0,-67.997002
141.25,-67.463234
142.5,-66.877457
143.75,-66.29422
145.0,-65.714905
146.25,-65.140495
147.5,-64.57209
148.75,-64.010658
150.0,-63.456959
151.25,-62.911419
152.5,-62.374191
153.75,-61.845139
155.0,-61.326973
156.25,-66.276176
157.5,-67.138741
158.75,-66.56572
160.0,-65.968605
161.25,-65.37458
162.5,-64.785835
163.75,-64.204079
165.0,-63.630657
166.25,-63.066456
167.5,-62.511883
168.75,-61.966927
170.0,-61.431221
171.25,-60.90414
172.5,-60.384846
173.75,-59.872318
175.0,-59.365391
176.25,-58.862747
177.5,-65.698212
178.75,-66.608055
180.0,-66.037804
181.25,-65.443886
182.5,-64.854256
183.75,-64.27092
185.0,-63.695141
186.25,-63.127747
187.5,-62.569126
188.75,-63.434967
190.0,-65.505356
191.25,-67.704063
192.5,-70.351387
193.75,-69.812035
195.0,-69.165932
196.25,-68.507591
197.5,-67.837242
198.75,-68.079712
200.0,-68.674942
201.25,-68.017746
202.5,-67.305168
203.75,-66.58345
205.0,-65.846352
206.25,-65.101166
207.5,-64.353844
208.75,-63.61145
210.0,-62.879032
211.25,-62.159
212.5,-61.45779
213.75,-60.778915
215.0,-60.124355
216.25,-59.494518
217.5,-58.888256
218.75,-58.303001
220.0,-57.734978
221.25,-62.661175
222.5,-65.083939
223.75,-64.552849
225.0,-63.915764
226.25,-63.286125
227.5,-62.668911
228.75,-62.065006
230.0,-61.474464
231.25,-60.896637
232.5,-60.330307
233.75,-62.327362
235.0,-64.300896
236.25,-63.820812
237.5,-63.223972
238.75,-62.63327
240.0,-62.052414
241.25,-61.481113
242.5,-60.91851
243.75,-60.363358
245.0,-59.814102
246.25,-59.268867
247.5,-58.72546
248.75,-58.181274
250.0,-57.633167
251.25,-57.077217
252.5,-56.508335
253.75,-55.91959
255.0,-55.300121
256.25,-54.636925
257.5,-53.905266
258.75,-53.049011
260.0,-51.951622
261.25,-50.210384
262.5,-7.4079571
263.75,21.132978
265.0,-43.911263
266.25,-64.786102
267.5,-64.206467
268.75,-63.5079
270.0,-62.808926
271.25,-62.113041
272.5,-61.422756
273.75,-60.740322
275.0,-60.067684
276.25,-59.406452
277.5,-58.757858
278.75,-58.122704
280.0,-57.501316
281.25,-56.893482
282.5,-56.298386
283.75,-55.7145
285.0,-55.139458
286.25,-54.569817
287.5,-54.00069
288.75,-53.425098
290.0,-52.832783
291.25,-52.207832
292.5,-51.523457
293.75,-50.728676
295.0,-49.705711
296.25,-48.066959
297.5,-42.240528
298.75,18.049389
300.0,-49.450768
301.25,-63.42886
302.5,-62.776722
303.75,-62.037056
305.0,-61.299236
306.25,-60.564102
307.5,-59.835438
308.75,-59.115711
310.0,-64.777061
311.25,-66.237747
312.5,-65.653641
313.75,-65.049934
315.0,-64.450386
316.25,-63.856621
317.5,-63.269974
318.75,-62.691593
320.0,-62.122444
321.25,-61.563297
322.5,-61.014786
323.75,-63.945419
325.0,-64.473412
326.25,-63.9356
327.5,-63.38588
328.75,-62.844597
330.0,-62.312538
331.25,-61.790016
332.5,-61.277203
333.75,-66.960793
335.0,-68.960243
336.25,-68.409706
337.5,-67.816757
338.75,-67.224541
340.0,-66.633972
341.25,-66.046196
342.5,-65.462845
343.75,-64.885788
345.0,-64.316841
346.25,-63.757671
347.5,-66.665535
348.75,-66.619354
350.0,-70.298958
351.25,-70.22506
352.5,-69.587189
353.75,-68.933014
355.0,-68.270676
356.25,-67.592865
357.5,-66.904205
358.75,-66.210136
360.0,-65.513931
361.25,-64.818108
362.5,-66.90744
363.75,-67.475731
365.0,-66.796165
366.25,-66.073471
367.5,-65.344406
368.75,-64.614899
370.0,-63.890968
371.25,-63.178925
372.5,-62.484985
373.75,-67.696854
375.0,-68.035019
376.25,-67.334091
377.5,-66.599731
378.75,-65.852806
380.0,-65.097549
381.25,-64.339157
382.5,-63.5839
383.75,-62.840759
385.0,-65.936691
386.25,-65.926903
387.5,-65.208229
388.75,-67.045677
390.0,-69.688217
391.25,-69.108101
392.5,-68.381775
393.75,-67.632027
395.0,-66.858696
396.25,-66.900475
397.5,-67.888916
398.75,-67.207275
400.0,-66.405487
401.25,-65.569328
402.5,-64.698692
403.75,-63.792191
