Time,GlcI,Pg,Glc6P,Fru6P,Fru16BP,DHAP,GAP,NAD,BPGA13,NADH,Pyr,Nb,Pc,PyrE,Gly,GlcE,Gly3P,ATPc,ADPc,ATPg,ADPg,DHAPg,DHAPc,Gly3Pc,Gly3Pg,PGAg,PEPc,Vt,Vc,Vg,TPIact,sumAc,sumAg,KeqAK,Keq_anti,sumc4,sumc5,Keq_PGM,Keq_ENO,tot_cell,glycosome,cytosol,extracellular,vGlcTr,vHK,vPGI,vPFK,vALD,vTPI,vGAPdh,vGDH,vGPO,vPyrTr,vPGK,vPK,vATPase,vGlyK
0.0,0.0340009,7.63936,2.07199,0.511773,16.5371,3.89921,0.0399329,3.95514,0.0326745,0.0448639,4.77413,1.59603,6.51839,0.0,0.0,5.0,0.9561786007298244,2.770675886608101,0.9770382267837983,2.6168497080916153,2.4056605838167693,1.3090576692585683,4.015342870201883,0.9846571297981166,0.321011930741433,0.6711336282216186,0.840863322798866,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30367541252369,74.30368945778932,74.30427726848414,74.30378787574799,74.30241670952101,67.49551825536454,141.78936024977241,141.7891211890255,134.97210490821803,141.78906555115506,141.78924650748507,158.52558701775948,141.78953344172498,6.8185862523199505
0.01,0.03399430548840411,7.641144597949294,2.07206858291258,0.5117867427806903,16.53653987638973,3.8991060214631275,0.039910673005799396,3.9551020646516677,0.03256473958182432,0.0449018353483327,4.798758453472974,1.5723463981208259,6.540441300362586,0.0,0.0,5.0,0.9562557724365636,2.787942105957028,0.9645570884485295,2.617928514021628,2.4052875699060383,1.308528330899534,4.015257963229424,0.9847420367705757,0.32091658009081764,0.6611746289180175,0.8283856925713842,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30397256046317,74.31177704580502,74.3087169693796,74.30820585019208,74.33561546464419,67.53598789979466,141.87213060185698,141.87149066979794,134.97947458947596,142.0011822143797,141.87424184010104,152.62828503559734,144.51928970017607,6.8151209361872604
0.02,0.03397605640556203,7.64448205255908,2.072155460912221,0.5117982135903081,16.53513678063704,3.898918384659168,0.03989209663964287,3.9550830013705576,0.03249684854932304,0.04492089862944229,4.814485437887855,1.556982181112336,6.5503602213288925,0.0,0.0,5.0,0.9564201016706343,2.7957299497694237,0.9589003217900451,2.6199465990500412,2.4045888544589973,1.308035487535159,4.01508401076111,0.9849159892388899,0.3208662789402133,0.654713946659105,0.8202911037691927,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30479487032717,74.31710321648742,74.316364212565,74.31640530029051,74.35527217406876,67.5553537596409,141.91101449074011,141.91069153966288,134.99457170824076,142.13582661088165,141.91229340859604,148.96052923478402,145.77792322305422,6.811197861812054
0.03,0.033952866537946214,7.648285716029521,2.072121877307606,0.5117822549564545,16.533485611221966,3.898711580874244,0.03987834708714528,3.9550738313496163,0.03245578569516691,0.04493006865038328,4.824619798863701,1.5468261055738826,6.553444273647205,0.0,0.0,5.0,0.9566098705676948,2.798154097613284,0.9571360784206373,2.6222474848775383,2.403790746274444,1.307651938814671,4.014885131566727,0.9851148684332731,0.3208528576655044,0.6504432977210429,0.8149404077146948,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30583983116917,74.3196224072772,74.32188829075587,74.32259873655964,74.36357897918025,67.56430920125045,141.92817809126103,141.9280358811744,135.0118297899751,142.22225981393197,141.92894907514133,146.63339223862468,146.17326421497432,6.807602148188895
0.04,0.033928564121572656,7.652093945156626,2.0719841733734463,0.5117434134901838,16.531835875374938,3.898514492972611,0.03986799545711408,3.95507032904593,0.032431170894248885,0.04493357095406956,4.831176066902033,1.5399894664795504,6.552833944320229,0.0,0.0,5.0,0.9567942029826308,2.797674260499143,0.957485423321943,2.6245520874728934,2.402989770210839,1.3073505995520303,4.014692717911328,0.9853072820886721,0.32085695132646963,0.6475684780746572,0.8113385461797381,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30693494574419,74.32068447649758,74.3249702818364,74.32611749456642,74.3654572898555,67.56744438985318,141.93312214772396,141.93308329265906,135.02852438049513,142.2780390114638,141.9335803796713,145.13164509541215,146.09487478110978,6.804349916561888
0.05,0.03390505173216483,7.655689813503683,2.071785248896059,0.5116915918773876,16.530289238943478,3.8983403854596994,0.03986005136152721,3.9550700370710254,0.03241670105526449,0.044933862928973396,4.835406981553218,1.5353008921967957,6.550369599264608,0.0,0.0,5.0,0.956958464896707,2.7957373191329284,0.9588949609987507,2.62672905427993,2.402231704943823,1.3071106495364433,4.01452156253321,0.9854784374667904,0.320867465882672,0.6455969237369746,0.8088683857500556,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30799448067494,74.32096567131813,74.32626733095832,74.32762274255464,74.36379422889064,67.56735561195751,141.93132069938278,141.93133947778296,135.04337250604476,142.31397750508225,141.93158579718371,144.14694656373254,145.77912247140125,6.801409510803289
0.06,0.03388324894683802,7.658976005476474,2.0715602267059725,0.5116347312926145,16.528885524375426,3.898193950557156,0.039853844386883566,3.9550714942924703,0.03240849267421596,0.04493240570752932,4.838103183758444,1.532023479690974,6.547109507203276,0.0,0.0,5.0,0.9570970698225618,2.793176190272213,0.9607571266588497,2.6287192859539474,2.4015374335685795,1.306917161446752,4.014377237321904,0.985622762678096,0.32087848926622214,0.6442187655906922,0.8071416914085784,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.30897699403343,74.32082543270802,74.3264396101926,74.32784523107166,74.36030095111859,67.56556197964503,141.92599756039792,141.92604657880634,135.05589158167794,142.33685641363329,141.92614369426042,143.49092567962163,145.36328239301355,6.798748606319661
0.07,0.03386354857646279,7.661917690054859,2.071332003943259,0.511577946498815,16.527636306274893,3.8980753005137934,0.03984891866774749,3.9550738248029598,0.032404127367431736,0.04493007519703909,4.839771345469402,1.5296868877280245,6.543646994591238,0.0,0.0,5.0,0.9572093280905168,2.7904576084176314,0.962731777755975,2.6305014759414105,2.4009147381720384,1.3067595183674003,4.0142603355823505,0.9857396644176495,0.3208871825507006,0.643236224258908,0.8059106653739859,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.3098647797995,74.32046625819135,74.3259632580591,74.32732379226135,74.35599236216217,67.56296291574238,141.91906288548398,141.91912580077718,135.0660309007838,142.3510026905266,141.9191363552724,143.04645925696744,144.92393794883816,6.7963416775354775
0.08,0.03384605059558644,7.6645142038215255,2.0711139532825764,0.5115241801105499,16.52653906336016,3.8979822239575284,0.039844958646063404,3.9550765089452034,0.03240209405819136,0.04492739105479588,4.840740083816674,1.527987601347703,6.540299464890663,0.0,0.0,5.0,0.9572970741880934,2.7878308398646188,0.9646377851614254,2.6320750217830775,2.4003641602553705,1.306630024693842,4.014168891835209,0.985831108164791,0.32089245866693317,0.6425216711278184,0.8050154017560438,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.31065332804202,74.32000626393045,74.3251491958798,74.32641312614112,74.3514623783142,67.56008178629435,141.91163117213202,141.91169838016228,135.073961539053,142.35921456065944,141.91166090916,142.7398698337109,144.50143270088134,6.794168199067728
0.09,0.033830693328255966,7.66678317857484,2.0709130220630456,0.5114749197476381,16.525584246547513,3.8979114943488837,0.03984174197240054,3.955079245830856,0.03240145032460182,0.04492465416914333,4.841224870479543,1.5267278575657373,6.537222273081397,0.0,0.0,5.0,0.9573632855996793,2.7854175321701993,0.9663872087409988,2.6334504356453485,2.399882307284143,1.3065230033237967,4.014099789415192,0.9859002105848083,0.3208941908986495,0.6419919464891711,0.8043517097562826,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.31134541402743,74.31951402268436,74.32418926058365,74.32533289698469,74.34704612423857,67.55721437617893,141.90433149892988,141.90439751887146,135.07995422369527,142.36332315647127,141.90433559600623,142.52441847078236,144.11498346501386,6.792210663610301
0.1,0.033817331984610476,7.66875116901424,2.0707321972882435,0.511430761546976,16.52475913880447,3.897859618727012,0.03983910768951719,3.955081867140555,0.032401606399270526,0.044922032859444294,4.841369674766495,1.5257765101651155,6.534478950091764,0.0,0.0,5.0,0.9574112856517165,2.783267136359341,0.9679446773730822,2.6346436729428144,2.3994638231286114,1.3064341534610122,4.014049571581809,0.9859504284181906,0.32089272699177207,0.6415919031111154,0.8038504954079165,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.31194755932202,74.31902885491856,74.32319796274938,74.3242144812554,74.34292287817846,67.55451996391231,141.89750118702668,141.8975630760096,135.08430900996626,142.36455026781675,141.89749087717396,142.36999568746563,143.77201514826686,6.790453080039645
0.11,0.03380578247227189,7.670448448406647,2.0705720638230964,0.5113917648510455,16.524049903628054,3.8978232206692454,0.03983693706606459,3.955084286928865,0.03240219842330829,0.04491961307113416,4.841271535066572,1.525045965946884,6.532080733070713,0.0,0.0,5.0,0.9574443322483848,2.781388085182676,0.9693045627053607,2.6356729771811,2.399102494044447,1.3063601566828913,4.014014859311886,0.9859851406881139,0.32088862349082964,0.6412847078881195,0.803465610513025,5.7,5.4554,0.2446,1.0,3.9,6.0,0.442,1.0,45.0,5.0,0.187,6.7,5.7,0.2446,5.4554,1.0,74.31246805747499,74.31857198346273,74.32224000175599,74.32313223722612,74.33917585877705,67.5520741741362,141.89129823673298,141.89135458285293,135.0873190907789,142.3637186107196,141.89128046804078,142.2571501661296,143.47338247432424,6.788880246233337
