Time,C,P,Q,Qp,Pstar,P0,Q0,lambda_P,k_PQ,k_Qp_P,delta_QP,gamma,KDE,K,plama,tissue
0.0,1.0,7.13,41.2,0.0,48.330000000000005,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.01,0.9976028775000162,7.121793893218919,41.12809523396946,0.07193001966644298,48.32181914685483,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.02,0.9952115012991247,7.113629959199721,41.0564880081704,0.1435540291517961,48.31367199652191,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.03,0.9928258576216833,7.1055079960689795,40.9851767945751,0.21487359247997972,48.305558383124065,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.04,0.9904459326503399,7.097427801921837,40.914160064919926,0.28589027394565225,48.29747814078742,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.05,0.9880717128235985,7.089389181955777,40.84343634459422,0.35660558310871576,48.28943110965871,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.06,0.9857031843689416,7.081391935051195,40.77300411127404,0.4270210781894602,48.2814171245147,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.07,0.9833403334858551,7.073435859247543,40.70286183628377,0.4971383238858217,48.27343601941714,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.08,0.9809831471001045,7.0655207757079,40.633008165614164,0.5669587067851818,48.265487648107246,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.09,0.9786316118956142,7.0576464981724545,40.563441689189155,0.6364836706513483,48.25757185801296,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.1,0.9762857138694521,7.0498128186217315,40.494160832570195,0.7057148268532218,48.24968847804515,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.11,0.9739454392213535,7.042019535608364,40.42516407096287,0.7746537361383974,48.24183734270963,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.12,0.9716107740643914,7.034266445057587,40.35644985972779,0.8433019794927202,48.2340182842781,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.13,0.969281705240426,7.026553366358847,40.2880168314786,0.9116609571510645,48.22623115498851,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.14,0.9669582209121976,7.0188801613108,40.21986393919415,0.9797317426599277,48.218475843164875,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.15,0.9646403062583591,7.011246596376875,40.15198941568582,1.0475161439523282,48.210752156015026,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.16,0.9623279476605463,7.003652476657399,40.08439178563381,1.1150156713318524,48.20305993362307,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
