Time,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,CD274mRNA,IL13,IL13stimulation,Kon_IL13Rec,Rec_phosphorylation,pRec_intern,pRec_degradation,Rec_intern,Rec_recycle,JAK2_phosphorylation,pJAK2_dephosphorylation,STAT5_phosphorylation,pSTAT5_dephosphorylation,CD274mRNA_production,cell,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12
0.0,1.8,118.598,0.0,0.0,0.0,24.0,0.0,9.4,209.0,0.0,0.0,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1832345216,46.74348,46.54141314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.7998616545168888,118.59802002658012,0.00011831889164287885,1.140003711646576e-11,7.388943150813973e-15,23.999995753267385,4.246732610824775e-06,9.4,208.9999999873676,1.2632471278106137e-08,3.6630458839336974e-13,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.183143579849153,46.73988736148728,46.54142099903084,4.5601094248845467e-07,0.08519498224931611,8.20854511306859e-09,3.695116830634279e-10,3.085164545304565e-13,0.000391852107815366,0.0003787843552269916,1.3820638576122455e-07,1.4644571303282883e-08
0.02,1.7997236776796501,118.59803969359635,0.00023662854198584844,1.8182562612507483e-10,2.357005658265413e-13,23.99998306555528,1.6934444713270336e-05,9.4,208.9999998992022,1.0079784265794339e-07,5.848711498224919e-12,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1830528804285962,46.736304296191754,46.541428716958016,3.6366737569622505e-06,0.1703832202685229,1.3092264967927443e-07,5.893550384717274e-09,9.84139428540824e-12,0.0015625654976871729,0.0015104559921637105,1.1027854502568452e-06,1.1685292303650061e-07
0.03,1.7995860684939629,118.59805900201889,0.00035492856781038775,9.175939820799487e-10,1.783814158568945e-12,23.99996201505512,3.7984944871551823e-05,9.4,208.9999996606881,3.393119696546343e-07,2.9547744576803504e-11,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1829624226847106,46.73273077829232,46.541436294162274,1.223541519869225e-05,0.25556434908229314,6.607084636742169e-07,2.974215725995379e-08,7.448101961405603e-11,0.003504925333709033,0.0033880406768109993,3.712264998596524e-06,3.933575801812245e-07
0.04,1.799448825968187,118.59807795281525,0.0004732183181800137,2.8909260192181598e-09,7.491671985857038e-12,23.999932679247383,6.732075260993718e-05,9.4,208.99999919778506,8.02215025130291e-07,9.319215972351941e-11,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1828722059656385,46.72916678203745,46.541443731023286,2.8911908749730148e-05,0.34073781206198983,2.081592721114313e-06,9.370416324612204e-08,3.128057737630776e-10,0.006211782381278146,0.006004627583430922,8.776686428629609e-06,9.299918343330438e-07
0.05,1.799311949113357,118.59809654695029,0.000591496877797449,7.035734960256063e-09,2.2785648116047567e-11,23.999895134908158,0.0001048650918294123,9.4,208.99999843722142,1.5627786575598215e-06,2.2704950454665596e-10,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1827822296212813,46.725612281745114,46.541451027919706,5.629238539673963e-05,0.4259028633327064,5.066027865406943e-06,2.2805068441377178e-07,9.51387394307827e-10,0.009676052399641557,0.009353368704816458,1.7097683046424626e-05,1.8116980421359501e-06
0.06,1.7991754369431754,118.59811478538631,0.000709763070344175,1.4543443162212886e-08,5.650977535679157e-11,23.999849458115783,0.00015054188420863109,9.4,208.999997306487,2.6935130987599508e-06,4.698371892787959e-10,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.182692493003294,46.72206725180254,46.54145818522915,9.696991179268661e-05,0.5110585701687017,1.047187657172152e-05,4.7139953190543867e-07,2.3594978582924043e-09,0.013890715532992346,0.013427478261247289,2.9468557828847763e-05,3.122535865130436e-06
0.07,1.7990392884740045,118.59813266908304,0.0008280154617761531,2.685886070604073e-08,1.2173566852480577e-10,23.999795724257353,0.00020427574263789708,9.4,208.99999573382593,4.2661741683657965e-06,8.686348454373201e-10,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1826029954650794,46.71853166666603,46.541465203328265,0.00015350463696566953,0.5962038153583133,1.9339439863561436e-05,8.705816238370394e-07,5.082926756451036e-09,0.018848815704613706,0.018220232112477468,4.6674360056501115e-05,4.945690389903101e-06
0.08,1.798903502724861,118.59815019899759,0.00094625236360162,4.567609383947482e-08,2.3655715163151184e-10,23.999734008035347,0.0002659919646430519,9.4,208.9999936482299,6.351770223456959e-06,1.4787973526975215e-09,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1825137363617861,46.71500550086082,46.54147208259263,0.00022842400867412763,0.6813372995569674,3.28885058869988e-05,1.4805083648376649e-06,9.877159997791821e-09,0.024543460010091698,0.02372496716890636,6.949196134656562e-05,7.363480184649184e-06
0.09,1.798768078717406,118.59816737608446,0.00106447183615476,7.293446686464462e-08,4.248722074333268e-10,23.99966438347421,0.00033561652577852793,9.4,208.99999097943103,9.020569075390938e-06,2.36386824575975e-09,3.776,1.0,0.00174087,9.07541,0.324132,0.417538,0.259686,0.0039243,0.300019,0.0981611,0.00426767,0.0116389,0.0115928,100.0,1.1824247150503007,46.711488728980825,46.54147882339683,0.00032422296046912805,0.7664575436381891,5.2515407567353545e-05,2.3640394613770987e-06,1.7740029174729644e-08,0.03096781810768274,0.029935080800080716,9.869013132687354e-05,1.0457365317719208e-05
