CD274mRNA,IL13,IL13_Rec,JAK2,Rec,Rec_i,SHP1,STAT5,pJAK2,pSTAT5,p_IL13_Rec,p_IL13_Rec_i,Time
0.0,3.776,0.0,24.0,1.8,118.598,9.4,209.0,0.0,0.0,0.0,0.0,0.0
3.6630458839336974e-13,3.776,0.00011831889164287885,23.999995753267385,1.7998616545168888,118.59802002658012,9.4,208.9999999873676,4.246732610824775e-06,1.2632471278106137e-08,1.140003711646576e-11,7.388943150813973e-15,0.01
5.848711498224919e-12,3.776,0.00023662854198584844,23.99998306555528,1.7997236776796501,118.59803969359635,9.4,208.9999998992022,1.6934444713270336e-05,1.0079784265794339e-07,1.8182562612507483e-10,2.357005658265413e-13,0.02
2.9547744576803504e-11,3.776,0.00035492856781038775,23.99996201505512,1.7995860684939629,118.59805900201889,9.4,208.9999996606881,3.7984944871551823e-05,3.393119696546343e-07,9.175939820799487e-10,1.783814158568945e-12,0.03
9.319215972351941e-11,3.776,0.0004732183181800137,23.999932679247383,1.799448825968187,118.59807795281525,9.4,208.99999919778506,6.732075260993718e-05,8.02215025130291e-07,2.8909260192181598e-09,7.491671985857038e-12,0.04
2.2704950454665596e-10,3.776,0.000591496877797449,23.999895134908158,1.799311949113357,118.59809654695029,9.4,208.99999843722142,0.0001048650918294123,1.5627786575598215e-06,7.035734960256063e-09,2.2785648116047567e-11,0.05
4.698371892787959e-10,3.776,0.000709763070344175,23.999849458115783,1.7991754369431754,118.59811478538631,9.4,208.999997306487,0.00015054188420863109,2.6935130987599508e-06,1.4543443162212886e-08,5.650977535679157e-11,0.06
8.686348454373201e-10,3.776,0.0008280154617761531,23.999795724257353,1.7990392884740045,118.59813266908304,9.4,208.99999573382593,0.00020427574263789708,4.2661741683657965e-06,2.685886070604073e-08,1.2173566852480577e-10,0.07
1.4787973526975215e-09,3.776,0.00094625236360162,23.999734008035347,1.798903502724861,118.59815019899759,9.4,208.9999936482299,0.0002659919646430519,6.351770223456959e-06,4.567609383947482e-08,2.3655715163151184e-10,0.08
2.36386824575975e-09,3.776,0.00106447183615476,23.99966438347421,1.798768078717406,118.59816737608446,9.4,208.99999097943103,0.00033561652577852793,9.020569075390938e-06,7.293446686464462e-08,4.248722074333268e-10,0.09
3.5954945643779924e-09,3.776,0.0011826716918275988,23.999586923926916,1.79863301547594,118.5981842012956,9.4,208.9999876578953,0.00041307607307187474,1.2342104788468604e-05,1.1081450494309612e-07,7.171426915865186e-10,0.1
5.25334235607114e-09,3.776,0.0013008494982921755,23.999501702081524,1.7984983120273956,118.5982006755804,9.4,208.9999836148157,0.0004982979184620631,1.6385184423075444e-05,1.6173393831722826e-07,1.1511392208158216e-09,0.11
7.425012003196388e-09,3.776,0.0014190025817476999,23.999408789967816,1.798363967401329,118.59821679988569,9.4,208.99997878210533,0.0005912100321667773,2.121789478879152e-05,2.2834368584750087e-07,1.7726783007154006e-09,0.12
1.0205956146407739e-08,3.776,0.0015371280300882889,23.999308258963786,1.7982299806299147,118.59823257515575,9.4,208.99997309239114,0.0006917410361978402,2.6907608985926664e-05,3.135239473849466e-07,2.636327720032812e-09,0.13
1.3699396473925052e-08,3.776,0.0016552226961369628,23.999200179802255,1.7980963507479375,118.59824800233228,9.4,208.99996647900713,0.0007998201977332674,3.352099303246843e-05,4.203802254975081e-07,3.8061126258296955e-09,0.14
1.8016242493335353e-08,3.776,0.0017732832008279535,23.9990846225774,1.7979630767927854,118.59826308235448,9.4,208.99995887598786,0.0009153774225927798,4.112401232749283e-05,5.522394226910346e-07,5.356195406230876e-09,0.15
