data_set_value_component_environment_variable_time,data_set_value_component_equations_variable_F,data_set_value_component_equations_variable_R_on,data_set_value_component_equations_variable_A,data_set_value_component_equations_variable_alpha,data_set_value_component_equations_variable_D,data_set_value_component_equations_variable_k_XB,data_set_value_component_equations_variable_k_a,data_set_value_component_equations_variable_x,data_set_value_component_undefined_parameters_variable_x_0,data_set_value_component_undefined_parameters_variable_epsilon,data_set_value_component_undefined_parameters_variable_beta,data_set_value_component_undefined_parameters_variable_g,data_set_value_component_undefined_parameters_variable_f,data_set_value_component_undefined_parameters_variable_k_off,data_set_value_component_undefined_parameters_variable_k_on,data_set_value_component_parameters_stelzer_et_al_variable_L,data_set_value_component_parameters_stelzer_et_al_variable_L_0,data_set_value_component_parameters_stelzer_et_al_variable_dL_dt
0.0,0.0,1.0,0.0,0.1,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.12,2.12,0.0
0.1,0.08421971742648425,0.8264323319016919,0.08263143960024648,0.1,0.9173685603997536,0.0,0.0,1.0192212290372953,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.2,0.14108089313779038,0.6940208273308487,0.13866914723511625,0.1,0.8613308527648837,0.0,0.0,1.0173920872145046,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.30000000000000004,0.17945430933455284,0.5909168501790927,0.1766739887856415,0.1,0.8233260112143586,0.0,0.0,1.0157370112489208,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.4,0.2049635048327929,0.5093034851458909,0.2020859152558619,0.1,0.7979140847441382,0.0,0.0,1.0142394365945182,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.5,0.22132867071569132,0.44380507466262314,0.2185132638866714,0.1,0.7814867361133286,0.0,0.0,1.0128843749754253,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.6000000000000001,0.23109549443400837,0.39060486238783493,0.22843236942433875,0.1,0.7715676305756612,0.0,0.0,1.0116582646162662,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.7000000000000001,0.23605465139432458,0.34692245057788873,0.2335905435109327,0.1,0.7664094564890673,0.0,0.0,1.010548834068176,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.8,0.23749224711228298,0.31069252923915885,0.2352468209578566,0.1,0.7647531790421433,0.0,0.0,1.0095449798015703,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
0.9,0.23634851970497836,0.28035527817630074,0.2343247378113179,0.1,0.7656752621886821,0.0,0.0,1.0086366548942436,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
1.0,0.2333199795710599,0.2547173910211109,0.23151077644106344,0.1,0.7684892235589366,0.0,0.0,1.0078147685296068,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.1412003214206727,2.12,0.0
