Time,species_1,species_2,species_3,species_4,species_5,species_6,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,compartment_1,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8
0.0,0.0,0.0,0.0,0.0,100.0,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0
0.01,0.005524626734407976,0.005524626734407976,4.7530899065687,4.7530899065687,90.49382018686309,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.94457830305197,499.94457830305197,500.0,500.0,47.530899065687,47.530899065687,0.00019146897223000915,0.00019146897223000915
0.02,0.006105503166116449,0.006105503166116449,9.058347410093605,9.058347410093605,81.88330517981329,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.9387790274294,499.9387790274294,500.0,500.0,90.58347410093604,90.58347410093604,0.0002116006152746274,0.0002116006152746274
0.03,0.00674742834743424,0.00674742834743424,12.953845226314996,12.953845226314996,74.0923095473705,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.9325497668003,499.9325497668003,500.0,500.0,129.53845226314996,129.53845226314996,0.0002338480467526657,0.0002338480467526657
0.04,0.007456809178050046,0.007456809178050046,16.47857625598055,16.47857625598055,67.04284748803938,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.9257204714216,499.9257204714216,500.0,500.0,164.7857625598055,164.7857625598055,0.00025843331288689144,0.00025843331288689144
0.05,0.008240675378244765,0.008240675378244765,19.66781313132373,19.66781313132373,60.66437373735302,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.9154109940433,499.9154109940433,500.0,500.0,196.6781313132373,196.6781313132373,0.0002856000452169461,0.0002856000452169461
0.06,0.009106971679815145,0.009106971679815145,22.553474543481595,22.553474543481595,54.893050913037285,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.9094600836815,499.9094600836815,500.0,500.0,225.53474543481596,225.53474543481596,0.00031562358716509065,0.00031562358716509065
0.07,0.010064180402876698,0.010064180402876698,25.16444191157598,25.16444191157598,49.671116176848514,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.8990740160505,499.8990740160505,500.0,500.0,251.6444191157598,251.6444191157598,0.00034879791354495873,0.00034879791354495873
0.08,0.01112189914124225,0.01112189914124225,27.526834408190012,27.526834408190012,44.94633118362043,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.88856219309775,499.88856219309775,500.0,500.0,275.2683440819001,275.2683440819001,0.0003854556516111263,0.0003854556516111263
0.09,0.012290626646186102,0.012290626646186102,29.66430643528664,29.66430643528664,40.671387129427124,1.0,500.0,500.0,10.0,1000.0,0.03465735902799,1.0,499.87683439028746,499.87683439028746,500.0,500.0,296.6430643528664,296.6430643528664,0.0004259606603558523,0.0004259606603558523
