Time,M,Mp,Mpp,MAPKK,MKP3,M_MAPKK,Mp_MAPKK,Mpp_MKP3,Mp_MKP3_dep,Mp_MKP3,M_MKP3,k1,k_1,k2,k3,k_3,k4,h1,h_1,h2,h3,h_3,h4,h_4,h5,h6,h_6,uVol,v1a,v1b,v2a,v2b,v3a,v3b,v3c,v4a,v4b,v4c
0.0,500.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0
0.01,494.74399514374693,0.00023745749311148608,4.3842022241024115e-08,45.28956239371455,99.45467025136743,4.710436462233696,1.1440517592071392e-06,4.0076670797114607e-10,7.964212118072584e-07,7.95419639724274e-07,0.5453281563908636,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,443.42434427733303,0.04710436462233696,0.00034299501864487895,1.716077638810709e-05,1.9581245722306652e-07,3.6870537133345435e-11,-0.00023536614554938476,0.00023536714712146773,3.97709819862137e-07,-54.078162764002414
0.02,490.0259207147322,0.0009037576345555516,6.162935082562895e-07,41.108634926040686,98.91819016261954,8.89135720252065,7.871438677183046e-06,1.1441580719807026e-08,6.096318138294215e-06,6.080895563645728e-06,1.0817976487251058,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,393.99457637665705,0.0889135720252065,0.0011810003264609373,0.00011807158015774568,2.731877149335954e-06,1.0526254262222463e-09,-0.0008878843774205585,0.000887899799995207,3.040447781822864e-06,-53.226690333069506
0.03,485.77904267889255,0.0019379336746167706,2.746369242134819e-06,37.39109013866618,98.38989322027012,12.608886961856205,2.2899477632119544e-05,7.764720790485596e-08,1.9708315560200632e-05,1.9633110716657535e-05,1.6100673606563667,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,350.6672724837725,0.12608886961856205,0.0022958670090991525,0.00034349216448179313,1.2082026733563699e-05,7.143543127246748e-09,-0.0018870225575748972,0.0018870977624184404,9.816555358328768e-06,-52.43685715858697
0.04,481.9462135328554,0.0032882488892218534,7.654670842128514e-06,34.08031461410857,97.86919482230661,15.919638494427542,4.689146390617703e-05,2.929000409184307e-07,4.47933780245086e-05,4.456425675611482e-05,2.1307155271585403,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,312.57793319113375,0.15919638494427543,0.003539174349667385,0.0007033719585926555,3.341914119678231e-05,2.6946803764495625e-08,-0.0031733893336103607,0.0031736184548787545,2.228212837805741e-05,-51.70121511739637
0.05,478.4782574939467,0.00491053609436146,1.6510734640530578e-05,31.127604110228866,97.35558043054658,18.872316600986952,7.928878420232212e-05,8.014300271356489e-07,8.396576153740734e-05,8.34261446512047e-05,2.644251376117197,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,279.0053188914875,0.18872316600986952,0.004812014368254413,0.0011893317630348318,7.153211691472572e-05,7.37315624964797e-08,-0.0046967151553796846,0.004697254772265887,4.171307232560235e-05,-51.013375711545606
0.06,475.3326719748939,0.006766888655546553,3.0301380126121135e-05,28.490873444029262,96.84859572090014,21.509007687484072,0.0001188684866916747,1.7907965998105033e-06,0.0001393760084165144,0.00013829586002101765,3.151124816434833,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,249.34385233349548,0.21509007687484072,0.006050557698748779,0.0017830273003751206,0.00013026827851309058,1.647532871825663e-07,-0.006414260628477222,0.006415340776872718,6.914793001050882e-05,-50.36783522492152
0.07,472.4725749634823,0.008824618945537327,4.977126420074897e-05,26.133611013031263,96.34783834066063,23.866224877303804,0.0001641096649654989,3.481103446075008e-06,0.0002127797149604759,0.00021084678492141215,3.651734551736038,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,223.0820648911142,0.23866224877303804,0.007215703418583257,0.0024616449744824837,0.0002123098138290082,3.2026151703890076e-07,-0.008289549880865138,0.008291482810904202,0.00010542339246070607,-49.759833228825684
0.08,469.86584531286087,0.011055422251858307,7.540896721115911e-05,24.024025175276435,95.85295096880334,25.97576139744106,0.00021342728253812744,6.113098107168038e-06,0.00030559492385620916,0.0003024079093716183,4.146434915265301,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,199.78561653853322,0.2597576139744106,0.008285636477524443,0.0032014092380719117,0.000319154643544302,5.624050258594595e-07,-0.010291353546611709,0.0102945405610963,0.00015120395468580915,-49.185237213245074
0.09,467.48441560158057,0.01343469989107404,0.00010746042569858186,22.13434232153207,95.36361544036504,27.865392363698227,0.00026531476973514823,9.936737039226457e-06,0.0004189503458526699,0.0004140136932020458,4.635541658858821,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,1.0,179.08380933443684,0.27865392363698227,0.00925046911429949,0.003979721546027224,0.00045121492497276014,9.14179807608834e-07,-0.01239286519383832,0.012397801846488945,0.0002070068466010229,-48.640447854510356
