data_set_value_component_environment_variable_time,data_set_value_component_B_variable_B,data_set_value_component_B_variable_F,data_set_value_component_B_variable_n2,data_set_value_component_B_variable_K2,data_set_value_component_R_variable_R,data_set_value_component_R_variable_Vmax,data_set_value_component_R_variable_Km,data_set_value_component_R_variable_fu,data_set_value_component_R_variable_ISF,data_set_value_component_R_variable_age,data_set_value_component_Ca_variable_Ca,data_set_value_component_Ca_variable_Va,data_set_value_component_Ca_variable_Vv,data_set_value_component_Cv_variable_Cv,data_set_value_component_C_variable_C,data_set_value_component_C_variable_V,data_set_value_component_model_constants_variable_Q,data_set_value_component_model_constants_variable_P,data_set_value_component_model_constants_variable_Qc
0.0,1.9375105112604432,0.48,1.0,0.8532,0.0,0.009433,198.0,0.19855136007236523,15.56421125002706,5.0,6.6685,2148.0,3431.0,0.0,0.0,1454.0,1221.34,15.61,6445.65
0.1,1.7262144176018503,0.48,1.0,0.8532,8.506009184013736e-05,0.009433,198.0,0.2175672483011687,15.56421125002706,5.0,5.941263687023465,2148.0,3431.0,0.006403821407134892,0.5275604783105062,1454.0,1221.34,15.61,6445.65
0.2,1.5381640325518309,0.48,1.0,0.8532,0.00017522954758995523,0.009433,198.0,0.23783993384971422,15.56421125002706,5.0,5.294034169858029,2148.0,3431.0,0.0120752577911933,0.9947855149343978,1454.0,1221.34,15.61,6445.65
0.30000000000000004,1.3708007070039019,0.48,1.0,0.8532,0.0002703312066069274,0.009433,198.0,0.25934721020126994,15.56421125002706,5.0,4.718005121277377,2148.0,3431.0,0.017095042831892632,1.4083261227559551,1454.0,1221.34,15.61,6445.65
0.4,1.2218477826868779,0.48,1.0,0.8532,0.00037009591778854224,0.009433,198.0,0.28204637622888684,15.56421125002706,5.0,4.20534076666601,2148.0,3431.0,0.02153501194273809,1.7741002564929989,1454.0,1221.34,15.61,6445.65
0.5,1.08927934873108,0.48,1.0,0.8532,0.00047415874569244765,0.009433,198.0,0.3058728838738165,15.56421125002706,5.0,3.7490683507506333,2148.0,3431.0,0.025459088218646682,2.097374037166945,1454.0,1221.34,15.61,6445.65
0.6000000000000001,0.9712922928292878,0.48,1.0,0.8532,0.0005820586971435862,0.009433,198.0,0.33073971547402226,15.56421125002706,5.0,3.342981943627479,2148.0,3431.0,0.02892416429993994,2.3828344019411154,1454.0,1221.34,15.61,6445.65
0.7000000000000001,0.8662818911442772,0.48,1.0,0.8532,0.0006932419514367294,0.009433,198.0,0.35653751503113673,15.56421125002706,5.0,2.9815584264043697,2148.0,3431.0,0.031980872646457596,2.6346525609465923,1454.0,1221.34,15.61,6445.65
0.8,0.7728200766638045,0.48,1.0,0.8532,0.0008070691219327803,0.009433,198.0,0.38313562253744793,15.56421125002706,5.0,2.6598826954904875,2148.0,3431.0,0.034674271309452075,2.8565404926348648,1454.0,1221.34,15.61,6445.65
0.9,0.6896361802646549,0.48,1.0,0.8532,0.0009228264289484956,0.009433,198.0,0.41038402205666197,15.56421125002706,5.0,2.3735813774259666,2148.0,3431.0,0.03704445170282359,3.051801013269637,1454.0,1221.34,15.61,6445.65
1.0,0.6155987985050038,0.48,1.0,0.8532,0.001039742285004198,0.009433,198.0,0.4381165812293539,15.56421125002706,5.0,2.1187604216712304,2148.0,3431.0,0.03912711068039004,3.223374905873585,1454.0,1221.34,15.61,6445.65
