value_component_environment_variable_time,value_component_PRL_variable_PRL,value_component_PRL_variable_kD,value_component_PRL_variable_kO,value_component_PRL_variable_rP,value_component_PRL_variable_qP,value_component_DA_variable_DA,value_component_DA_variable_vD,value_component_DA_variable_vDbar,value_component_DA_variable_DA_infinity,value_component_DA_variable_qD,value_component_OT_variable_OT,value_component_OT_variable_kx,value_component_OT_variable_vO,value_component_OT_variable_vObar,value_component_OT_variable_rO,value_component_OT_variable_qO,value_component_x_variable_x
0.0,20.0,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,25.0,50.0,0.0,500.0,1100.0,1.0,1.0
0.1,19.80116875857184,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,24.67345195986951,50.0,0.0,500.0,1100.0,1.0,1.0
0.2,19.606825962194367,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,24.377986524025992,50.0,0.0,500.0,1100.0,1.0,1.0
0.30000000000000004,19.4171813271117,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,24.11064471052369,50.0,0.0,500.0,1100.0,1.0,1.0
0.4,19.232404193137246,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,23.868742772592007,50.0,0.0,500.0,1100.0,1.0,1.0
0.5,19.052625990286167,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,23.64986397076526,50.0,0.0,500.0,1100.0,1.0,1.0
0.6000000000000001,18.87794613766971,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,23.451810624028354,50.0,0.0,500.0,1100.0,1.0,1.0
0.7000000000000001,18.708432231669775,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,23.272601242751673,50.0,0.0,500.0,1100.0,1.0,1.0
0.8,18.544123651403456,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,23.110445923211188,50.0,0.0,500.0,1100.0,1.0,1.0
0.9,18.385035217759505,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,22.963722169336087,50.0,0.0,500.0,1100.0,1.0,1.0
1.0,18.231159663567638,300.0,9.0,300000.0,0.5,20000.0,0.0,10000.0,20000.0,0.2,22.83096000082428,50.0,0.0,500.0,1100.0,1.0,1.0
