MAPK,MAPKMEKpp,MAPKPH,MAPKp,MAPKpMAPKPH,MAPKpMEKpp,MAPKpp,MAPKppMAPKPH,MEK,MEKPH,MEKRAFp,MEKp,MEKpMEKPH,MEKpRAFp,MEKpp,MEKppMEKPH,RAF,RAFK,RAFPH,RAFRAFK,RAFp,RAFpRAFPH,Time
0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.3,0.0,0.0,0.0,0.0
0.4,1.9003437338961757e-27,0.3,2.056484565151032e-31,2.7113773939419716e-34,2.1975449243381557e-57,5.775149464149633e-62,7.7925202951734e-68,0.19999999934366522,0.1999999999999993,6.561706792665245e-10,1.6343918493153598e-13,7.170829000409012e-16,7.821549696791141e-22,2.817860581907411e-25,4.749830550741134e-28,0.29940269003272313,0.19940298903542802,0.29999999985090015,0.0005970109645719728,2.9819743434348766e-07,1.490998929314511e-10,0.01
0.4,1.5755946781368329e-25,0.3,3.329605327967329e-29,4.354089164843087e-32,1.7275864477629038e-53,1.0439746569359916e-57,3.5410467539003555e-62,0.19999999477845326,0.19999999999997914,5.218931434369422e-09,2.5945105578249205e-12,2.0864654305438802e-14,3.6141636456759056e-20,1.324125805017161e-23,3.937321023062895e-26,0.29881072052205604,0.19881191256523403,0.2999999988143537,0.001188087434765974,1.1856386001247527e-06,1.1856464184636978e-09,0.02
0.4,4.553178846408239e-24,0.3,1.3216397480449993e-27,3.113008885750619e-30,2.0048146213622971e-50,3.0099513087133494e-54,2.89164934311885e-58,0.19999998247488868,0.1999999999998438,1.751193163223938e-08,1.3023558915257925e-11,1.5618438613843954e-13,5.196958275657806e-19,2.211163869054222e-22,1.1376332707383376e-24,0.29822403263468766,0.19822670585272936,0.29999999602240324,0.0017732941472706194,2.651728513124657e-06,3.97759690157668e-09,0.03
0.4,6.250024288331126e-23,0.3,2.3267434312714408e-26,9.388458676132141e-29,3.35515965181088e-48,7.159851710416185e-52,3.684248781455839e-55,0.19999995868871315,0.1999999999993474,4.126982526745373e-08,4.080901911835022e-11,6.526022923390813e-13,3.6938196528946564e-18,1.8899679135444425e-21,1.5613408294136752e-23,0.29764256830076263,0.1976473049881405,0.2999999906279959,0.002352695011859464,4.686045548473974e-06,9.372004162406806e-09,0.04
0.4,4.645008227491418e-22,0.3,2.2344519890804313e-25,1.3638314030115597e-27,1.7821009086262122e-46,4.977703645181256e-50,6.536066629433461e-53,0.19999991975939832,0.19999999999802529,8.013984549447614e-08,9.878152319267708e-11,1.974695228826488e-12,1.717608088827535e-17,1.0505221569680991e-20,1.160132116215073e-22,0.29706627020205695,0.19707364687599388,0.2999999818046056,0.002926353124006086,7.278338696952556e-06,1.8195394535202938e-08,0.05
0.4,2.3416674275218933e-21,0.3,1.3904318670801129e-24,1.09456813120146e-26,4.789086023474495e-45,1.6295482830295652e-48,3.665795430065134e-51,0.19999986210866047,0.1999999999951283,1.376833772288176e-07,2.0309058147952052e-10,4.871700242240654e-12,6.047829085612415e-17,4.3376277109386725e-20,5.847194657092663e-22,0.2964950817601902,0.19650566922253632,0.2999999687458546,0.0034943307774636927,1.0418524823350785e-05,3.125414547953968e-08,0.06
0.4,9.717733898284854e-21,0.3,7.272368525593069e-24,7.572821188831346e-26,1.239359405594944e-42,8.636488112676864e-46,5.0447817867607685e-49,0.19999978223901302,0.19999999998956117,2.173774898289938e-07,3.730582066731786e-10,1.043881388989319e-11,1.7643349838191035e-16,1.48137397878572e-19,2.4257822801217473e-21,0.29592894712516116,0.1959433105234975,0.29999995066514634,0.004056689476502474,1.409668599272142e-05,4.933485366715699e-08,0.07
0.4,3.705217457860697e-20,0.3,3.4917068413612513e-23,4.549191807763464e-25,1.694586984540661e-41,1.1987757498570527e-44,6.570391287953762e-48,0.19999967673237712,0.19999999997982945,3.2261640797286763e-07,6.310439509413052e-10,2.0170551062251537e-11,4.542424941345367e-16,4.5594028040095585e-19,9.245495124014843e-21,0.29536781116439265,0.19538651005239058,0.2999999267953117,0.004613489947609398,1.8303066901203372e-05,7.320468832201794e-08,0.08
0.4,1.0682433945003136e-19,0.3,1.1034663682602652e-22,1.5370662948966953e-24,6.511941565837404e-41,4.612061552600891e-44,2.5164721528179014e-47,0.19999954224859331,0.1999999999639724,4.5671308755308927e-07,1.0022905649570687e-09,3.6027578373695296e-11,1.0321917190065906e-15,1.1723746708605788e-18,2.6650607662027488e-20,0.2948116194509114,0.19483520784789876,0.29999989638823044,0.0051647921521012176,2.302807212917868e-05,1.0361176962163539e-07,0.09
