Time,P,Kd,Ksp,dspksp,dspspkd,h,k0,ka,ks,ku,s,univ,___r1,___r2
0.0,10.0,1e-05,0.001,9.99998989900021,9.98999490280026,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5284150984793097,1.0
0.01,10.005284124132311,1e-05,0.001,10.005274017741089,9.99527637983035,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5289411221881015,1.0005284124132312
0.02,10.010568227280107,1e-05,0.001,10.010558115497407,10.000557836583136,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.529467356526834,1.0010568227280108
0.03,10.0158523167142,1e-05,0.001,10.015842199539998,10.005839280326452,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.52999380212622,1.00158523167142
0.04,10.021136401013566,1e-05,0.001,10.021126278447802,10.011120719633192,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5305204597482884,1.0021136401013566
0.05,10.026420505088959,1e-05,0.001,10.026410377131542,10.016402179402556,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5310473317854496,1.002642050508896
0.06,10.031704601741861,1e-05,0.001,10.031694468392757,10.02168363244773,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5315744154349202,1.0031704601741862
0.07,10.036988690972274,1e-05,0.001,10.03697855223139,10.0269650787681,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.532101710604321,1.0036988690972275
0.08,10.042272772780196,1e-05,0.001,10.0422626286475,10.032246518365612,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5326292172015108,1.0042272772780196
0.09,10.047556847165628,1e-05,0.001,10.047546697641083,10.037527951236061,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5331569351337135,1.0047556847165628
0.1,10.05284091412857,1e-05,0.001,10.052830759212142,10.042809377381943,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5336848643088068,1.0052840914128571
0.11,10.05812497366902,1e-05,0.001,10.058114813360676,10.048090796802093,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5342130046342835,1.005812497366902
0.12,10.063409025786981,1e-05,0.001,10.063398860086629,10.053372209494695,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5347413560175516,1.0063409025786982
0.13,10.068693070482452,1e-05,0.001,10.068682899390057,10.058653615459257,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5352699183661347,1.0068693070482453
0.14,10.073977107755432,1e-05,0.001,10.0739669312709,10.063935014696996,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5357986915877093,1.0073977107755432
0.15,10.079261137605924,1e-05,0.001,10.07925095572928,10.06921640720627,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5363276755896473,1.0079261137605924
0.16,10.084545257309784,1e-05,0.001,10.084535070040845,10.07449789021234,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5368568800233802,1.0084545257309785
0.17,10.08982961457897,1e-05,0.001,10.089819421917433,10.07977961135606,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5373863196105408,1.0089829614578971
0.18,10.095113991544185,1e-05,0.001,10.09510379348998,10.085061352874218,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.537915972446337,1.0095113991544185
0.19,10.100398388205424,1e-05,0.001,10.100388184758485,10.090343114765677,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5384458384413493,1.0100398388205425
0.2,10.105682804562688,1e-05,0.001,10.105672595722892,10.09562489703288,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5389759175064983,1.0105682804562688
0.21,10.110967240615981,1e-05,0.001,10.110957026383257,10.100906699672322,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.539506209552087,1.0110967240615982
0.22,10.116251696365298,1e-05,0.001,10.11624147673964,10.106188522685345,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5400367144888842,1.01162516963653
0.23,10.121536171810641,1e-05,0.001,10.121525946791925,10.111470366070096,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5405674322273166,1.0121536171810641
0.24,10.12682066695201,1e-05,0.001,10.12681043654011,10.116752229826645,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5410983626779842,1.012682066695201
0.25,10.132105181789404,1e-05,0.001,10.13209494598431,10.12203411395337,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5416295057512956,1.0132105181789404
0.26,10.137389716322826,1e-05,0.001,10.137379475124414,10.127316018452055,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5421608613579825,1.0137389716322827
0.27,10.142674270552272,1e-05,0.001,10.142664023960533,10.132597943322281,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5426924294085331,1.0142674270552272
