Time,naive_Tcells,eff_Tcells,tumor_cells,Sn,n,Kn,De,gamma_E,An,Ae,Dn,Rc,Cmax,Dc,gamma_C,TumorMicroenvr,Naive_Tcells_production,Naive_Tcells_degradation,eff_Tcells_production,eff_Tcells_degradation,Tumor_growth,Tumor_killing
0.0,1510.0,20.0,10000.0,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,434.6320895522388,30.510074626865674,11406.0,178.72317030796154,-440.0
1.0,1132.660055502822,0.016204583055511267,9940.8935596327,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,325.9939869621361,9.182312365258213,9.186879388901366,178.00271034193304,238.03374611105238
2.0,849.7138615898969,0.012225191741619682,9881.143308274111,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,244.5384158872566,6.88575887411776,6.8892032370166625,177.27236675806995,236.73672323524045
3.0,637.5456378296918,0.009224202369997226,9821.973299792144,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,183.46363839245248,5.164362156774141,5.166959815940553,176.54708613983604,235.41931963908547
4.0,478.44686932749846,0.0069610467820707105,9763.404368453137,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,137.66918312247822,3.8740497477867644,3.876008644015944,175.8271723590461,234.09062889336764
5.0,359.1395090418288,0.005254300479837383,9705.449736874512,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,103.33096243495142,2.906836150356993,2.9083111950853002,175.11283815057374,232.757409497676
6.0,269.66965421752315,0.003967186825222022,9648.116960302357,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,77.58247445148147,2.1818014144341786,2.182915458154988,174.4042278518565,231.42466904678
7.0,202.57371466103922,0.0029965323956235596,9591.40939054058,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,58.27454557176953,1.6382943198299642,1.639134190349931,173.70143458934487,230.09610607851525
8.0,152.2553216098001,0.0022645417913797774,9535.327268568622,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,43.79580786806134,1.2308551887795391,1.2314887469043532,173.0045131512846,228.7744377455268
9.0,114.51829818209944,0.0017125407980466184,9479.868542454638,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,32.93815064599905,0.9254117099033755,0.9258894756665351,172.31348966143076,227.46164716933848
10.0,86.21624516893806,0.0012962818131665784,9425.029479924078,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,24.795776216178602,0.6964257739154077,0.6967860598368628,171.62836885426438,226.15916803754638
11.0,64.98988213821949,0.0009823953106227257,9370.805126608879,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,18.689541435558333,0.5247556494958556,0.5250273143421647,170.94913954163476,224.86802319956843
12.0,49.069812339442606,0.0007457117453487804,9317.189649312895,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,14.110149172976806,0.39605130193369403,0.3962561655662831,170.27577872797397,223.58892859514202
13.0,37.12907246356443,0.0005672470907678625,9264.17659156917,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,10.675682300450376,0.2995552024970119,0.29970957566308903,169.60825469011294,222.32237093511233
14.0,28.172948270973937,0.00043269101037024467,9211.759064329326,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,8.099872731606691,0.22720654483631664,0.2273229915025303,168.9465292892642,221.0686656697586
15.0,21.455287678064828,0.00033124749773979714,9159.929889534995,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,6.168003633727408,0.17296121116417362,0.1730489940060072,168.29055972453415,219.8280010557316
16.0,16.416437316299934,0.00025477401744725494,9108.681706045092,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,4.719039365308377,0.1322876178961691,0.13235379182338736,167.64029983704552,218.60047071661376
17.0,12.636788530434147,0.00019713145918698552,9058.007048418973,0.37,720.0,0.062,0.3,0.057,0.14,0.98,0.23,0.0057,230000.0,0.024,0.0034,1.0,0.37,3.6322509200045956,0.10178950156128934,0.10183937380426353,166.99570108946958,217.3860980603563
