s108,s109,s110,s111,s112,s113,s114,s117,s118,s119,s120,s122,s123,s124,s126,s127,s128,s129,s130,s131,s132,s133,s134,s150,s153,s154,s156,s157,s158,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215,s22,s36,s65,s93,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66666666666667e-06,0.0,0.0,0.0,0.0,6.66666666666667e-06,0.0,0.0,0.0,6.66666666666667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333333333333,0.000333333333333333,0.000333333333333333,0.0,0.0
0.0,0.0,2.410007474808587e-19,0.0,0.0,1.791488095729847e-15,7.274742106716265e-25,2.8658171765359637e-15,0.0,4.983921594711313e-19,0.0,0.0,7.255221820972619e-17,5.804325722336259e-20,-3.560229472071895e-61,3.560196886690403e-61,4.073144724893e-63,0.0,0.0,0.0,0.0,9.999993423753426e-08,0.0,-1.0000000000000021e-07,0.0,0.0,0.0,0.0,0.0,-3.344964734762625e-11,3.344678371917164e-11,-3.344964734762625e-11,3.344785724496073e-11,4.39931327719742e-15,3.335172972566071e-11,4.414759847902961e-74,0.0,1.087993608764968e-49,0.0,1.4017165359467854e-83,6.666444448535861e-06,2.222181308085149e-10,3.111853754665257e-53,2.9430907055758764e-60,4.8776586052225094e-90,6.666444448535861e-06,2.22218130808515e-10,3.0962260961748876e-71,1.0956817168303134e-101,6.666444448535861e-06,2.222181308085149e-10,-3.3356128544169066e-11,2.9430907055758764e-60,4.8776586052225094e-90,3.0962260961748876e-71,1.0956817168303147e-101,0.0003333331111152022,0.0003333331111152022,0.0003333331111152022,8.424135572573271e-21,0.01
0.0,0.0,7.908638875276854e-19,0.0,0.0,6.972986466823583e-15,2.3744428910372143e-24,1.115492825927016e-14,0.0,1.635516293679312e-18,0.0,0.0,2.381023649379783e-16,1.904867313002753e-19,-1.161424975300415e-60,1.1614143452339658e-60,1.3287491848848409e-62,0.0,0.0,0.0,0.0,1.9999974316778615e-07,0.0,-2.0000000000000034e-07,0.0,0.0,0.0,0.0,0.0,-6.712093338172905e-11,6.710978575474836e-11,-6.712093338172905e-11,6.711396501652381e-11,1.7171864120556535e-14,6.673852360817172e-11,1.440191533881152e-73,0.0,3.5492740934949545e-49,0.0,4.572706913867968e-83,6.666222238201343e-06,4.444284653258464e-10,1.0151549829835217e-52,9.601007678982957e-60,1.5911992657289897e-89,6.666222238201343e-06,4.444284653258466e-10,1.0100568920718282e-70,3.574354181791976e-101,6.666222238201343e-06,4.444284653258464e-10,-6.675569381851476e-11,9.601007678982957e-60,1.5911992657289897e-89,1.0100568920718282e-70,3.574354181791977e-101,0.00033333288890486767,0.00033333288890486767,0.00033333288890486767,2.7496163092812225e-20,0.02
0.0,0.0,1.543448241956071e-18,0.0,0.0,1.547849769803021e-14,4.6048837815010554e-24,2.4761985671777888e-14,0.0,3.1918727541857774e-18,0.0,0.0,4.647169181111376e-16,3.7178291976799186e-19,-2.2509389212515117e-60,2.250918319292023e-60,2.5752272583250594e-62,0.0,0.0,0.0,0.0,2.999994286414667e-07,0.0,-3.000000000000004e-07,0.0,0.0,0.0,0.0,0.0,-1.0101058991796955e-10,1.009858424245758e-10,-1.0101058991796955e-10,1.0099512059228133e-10,3.8187605044593886e-14,1.0015987100799894e-10,2.7912118684358607e-73,0.0,6.878791089165517e-49,0.0,8.862289152858333e-83,6.66600003554817e-06,6.66631118499171e-10,1.9674554325573126e-52,1.860755737775273e-59,3.083877505889982e-89,6.66600003554817e-06,6.666311184991712e-10,1.9575748912773936e-70,6.927397904662817e-101,6.66600003554817e-06,6.66631118499171e-10,-1.0019805532382302e-10,1.860755737775273e-59,3.083877505889982e-89,1.9575748912773936e-70,6.92739790466282e-101,0.0003333326667022145,0.0003333326667022145,0.0003333326667022145,5.33251719389971e-20,0.03
0.0,0.0,3.308804610814503e-18,0.0,0.0,2.7458793270808805e-14,1.6803051530190664e-23,4.392633033901555e-14,0.0,6.842008093199648e-18,0.0,0.0,9.878632059596458e-16,7.903242582486351e-19,-2.7197478334591153e-55,2.719666973179024e-55,1.0107309629206783e-56,0.0,0.0,0.0,0.0,3.999989895724128e-07,0.0,-4.000000000000006e-07,0.0,0.0,0.0,0.0,0.0,-1.3512049650289032e-10,1.3507659377404326e-10,-1.3512049650289032e-10,1.35093052696988e-10,6.756768300533174e-14,1.336160188737057e-10,2.849470476285135e-65,0.0,7.877568751243745e-45,0.0,9.096891291811942e-73,6.6657778406424e-06,8.888260242695289e-10,7.31825105839466e-48,2.248244658489269e-54,3.164089637489437e-78,6.6657778406424e-06,8.888260242695293e-10,4.2493176510437436e-63,3.3287240709192114e-89,6.6657778406424e-06,8.888260242695289e-10,-1.336835814134983e-10,2.248244658489269e-54,3.164089637489437e-78,4.2493176510437436e-63,3.3287240709192114e-89,0.0003333324445073087,0.0003333324445073087,0.0003333324445073087,1.914379118777137e-19,0.04
0.0,0.0,9.266990619098335e-18,0.0,0.0,4.350576445817149e-14,7.580919189316289e-23,6.958755510298111e-14,0.0,1.9159774878292756e-17,0.0,0.0,2.731927294803901e-15,2.185692512917459e-18,-1.88360976914672e-54,1.883553767512689e-54,7.000048159718244e-56,0.0,0.0,0.0,0.0,4.999984216966155e-07,0.0,-5.000000000000007e-07,0.0,0.0,0.0,0.0,0.0,-1.694580317679471e-10,1.6938847821274727e-10,-1.694580317679471e-10,1.6941454787333606e-10,1.0578769076956857e-13,1.6710793666382702e-10,1.973472235611401e-64,0.0,5.455202146886915e-44,0.0,6.300280268047973e-72,6.665555653743363e-06,1.1110129233059014e-09,5.068265112887712e-47,1.557061852927691e-53,2.1913696527927594e-77,6.665555653743363e-06,1.1110129233059022e-09,2.9429713652718333e-62,2.3053913597062847e-88,6.665555653743363e-06,1.1110129233059014e-09,-1.6721371815123402e-10,1.557061852927691e-53,2.1913696527927594e-77,2.9429713652718333e-62,2.3053913597062847e-88,0.0003333322223204097,0.0003333322223204097,0.0003333322223204097,8.561061115661324e-19,0.05
0.0,0.0,1.6194555048043432e-17,0.0,0.0,6.301944331288028e-14,1.4428035418030096e-22,1.0079324587284986e-13,0.0,3.34816167938949e-17,0.0,0.0,4.759909374115802e-15,3.8082139272943916e-18,-3.7526469807244853e-54,3.752535410645485e-54,1.3945948894799667e-55,0.0,0.0,0.0,0.0,5.999977293362678e-07,0.0,-6.000000000000009e-07,0.0,0.0,0.0,0.0,0.0,-2.04015716396296e-10,2.0391496947553527e-10,-2.04015716396296e-10,2.039527269726142e-10,1.5236554585184154e-13,2.006346416910456e-10,3.931680145096526e-64,0.0,1.0868108813297561e-43,0.0,1.2551829418707353e-71,6.665333474588191e-06,1.3331920784780185e-09,1.0097299602078885e-46,3.102077488008801e-53,4.365789600652936e-77,6.665333474588191e-06,1.3331920784780189e-09,5.863179542656954e-62,4.592951084643365e-88,6.665333474588191e-06,1.3331920784780185e-09,-2.0078699974102103e-10,3.102077488008801e-53,4.365789600652936e-77,5.863179542656954e-62,4.592951084643365e-88,0.0003333320001412545,0.0003333320001412545,0.0003333320001412545,1.6274050821736793e-18,0.06
0.0,0.0,2.4091497897649808e-17,0.0,0.0,8.599982983493519e-14,2.2221653839160543e-22,1.375434026486216e-13,0.0,4.9807533840006135e-17,0.0,0.0,7.071809443895374e-15,5.6578885013794296e-18,-5.879086418079203e-54,5.878911626716277e-54,2.1848433168164946e-55,0.0,0.0,0.0,0.0,6.999969124913702e-07,0.0,-7.000000000000012e-07,0.0,0.0,0.0,0.0,0.0,-2.3879355038793716e-10,2.386560675624072e-10,-2.3879355038793716e-10,2.387075899948226e-10,2.0730124825215106e-13,2.3419613395536154e-10,6.159570776083921e-64,0.0,1.7026476874356345e-43,0.0,1.966433658115935e-71,6.665111303176883e-06,1.5553634897858799e-09,1.5818928573412987e-46,4.859871371092257e-53,6.839668807329505e-77,6.665111303176883e-06,1.5553634897858805e-09,9.185556297259765e-62,7.195551581903176e-88,6.665111303176883e-06,1.5553634897858799e-09,-2.3440342618285943e-10,4.859871371092257e-53,6.839668807329505e-77,9.185556297259765e-62,7.195551581903176e-88,0.0003333317779698432,0.0003333317779698432,0.0003333317779698432,2.5053348237003543e-18,0.07
0.0,0.0,3.295781916791745e-17,0.0,0.0,1.1244692402433611e-13,3.0961774452707556e-22,1.7983802543029627e-13,0.0,6.813752601662631e-17,0.0,0.0,9.667627504142589e-15,7.73471623517257e-18,-8.262928081210863e-54,8.262682415725059e-54,3.0707500979814053e-55,0.0,0.0,0.0,0.0,7.999959711619222e-07,0.0,-8.000000000000013e-07,0.0,0.0,0.0,0.0,0.0,-2.7379153374287045e-10,2.73611772473363e-10,-2.7379153374287045e-10,2.736791369399611e-10,2.705947979704965e-13,2.6779241345677475e-10,8.657144128573548e-64,0.0,2.3930306330063234e-43,0.0,2.7637801755403952e-71,6.6648891395094395e-06,1.777527157229485e-09,2.223315202689001e-46,6.830443502178048e-53,9.613007272822446e-77,6.6648891395094395e-06,1.7775271572294858e-09,1.2910101629080244e-61,1.0113192851485708e-87,6.6648891395094395e-06,1.777527157229485e-09,-2.6806299747674916e-10,6.830443502178048e-53,9.613007272822446e-77,1.2910101629080244e-61,1.0113192851485708e-87,0.00033333155580617574,0.00033333155580617574,0.00033333155580617574,3.489895336146151e-18,0.08
0.0,0.0,4.2793518858846346e-17,0.0,0.0,1.4236072588108304e-13,4.0648397258671134e-22,2.2767711421787384e-13,0.0,8.847159332375552e-17,0.0,0.0,1.2547363554857459e-14,1.0038697128673813e-17,-1.0904171970119467e-53,1.0903847777671837e-53,4.0523152329747e-55,0.0,0.0,0.0,0.0,8.999949053479237e-07,0.0,-9.000000000000015e-07,0.0,0.0,0.0,0.0,0.0,-3.090096664610959e-10,3.0878208420840276e-10,-3.090096664610959e-10,3.0886736780802965e-10,3.42246195006878e-13,3.014234801952852e-10,1.1424400202565434e-63,0.0,3.1579597180418246e-43,0.0,3.647222494144114e-71,6.664666983585861e-06,1.9996830808088345e-09,2.9339969962509944e-46,9.01379388126618e-53,1.2685804997131758e-76,6.664666983585861e-06,1.9996830808088353e-09,1.70368155381184e-61,1.3345874893390962e-87,6.664666983585861e-06,1.9996830808088345e-09,-3.017657136226901e-10,9.01379388126618e-53,1.2685804997131758e-76,1.70368155381184e-61,1.3345874893390962e-87,0.0003333313336502522,0.0003333313336502522,0.0003333313336502522,4.5810866195110735e-18,0.09
