Time,A,R,E,G,A_im,v_max,k,f,gamma,beta,pi1,lambdaE,muA,muR,muE,muG,b1,sigma1,mA,mG,R0,body,r1a,r1b,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
0.0,1.0,0.0,0.0,100000000.0,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,83333.33333333334,8.333333333333334,0.0,200.0,0.0,1000.0,0.25,0.0,0.0,500000000.0,0.25,0.0
0.01,1.077440592702927,2.0760377458918287,10.37587886278611,95122237.28541414,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,81932.85800364261,8.193285800364261,20751.757725572217,215.4881185405854,0.1788702891477446,1077.440592702927,0.26936014817573173,0.5190094364729572,2.5939697156965273,475611186.42707074,0.26936014817573173,6.710422018222021e-06
0.02,1.1530868668444352,4.301767773827053,21.49033579809074,90482589.35024007,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,80510.50113108326,8.051050113108326,42980.67159618148,230.61737336888703,0.39648358356568414,1153.0868668444352,0.2882717167111088,1.0754419434567632,5.372583949522685,452412946.7512003,0.2882717167111088,1.4880935772643794e-05
0.03,1.2269265774857199,6.673613479142316,33.323543540332814,86069457.70183218,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,79067.57618086808,7.906757618086809,66647.08708066563,245.38531549714398,0.6541686596101906,1226.92657748572,0.30673164437142997,1.668403369785579,8.330885885083203,430347288.5091609,0.30673164437142997,2.4564101236279946e-05
0.04,1.298948897093573,9.187996252495397,45.85560911511386,81871808.91372053,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,77605.48822766833,7.760548822766833,91711.21823022772,259.7897794187146,0.9530254861700983,1298.948897093573,0.32473722427339324,2.2969990631238493,11.463902278778464,409359044.5686027,0.32473722427339324,3.580421279603634e-05
0.05,1.3691444969371118,11.841336144444071,59.06658845435348,77879147.39941983,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,76125.72982302855,7.612572982302856,118133.17690870696,273.8288993874224,1.2939311125620354,1369.1444969371119,0.34228612423427796,2.9603340361110178,14.76664711358837,389395736.99709916,0.34228612423427796,4.863750065564435e-05
0.06,1.4375056249418503,14.630052745544681,72.93650193516342,74081489.03459883,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,74629.87590955447,7.462987590955447,145873.00387032685,287.50112498837007,1.677546108726073,1437.5056249418503,0.3593764062354626,3.6575131863861703,18.234125483790855,370407445.17299414,0.3593764062354626,6.309234934474932e-05
0.07,1.5040261758960207,17.550566321137712,87.4453506946412,70469336.44698225,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,73119.57810732539,7.31195781073254,174890.70138928242,300.80523517920415,2.1043215424823627,1504.0261758960207,0.3760065439740052,4.387641580284428,21.8613376736603,352346682.23491126,0.3760065439740052,7.918953344637074e-05
0.08,1.5687017471158102,20.599299384267304,102.57313425011655,67033656.92783033,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,71596.55893813427,7.159655893813428,205146.2685002331,313.74034942316206,2.574506478484838,1568.7017471158101,0.39217543677895256,5.149824846066826,25.643283562529138,335168284.63915163,0.39217543677895256,9.694247080038526e-05
0.09,1.6315297202260026,23.772677486592166,118.29986579592774,63765855.66961178,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,70062.60280632293,7.006260280632293,236599.7315918555,326.30594404520053,3.0881559511168586,1631.5297202260026,0.40788243005650066,5.943169371648041,29.574966448981936,318829278.34805894,0.40788243005650066,0.00011635748954616811
0.1,1.6925093261016149,27.067130498316182,134.60558894063306,60657751.91737571,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,68519.546604682,6.8519546604682,269211.1778812661,338.501865220323,3.6451394340387497,1692.5093261016148,0.4231273315254037,6.7667826245790454,33.651397235158264,303288759.58687854,0.4231273315254037,0.00013743411239762875
0.11,1.7516415954969398,30.47909687912167,151.47040291055833,57701572.89092781,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,66969.27832865043,6.696927832865043,302940.80582111666,350.32831909938795,4.245149731597035,1751.6415954969398,0.43791039887423494,7.6197742197804175,37.867600727639584,288507864.454639,0.43791039887423494,0.00016016536165995145
0.12,1.8089294715359487,34.00502371345689,168.8744757624193,54889922.54140317,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,65413.72280036779,6.5413722800367795,337748.95152483863,361.7858943071897,4.887712259149177,1808.9294715359488,0.4522323678839872,8.501255928364223,42.21861894060483,274449612.7070158,0.4522323678839872,0.00018453806872665294
0.13,1.8643778973021794,37.64136739259017,186.7980594190705,52215754.15242465,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,63854.826716046446,6.385482671604645,373596.11883814103,372.87557946043586,5.572194771837668,1864.3778973021795,0.46609447432554485,9.410341848147542,46.69951485476763,261078770.76212323,0.46609447432554485,0.00021053320017292823
0.14,1.9179936711650167,41.38459929811827,205.22151699741005,49672373.21941058,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,62294.56018628388,6.2294560186283885,410443.0339948201,383.59873423300337,6.297817132606663,1917.9936711650166,0.4794984177912542,10.346149824529567,51.30537924935251,248361866.09705293,0.4794984177912542,0.00023812619861247308
0.15,1.969785474906,45.23120787437594,224.12534149335767,47253418.39734054,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,60734.90677248102,6.0734906772481025,448250.68298671534,393.9570949812,7.063661475711407,1969.785474906,0.4924463687265,11.307801968593985,56.03133537333942,236267091.9867027,0.4924463687265,0.00026728732885019887
0.16,2.019764045221272,49.17769781504368,243.49016780017251,44952824.84907261,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,59177.84031244604,5.917784031244604,486980.33560034505,403.95280904425437,7.868682980602924,2019.764045221272,0.504941011305318,12.29442445376092,60.87254195004313,224764124.24536306,0.504941011305318,0.0002979820376207458
0.17,2.0679420092326843,53.22059503470817,263.29679544991586,42764825.042605735,0.0,125000.0,50000000.0,0.0001,2000.0,200.0,0.016,1000.0,0.25,0.25,0.25,5.0,0.25,3e-06,0.5,5.0025,0.79960019990005,1.0,57625.3243389458,5.76253243389458,526593.5908998317,413.58840184653684,8.711720067315618,2067.9420092326845,0.5169855023081711,13.305148758677042,65.82419886247897,213824125.21302867,0.5169855023081711,0.00033017131268590026
