T,CA,IP3,IP3INJ,X000,X001,X010,X011,X100,X101,X110
0.0,50.0,15.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,49.00885,14.291586,0.0,996.88599,0.66064376,0.22265024,0.00014755197,2.2285914,0.0014769041,0.0004977464
4.0,49.183254,13.743173,0.0,994.383,1.1706767,0.40300736,0.00047445632,4.0364504,0.0047520706,0.0016359081
6.0,49.517059,13.320958,0.0,992.34735,1.5648135,0.55128467,0.00086931029,5.5239134,0.0087105529,0.0030687328
8.0,49.855862,12.997028,0.0,990.685,1.8697067,0.67376721,0.001271592,6.752934,0.012744724,0.0045926864
10.0,50.16761,12.749443,0.0,989.3241,2.1058335,0.77519983,0.0016500577,7.7705712,0.01654011,0.0060887486
12.0,50.443741,12.5611,0.0,988.20789,2.2889433,0.85934538,0.0019904645,8.6143484,0.019953042,0.0074910359
14.0,50.683018,12.418699,0.0,987.29095,2.4311593,0.92923635,0.0022882025,9.31464,0.022936879,0.0087669212
16.0,50.887398,12.311903,0.0,986.53662,2.5418217,0.98733872,0.0025438883,9.8962278,0.025497733,0.0099042738
18.0,51.060249,12.232679,0.0,985.91541,2.62813,1.0356709,0.0027607621,10.379448,0.027668234,0.01090326
20.0,51.205433,13.008128,50.0,985.4032,2.695636,1.0758928,0.0029431763,10.781049,0.029492276,0.011771073
22.0,51.797279,59.694073,0.0,983.29254,4.4290977,1.1081483,0.0049914927,11.102639,0.050010215,0.012512422
24.0,52.899017,56.977806,0.0,981.15033,6.2168345,1.1381651,0.0072117224,11.401918,0.072245643,0.013226583
26.0,53.894753,54.758858,0.0,979.45917,7.566278,1.167424,0.0090182982,11.693759,0.090333767,0.01393787
28.0,54.72036,52.926434,0.0,978.1239,8.5778761,1.1953801,0.010483153,11.972628,0.10499663,0.014631931
30.0,55.39344,51.394745,0.0,977.07172,9.3291254,1.2215562,0.011663475,12.233685,0.11680779,0.015294818
32.0,55.937344,50.09745,0.0,976.24561,9.8798265,1.2456607,0.012606368,12.473979,0.12623949,0.015916429
34.0,56.372757,48.983223,0.0,975.60052,10.27613,1.2675523,0.013351295,12.692079,0.13368735,0.016490225
36.0,56.717312,48.012325,0.0,975.10089,10.553653,1.2871989,0.013931533,12.887664,0.13948499,0.017012587
38.0,56.985992,47.153999,0.0,974.71832,10.739889,1.3046455,0.014375177,13.061191,0.14391413,0.017482203
40.0,57.191505,46.384407,0.0,974.4303,10.85606,1.3199888,0.014705905,13.213638,0.14721222,0.017899541
42.0,57.344616,45.685081,0.0,974.21875,10.918546,1.333359,0.014943606,13.346326,0.14957879,0.018266374
44.0,57.454395,45.041702,0.0,974.06927,10.939987,1.3449056,0.015104933,13.460765,0.15118083,0.018585391
46.0,57.528461,44.443157,0.0,973.97009,10.93014,1.3547873,0.015203768,13.558559,0.1521576,0.018859886
48.0,57.5732,43.880829,0.0,973.9118,10.896531,1.3631643,0.015251651,13.641325,0.15262485,0.019093482
50.0,57.593925,43.348015,0.0,973.88678,10.844967,1.3701931,0.015258139,13.710641,0.15267837,0.01928995
52.0,57.595066,42.839508,0.0,973.88873,10.779922,1.3760232,0.015231127,13.768009,0.15239735,0.019453043
54.0,57.580292,42.351254,0.0,973.91272,10.704849,1.3807943,0.015177124,13.814836,0.15184702,0.019586401
56.0,57.552643,41.880089,0.0,973.95447,10.622406,1.3846353,0.015101484,13.852416,0.15108097,0.019693471
58.0,57.514629,41.42355,0.0,974.01062,10.534637,1.3876641,0.015008602,13.881931,0.15014324,0.019777462
60.0,57.468323,40.979694,0.0,974.07843,10.443118,1.389987,0.014902083,13.904446,0.14906989,0.019841317
62.0,57.415424,40.547016,0.0,974.15558,10.349057,1.3916991,0.01478488,13.920912,0.14789046,0.019887706
64.0,57.357346,40.124317,0.0,974.24011,10.253384,1.3928851,0.014659408,13.932175,0.14662908,0.01991903
66.0,57.295231,39.710648,0.0,974.33063,10.156806,1.39362,0.014527643,13.938984,0.14530545,0.019937428
68.0,57.230038,39.305264,0.0,974.42572,10.059869,1.3939697,0.014391197,13.941994,0.14393568,0.019944791
70.0,57.162537,38.907558,0.0,974.52429,9.962985,1.3939919,0.014251384,13.94178,0.14253287,0.019942785
72.0,57.093365,38.517048,0.0,974.62561,9.8664684,1.393737,0.014109276,13.938842,0.14110768,0.019932862
74.0,57.023045,38.133343,0.0,974.72882,9.7705584,1.3932486,0.013965746,13.933613,0.13966876,0.019916294
76.0,56.952003,37.756115,0.0,974.83337,9.6754313,1.3925644,0.013821501,13.926468,0.13822319,0.019894173
78.0,56.880589,37.385098,0.0,974.93884,9.5812197,1.3917176,0.013677116,13.917731,0.13677663,0.019867452
80.0,56.809078,37.020069,0.0,975.04468,9.4880219,1.3907357,0.013533054,13.907681,0.13533367,0.019836945
82.0,56.737709,36.660831,0.0,975.15063,9.3959084,1.3896434,0.013389688,13.896553,0.13389802,0.019803355
84.0,56.666664,36.30722,0.0,975.25641,9.3049297,1.3884611,0.013247319,13.884553,0.13247263,0.019767275
86.0,56.596096,35.959087,0.0,975.36176,9.2151184,1.3872064,0.013106185,13.871855,0.13105987,0.019729219
88.0,56.526115,35.61631,0.0,975.46649,9.1264963,1.3858947,0.012966475,13.858605,0.12966157,0.019689621
90.0,56.456829,35.278767,0.0,975.5705,9.0390778,1.3845383,0.01282834,13.844932,0.12827921,0.01964885
92.0,56.388306,34.94635,0.0,975.67365,8.9528666,1.3831486,0.012691892,13.830939,0.12691391,0.019607214
94.0,56.32061,34.618965,0.0,975.77582,8.8678637,1.3817343,0.012557221,13.816717,0.12556651,0.019564979
96.0,56.25378,34.296516,0.0,975.87695,8.7840652,1.3803035,0.01242439,13.802342,0.12423767,0.019522361
98.0,56.187851,33.97892,0.0,975.97693,8.7014627,1.3788625,0.012293448,13.787879,0.12292782,0.019479549
100.0,56.122852,33.666092,0.0,976.07574,8.6200485,1.377417,0.012164426,13.773378,0.12163727,0.019436695
102.0,56.058796,33.357948,0.0,976.17334,8.5398102,1.3759714,0.012037344,13.758886,0.12036619,0.019393926
104.0,55.995697,33.054424,0.0,976.26978,8.4607353,1.3745297,0.011912211,13.74444,0.11911468,0.019351352
106.0,55.933559,32.755436,0.0,976.36487,8.3828115,1.3730948,0.011789029,13.730069,0.11788275,0.019309059
108.0,55.872383,32.460918,0.0,976.45874,8.3060236,1.3716695,0.011667795,13.715799,0.11667032,0.019267118
110.0,55.812168,32.170799,0.0,976.55133,8.2303581,1.3702559,0.011548494,13.701652,0.11547729,0.019225584
112.0,55.752914,31.88501,0.0,976.64264,8.1557999,1.3688558,0.011431116,13.687643,0.11430351,0.019184511
114.0,55.694607,31.603487,0.0,976.73267,8.0823345,1.3674706,0.011315641,13.673787,0.11314879,0.01914393
116.0,55.637241,31.326166,0.0,976.82141,8.0099468,1.3661014,0.011202049,13.660093,0.11201293,0.019103874
118.0,55.580807,31.052982,0.0,976.90887,7.9386225,1.3647491,0.011090316,13.646571,0.11089569,0.019064363
120.0,55.525295,30.783873,0.0,976.99506,7.8683453,1.3634144,0.010980419,13.633227,0.10979681,0.019025417
122.0,55.470695,30.518778,0.0,977.08002,7.7991014,1.3620977,0.010872331,13.620067,0.10871605,0.018987045
124.0,55.416992,30.257635,0.0,977.1637,7.7308755,1.3607996,0.010766028,13.607092,0.10765313,0.018949255
126.0,55.36417,30.000387,0.0,977.24622,7.6636539,1.3595202,0.010661481,13.594306,0.10660779,0.018912055
128.0,55.312222,29.746975,0.0,977.32745,7.5974212,1.3582597,0.010558663,13.58171,0.10557973,0.018875444
130.0,55.261127,29.497343,0.0,977.40753,7.5321641,1.3570182,0.010457546,13.569305,0.1045687,0.018839424
132.0,55.21088,29.251432,0.0,977.48639,7.4678679,1.3557957,0.010358102,13.557091,0.1035744,0.018803993
134.0,55.161461,29.009188,0.0,977.56403,7.4045191,1.3545922,0.010260304,13.545067,0.10259656,0.018769145
136.0,55.112862,28.770557,0.0,977.64056,7.3421035,1.3534075,0.010164122,13.533232,0.10163488,0.018734878
138.0,55.065063,28.535484,0.0,977.71594,7.2806082,1.3522416,0.010069531,13.521585,0.10068911,0.018701186
140.0,55.018055,28.303917,0.0,977.79022,7.2200193,1.3510942,0.0099765025,13.510122,0.099758968,0.018668061
142.0,54.971821,28.075802,0.0,977.86334,7.1603241,1.3499652,0.0098850094,13.498845,0.098844178,0.018635498
