Time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,parameter_1,compartment_1,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_25,reaction_26,reaction_27,reaction_28,reaction_24
0.0,1200.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,300.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,-150.0
0.01,1188.747256175212,1.2509978414865277e-17,3.3890937381511973e-19,3.4425145154967484e-24,8.6188686435423e-46,7.436563877502791e-48,1183.036023159869,0.002680123774779336,0.00021758453734445774,5.515532939365338e-09,6.787011005239054e-16,1.1510200016899395e-19,177.52132892293915,2.020737791246168e-11,11.22592725225309,297.98248696919626,0.5747139944897756,9.425286005510225,1.7315612610077964e-05,92.82226667419283,1.7987683855367973e-50,5.6257288670009666e-27,11.25274382478764,5.99200225249626e-20,1.0486264145654595e-11,5.737831997794809,1.43988401238916,0.0,1.0,2.9708514093582944e-16,3.389093738151198e-21,1.3772431461508369e-42,1.292830296531345e-44,5.938870391310256e-47,1.6548669146938534e-51,6.105571787407907e-24,2.8128644335004833e-27,-1054.1722273796745,0.0631960749044788,2.1758453734445777e-06,4.723552496633672e-13,1.0180516507858581e-14,9.982035768501855e-17,1.0589384015547443e-20,9.771039993231333e-09,1.010368895623084e-11,-1049.1052052315513,55.596689291868195,0.5747139944897756,0.00495818766223816,8.657806305038982e-06,5.2194284840560977e-17,5.5126420722965594e-21,5.109156429334986e-09,5.2431320728272975e-12,-548.5669725827993,-138.17321932340417
0.02,1178.8502083636242,2.6109159588692844e-15,1.4254289443687543e-16,2.949320668365353e-21,2.991918349474109e-40,5.2785962246915325e-42,1167.9549708379593,0.009629780894904816,0.0015854117771091495,8.146122631978805e-08,7.216810982916935e-14,4.390120845432231e-17,157.79661766815028,5.470145072971018e-10,21.05359069492741,296.11957480082407,1.1019386972378233,8.898061302762176,0.00012052553016385166,86.2428757174059,2.7410015943973756e-44,8.888272295576588e-24,21.149791636375348,2.3775396377517817e-17,2.9442726698193e-10,10.989852973033639,2.7671507837357687,0.0,1.0,6.141503354822248e-14,1.4254289443687544e-18,2.461145169925126e-37,4.4878775242111634e-39,3.745509834720463e-41,2.5217214668455856e-45,4.645039986572634e-21,4.444136147788294e-24,-928.2739960051422,0.22335759750858072,1.5854117771091495e-05,2.5030352238644828e-11,1.0825216474375403e-12,1.8495815621187254e-14,4.0389111777976526e-18,1.2799604533632545e-07,2.735072536485509e-10,-919.6861111349016,51.59586389327423,1.1019386972378233,0.016489474407938666,6.026276508192583e-05,1.0109005128343472e-14,2.1873364667316393e-18,6.996007690586763e-08,1.47213633490965e-10,-502.69384961184187,-127.45304346779147
0.03,1170.1259861116428,5.509932835059809e-14,4.556213056683231e-15,1.432418191742311e-19,4.1925167527825765e-37,1.0168280833819424e-38,1154.508200294046,0.019558896299182088,0.00489391991732049,3.821135867545834e-07,1.0316437039322546e-12,1.273613358712215e-15,140.44669649447735,3.529086855892288e-09,29.679289613636776,294.39705385749346,1.5859377221504898,8.41406227784951,0.00035551768021663033,80.1998286091054,9.055929410559405e-41,5.881640977500207e-22,29.87401388835683,7.171213966727638e-16,1.9690423371339728e-09,15.807615784787092,3.9922000864581575,0.0,1.0,1.2849069053499724e-12,4.556213056683231e-17,2.521416452276964e-34,6.288775129173864e-36,6.417400605210655e-38,8.331455057714653e-42,2.0059023893105043e-19,2.9408204887501035e-22,-819.1324809642159,0.44672420340481134,4.89391991732049e-05,2.3812739686699303e-10,1.5474655558983818e-11,3.469597257070579e-13,1.1717242900152378e-16,5.331368225974789e-07,1.764543427946144e-09,-808.181895128643,47.955565189296834,1.5859377221504898,0.03101688493933676,0.00017775884010831516,1.9813592966209272e-13,6.597516849389427e-17,3.0448539933214717e-07,9.845211685669864e-10,-461.59734399945444,-117.70963710454733
0.04,1162.4203457527383,4.566274710503324e-13,5.086594190032676e-14,2.161728297759726e-18,6.933120716318852e-35,2.2154002527490994e-36,1142.486466811594,0.03152942759236976,0.010650391318573715,1.122806411614429e-06,6.5070802071532155e-12,1.2911620369496673e-14,125.15302456236445,1.2684681730348122e-08,37.26732117768978,292.802306856299,2.030541074830175,7.969458925169825,0.0007395726049755878,74.63946726614702,2.5444493464324074e-38,1.0771049287350661e-20,37.579654247261104,7.555253575627753e-15,7.332404433248266e-09,20.235560476567255,5.124232677348245,0.0,1.0,1.0564995313670192e-11,5.086594190032676e-16,3.151801361536365e-32,1.0399681074478278e-33,1.2451437407685616e-35,2.340893398717815e-39,2.6946972981794623e-18,5.385524643675331e-21,-724.1702601536587,0.7097884952933966,0.00010650391318573714,1.126339110360708e-09,9.760620310729824e-11,2.5587622891400714e-12,1.1878690739936938e-15,1.392541502385261e-06,6.342340865174061e-09,-711.7231945939208,44.63897807889475,2.030541074830175,0.046327220969045124,0.0003697863024877939,1.5261541494471874e-12,6.950833289577533e-16,8.307243196259034e-07,3.666202216624133e-09,-424.6326480070149,-108.83235698001339
0.05,1155.6023964935953,2.2732769668010294e-12,3.1974369333703353e-13,1.7216854959766296e-17,3.54462146231352e-33,1.4847588863046563e-34,1131.7125021393274,0.04485480513483023,0.01916439031801228,2.5565264756144415e-06,2.62762500629086e-11,7.375028461120554e-14,111.64631297641067,3.313855363010561e-08,43.95608348404689,291.32408726291226,2.439196811663338,7.560803188336662,0.0012725275142628975,69.51505587344079,1.8471603903624813e-36,9.767799522035542e-20,44.39760350640388,4.4826546060430033e-14,1.983576812577749e-08,24.31224737677817,6.171424202430897,0.0,1.0,5.222034252124219e-11,3.1974369333703356e-15,1.2488931328029916e-30,5.31693219347028e-32,7.441081885265822e-34,1.6993875591334828e-37,1.912430577785501e-17,4.883899761017771e-20,-641.27554027452,0.9960904847242009,0.0001916439031801228,3.643243650280134e-09,3.94143750943629e-10,1.134738434267779e-11,6.78502618423091e-15,2.821128996659195e-06,1.6569276815052804e-08,-627.9774178861928,41.61368494467057,2.439196811663338,0.06108915818853754,0.0006362637571314488,7.06638734527365e-12,4.124042237559563e-15,1.757335039816908e-06,9.917884062888745e-09,-391.26443582003117,-100.72630853539337
0.06,1149.5604554378124,8.214056013041315e-12,1.4001435902478397e-12,9.164169570906778e-17,8.071608456575056e-32,4.028389528882064e-33,1122.0352143177113,0.05903013094587143,0.030606820530750953,4.958054528632066e-06,8.016159788408607e-11,2.9366287418416725e-13,99.69761815956056,7.082843233688255e-08,49.86283720742493,289.95233516258503,2.815015413420395,7.1849845865796045,0.0019439958422266636,64.78565090220229,5.529623368470259e-35,5.685591590530339e-19,50.43954456218584,1.8531904661436191e-13,4.387899604041625e-08,28.071336581480818,7.141068476595406,0.0,1.0,1.874509358366217e-10,1.4001435902478396e-14,2.4007284609334114e-29,1.2107412684862585e-30,1.801764161349582e-32,5.087253498992638e-36,9.079602870391977e-17,2.8427957952651697e-19,-568.7043958554998,1.2940708920103172,0.00030606820530750954,9.28542586009741e-09,1.2024239682612911e-09,3.6557819022640427e-11,2.7016984424943386e-14,4.872233839761516e-06,3.5414216168441274e-08,-555.0329877933009,38.85104576629834,2.815015413420395,0.07454211328118364,0.0009719979211133318,2.3761564394227e-11,1.7049352288521295e-14,3.1682289024199856e-06,2.1939498020208124e-08,-361.04477352781754,-93.30962193162074
0.07,1144.1987578811563,2.3822830527974034e-11,4.78369413692548e-12,3.698461107454568e-16,1.1018296785769032e-30,6.415384763175407e-32,1113.3251091169905,0.07368310803564002,0.04505119372452592,8.613143415072854e-06,2.0178305282774134e-10,9.129492785822594e-13,89.11130007566474,1.31907621236546e-07,55.08745767358799,288.67802317729047,3.1608080741471047,6.839191925852895,0.0027380279763194303,60.415192282984734,9.63275577503853e-34,2.4407518894537194e-18,55.80124211883879,5.978919112746581e-13,8.45369006458621e-08,31.54237318587733,8.03969641862403,0.0,1.0,5.403773678494981e-10,4.78369413692548e-14,2.808431692884418e-28,1.6527445178653547e-29,2.562941989519731e-31,8.862135313035447e-35,3.271339256751056e-16,1.2203759447268597e-18,-505.00628747653286,1.5956138921526326,0.0004505119372452592,2.010679860410904e-08,3.0267457924161203e-09,9.461680371376778e-11,8.399133362956786e-14,7.543376453316384e-06,6.5953810618273e-08,-491.31171804155315,36.325680031558896,3.1608080741471047,0.08629355482330316,0.0013690139881597152,6.416884800698828e-11,5.500605583726855e-14,5.119110255179641e-06,4.226845032293105e-08,-333.59610860990426,-86.51127749863797
0.08,1139.4348224063679,5.888361489793264e-11,1.3642427563222172e-11,1.219997839604867e-15,1.0290153626276355e-29,6.892743909769337e-31,1105.4706418943479,0.08853912055828875,0.06250275709024213,1.3811095764387814e-05,4.416961746569533e-10,2.370678531123312e-12,79.71940325117735,2.222427380619306e-07,59.71541893295931,287.4930266709487,3.479119880361835,6.520880119638166,0.003636100544810325,56.37176604765349,1.0887109689993387e-32,8.393629325062608e-18,60.565177593618294,1.6105161030637983e-12,1.4727605820585902e-07,34.75142223446966,8.8731754700543,0.0,1.0,1.3282383981141945e-09,1.364242756322217e-13,2.2885221012090128e-27,1.5435230439414532e-28,2.461797330935e-30,1.0016140914793915e-33,9.641813680851932e-16,4.196814662531304e-18,-448.96671515618334,1.8950452116364083,0.0006250275709024213,3.868861655894957e-08,6.6254426198542995e-09,2.0886682031096635e-10,2.1810242486334472e-13,1.0787880387756666e-05,1.111213690309653e-07,-435.50177338933247,34.01503136270206,3.479119880361835,0.09618603125872648,0.0018180502724051625,1.477612852349234e-10,1.4816748148186944e-13,7.63828253471222e-06,7.363802910292951e-08,-308.59803967492314,-80.26935510870796
0.09,1135.1973225943198,1.2891597540173768e-10,3.3917656103465116e-11,3.452239225767956e-15,7.195041799737786e-29,5.475783224671854e-30,1098.3752857573315,0.10339610810369257,0.08291922317030635,2.083966513256024e-05,8.696722590121625e-10,5.370270191756571e-12,71.37713490342351,3.470385528872161e-07,63.82018734388638,286.39001374692236,3.772258676212118,6.227741323787883,0.004619006525130677,52.62700126740795,8.890900995492029e-32,2.4387198352956547e-17,64.80267740564625,3.782860050062424e-12,2.3769308133741405e-07,37.72158625017337,9.646793238196606,0.0,1.0,2.892983746210291e-09,3.3917656103465117e-13,1.4169610769523124e-26,1.079256269960668e-27,1.7499148296863863e-29,8.179628915852666e-33,2.439722251012341e-15,1.2193599176478273e-17,-399.5626319272141,2.1884353725214796,0.0008291922317030635,6.808201634549829e-08,1.3045083885182438e-08,4.08704113343775e-10,4.940648576416046e-13,1.4527717342202018e-05,1.7351927644360804e-07,-386.50586861886285,31.89899979042565,3.772258676212118,0.10420953571923089,0.0023095032625653385,3.0151789398847473e-10,3.48023124605743e-13,1.0729597752098636e-05,1.1884654066870703e-07,-285.77693136068837,-74.52961386367642
