data_set_value_component_Main_variable_time,data_set_value_component_Main_variable_x,data_set_value_component_Main_variable_y,data_set_value_component_Main_variable_epsilon
0.0,-2.0,0.0,1.0
0.1,-1.9909334255466906,0.17265510063746778,1.0
0.2,-1.9669525576263194,0.30072111717481387,1.0
0.30000000000000004,-1.9318322624734097,0.3973954095308794,1.0
0.4,-1.8881780534787476,0.47285025171452083,1.0
0.5,-1.8377195821163952,0.534524475706851,1.0
0.6000000000000001,-1.7815532240133949,0.5877512595464137,1.0
0.7000000000000001,-1.7203215830584941,0.6363750980020778,1.0
0.8,-1.6543360187450682,0.6832424565971295,1.0
0.9,-1.5836572814222234,0.7305712222870043,1.0
1.0,-1.5081442984179683,0.7802180907714148,1.0
