value_component_environment_variable_time,value_component_J_stim_variable_J_stim,value_component_J_stim_variable_IstimStart,value_component_J_stim_variable_IstimEnd,value_component_J_stim_variable_IstimAmplitude,value_component_J_stim_variable_IstimPeriod,value_component_J_stim_variable_IstimPulseDuration,value_component_membrane_variable_Vm,value_component_J_in_variable_J_in,value_component_J_in_variable_tau_in,value_component_J_in_h_gate_variable_h,value_component_J_in_h_gate_variable_tau_open,value_component_J_in_h_gate_variable_tau_close,value_component_J_in_h_gate_variable_V_gate,value_component_J_out_variable_J_out,value_component_J_out_variable_tau_out
0.0,0.2,0.0,50000.0,0.2,500.0,1.0,8.20413566106744e-06,1.9720262134008234e-10,0.3,0.8789655121804799,120.0,150.0,0.13,-1.36735594351124e-06,6.0
0.1,0.2,0.0,50000.0,0.2,500.0,1.0,0.019880836492502003,0.0011351377850176822,0.3,0.8790663322312793,120.0,150.0,0.13,-0.003313472748750334,6.0
0.2,0.2,0.0,50000.0,0.2,500.0,1.0,0.03964497557701334,0.004423421041079683,0.3,0.8791670683085259,120.0,150.0,0.13,-0.006607495929502223,6.0
0.30000000000000004,0.2,0.0,50000.0,0.2,500.0,1.0,0.05951103022630456,0.009762218382505254,0.3,0.8792677204740215,120.0,150.0,0.13,-0.009918505037717426,6.0
0.4,0.2,0.0,50000.0,0.2,500.0,1.0,0.07967910948749626,0.017126860848014083,0.3,0.8793682887976705,120.0,150.0,0.13,-0.013279851581249377,6.0
0.5,0.2,0.0,50000.0,0.2,500.0,1.0,0.10034648288805365,0.02655698459884539,0.3,0.8794687733492932,120.0,150.0,0.13,-0.01672441381467561,6.0
0.6000000000000001,0.2,0.0,50000.0,0.2,500.0,1.0,0.12171398816393227,0.038147466278326304,0.3,0.8795691741986696,120.0,150.0,0.13,-0.020285664693988712,6.0
0.7000000000000001,0.2,0.0,50000.0,0.2,500.0,1.0,0.143990208179566,0.0520153163059148,0.3,0.8792408283113471,120.0,150.0,0.13,-0.023998368029927667,6.0
0.8,0.2,0.0,50000.0,0.2,500.0,1.0,0.1673932014786269,0.0683301928435839,0.3,0.8786548635821373,120.0,150.0,0.13,-0.027898866913104486,6.0
0.9,0.2,0.0,50000.0,0.2,500.0,1.0,0.19215804052491936,0.08730740150495672,0.3,0.8780692888894953,120.0,150.0,0.13,-0.03202634008748656,6.0
1.0,0.2,0.0,50000.0,0.2,500.0,1.0,0.21853629313663878,0.10916262256330286,0.3,0.8774841044440487,120.0,150.0,0.13,-0.03642271552277313,6.0
