data_set_value_component_environment_variable_time,data_set_value_component_S_0_variable_S_0,data_set_value_component_S_1_variable_S_1,data_set_value_component_S_2_variable_S_2,data_set_value_component_S_3_variable_S_3,data_set_value_component_S_4_variable_S_4,data_set_value_component_S_5_variable_S_5,data_set_value_component_S_6_variable_S_6,data_set_value_component_S_7_variable_S_7,data_set_value_component_S_8_variable_S_8,data_set_value_component_M_0_variable_M_0,data_set_value_component_M_1_variable_M_1,data_set_value_component_M_1_variable_M_1_2,data_set_value_component_M_2_variable_M_2,data_set_value_component_M_3_variable_M_3,data_set_value_component_M_4_variable_M_4,data_set_value_component_M_5_variable_M_5,data_set_value_component_M_6_variable_M_6,data_set_value_component_M_7_variable_M_7,data_set_value_component_M_8_variable_M_8,data_set_value_component_R_variable_R_0,data_set_value_component_R_variable_R_1,data_set_value_component_R_variable_R_2,data_set_value_component_R_variable_R_3,data_set_value_component_R_variable_R_4,data_set_value_component_R_variable_R_5,data_set_value_component_R_variable_R_6,data_set_value_component_R_variable_R_7,data_set_value_component_R_variable_R_8,data_set_value_component_R_variable_r_0,data_set_value_component_R_variable_r_1,data_set_value_component_R_variable_r_2,data_set_value_component_R_variable_r_3,data_set_value_component_R_variable_r_4,data_set_value_component_R_variable_r_5,data_set_value_component_R_variable_r_6,data_set_value_component_R_variable_r_7,data_set_value_component_R_variable_r_8,data_set_value_component_phi_variable_phi,data_set_value_component_w_variable_w,data_set_value_component_total_cells_variable_total_cells,data_set_value_component_total_cells_variable_stable_total,data_set_value_component_total_cells_variable_mutant_total,data_set_value_component_kinetic_parameters_variable_alpha,data_set_value_component_kinetic_parameters_variable_beta,data_set_value_component_kinetic_parameters_variable_a,data_set_value_component_kinetic_parameters_variable_u,data_set_value_component_kinetic_parameters_variable_u_s,data_set_value_component_kinetic_parameters_variable_u_m,data_set_value_component_kinetic_parameters_variable_epsilon_m,data_set_value_component_kinetic_parameters_variable_epsilon_s
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.235965,0.0,1.0,0.5,0.5,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.1,0.511438218999386,1.0639152916014155e-05,6.695194442209241e-11,3.4006383929901647e-16,1.5715427779307247e-21,7.027094964407526e-27,3.146599105310836e-32,1.4396347347253714e-37,6.8109630963927704e-43,0.5111196997536334,0.05056179469690614,0.0010310960223965005,2.8647173221293516e-05,1.3097494539375986e-08,0.0,0.0,0.0,0.0,-3.1520966965464983e-45,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.2555033715215699,0.0006551133264358568,1.0225972182436036,0.5114488582192543,0.5111483600243492,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.2,0.5221180959924703,2.151974344317016e-05,2.7031919706980197e-10,2.6672987481253415e-15,2.2976973271736168e-20,1.8310052597554245e-25,1.3985930415148224e-30,1.0479629845835902e-35,7.824721324561807e-41,0.521467952749885,0.1021976797917433,0.0021063014877455606,0.00011555857579144102,1.0263841766104135e-07,0.0,0.0,0.0,0.0,-5.7703787596972674e-43,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.2750030714850416,0.0013441364650605158,1.0437232299703296,0.5221396160062354,0.5215836139640941,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.30000000000000004,0.5319850032192553,3.2583271174024746e-05,6.12871198773811e-10,9.035930082415577e-15,1.1591395887952939e-19,1.3721646921938957e-24,1.5552797509883514e-29,1.7296264096327172e-34,1.9191224397576855e-39,0.5309916653273371,0.15482765362169165,0.003024453903818831,0.0002619243995681632,3.4751415000844554e-07,0.0,0.0,0.0,0.0,-2.2745930258603794e-41,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.29441636616548833,0.0020633526224422714,1.0632715243443647,0.5320175871033096,0.5312539372410553,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.4,0.5409905482226463,4.3769413920703885e-05,1.0958774370432457e-09,2.1528495688409617e-14,3.6654226968468086e-19,5.716388092004767e-24,8.455853337866852e-29,1.2145425478231163e-33,1.7218062794716476e-38,0.5396440958274,0.20836673157363766,0.003580218620370393,0.00046851443048380654,8.278205266452855e-07,0.0,0.0,0.0,0.0,-2.69489389970301e-40,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.3136969350127674,0.002808873309776796,1.0811477568108763,0.5410343187324659,0.5401134380784105,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.5,0.5490936191228376,5.5017019254887146e-05,1.7190119647833333e-09,4.2210141344217055e-14,8.968047405902407e-19,1.739205697341067e-23,3.185851359673343e-28,5.643272564901728e-33,9.83054784982795e-38,0.5473858762892718,0.26272578380169137,0.003566441437338719,0.000735648992372391,1.623407580409299e-06,0.0,0.0,0.0,0.0,-2.037788446568004e-39,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.3328005882912924,0.0035767013662599515,1.0972717865503712,0.5491486378611466,0.5481231486892246,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.6000000000000001,0.5562604301232831,6.626473710689973e-05,2.4804106779418074e-09,7.309802729586524e-14,1.8627784877309922e-18,4.322808420850922e-23,9.441718763665937e-28,1.9856475361090915e-32,4.08739343433209e-37,0.554185037984523,0.31781210139490657,0.002775186889337992,0.0010632140351381882,2.81299205487986e-06,0.0,0.0,0.0,0.0,-1.0658005422413824e-38,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.3516854515213439,0.0043627743227986834,1.1115777623525898,0.5563266973408737,0.5552510650117161,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.7000000000000001,0.5624644464386431,7.745181370085603e-05,3.376780237635067e-09,1.161281600662803e-13,3.4513305910172286e-18,9.318032134676148e-23,2.3589557628607523e-27,5.724161181384759e-32,1.3528318442897834e-36,0.5600169094865183,0.37353028135898075,0.0009994102710981112,0.001450688762535199,4.473122895076592e-06,0.0,0.0,0.0,0.0,-4.198872798058254e-38,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.37031218617771033,0.0051630199907995635,1.1240139730011889,0.5625419016292403,0.5614720713719485,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.8,0.5676872180028059,8.851887581297367e-05,4.403325543322174e-09,1.7311507411356284e-13,5.880480298610123e-18,1.8115250464516623e-22,5.2184008329427595e-27,1.4359089876234489e-31,3.833363118524671e-36,0.5648649318168987,0.42978268612125653,-0.0019653828460494903,0.0018971206143703432,6.676967821208758e-06,0.0,0.0,0.0,0.0,-1.3992838986130373e-37,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.38864450315082155,0.00597340354825137,1.1345444706812078,0.5677757412821175,0.5667687293990902,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
0.9,0.5719181968735499,9.940867404124981e-05,5.553881646907206e-09,2.4571994233678667e-13,9.394976566605885e-18,3.2544743910498224e-22,1.0522367364118949e-26,3.2415076741974077e-31,9.659751547262381e-36,0.5687204495173079,0.48647034791895827,-0.006319529170001014,0.002401156835749639,9.493319290096113e-06,0.0,0.0,0.0,0.0,-4.1229972797323695e-37,0.5,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,0.4066493394101178,0.006789978223346316,1.143148710774066,0.5720176111017186,0.5711310996723477,0.6,0.2,0.5,0.07,0.05614000000000001,0.06860000000000001,0.1,0.99
