AdoMet,CGS,Cys,Cystathionine,Hser,Phi,Phser,TS,Thr,Time
20.0,0.7,15.0,0.0,0.0,10000.0,0.0,5.0,0.0,0.0
20.0,0.7,15.0,0.0,0.0,10000.0,0.009999629496731511,5.0,0.0,0.01
20.0,0.7,15.0,0.0,0.0,10000.0,0.019998518027472555,5.0,0.0,0.02
20.0,0.7,15.0,0.0,0.0,10000.0,0.029996665653036884,5.0,0.0,0.03
20.0,0.7,15.0,0.0,0.0,10000.0,0.03999407243423222,5.0,0.0,0.04
20.0,0.7,15.0,0.0,0.0,10000.0,0.0499907384318589,5.0,0.0,0.05
20.0,0.7,15.0,0.0,0.0,10000.0,0.059986663706707063,5.0,0.0,0.06
20.0,0.7,15.0,0.0,0.0,10000.0,0.06998184831956737,5.0,0.0,0.07
20.0,0.7,15.0,0.0,0.0,10000.0,0.07997629233122498,5.0,0.0,0.08
20.0,0.7,15.0,0.0,0.0,10000.0,0.0899699958024585,5.0,0.0,0.09
20.0,0.7,15.0,0.0,0.0,10000.0,0.09996295879404005,5.0,0.0,0.1
20.0,0.7,15.0,0.0,0.0,10000.0,0.10995518136673513,5.0,0.0,0.11
20.0,0.7,15.0,0.0,0.0,10000.0,0.11994666358130286,5.0,0.0,0.12
20.0,0.7,15.0,0.0,0.0,10000.0,0.12993740549849567,5.0,0.0,0.13
20.0,0.7,15.0,0.0,0.0,10000.0,0.1399274071790596,5.0,0.0,0.14
20.0,0.7,15.0,0.0,0.0,10000.0,0.14991666868373435,5.0,0.0,0.15
20.0,0.7,15.0,0.0,0.0,10000.0,0.15990519007325438,5.0,0.0,0.16
20.0,0.7,15.0,0.0,0.0,10000.0,0.16989297140834683,5.0,0.0,0.17
20.0,0.7,15.0,0.0,0.0,10000.0,0.1798800127497321,5.0,0.0,0.18
20.0,0.7,15.0,0.0,0.0,10000.0,0.18986631415812424,5.0,0.0,0.19
20.0,0.7,15.0,0.0,0.0,10000.0,0.19985187569423077,5.0,0.0,0.2
20.0,0.7,15.0,0.0,0.0,10000.0,0.20983669741875272,5.0,0.0,0.21
20.0,0.7,15.0,0.0,0.0,10000.0,0.21982077939238467,5.0,0.0,0.22
20.0,0.7,15.0,0.0,0.0,10000.0,0.22980412167581474,5.0,0.0,0.23
20.0,0.7,15.0,0.0,0.0,10000.0,0.23978672432972448,5.0,0.0,0.24
20.0,0.7,15.0,0.0,0.0,10000.0,0.24976858741479083,5.0,0.0,0.25
20.0,0.7,15.0,0.0,0.0,10000.0,0.25974971099169153,5.0,0.0,0.26
20.0,0.7,15.0,0.0,0.0,10000.0,0.26973009512109286,5.0,0.0,0.27
20.0,0.7,15.0,0.0,0.0,10000.0,0.27970973986365427,5.0,0.0,0.28
20.0,0.7,15.0,0.0,0.0,10000.0,0.28968864528002874,5.0,0.0,0.29
20.0,0.7,15.0,0.0,0.0,10000.0,0.2996668114308635,5.0,0.0,0.3
20.0,0.7,15.0,0.0,0.0,10000.0,0.30964423837679905,5.0,0.0,0.31
20.0,0.7,15.0,0.0,0.0,10000.0,0.3196209261784701,5.0,0.0,0.32
20.0,0.7,15.0,0.0,0.0,10000.0,0.32959687489650513,5.0,0.0,0.33
20.0,0.7,15.0,0.0,0.0,10000.0,0.33957208459152627,5.0,0.0,0.34
20.0,0.7,15.0,0.0,0.0,10000.0,0.34954655532414963,5.0,0.0,0.35
20.0,0.7,15.0,0.0,0.0,10000.0,0.3595202871549855,5.0,0.0,0.36
20.0,0.7,15.0,0.0,0.0,10000.0,0.3694932801446376,5.0,0.0,0.37
20.0,0.7,15.0,0.0,0.0,10000.0,0.3794655343537036,5.0,0.0,0.38
20.0,0.7,15.0,0.0,0.0,10000.0,0.38943704984277505,5.0,0.0,0.39
20.0,0.7,15.0,0.0,0.0,10000.0,0.3994078266724371,5.0,0.0,0.4
20.0,0.7,15.0,0.0,0.0,10000.0,0.40937786490326894,5.0,0.0,0.41
20.0,0.7,15.0,0.0,0.0,10000.0,0.4193471645958436,5.0,0.0,0.42
20.0,0.7,15.0,0.0,0.0,10000.0,0.4293157258107278,5.0,0.0,0.43
20.0,0.7,15.0,0.0,0.0,10000.0,0.4392835486084822,5.0,0.0,0.44
20.0,0.7,15.0,0.0,0.0,10000.0,0.44925063304966056,5.0,0.0,0.45
20.0,0.7,15.0,0.0,0.0,10000.0,0.459216979194813,5.0,0.0,0.46
20.0,0.7,15.0,0.0,0.0,10000.0,0.46918258710448085,5.0,0.0,0.47
20.0,0.7,15.0,0.0,0.0,10000.0,0.4791474568392002,5.0,0.0,0.48
20.0,0.7,15.0,0.0,0.0,10000.0,0.489111588459501,5.0,0.0,0.49
20.0,0.7,15.0,0.0,0.0,10000.0,0.4990749820259069,5.0,0.0,0.5
20.0,0.7,15.0,0.0,0.0,10000.0,0.5090376375989355,5.0,0.0,0.51
20.0,0.7,15.0,0.0,0.0,10000.0,0.5189995552390982,5.0,0.0,0.52
20.0,0.7,15.0,0.0,0.0,10000.0,0.5289607350069003,5.0,0.0,0.53
20.0,0.7,15.0,0.0,0.0,10000.0,0.5389211769628408,5.0,0.0,0.54
20.0,0.7,15.0,0.0,0.0,10000.0,0.5488808811674136,5.0,0.0,0.55
20.0,0.7,15.0,0.0,0.0,10000.0,0.5588398476811108,5.0,0.0,0.56
20.0,0.7,15.0,0.0,0.0,10000.0,0.5687980765644136,5.0,0.0,0.57
20.0,0.7,15.0,0.0,0.0,10000.0,0.5787555678777969,5.0,0.0,0.58
20.0,0.7,15.0,0.0,0.0,10000.0,0.5887123216817294,5.0,0.0,0.59
20.0,0.7,15.0,0.0,0.0,10000.0,0.598668338036673,5.0,0.0,0.6
20.0,0.7,15.0,0.0,0.0,10000.0,0.6086236170030842,5.0,0.0,0.61
20.0,0.7,15.0,0.0,0.0,10000.0,0.6185781586414131,5.0,0.0,0.62
20.0,0.7,15.0,0.0,0.0,10000.0,0.6285319630121033,5.0,0.0,0.63
20.0,0.7,15.0,0.0,0.0,10000.0,0.6384850301755932,5.0,0.0,0.64
20.0,0.7,15.0,0.0,0.0,10000.0,0.6484373601923141,5.0,0.0,0.65
20.0,0.7,15.0,0.0,0.0,10000.0,0.6583889531226914,5.0,0.0,0.66
20.0,0.7,15.0,0.0,0.0,10000.0,0.6683398090271445,5.0,0.0,0.67
20.0,0.7,15.0,0.0,0.0,10000.0,0.6782899279660869,5.0,0.0,0.68
20.0,0.7,15.0,0.0,0.0,10000.0,0.6882393099999252,5.0,0.0,0.69
20.0,0.7,15.0,0.0,0.0,10000.0,0.6981879551890605,5.0,0.0,0.7
20.0,0.7,15.0,0.0,0.0,10000.0,0.7081358635938876,5.0,0.0,0.71
20.0,0.7,15.0,0.0,0.0,10000.0,0.7180830352747952,5.0,0.0,0.72
20.0,0.7,15.0,0.0,0.0,10000.0,0.7280294702921657,5.0,0.0,0.73
20.0,0.7,15.0,0.0,0.0,10000.0,0.7379751687063756,5.0,0.0,0.74
20.0,0.7,15.0,0.0,0.0,10000.0,0.7479201305777947,5.0,0.0,0.75
20.0,0.7,15.0,0.0,0.0,10000.0,0.7578643559667875,5.0,0.0,0.76
20.0,0.7,15.0,0.0,0.0,10000.0,0.7678078449337117,5.0,0.0,0.77
20.0,0.7,15.0,0.0,0.0,10000.0,0.777750597538919,5.0,0.0,0.78
20.0,0.7,15.0,0.0,0.0,10000.0,0.7876926138427555,5.0,0.0,0.79
20.0,0.7,15.0,0.0,0.0,10000.0,0.7976338939055599,5.0,0.0,0.8
20.0,0.7,15.0,0.0,0.0,10000.0,0.8075744377876667,5.0,0.0,0.81
20.0,0.7,15.0,0.0,0.0,10000.0,0.817514245549402,5.0,0.0,0.82
20.0,0.7,15.0,0.0,0.0,10000.0,0.8274533172510877,5.0,0.0,0.83
20.0,0.7,15.0,0.0,0.0,10000.0,0.8373916529530387,5.0,0.0,0.84
20.0,0.7,15.0,0.0,0.0,10000.0,0.8473292527155637,5.0,0.0,0.85
20.0,0.7,15.0,0.0,0.0,10000.0,0.8572661165989653,5.0,0.0,0.86
20.0,0.7,15.0,0.0,0.0,10000.0,0.8672022446635406,5.0,0.0,0.87
20.0,0.7,15.0,0.0,0.0,10000.0,0.8771376369695796,5.0,0.0,0.88
