Time,Phser,Thr,Cystathionine,Hser,Phi,Cys,AdoMet,CGS,TS,compartment,v1,vCys,vThr
0.0,0.0,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.0,0.0
0.01,0.009999629496731511,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,1.3999185768007694e-05,6.0100454191077046e-05
0.02,0.019998518027472555,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,2.7996743241337793e-05,0.00012019645497789729
0.03,0.029996665653036884,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,4.1992672673909474e-05,0.00018028800272596766
0.04,0.03999407243423222,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,5.5986974319589556e-05,0.00024037509780075892
0.05,0.0499907384318589,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,6.997964843219066e-05,0.0003004577405676974
0.06,0.059986663706707063,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,8.397069526546723e-05,0.000360535931392148
0.07,0.06998184831956737,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,9.796011507313055e-05,0.0004206096706394791
0.08,0.07997629233122498,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.00011194790810884042,0.00048067895867502566
0.09,0.0899699958024585,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.0001259340746262036,0.0005407437958640834
0.1,0.09996295879404005,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.0001399186148787739,0.000600804182571909
0.11,0.10995518136673513,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.00015390152912005212,0.0006608601191637197
0.12,0.11994666358130286,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.00016788281760348633,0.0007209116060046938
0.13,0.12993740549849567,0.0,0.0,0.0,10000.0,15.0,20.0,0.7,5.0,1.0,1.0,0.00018186248058247128,0.0007809586434599698
