Time,species_1,species_2,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,compartment_1
0.0,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.01,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.02,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.03,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.04,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.05,0.00577667577789773,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.06,0.00577667577789773,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.07,0.00577667577789773,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.08,0.00577667577789773,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.09,0.00577667577789773,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.1,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.11,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.12,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.13,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.14,0.005776675777897731,0.0203298264712407,0.025,1.0,0.5,3.5,1.25,1.0
0.15,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.16,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.17,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.18,0.005776675777897731,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.19,0.005776675777897732,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.2,0.005776675777897732,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.21,0.005776675777897732,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.22,0.005776675777897732,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.23,0.005776675777897732,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.24,0.005776675777897732,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.25,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.26,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.27,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.28,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.29,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.3,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.31,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.32,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.33,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.34,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.35,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.36,0.0057766757778977326,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.37,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.38,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.39,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.4,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.41,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.42,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.43,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.44,0.005776675777897732,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.45,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.46,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.47,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.48,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.49,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.5,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.51,0.005776675777897731,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.52,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.53,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.54,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.55,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.56,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.57,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.58,0.00577667577789773,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.59,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.6,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.61,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.62,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.63,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.64,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.65,0.005776675777897729,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.66,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.67,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.68,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.69,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.7,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.71,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
