DHF_1_task1,H2_HMPt_2_task1,H2_HMPterinPP_3_task1,H2_Pteroate_4_task1,_1_task1,p_ABA_5_task1
1e-05,3.315e-06,1e-05,1e-05,0.0,1e-05
1.1214900115112487e-05,3.836323493305457e-06,1.0423842765769768e-05,1.1180871245474645e-05,100.0,1.0945166259075246e-05
1.142144258942902e-05,3.905241383752081e-06,1.0485920221906522e-05,1.1382854873068143e-05,200.0,1.1076161605658631e-05
1.1620566543785144e-05,3.972476875420219e-06,1.0545795951459007e-05,1.1580262346244605e-05,300.0,1.120327282687925e-05
1.1814805317617183e-05,4.038077017991262e-06,1.0603541138740087e-05,1.1772837631717699e-05,400.0,1.1326618156731373e-05
1.2004396782763683e-05,4.1021199220907834e-06,1.0659289661989504e-05,1.1960821649960898e-05,500.0,1.1446409584080313e-05
1.2189559012097249e-05,4.164678170718786e-06,1.0713162969535648e-05,1.2144425677451957e-05,600.0,1.1562841140254459e-05
1.2370492859416392e-05,4.225818632053027e-06,1.0765271324608723e-05,1.232384888356798e-05,700.0,1.1676089956661774e-05
1.2547386840291991e-05,4.285603755972266e-06,1.0815716450284132e-05,1.2499276832738489e-05,800.0,1.1786320206256421e-05
1.2720416208280843e-05,4.344091781053073e-06,1.0864591667970871e-05,1.2670882152084584e-05,900.0,1.1893683449023967e-05
1.2889743186755726e-05,4.40133670348079e-06,1.0911981916609356e-05,1.2838824909947507e-05,1000.0,1.1998318620090169e-05
1.3055520161623074e-05,4.457389229549057e-06,1.0957966101601437e-05,1.3003255335529844e-05,1100.0,1.2100355331150516e-05
1.3217889649635218e-05,4.512296790743094e-06,1.1002616451825901e-05,1.3164314026876969e-05,1200.0,1.2199913242569017e-05
1.337698234055017e-05,4.566102984541877e-06,1.1045998668248267e-05,1.3322129924278825e-05,1300.0,1.2297101652790165e-05
1.3532926954507725e-05,4.618850700330975e-06,1.1088177994600553e-05,1.347682998311189e-05,1400.0,1.2392028694931548e-05
1.3685832883812208e-05,4.6705765685879285e-06,1.1129207733557962e-05,1.3628522184562798e-05,1500.0,1.2484784302145914e-05
1.3835817676730338e-05,4.721319693294089e-06,1.1169147889639184e-05,1.3777322552616822e-05,1600.0,1.2575467582933295e-05
1.3982978353956007e-05,4.771112572550324e-06,1.1208045539111019e-05,1.3923326893915313e-05,1700.0,1.2664158111661367e-05
1.412741637562677e-05,4.81998891947397e-06,1.1245945036403211e-05,1.4066635464610624e-05,1800.0,1.2750933955877203e-05
1.4269225072060534e-05,4.8679797595545285e-06,1.1282886123539403e-05,1.420734052729737e-05,1900.0,1.2835865883093953e-05
1.4408490695143762e-05,4.9151141066423516e-06,1.1318911849372933e-05,1.4345527153084394e-05,2000.0,1.2919025956015306e-05
1.4545296716542614e-05,4.9614204503264845e-06,1.1354072053495254e-05,1.4481277372542378e-05,2100.0,1.300049250382176e-05
1.4679720550200364e-05,5.006924713805833e-06,1.1388401281465142e-05,1.4614667684582925e-05,2200.0,1.3080325995270995e-05
1.4811843028846207e-05,5.0516527103162025e-06,1.1421913779788942e-05,1.4745779053615518e-05,2300.0,1.3158566490105164e-05
1.4941734863441833e-05,5.095627844899602e-06,1.1454635477823692e-05,1.4874681673319485e-05,2400.0,1.3235263322723314e-05
1.5069457405332195e-05,5.138872857917827e-06,1.148662913702473e-05,1.5001433759011049e-05,2500.0,1.3310501994942576e-05
1.5195071965494803e-05,5.181409264681158e-06,1.1517940646625548e-05,1.5126095137039552e-05,2600.0,1.3384349911306724e-05
1.5318655136574627e-05,5.223257917597353e-06,1.1548543475853237e-05,1.5248748450037156e-05,2700.0,1.3456801393450608e-05
1.5440260119332383e-05,5.26443856552366e-06,1.1578477423666747e-05,1.5369441589250353e-05,2800.0,1.3527915989190427e-05
1.555993598896694e-05,5.304970090685084e-06,1.1607780747614411e-05,1.54882172639689e-05,2900.0,1.3597750838299516e-05
1.5677740956449787e-05,5.344870406187854e-06,1.1636466069793998e-05,1.5605142128941077e-05,3000.0,1.3666336475981874e-05
1.579372583718558e-05,5.38415666444441e-06,1.1664558106449348e-05,1.572026522058219e-05,3100.0,1.373371477089378e-05
1.590794119417318e-05,5.4228452994221766e-06,1.1692080026291728e-05,1.583363234996849e-05,3200.0,1.3799925325713926e-05
1.6020433194464474e-05,5.4609521652066065e-06,1.1719047187387879e-05,1.5945291583459594e-05,3300.0,1.3864999352594506e-05
1.6131246614750467e-05,5.498492367540502e-06,1.1745477771233658e-05,1.6055286941168954e-05,3400.0,1.392897013877418e-05
1.6240423675355057e-05,5.535480430798662e-06,1.1771392760567086e-05,1.6163660166290734e-05,3500.0,1.3991873191365768e-05
1.6348007088018252e-05,5.571930313132686e-06,1.1796805967637383e-05,1.627045377107745e-05,3600.0,1.4053736280770091e-05
1.6454036873470896e-05,5.6078553735729915e-06,1.1821733103239045e-05,1.6375707399644787e-05,3700.0,1.4114588476812057e-05
1.655855052485924e-05,5.643268501692138e-06,1.1846192296299337e-05,1.6479457455889313e-05,3800.0,1.4174460797991495e-05
1.6661585365264892e-05,5.678182088311353e-06,1.1870196033493674e-05,1.6581741353694833e-05,3900.0,1.4233378121805049e-05
1.6763177005302883e-05,5.712608045372721e-06,1.1893756775463148e-05,1.668259470709111e-05,4000.0,1.4291364820835887e-05
1.68633588872488e-05,5.746557856080151e-06,1.1916891194512344e-05,1.6782049909100385e-05,4100.0,1.4348449050592513e-05
1.696216421782442e-05,5.780042576509777e-06,1.1939610422095145e-05,1.6880140109837775e-05,4200.0,1.440465299860494e-05
1.7059625357424777e-05,5.8130728735150295e-06,1.1961923911690097e-05,1.69768977927821e-05,4300.0,1.4459996785205144e-05
1.7155771797620223e-05,5.845659032020999e-06,1.1983847782529554e-05,1.7072351418227443e-05,4400.0,1.451450681455057e-05
1.725063323036233e-05,5.877810967789926e-06,1.2005392146557013e-05,1.716653054182014e-05,4500.0,1.456820311434696e-05
1.7344239308481833e-05,5.909538281653829e-06,1.202656276061771e-05,1.7259465315303855e-05,4600.0,1.4621101042271558e-05
1.743661600741297e-05,5.940850219924598e-06,1.2047376392473399e-05,1.7351180453748065e-05,4700.0,1.4673226612398016e-05
1.7527789873477026e-05,5.9717557156341665e-06,1.2067842764635806e-05,1.7441702250455318e-05,4800.0,1.4724598480269991e-05
1.7617788703457176e-05,6.002263453670301e-06,1.2087962469283115e-05,1.753105952789725e-05,4900.0,1.4775225922953432e-05
1.7706635173313637e-05,6.032381773988746e-06,1.2107753822080806e-05,1.7619273439931622e-05,5000.0,1.482513559606957e-05
1.7794352535313444e-05,6.062118752930043e-06,1.212722871970553e-05,1.7706366564266875e-05,5100.0,1.487434747263559e-05
1.788096793345743e-05,6.091482292625767e-06,1.2146379078321796e-05,1.7792368021367455e-05,5200.0,1.492286137094758e-05
1.796650114656013e-05,6.120479940490171e-06,1.2165224756506939e-05,1.7877295857349208e-05,5300.0,1.4970704696997125e-05
1.8050970843357524e-05,6.14911900038352e-06,1.2183787036074165e-05,1.7961166790521447e-05,5400.0,1.5017906036457701e-05
1.8134405875757316e-05,6.177406726280183e-06,1.2202040207515929e-05,1.804401362855405e-05,5500.0,1.5064446933796128e-05
1.8216823962075733e-05,6.205349997494875e-06,1.2220002096966416e-05,1.812585226824617e-05,5600.0,1.5110352094461306e-05
1.8298236484547876e-05,6.232955412738981e-06,1.2237714094040969e-05,1.8206689147548067e-05,5700.0,1.5155669506779965e-05
1.8378672635295457e-05,6.260229514135662e-06,1.2255149970987252e-05,1.828656027372351e-05,5800.0,1.520037948512293e-05
1.8458151628799667e-05,6.287178609735902e-06,1.2272315173372456e-05,1.836548445858991e-05,5900.0,1.5244493783108374e-05
1.853668624622144e-05,6.313808901836773e-06,1.2289229013248973e-05,1.8443467210592378e-05,6000.0,1.5288037915085764e-05
1.861429704941985e-05,6.340126370890344e-06,1.2305883616192971e-05,1.852053454297878e-05,6100.0,1.533100998708333e-05
1.8691000355915612e-05,6.366136801753714e-06,1.2322285709158975e-05,1.8596703241328678e-05,6200.0,1.5373422510912707e-05
1.8766809164414847e-05,6.391845660451405e-06,1.2338467844149927e-05,1.867198238449569e-05,6300.0,1.541531350460135e-05
1.8841745332466326e-05,6.41725852176496e-06,1.235440940608013e-05,1.874639648018169e-05,6400.0,1.5456667927845105e-05
1.891582885448008e-05,6.4423807775818095e-06,1.2370096855353732e-05,1.881996689409041e-05,6500.0,1.5497477632935553e-05
1.8989058996419634e-05,6.467217346306822e-06,1.2385603972121787e-05,1.8892686058307127e-05,6600.0,1.5537821318428623e-05
1.9061461664603565e-05,6.49177335378022e-06,1.240089432766666e-05,1.896458636238524e-05,6700.0,1.5577667681446888e-05
1.9133061175675675e-05,6.5160541272205525e-06,1.2415914611970284e-05,1.9035687010797484e-05,6800.0,1.5616968739190842e-05
1.9203844283081353e-05,6.540063957594245e-06,1.2430769381430024e-05,1.910598520596681e-05,6900.0,1.5655833339024277e-05
1.9273856472435972e-05,6.563807409526843e-06,1.2445406900484791e-05,1.917551229332856e-05,7000.0,1.5694214310011644e-05
1.9343089446582205e-05,6.58728948628951e-06,1.245983400795907e-05,1.9244267081138544e-05,7100.0,1.5732123494248588e-05
1.941155840155225e-05,6.610514232736836e-06,1.2474084972504225e-05,1.931226287474469e-05,7200.0,1.576959920524107e-05
1.947928187196961e-05,6.633485957339529e-06,1.2488150613012542e-05,1.9379515123367358e-05,7300.0,1.5806636570352082e-05
1.954628373686958e-05,6.656208984137021e-06,1.2501985281966893e-05,1.9446059737192284e-05,7400.0,1.5843194266103923e-05
1.9612541346677962e-05,6.678687579763237e-06,1.2515669917524165e-05,1.9511862301583138e-05,7500.0,1.5879357497287407e-05
1.9678103806165754e-05,6.700925088856851e-06,1.2529177423135301e-05,1.9576970860418694e-05,7600.0,1.5915102511992157e-05
1.97429635189365e-05,6.722926234294353e-06,1.2542476976120404e-05,1.964138393355335e-05,7700.0,1.5950403210414765e-05
1.9807132842424125e-05,6.744693938964082e-06,1.2555638986661495e-05,1.970512336727799e-05,7800.0,1.5985332925625582e-05
1.987062908143006e-05,6.766232707906407e-06,1.2568603977949548e-05,1.9768178720810823e-05,7900.0,1.6019836685855968e-05
1.993345333885674e-05,6.787545707172845e-06,1.2581418716731145e-05,1.983057482139285e-05,8000.0,1.6053964423904005e-05
