Time,ADP,ATP,H,He,NAD,NADH,AcCoA,KG,Cit,OAA,O2,iP,Pyr,H2O,ATPcrit,At,C,DeltaGtransport,DeltaPsi,DeltaPsim,F,JANT,JATP,Jleak,Jresp,K,Kapp,Nt,R,T,a,b,kANT,kATP,kleak,kresp,cytoplasm,mitochondrion,v1,v2,v3,v4,v5,v6,v7,v8,vresp,vATP,vANT,vleak
0.0,0.6240000000000001,3.536,1.0,1.0,0.856,0.21400000000000008,0.063,0.225,0.44,0.005,1.0,2.44,0.154,1.0,3.893017284748052,4.16,6.75e-06,17367300.0,150.0,150.0,96485.0,0.19048432,0.09418114371060315,0.0639,0.12082204155374889,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.020037248,0.017999730000000002,0.019961919999999998,0.009898342646400002,-0.0017953207547169812,0.02178176,0.018000000000000002,0.12082204155374889,0.09418114371060315,0.19048432,0.0639
0.01,0.6245849839924804,3.5354150160075197,1.0,1.0,0.8560978291879946,0.21390217081200547,0.06302077663959814,0.22508261546735098,0.4399799563793084,0.004975644295799932,1.0,2.44,0.1539618678329997,1.0,4.082312314282153,4.16,6.75e-06,18426021.20600062,159.14409153409528,150.0,96485.0,0.19045280691232508,0.14427144975003953,0.06779538299352458,0.06910544349380973,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.020034575966093118,0.017917957958238917,0.019963291933755387,0.009912392690512795,-0.0017960637734623036,0.021772763977174092,0.017912319464879756,0.06910544349380973,0.14427144975003953,0.19045280691232508,0.06779538299352458
0.02,0.6251645352417903,3.53483546475821,1.0,1.0,0.8561906862038617,0.21380931379613832,0.06304231164387801,0.2251650966909178,0.4399591142052056,0.004952977871341704,1.0,2.44,0.15392385306274747,1.0,4.082183982930672,4.16,6.75e-06,18424632.14574578,159.13209433025668,150.0,96485.0,0.19042158648652477,0.14439048141655977,0.06779027218468935,0.06913752103282567,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.02003180174529429,0.01784242804701356,0.0199645114823289,0.009926302678738196,-0.0017968003058077742,0.021763819787137255,0.017830720336830138,0.06913752103282567,0.14439048141655977,0.19042158648652477,0.06779027218468935
0.03,0.6257423584466801,3.53425764155332,1.0,1.0,0.8562836010242061,0.21371639897579398,0.0630645449291059,0.22524744362760135,0.4399375340539526,0.00493188179593339,1.0,2.44,0.153885955254269,1.0,4.0820556432952335,4.16,6.75e-06,18423245.24134741,159.12011574638035,150.0,96485.0,0.19039045915047736,0.14450905503996647,0.06778516930795803,0.06916947140721204,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.02002904302665065,0.017772698040083672,0.01996569868192767,0.009940189487540475,-0.0017975307319846466,0.021754904531405304,0.017754774465360206,0.06916947140721204,0.14450905503996647,0.19039045915047736,0.06778516930795803
0.04,0.6263184596284597,3.5336815403715405,1.0,1.0,0.8563765729975604,0.21362342700243964,0.06308742073744185,0.22532965625764254,0.4399152721487097,0.004912245643874633,1.0,2.44,0.15384817396412823,1.0,4.081927295534779,4.16,6.75e-06,18421860.487561435,159.1081557371736,150.0,96485.0,0.1903594245798149,0.1446271722506171,0.06778007434403596,0.06920129488987271,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.02002629974116256,0.017708357667838254,0.01996685605811606,0.009954053151566267,-0.0017982554051960947,0.021746018094276374,0.01768408431794868,0.06920129488987271,0.1446271722506171,0.1903594245798149,0.06778007434403596
0.05,0.6268928447888542,3.533107155211146,1.0,1.0,0.8564696014525331,0.21353039854746692,0.06311088721251755,0.22541173458159733,0.4398923807864634,0.00489396667650237,1.0,2.44,0.15381050875070848,1.0,4.081798939466783,4.16,6.75e-06,18420477.87549112,159.09621422579607,150.0,96485.0,0.19032848245122444,0.14474483458362558,0.06777498726018913,0.06923299191674782,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.02002357181959746,0.017649025485935787,0.01996798595887198,0.009967893706023101,-0.0017989746542103155,0.021737160360551785,0.017618280035408534,0.06923299191674782,0.14474483458362558,0.19032848245122444,0.06777498726018913
0.06,0.6274655199089874,3.532534480091013,1.0,1.0,0.8565626856989188,0.21343731430108126,0.06313489626043603,0.22549367861957542,0.4398689084778574,0.004876949570797444,1.0,2.44,0.15377295917427952,1.0,4.081670574907634,4.16,6.75e-06,18419097.39627416,159.0842911357047,150.0,96485.0,0.19029763244250286,0.14486204356833615,0.0677699080238102,0.069264562929401,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.020020859192525043,0.017594347807662652,0.019969090560866008,0.009981711186644655,-0.0017996887842228603,0.0217283312155508,0.0175570184548708,0.069264562929401,0.14486204356833615,0.19029763244250286,0.0677699080238102
0.07,0.628036490950326,3.531963509049674,1.0,1.0,0.8566558250301035,0.21334417496989655,0.06315940312679383,0.22557548840900415,0.4398449003728076,0.004861105587702364,1.0,2.44,0.1537355247969116,1.0,4.081542201717552,4.16,6.75e-06,18417719.041564282,159.07238639481338,150.0,96485.0,0.19026687423250596,0.14497880074056566,0.0677648366041905,0.06929600835379436,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.020018161790362806,0.017543995547868105,0.019970171888750013,0.009995505629636813,-0.0018003980795000148,0.021719530545091726,0.017499980115728512,0.06929600835379436,0.14497880074056566,0.19026687423250596,0.0677648366041905
0.08,0.6286057638541305,3.5313942361458697,1.0,1.0,0.8567490187240875,0.21325098127591258,0.06318436624952495,0.2256571640038249,0.43982039840855086,0.004846352283562374,1.0,2.44,0.15369820518252314,1.0,4.08141381976545,4.16,6.75e-06,18416342.803150833,159.06049993220736,150.0,96485.0,0.190236207501178,0.14509510763299713,0.06775977297112033,0.06932732861621325,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.020015479543406583,0.01749766311162067,0.019971231821822248,0.010009277071646942,-0.0018011028042957194,0.0217107582355011,0.017446868220824547,0.06932732861621325,0.14509510763299713,0.190236207501178,0.06775977297112033
0.09,0.6291733445414529,3.5308266554585472,1.0,1.0,0.8568422660448195,0.21315773395518056,0.06320974704222561,0.22573870547333094,0.4397954415276588,0.004832613084164989,1.0,2.44,0.15366099989688198,1.0,4.081285428932752,4.16,6.75e-06,18414968.67299859,159.04863167848706,150.0,96485.0,0.19020563192955195,0.14521096577632206,0.06775471709503549,0.06935852414118608,2.0,4.4e-09,1.07,8314.0,298.0,0.1,0.004,0.05387,131.9,0.000426,2.5,1.0,1.0,0.038,0.020012812381862286,0.017455066775957696,0.019972272103881278,0.010023025549729461,-0.001801803204205286,0.02170201417361296,0.01739740710299396,0.06935852414118608,0.14521096577632206,0.19020563192955195,0.06775471709503549
