Infected_1_task1,_1_task1
1.0,0.0
2.279157982403174,1.0
2.955099609211694,2.0
3.4018513321340804,3.0
3.7713346393116174,4.0
4.126070628192057,5.0
4.4926690077577724,6.0
4.8833925081809335,7.0
5.304856303395182,8.0
5.761545493462005,9.0
6.2572430582208485,10.0
6.79561955584588,11.0
7.380484784045381,12.0
8.01590443921648,13.0
8.706264544115541,14.0
9.45631508664141,15.0
10.27120784357868,16.0
11.15653213688375,17.0
12.118351975552565,18.0
13.163247788085643,19.0
14.298357624771985,20.0
15.53142218211696,21.0
16.870835369692315,22.0
18.3256964470382,23.0
19.905867869170915,24.0
21.62203446096545,25.0
23.48576924552575,26.0
25.509603418885444,27.0
27.707099790507616,28.0
30.092931907904433,29.0
32.68296813719995,30.0
35.49436040679842,31.0
38.5456383204195,32.0
41.85680770139052,33.0
45.4494552674241,34.0
49.346856840291224,35.0
53.57408999702841,36.0
58.158152031002864,37.0
63.12807982944369,38.0
68.51507254638445,39.0
74.35261679244014,40.0
80.67661036803874,41.0
87.52548540946934,42.0
94.94032806862624,43.0
102.96499066414559,44.0
111.64619747993021,45.0
121.03363453957512,46.0
131.18002287732887,47.0
142.14117618509692,48.0
153.97602026719574,49.0
166.7465876533203,50.0
180.51796555322824,51.0
195.35819645138835,52.0
211.33811841686844,53.0
228.53113552019266,54.0
247.01290637635566,55.0
266.8609395827694,56.0
288.15408986671684,57.0
310.9719172640961,58.0
335.39393229510813,59.0
361.49867341282004,60.0
389.36265771054343,61.0
419.0591226676439,62.0
450.6565894093068,63.0
484.21729303091416,64.0
519.7953443512397,65.0
557.4347835626182,66.0
597.1674048260597,67.0
639.0104639061319,68.0
682.9642485365865,69.0
729.0095915443808,70.0
777.1052844425926,71.0
827.185638767226,72.0
879.1580736318464,73.0
932.9009225747413,74.0
988.2616420937037,75.0
1045.0552555562717,76.0
1103.063520237394,77.0
1162.0346037500242,78.0
1221.6835802288472,79.0
1281.6937162802983,80.0
1341.7186792908014,81.0
1401.3857337860013,82.0
1460.299831005212,83.0
1518.048606033416,84.0
1574.2083793246723,85.0
1628.350609889844,86.0
1680.0491254423796,87.0
1728.887633779489,88.0
1774.4672912904948,89.0
1816.414241352076,90.0
