Time,Infected,Cumulative_cases,Susceptible,Asymptomatic,Susceptible_quarantined,Exposed_quarantined,Recovered,lambda_s,beta_s,rho_s,epsilon_s,delta,m_s,gamma_a,xi_a,gamma_i,xi_i,xi_q,Total_population,Wuhan,Susceptible_to_Susceptible_quarantined,Infected_to_Recovered,Susceptible_quarantined_to_Susceptible,Susceptible_to_Deceased,Susceptible_quarantined_to_Deceased,Susceptible_to_Asymptomatic,Susceptible_to_Infected_quarantined,Asymptomatic_to_Infected,Asymptomatic_to_Recovered,Asymptomatic_to_Deceased,Infected_to_Deceased,Infected_to_Infected_quarantined,Infected_quarantined_to_Recovered,Infected_quarantined_to_Deceased,Recovered_to_Deceased
0.0,1.0,0.0,902654.0,114.0,10785.0,0.0,0.0,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0,1.0,0.5629703027963445,0.0286,449.41095,0.0,0.0,8.768682213860167,4.124542626398864,1.9151999999999998,80.94,0.0,0.0,0.07151,0.0,0.0,0.0
1.0,2.279157982403174,6.7968622779293115,903071.0968549434,66.2802486845913,10345.772684217492,6.7968622779293115,61.7741918938489,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913553.9999999998,1.0,1.283691151378107,0.06518391829673077,431.1083477513429,0.0,0.0,19.994446796336362,9.404828010804298,1.1135081779011338,47.05897656605982,0.0,0.0,0.162982587321651,0.9086725179363697,0.0,0.0
2.0,2.955099609211694,16.378464060990723,903457.7353914254,48.79952726299676,9924.98475231882,16.378464060990723,103.14676532246123,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913553.9999999999,1.0,1.6651146435148492,0.08451584882345445,413.57411462912523,0.0,0.0,25.935402073790485,12.19928705103011,0.8198320580183456,34.6476643567277,0.0,0.0,0.21131917305472825,2.1896368603138496,0.0,0.0
3.0,3.4018513321340804,26.88811775261779,903819.8852013082,43.65584987065331,9521.67033622469,26.88811775261779,138.49864351191442,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0000000002,1.0,1.9176149076840694,0.0972929480990347,396.76800291048283,0.0,0.0,29.868281951144493,14.049203640892697,0.7334182778269757,30.99565340816385,0.0,0.0,0.24326638876090811,3.594672462347473,0.0,0.0
4.0,3.7713346393116174,37.65895050646937,904160.166726706,43.64781150664409,9135.038328341363,37.65895050646937,173.7168483004701,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0000000002,1.0,2.126692086847588,0.10786017068431226,380.6570471419846,0.0,0.0,33.12481490350238,15.580985572166467,0.7332832333116207,30.989946169717303,0.0,0.0,0.2696881400571738,5.03462509320989,0.0,0.0
5.0,4.126070628192057,48.49850744164662,904479.8168193476,45.8876970210973,8764.385168138522,48.49850744164662,211.28573742308978,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0000000001,1.0,2.327553717984408,0.11800561996629283,365.2119299563322,0.0,0.0,36.25338456987345,17.05257715615721,0.7709133099544346,32.58026488497908,0.0,0.0,0.295055310622014,6.483765459873737,0.0,0.0
6.0,4.4926690077577724,59.40140394929742,904779.480472219,49.227391556650375,8409.059041145614,59.40140394929742,252.3390221216585,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913553.9999999999,1.0,2.5351948343577124,0.1284903336218723,350.40549024453776,0.0,0.0,39.48754977355261,18.573837924657376,0.8270201781517262,34.95144800522176,0.0,0.0,0.3212707607447583,7.941373693981572,0.0,0.0
7.0,4.8833925081809335,70.43447053989644,905059.529091489,53.22109509978149,8068.444839373893,70.43447053989644,297.4871109891494,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0,1.0,2.756531456762132,0.1396650257339747,336.2120964567101,0.0,0.0,42.93503269496636,20.195437375562037,0.894114397676329,37.78697752084486,0.0,0.0,0.34921139826001857,9.416384366478756,0.0,0.0
8.0,5.304856303395182,81.69135750982049,905320.187719257,57.70744599049996,7741.957522807483,81.69135750982049,347.1510981319793,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0000000002,1.0,2.9952977767642683,0.1517188902771022,322.60736997538777,0.0,0.0,46.65399615195881,21.944733670065613,0.9694850926403993,40.97228665325497,0.0,0.0,0.3793502742557895,10.921317585487902,0.0,0.0
9.0,5.761545493462005,93.27506360327692,905561.5850890835,62.6412127863023,7429.038895542206,93.27506360327692,401.69819349138425,0.0,0.8799,0.3199,14.83,0.0,0.04167,0.0168,0.71,0.07151,0.0286,0.13369,913554.0000000001,1.0,3.2540270697180778,0.16478020111301336,309.5680507772437,0.0,0.0,50.68389779696509,23.840286583221786,1.0523723748098786,44.47526107827463,0.0,0.0,0.412008118237468,12.469943253122091,0.0,0.0
