Cumulative_cases_1_task1,_1_task1
0.0,0.0
6.7968622779293115,1.0
16.378464060990723,2.0
26.88811775261779,3.0
37.65895050646937,4.0
48.49850744164662,5.0
59.40140394929742,6.0
70.43447053989644,7.0
81.69135750982049,8.0
93.27506360327692,9.0
105.29167399303773,10.0
117.84855528881972,11.0
131.05432007007465,12.0
145.01946371779502,13.0
159.85726840230132,14.0
175.6847869324469,15.0
192.62386528347218,16.0
210.8021595401606,17.0
230.3541614295032,18.0
251.4222966232314,19.0
274.1579678983363,20.0
298.7226368178739,21.0
325.28899116176683,22.0
354.04211641080724,23.0
385.1807494035063,24.0
418.9185305266364,25.0
455.4853688959697,26.0
495.12886417302127,27.0
538.1157781193556,28.0
584.7335922273166,29.0
635.2921460091823,30.0
690.1253429319108,31.0
749.592938738677,32.0
814.0823954434009,33.0
884.0108232855249,34.0
959.8269703013393,35.0
1042.0132658453233,36.0
1131.0879267164896,37.0
1227.6070700461482,38.0
1332.1668321036075,39.0
1445.4054832611525,40.0
1568.0054637636506,41.0
1700.69534599546,42.0
1844.2516296705269,43.0
1999.5003690232754,44.0
2167.3184845785368,45.0
2348.634773981077,46.0
2544.4304198169043,47.0
2755.7390053890376,48.0
2983.6458069578593,49.0
3229.2862808727336,50.0
3493.8435574208825,51.0
3778.544820678696,52.0
4084.6563054244175,53.0
4413.476734520169,54.0
4766.328972474955,55.0
5144.549652109085,56.0
5549.476671440243,57.0
5982.433869213089,58.0
6444.713321861326,59.0
6937.554288430398,60.0
7462.119648749364,61.0
8019.468445627973,62.0
8610.524861686,63.0
9236.045286053013,64.0
9896.580353730611,65.0
10592.435847901095,66.0
11323.629547684957,67.0
12089.847796358375,68.0
12890.400520552677,69.0
13724.176565570306,70.0
14589.599811013737,71.0
15484.590237905604,72.0
16406.52830283428,73.0
17352.226606636297,74.0
18317.911733404493,75.0
19299.214897596525,76.0
20291.17808329125,77.0
21288.273421627622,78.0
22284.440591410228,79.0
23273.13990469575,80.0
24247.424418736056,81.0
25200.030264194964,82.0
26123.48103569721,83.0
27010.20913942096,84.0
27852.68578494123,85.0
28643.56154967655,86.0
29375.807448930478,87.0
30042.85690442205,88.0
30638.739041289362,89.0
31158.20228468206,90.0
