Time,H2_HMPt,ATP,H2_HMPterinPP,AMP,p_ABA,PPi,H2_Pteroate,L_Glutamate,Phosphate,ADP,DHF,L_serine,Glycine,NADP,NADPH,THF,CH2_THF,compartment,FolK,FolP,FolC,GlyA,FolA,PanB,p_ABA_production,H2_HMPt_production,THF_drain,CH2_THF_drain
0.0,3.315e-06,0.0096,1e-05,0.00028,1e-05,0.0005,1e-05,0.000846,0.01,0.00056,1e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.000169,8.47e-05,1.0,5.028192e-07,4.0000000000000003e-07,5.022397439999999e-07,-3.6440000000008074e-08,2.9299800000000004e-07,3.388e-07,1.66e-07,1.66e-07,6.441796994786876e-08,1.0158585226877909e-07
0.01,3.3150195387105827e-06,0.0096,1.0001027201576837e-05,0.00028,1.0001046740287421e-05,0.0005,9.998979263606478e-06,0.000846,0.01,0.00056,1.0002091024802664e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016900260981447148,8.469527314146534e-05,1.0,5.028221636316211e-07,4.000829619754234e-07,5.021884785615025e-07,-3.3097253444837815e-08,2.930592666085131e-07,3.387810925658614e-07,1.66e-07,1.66e-07,6.441844918656205e-08,1.015835196660679e-07
0.02,3.3150388566663955e-06,0.0096,1.0002053587502117e-05,0.00028,1.0002092444168514e-05,0.0005,9.99795989464401e-06,0.000846,0.01,0.00056,1.0004180903065896e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016900518653827358,8.469058020787528e-05,1.0,5.028250937791588e-07,4.0016585845489404e-07,5.021372818008274e-07,-2.9782481984279806e-08,2.9312049962365017e-07,3.387623208315011e-07,1.66e-07,1.66e-07,6.441892234130985e-08,1.0158120365298773e-07
0.03,3.31505803035532e-06,0.0096,1.0003079440385531e-05,0.00028,1.0003137470740851e-05,0.0005,9.996941419320482e-06,0.000846,0.01,0.00056,1.000627003204654e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690077416367771,8.468590944479652e-05,1.0,5.028280020442949e-07,4.0024871509167173e-07,5.020861299222515e-07,-2.6485992709836996e-08,2.931817106849572e-07,3.387436377791861e-07,1.66e-07,1.66e-07,6.44193915176966e-08,1.015788984312955e-07
0.04,3.3150770413991104e-06,0.0096,1.0004104687555936e-05,0.00028,1.0004181728955048e-05,0.0005,9.995923958810718e-06,0.000846,0.01,0.00056,1.000835831006941e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690102723758124,8.468126365954154e-05,1.0,5.02830885639417e-07,4.003315253192026e-07,5.020350290116561e-07,-2.32100994406286e-08,2.9324289681337167e-07,3.387250546381662e-07,1.66e-07,1.66e-07,6.441985621386283e-08,1.015766053887711e-07
0.05,3.3150958172695502e-06,0.0096,1.000512904222272e-05,0.00028,1.0005224859492273e-05,0.0005,9.994907991321079e-06,0.000846,0.01,0.00056,1.0010445335881847e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016901276796520655,8.467665393093554e-05,1.0,5.028337335634453e-07,4.0041426326269946e-07,5.019840030864651e-07,-1.9963933471387548e-08,2.9330404625227095e-07,3.3870661572374216e-07,1.66e-07,1.66e-07,6.442031444876326e-08,1.0157432999654473e-07
0.06,3.315114404095486e-06,0.0096,1.0006152686788274e-05,0.00028,1.0006267090883763e-05,0.0005,9.99389321270638e-06,0.000846,0.01,0.00056,1.0012531364685523e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690152352676435,8.467207321270815e-05,1.0,5.028365528132033e-07,4.004969453446706e-07,5.019330368712988e-07,-1.6741687185288783e-08,2.933651664790129e-07,3.386882928508326e-07,1.66e-07,1.66e-07,6.442076748277733e-08,1.0157206877960548e-07
0.07,3.3151328018769172e-06,0.0096,1.0007175621252598e-05,0.00028,1.0007308423129517e-05,0.0005,9.992879622966622e-06,0.000846,0.01,0.00056,1.001461639648044e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016901767428312327,8.466752150485934e-05,1.0,5.028393433886908e-07,4.0057957154518993e-07,5.018821303661572e-07,-1.354336058235941e-08,2.934262574935976e-07,3.3867008601943734e-07,1.66e-07,1.66e-07,6.4421215316141e-08,1.0156982174067518e-07
0.08,3.315150991504846e-06,0.0096,1.0008197748027574e-05,0.00028,1.0008348739532423e-05,0.0005,9.991867381973144e-06,0.000846,0.01,0.00056,1.0016700296766711e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016902008226417922,8.466300164798196e-05,1.0,5.028421023914549e-07,4.0066213326585203e-07,5.018312916004141e-07,-1.0371289608130134e-08,2.934873153552053e-07,3.3865200659192785e-07,1.66e-07,1.66e-07,6.442165744462989e-08,1.0156759028490494e-07
0.09,3.3151689768433396e-06,0.0096,1.0009219086846687e-05,0.00028,1.000938806369003e-05,0.0005,9.990856457398053e-06,0.000846,0.01,0.00056,1.0018783092741819e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690224597663819,8.465851306767423e-05,1.0,5.028448304075977e-07,4.007446322189666e-07,5.017805189504345e-07,-7.225001906532847e-09,2.9354834086071676e-07,3.3863405227069695e-07,1.66e-07,1.66e-07,6.442209397050249e-08,1.0156537413163652e-07
