ADP,AMP,ATP,CH2_THF,DHF,Glycine,H2_HMPt,H2_HMPterinPP,H2_Pteroate,L_Glutamate,L_serine,NADP,NADPH,PPi,Phosphate,THF,p_ABA,Time
0.00056,0.00028,0.0096,8.47e-05,1e-05,0.000277,3.315e-06,1e-05,1e-05,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.000169,1e-05,0.0
0.00056,0.00028,0.0096,8.469527314146534e-05,1.0002091024802664e-05,0.000277,3.3150195387105827e-06,1.0001027201576837e-05,9.998979263606478e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016900260981447148,1.0001046740287421e-05,0.01
0.00056,0.00028,0.0096,8.469058020787528e-05,1.0004180903065896e-05,0.000277,3.3150388566663955e-06,1.0002053587502117e-05,9.99795989464401e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016900518653827358,1.0002092444168514e-05,0.02
0.00056,0.00028,0.0096,8.468590944479652e-05,1.000627003204654e-05,0.000277,3.31505803035532e-06,1.0003079440385531e-05,9.996941419320482e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.0001690077416367771,1.0003137470740851e-05,0.03
0.00056,0.00028,0.0096,8.468126365954154e-05,1.000835831006941e-05,0.000277,3.3150770413991104e-06,1.0004104687555936e-05,9.995923958810718e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.0001690102723758124,1.0004181728955048e-05,0.04
0.00056,0.00028,0.0096,8.467665393093554e-05,1.0010445335881847e-05,0.000277,3.3150958172695502e-06,1.000512904222272e-05,9.994907991321079e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016901276796520655,1.0005224859492273e-05,0.05
0.00056,0.00028,0.0096,8.467207321270815e-05,1.0012531364685523e-05,0.000277,3.315114404095486e-06,1.0006152686788274e-05,9.99389321270638e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.0001690152352676435,1.0006267090883763e-05,0.06
0.00056,0.00028,0.0096,8.466752150485934e-05,1.001461639648044e-05,0.000277,3.3151328018769172e-06,1.0007175621252598e-05,9.992879622966622e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016901767428312327,1.0007308423129517e-05,0.07
0.00056,0.00028,0.0096,8.466300164798196e-05,1.0016700296766711e-05,0.000277,3.315150991504846e-06,1.0008197748027574e-05,9.991867381973144e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016902008226417922,1.0008348739532423e-05,0.08
0.00056,0.00028,0.0096,8.465851306767423e-05,1.0018783092741819e-05,0.000277,3.3151689768433396e-06,1.0009219086846687e-05,9.990856457398053e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.0001690224597663819,1.000938806369003e-05,0.09
0.00056,0.00028,0.0096,8.465405519528093e-05,1.0020864811331151e-05,0.000277,3.315186761717808e-06,1.0010239657245994e-05,9.989846817236876e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016902480733974368,1.0010426418963806e-05,0.1
0.00056,0.00028,0.0096,8.46496277309628e-05,1.0022945424285674e-05,0.000277,3.3152043474600814e-06,1.0011259437219693e-05,9.988838494606327e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016902712529997345,1.0011463784679778e-05,0.11
0.00056,0.00028,0.0096,8.464523027116315e-05,1.0025024893584726e-05,0.000277,3.315221735862683e-06,1.0012278397149941e-05,9.987831534078526e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.0001690294140719869,1.0012500133012629e-05,0.12
0.00056,0.00028,0.0096,8.464086326888603e-05,1.0027103261907596e-05,0.000277,3.315238924913453e-06,1.0013296570283623e-05,9.986825885619983e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016903167317880384,1.001353549519708e-05,0.13
0.00056,0.00028,0.0096,8.463652672413144e-05,1.0029180529254287e-05,0.000277,3.3152559146123915e-06,1.0014313956620732e-05,9.985821549230694e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.0001690339026204243,1.0014569871233128e-05,0.14
0.00056,0.00028,0.0096,8.463222063689936e-05,1.0031256695624798e-05,0.000277,3.3152727049594994e-06,1.0015330556161273e-05,9.98481852491066e-06,0.000846,6.8e-05,9.4e-07,9.4e-07,0.0005,0.01,0.00016903610239684828,1.0015603261120777e-05,0.15
