Time,EC,Z,A,Y,GP,v0,v1,beta,Vm2,K2,Vm3,m,Ka,Ky,Kz,Kf,K,V4,Vm5,n,K5,Kd,epsilon,Vpm1,gamma,Ka5,K1,Ka6,Vpm2,alpha,G,Ka1,Kp2,Ka2,p,extracellular,cytosol,intravesicular,vin,R2,R3,Rkf,Rkz,R4,R5,R6,R7,R8
0.0,1000.0,0.0,0.45,0.36,1.0,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.36,0.0,1.0,0.0,0.045000000000000005,0.0,2.9999999999999996
0.01,1000.0,0.030336347090748787,0.4595448498922349,0.35808191828480673,0.971855469354669,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,0.505642407769615,0.05397506099355876,0.35808191828480673,0.3033634709074879,1.0,0.00017304802587920077,0.04595448498922349,0.32949038802569075,2.9921226700474057
0.02,1000.0,0.051806743393207066,0.46907332741685104,0.362431403906609,0.946313299303728,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,1.2696081553563598,0.1576358766919307,0.362431403906609,0.5180674339320707,1.0,0.0015220023299704836,0.046907332741685105,0.5245712272455162,2.984606895258237
0.03,1000.0,0.06598827943178581,0.4785719769107616,0.3723117431090902,0.9224496598613423,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,1.820112413443648,0.25785073320686774,0.3723117431090902,0.6598827943178581,1.0,0.004137696198838488,0.04785719769107616,0.6570697618570427,2.9772457237212513
0.04,1000.0,0.07555475086561678,0.48803153327676896,0.38563838812649753,0.8997941098497355,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.1804168339982497,0.3421985363610813,0.38563838812649753,0.7555475086561678,1.0,0.007336513785004793,0.0488031533276769,0.7544888843852265,2.969932042258583
0.05,1000.0,0.08226930877626257,0.4974489143245719,0.4010140269001061,0.8780678611080721,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.4218067619298105,0.4114255623461643,0.4010140269001061,0.8226930877626257,1.0,0.010629875632023745,0.049744891432457194,0.8298238890126199,2.962600098498138
0.06,1000.0,0.08717623713150997,0.5068244760036044,0.41762282895609854,0.8570891209717189,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.590850267659347,0.4685988711317915,0.41762282895609854,0.8717623713150997,1.0,0.013801284498974126,0.05068244760036044,0.8901605910140602,2.955204522996818
0.07,1000.0,0.09090195298039822,0.5161598758595912,0.43498524589446863,0.8367317056828201,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.714698694494013,0.5165881008443001,0.43498524589446863,0.9090195298039822,1.0,0.016788338494319325,0.051615987585959124,0.9397649843518421,2.9477112944955244
0.08,1000.0,0.09383478412332058,0.5254569964342501,0.4528101728780476,0.8169041116783884,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.809353564906726,0.5576543004778536,0.4528101728780476,0.9383478412332058,1.0,0.019597984890387325,0.052545699643425016,0.981390901140574,2.9400932269832047
0.09,1000.0,0.09622330411298421,0.5347174965535971,0.4709149949278744,0.7975378472167295,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.884561193170992,0.5934981476744317,0.4709149949278744,0.9622330411298421,1.0,0.022263033315488772,0.05347174965535972,1.016908764924434,2.932327482319178
0.1,1000.0,0.09823127739937919,0.5439426635540283,0.4891816455177098,0.7785803763980821,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.946469139746111,0.625385377280822,0.4891816455177098,0.9823127739937919,1.0,0.024822603628358916,0.054394266355402836,1.0476392720314032,2.924394069267855
0.11,1000.0,0.09996910724264886,0.5531333974244993,0.5075319059846289,0.7599906432691632,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,2.999073074125104,0.6542573119435255,0.5075319059846289,0.9996910724264886,1.0,0.027313949778101556,0.05531333974244993,1.0745439983944358,2.916274894869158
0.12,1000.0,0.10151269694070256,0.5622902470182152,0.5259128570021453,0.7417360910223922,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,3.0450377090970906,0.6808171213402959,0.5259128570021453,1.0151269694070255,1.0,0.02976967012649318,0.05622902470182152,1.0983408633714813,2.9079531298234174
0.13,1000.0,0.10291516916762458,0.571413460750286,0.5442879915888991,0.7237906041040458,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,3.0861808694244495,0.7055942773455872,0.5442879915888991,1.0291516916762458,1.0,0.03221730625703064,0.057141346075028604,1.1195773639087536,2.8994127653848296
0.14,1000.0,0.10421425158102024,0.5805030350305861,0.5626317030293716,0.7061330549538036,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,3.1237658279882305,0.728990555620648,0.5626317030293716,1.0421425158102025,1.0,0.03467976673716004,0.05805030350305861,1.1386786828020667,2.8906382972735054
0.15,1000.0,0.10543710561325124,0.589558757331157,0.5809257378532395,0.6887462506123804,2.0,2.0,0.5,6.0,0.1,20.0,2.0,0.2,0.2,0.5,1.0,10.0,2.0,30.0,4.0,1.0,0.4,0.1,1.5,9.0,0.5,0.1,0.5,0.6,9.0,10000.0,10000.0,0.2,10000.0,2.0,1.0,1.0,1.0,3.0,3.158685058476366,0.7513136137534059,0.5809257378532395,1.0543710561325124,1.0,0.03717606405235627,0.058955875733115705,1.1559803034844627,2.881614492945242
